	BCOR	ASXL1
BA2000	0.0347677842970251	0.0156650526915408
BA2003	0.0171595779870121	0.0155226431216177
BA2004	0.037920978392253	0.0254913130162346
BA2006	0.0023649980291683	0.0561093705497009
BA2011	0.0545436322464494	0.0160922814013101
BA2019	0.0936744772560194	0.0243520364568499
BA2020	0.0911532425463582	0.0357448020506978
BA2022	0.0308737068466182	0.021646254628311
BA2023	0.0139315669678408	0.0109655368840786
BA2024	0.0422907785477338	0.0190828823696952
BA2025	0.0736877940309664	0.015949871831387
BA2031	0.0466605787032146	0.0135289091426943
BA2032	0.084601912034605	0.0149530048419253
BA2033	0.1197568500062294	0.0229279407576189
BA2034	0.0628754507230147	0.026060951295927
BA2035	0.0387365420610455	0.0195101110794645
BA2036	0.0339658361244341	0.0197949302193107
BA2037	0.0527020794642252	0.0299060096838507
BA2041	0.048488652599567	0.0200797493591569
BA2044	0.0300243093528167	0.0152378239817715
BA2046	0.034740553304622	0.0294787809740814
BA2047	0.0391714182775149	0.0254913130162346
BA2050	0.0131772047267902	0.0111079464540017
BA2051	0.041604357177361	0.0209342067786955
BA2052	0.1265800806110234	0.0364568499003133
BA2053	0.0279786607378997	0.013101680432925
BA2054	0.0291135738209435	0.0126744517231557
BA2055	0.0041387465510445	0.0113927655938479
BA2063	0.0493993881314402	0.0438621475363144
BA2065	0.03705796540225	0.0190828823696952
BA2066	0.0708470732967242	0.0259185417260039
BA2068	0.024200110089711	0.0156650526915408
BA2069	0.0411967119532945	0.0170891483907718
BA2072	0.0188314152028718	0.0111079464540017
BA2079	0.01383639510476	0.0108231273141555
BA2080	0.0417879614605866	0.017373967530618
BA2081	0.0327902131631156	0.0139561378524636
BA2082	0.0342648305995481	0.0178011962403873
BA2087	0.0360930411062303	0.0099686698946169
BA2088	0.0362220467943202	0.0226431216177727
BA2089	0.0788933761840472	0.0229279407576189
BA2093	0.0307445645481986	0.028909142694389
BA2094	0.102502373376796	0.0168043292509256
BA2095	0.0200478846527948	0.017373967530618
BA2096	0.0162218846833955	0.013101680432925
BA2097	0.0438062424727708	0.0350327542010823
BA2098	0.0221275037030506	0.0118199943036172
BA2100	0.0199187423543752	0.0136713187126174
BA2101	0.0182401656955797	0.027485046995158
BA2104	0.019803215552157	0.0078325263457704
BA2106	0.0210400399412174	0.0160922814013101
BA2109	0.0242613115174529	0.0121048134434634
BA2110	0.0148014560111095	0.0099686698946169
BA2113	0.0628687112800788	0.0313301053830817
BA2116	0.0298746755049299	0.0273426374252349
BA2121	0.0252331118667382	0.0250640843064653
BA2122	0.0250156737585035	0.0093990316149245
BA2123	0.0717576722182676	0.0227855311876958
BA2124	0.0418762572704017	0.0197949302193107
BA2125	0.0477954917862583	0.0186556536599259
BA2132	0.0529671035040003	0.0225007120478496
BA2133	0.0097724654776589	0.0262033608658501
BA2134	0.0133879033920891	0.008686983765309
BA2135	0.039708205800001	0.0264881800056963
BA2139	0.0225827348586574	0.0089718029051552
BA2143	0.0242749270136544	0.0176587866704642
BA2148	0.0236700620101608	0.013101680432925
BA2153	0.0325183130700749	0.0196525206493876
BA2155	0.0326881652467692	0.0163771005411563
BA2156	0.0405306455220591	0.0186556536599259
BA2162	0.0328648934767292	0.0172315579606949
BA2163	0.0425421870913074	0.0212190259185417
BA2168	0.0198371859874959	0.0139561378524636
BA2169	0.0399257805185655	0.0233551694673882
BA2171	0.0454984346277678	0.0259185417260039
BA2172	0.0809050543636253	0.0133864995727712
BA2174	0.0364803313911594	0.0189404727997721
BA2175	0.0530621387567512	0.0294787809740814
BA2184	0.0830524776742291	0.0398746795784676
BA2195	0.0278971043710205	0.0156650526915408
BA2198	0.0259398881762484	0.0153802335516946
BA2200	0.0617201827008335	0.0293363714041583
BA2201	0.023160368869748	0.0092566220450014
BA2209	0.0422092221808545	0.0582455140985474
BA2211	0.0447713033791202	0.0270578182853887
BA2212	0.0396811114179277	0.0182284249501566
BA2217	0.0481215806434455	0.0242096268869268
BA2218	0.0271970675044462	0.0155226431216177
BA2220	0.0214614372718152	0.0135289091426943
BA2221	0.014638343277351	0.0138137282825405
BA2224	0.0345434701355247	0.0146681857020791
BA2226	0.0846631134623469	0.0320421532326972
BA2227	0.2247327355508165	0.0344631159213899
BA2228	0.0636434284602668	0.0283395044146966
BA2229	0.1288703983265781	0.04044431785816
BA2233	0.0277203761410605	0.0209342067786955
BA2234	0.0726820232463423	0.0183708345200797
BA2235	0.0353793887434545	0.0136713187126174
BA2236	0.0399869819463074	0.015949871831387
BA2239	0.0241457847152348	0.0108231273141555
BA2240	0.0416995290404417	0.0242096268869268
BA2242	0.0633647889242901	0.0276274565650811
