	DNMT3A	KIT
BA2392	6.55027156269161	8.48407580140491
BA2611	6.42139457326444	8.46430959418229
BA2506	6.38837422038712	8.46185834013681
BA2430	6.42233932973963	8.48906113697349
BA2448	6.36982886713941	8.46676516104844
BA2730	6.4369045674542	8.46922505155083
BA2845	6.55451548155805	8.53990253916599
BA2326	6.59041781660964	8.52702131941912
BA2341	6.54307132156237	8.54768703664719
BA2612	6.57247167015578	8.50160207030541
BA2973	6.54150806703429	8.53215993801742
BA2390	6.56633757408764	8.49657233882556
BA3218	6.52170608095191	8.48906113697349
BA3105	6.40170617544637	8.45209623715645
BA3402	6.40737616847402	8.44966638628301
BA3276	6.46333894051768	8.40194775982719
BA2409	4.92558404139259	6.89778124838191
BA3037	4.90640898586377	5.49725940478877
BA2496	5.03856627298611	5.51241676925768
BA2172	5.90037022570554	4.37272792121348
BA2865	6.44802101478473	8.38563253120242
BA2923	5.58458887284863	-1.83754692529431
BA2751	5.98996157877142	2.3627073872351
BA2480	5.89765135115317	5.00103650264355
BA2286	5.42089748568897	8.5872495962732
BA2922	6.6639864599992	9.77539354132974
BA2452	5.90353378741165	9.0271917203024
BA3379	6.22675882110798	8.66689198102969
BA2887	6.29652207810065	8.0301567645062
BA2712	4.84562521936661	0.402949581289092
BA2068	5.85144934754927	6.7421473941764
BA2236	5.92513526908082	8.09435501163422
BA2104	4.27532548252001	0.598455727053896
BA3124	6.23033780733241	6.29048213777498
BA3395	4.90361056525495	6.84399982384708
BA2921	5.99605530428902	9.60422004710875
BA2449	5.3715755453953	6.87788091401863
BA2003	5.33364015180298	5.06527754778608
BA2360	6.90753952267277	7.94635895319707
BA2802	6.43335604753767	9.09230819306279
BA2235	4.92771047103252	8.0044307958278
BA2858	4.35648958622004	6.02698748997862
BA3038	5.29082273845723	7.71347289714959
BA3006	5.99970534098919	5.2871864159011
BA2245	6.01005588113279	9.85077214115986
BA2667	6.36134230536283	8.75396729152058
BA2239	5.21813047946163	5.0610421966443
BA2782	5.27325382286629	5.3063518272781
BA2649	5.99890598903284	6.45042558800672
BA2488	5.55888193371954	7.52428329559334
BA2861	6.61117532741348	7.79956921933088
BA2909	6.01784200578308	6.47866220517702
BA2429	5.69757983119209	6.57560815980456
BA2653	5.46484401503758	0.779913057719338
BA2134	4.6827458552578	6.16187946786899
BA2947	6.7903869995291	6.64131489127646
BA2032	6.13853683580785	6.53646349390772
BA2162	6.25945312566298	8.27031665707811
BA2564	5.50870400018428	6.76240903317338
BA2597	5.76760186750385	5.54658259376352
BA3243	5.43042530271375	7.38062061343463
BA2106	5.67317843136018	7.77713213848426
BA2427	5.48059363504872	5.71100608100859
BA2841	5.45711106423954	6.71667600372627
BA2446	4.90083067720818	2.69090003434147
BA2645	6.82793872143045	10.0958725482412
BA2525	4.89058431526758	4.05402094746754
BA2876	5.44640808199127	6.00881830211778
BA2357	5.02235718099048	5.46954197713849
BA2546	5.51500276467509	6.5518017021576
BA2742	4.92841190922266	3.1321279031107
BA2316	4.98581237116735	3.27431420538309
BA2421	4.63033110918827	1.76094876809065
BA2087	5.13368956327964	8.58375614592974
BA2910	6.40025463094879	7.45571345371651
BA2148	6.0688553647905	7.71472395965624
BA2063	5.18021866658889	2.4375086335962
BA2329	5.09075247446604	6.61117532741348
BA3178	4.99923632979666	6.71780036034788
BA2072	5.4391470099726	7.31397253852267
BA3029	5.38508153742644	6.52375465899181
BA2733	5.37965871348939	7.2371970090631
BA2995	6.74268846032395	5.70643173596218
BA2069	4.77701262518198	4.07958610816328
BA2100	4.98409448643986	5.76256437697443
BA2681	6.51154576024005	6.69356109841864
BA2248	6.0444352624309	5.93163668749835
BA2832	6.12682630802195	7.30411511402805
BA2308	6.22113787930576	7.60989112051761
BA2413	6.16609369248211	7.69420627031986
BA2701	5.64618047026692	6.3314194986068
BA2634	6.25091484872834	6.86903485569995
BA2677	5.69566002369261	6.69580577134555
BA2937	5.79045455115976	7.32489473499785
BA2600	5.50315192004078	5.59027419096801
BA2019	5.65448355973944	-0.780448523359928
BA2412	4.71932990142095	5.79950973684786
BA2334	6.20697852343694	4.93436696034119
BA2050	5.92596043186298	6.1180523945273
BA3230	5.17381001168529	6.93827202821145
BA2953	5.84669771952697	6.81086164089737
BA2481	5.03079434015524	5.46628439479905
BA2731	5.42234890079115	6.4137172012398
BA2294	7.17520302946663	8.904319577833
BA2418	6.01373604526196	5.42857060288721
BA2816	5.11433165880832	5.36072833704901
BA2656	6.45897655908302	3.65263152336696
BA2814	5.02974000658284	4.23701647161103
BA2631	6.2167212997473	7.37396310701658
BA2023	4.72738279030256	-0.425828695317915
BA2375	6.08536052540414	7.47830743039593
BA2485	6.78074983432615	7.17116786854616
BA2455	4.69855961142677	0.213349457050806
BA2025	5.23673966789925	5.99479766689368
BA2636	5.92637395893393	6.64186594668035
BA2325	4.04879675825088	4.27232629182903
BA2169	6.19606446047222	7.30411511402805
BA2156	6.79640967556144	8.99558616821901
BA2511	5.26710389157619	4.81690090080098
BA2939	6.0158165147387	7.64377441186557
BA2168	6.41510646424492	3.54447318338801
BA2505	5.62195033213407	6.69861654752334
BA2860	6.33509433573957	6.10105446354612
BA2707	6.18632897661868	4.47937233979517
BA2871	5.96907627794874	6.4442145827922
BA2655	4.77872894002383	6.1522898333018
BA2227	6.55232565838748	6.87084783224833
BA2125	6.10829331712153	7.24473994098098
BA2523	5.74395799798389	8.62516478231551
BA2603	5.47138243938151	6.26033254809805
BA2808	6.31675170697475	6.80486837491
BA2282	4.80111971961835	0.275450535390316
BA2482	6.17641644366945	8.51425498508966
BA2812	4.99775683802712	0.390163792184238
BA2822	5.98054442725547	6.64684027167279
BA2594	5.81201009033099	7.31665510949842
BA2747	6.18950223686314	6.53543485984192
BA2561	5.94641278080618	1.51130448384538
BA2567	5.34433907396084	1.72847085742469
BA2906	4.74957774721697	6.151452910791
BA2956	5.64166399423883	5.88606180557595
BA2474	6.09936975927192	7.37771038448057
BA2737	5.70872171926613	3.93165864889064
BA2110	4.74182984575756	3.98774117772589
BA2992	5.05504885396523	5.40957494113667
BA2220	5.65448355973944	5.05504885396523
BA2772	6.0781745380856	5.93332587992066
BA2935	5.28177179122875	6.4108151402329
BA2260	5.01183343730558	4.5552347102947
BA2676	5.36293986474154	7.74536502725477
BA2948	5.85542200416075	7.64255001400601
BA2524	5.52135062216325	7.27555120012057
BA2811	6.24912819394912	5.21501701134356
BA2540	3.86156811832603	5.98011491063707
BA2928	5.34151860321391	6.05650405294687
BA2302	5.53940253028108	6.56685915377229
BA2595	5.14967422759909	7.36047250037276
BA2792	5.02056262861089	6.66177361256097
BA2651	6.03566200297907	6.88867708372879
BA2619	6.44227342376241	8.67821802831458
BA3013	6.16865049658773	5.69333061318898
BA2405	5.67317843136018	5.94473215258657
BA2735	5.32233498083344	5.40147695209821
BA2856	4.20674974606089	5.36476332195428
BA2377	4.1940893457466	6.32635613681556
BA2499	5.81959741153124	8.03722226484621
BA2463	6.22329037773919	-0.256578476181957
BA3023	5.20440021667154	5.91320591729895
BA2095	6.14672505812723	5.73627139725326
BA2901	5.08758890657065	4.75201016058728
BA2275	5.75302384911337	7.82833379039141
BA2387	4.47173241334974	8.6279105840654
BA2962	5.58010200112807	6.10621461216555
BA2195	5.51500276467509	6.92111028015582
BA2688	4.72354417544082	5.64352989350398
BA2787	4.78223236558204	3.13490199455068
BA2420	5.5603638318114	7.9003747386446
BA2756	4.01681712942243	6.19822146547957
BA2122	4.87096387518994	4.4543011664344
BA2053	5.84787957757678	7.50105244518025
BA2080	5.86901047120639	8.30255392241405
BA2081	5.77033121359801	8.48656626341456
BA2354	6.23533588980149	9.28155652487085
BA3273	4.71789490848166	0.651829022283505
BA2893	6.19299832162761	6.14672505812723
BA2044	5.54245080282141	7.70961368830257
BA2489	4.74182984575756	5.95233629524957
BA2309	4.97387498404503	7.13359161213086
BA2720	4.52153193566258	5.0932101529727
BA2908	6.4243136710677	7.7071077714624
