	IDH1	SMC1A
BA2392	5.74395799798389	7.41008797800013
BA2611	5.75871811902643	7.26424108951115
BA2506	5.75871811902643	7.24218373520164
BA2430	5.80931856446972	7.28899814708616
BA2448	5.79121445090041	7.24904224136933
BA2730	5.8227080060065	7.26503778677364
BA2845	5.67963455085071	7.45866975783138
BA2326	5.67432622931416	7.45571345371651
BA2341	5.64918681238206	7.43138197639579
BA2612	5.59924503664906	7.4434295432297
BA2973	5.63166253168885	7.45275636284168
BA2390	5.6571193282783	7.4372988989966
BA3218	5.60116902965989	7.46577618872004
BA3105	5.68416732949988	7.31397253852267
BA3402	5.71798453197329	7.37577438257785
BA3276	5.7151540674209	7.30861526987379
BA2409	7.52082148621471	6.96567270429015
BA3037	5.44138513248386	5.33503178066884
BA2496	6.59256890621003	6.81145766315316
BA2172	4.82328175599878	6.50494854074967
BA2865	6.97794904447586	6.64807496201704
BA2923	8.2618544484033	6.42763769743183
BA2751	7.15246698865564	6.40025463094879
BA2480	7.35298985161002	6.21273472230969
BA2286	6.15608719552673	6.46184745649843
BA2922	6.60792383481337	6.18950223686314
BA2452	6.40688318423783	7.41889646736553
BA3379	5.94263228316548	6.56326897910348
BA2887	5.85144934754927	6.58253832351054
BA2712	7.45375064871774	7.2245944685398
BA2068	4.80607814010981	5.81442547259646
BA2236	6.90558799283489	6.50698545533974
BA2104	7.73732673360922	6.25534556152395
BA3124	4.22136650202706	6.56890360423702
BA3395	7.16547841878937	6.89778124838191
BA2921	4.79871964465787	5.29014927757584
BA2449	4.22750729569156	6.36648969189247
BA2003	5.20261254311813	4.86847515739846
BA2360	6.61867340597626	6.7037023558772
BA2802	4.3579546600223	6.32360812377741
BA2235	7.1956195388029	6.73692509275104
BA2858	5.32198845078755	6.92303478434711
BA3038	7.20973552997534	6.9468889159387
BA3006	6.49699294257919	6.80545390529169
BA2245	5.4241733124076	6.44802101478473
BA2667	6.49799553338119	6.59519386649706
BA2239	7.14764743423536	6.80299244523417
BA2782	6.64358377452482	6.54150806703429
BA2649	6.23214914518013	7.36252362510307
BA2488	6.35757561884313	6.93219471408877
BA2861	7.03549223810054	7.08148396341999
BA2909	6.34548467937847	6.31585760088979
BA2429	5.11958001435747	6.32408741401117
BA2653	4.90152753707883	6.60368263326756
BA2134	6.53396722315737	6.47866220517702
BA2947	4.83268199793827	5.84353133766961
BA2032	5.82000063861969	5.18440522570466
BA2162	5.33028268437174	6.13597197195766
BA2564	6.85832315809809	7.52082148621471
BA2597	2.84361014461716	5.7195036401558
BA3243	5.4843036495526	6.31947287697639
BA2106	5.19270680337974	6.56065461359229
BA2427	3.18975730461156	5.74782936628199
BA2841	3.95599802451469	5.77409344818299
BA2446	6.55661288461065	8.05115312612603
BA2645	4.05123232495892	4.46192339880986
BA2525	3.65728472785622	5.89440299333517
BA2876	3.20185478187358	5.19768575459355
BA2357	3.69392175101973	6.3764431266369
BA2546	7.33073792117204	6.78550767222755
BA2742	9.09600320401444	7.02125424605895
BA2316	9.05942450247106	6.92693139302054
BA2421	5.60042800463674	5.2450731397095
BA2087	4.8688411127684	6.11251658212347
BA2910	6.13375733254388	6.07138778077856
BA2148	4.42623541625347	5.27359380468175
BA2063	2.864896220199	5.28503368668829
BA2329	6.84399982384708	6.72991592484699
BA3178	6.28908084563445	6.81145766315316
BA2072	6.78074983432615	7.58759859001841
BA3029	5.19342572013905	5.60042800463674
BA2733	4.2236378258506	6.2918184227424
BA2995	4.54341837856977	5.19699117865598
BA2069	6.95150045701844	7.56321071069528
BA2100	5.17381001168529	5.25074673390293
BA2681	5.34829013725005	7.17358455839536
BA2248	5.78304332339911	5.34794466566604
BA2832	5.24140893715519	6.63058753997147
BA2308	5.41063794413204	5.6518040676881
BA2413	5.39458251066191	5.4219819546052
BA2701	5.81524050486287	5.13768843009096
BA2634	4.90500171115938	5.60693430911561
BA2677	6.37500681410956	6.55763968463611
BA2937	6.43542748974206	6.91395412230233
BA2600	5.22500574588553	5.82897025310715
BA2019	5.31326361994662	7.46894970580743
BA2412	6.05611661620259	6.35951832125277
BA2334	5.71913182250031	5.70604900479139
BA2050	6.1842076331656	7.20465709297985
BA3230	5.34936654533728	7.5725144548201
BA2953	4.87201227243281	6.41176296562855
BA2481	4.1174274886939	6.30887529708536
BA2731	6.19120375825818	5.87139334737162
BA2294	5.51205399141146	6.57670086749662
BA2418	5.86536301251181	5.84314923613757
BA2816	4.97525881373139	6.13767903859115
BA2656	4.6932849776624	5.52135062216325
BA2814	7.64895583047878	7.1173855294893
BA2631	6.47620808782314	6.4446944698136
