	IDH1	SMC1A
BA2023	7.42928783450574	6.67173082981131
BA2375	5.84864920436747	6.77605663940291
BA2485	6.60051001058414	6.66119005251722
BA2455	6.61484329859941	6.22761949631351
BA2025	6.18727628290146	7.95104961478815
BA2636	2.95707573664305	5.89560402298733
BA2325	7.31937809888862	6.81689630084604
BA2169	4.2685172238636	5.25497927017155
BA2156	6.53347844553203	6.68070832768596
BA2511	3.63778681479032	5.96784634669034
BA2939	5.88920214405522	5.9321118772701
BA2168	6.03566200297907	5.68986590376939
BA2505	4.82328175599878	5.46628439479905
BA2860	5.15668163101419	6.68646890696546
BA2707	5.24611528011748	6.05573645247968
BA2871	5.56596083132182	6.78865136154736
BA2655	4.94485331976651	6.83087293035871
BA2227	4.77735183811143	6.2886543814572
BA2125	6.43000064848533	8.0095286113404
BA2523	6.26118056372206	7.40804987020109
BA2603	6.25896920678185	5.33721885584615
BA2808	5.30025672574144	5.67583098043324
BA2282	5.83716487793583	6.14149524736616
BA2482	6.93954050250455	6.60051001058414
BA2812	5.82934773365488	6.77246010495607
BA2822	7.20386734649371	6.39165195051498
BA2594	6.94945791531145	6.9766278154768
BA2747	5.23068767781653	5.84631034661227
BA2561	7.35863482899504	6.23708437608245
BA2567	3.40936163024976	5.09892293720879
BA2906	6.56583781452914	7.26669441560471
BA2956	4.93680420181051	5.92432462638165
BA2474	6.41993290039897	6.74612605168156
BA2737	7.00490622738367	6.13249003882685
BA2110	6.60579006500373	6.81086164089737
BA2992	5.29873886453286	7.32966927637023
BA2220	5.88005273032646	7.47316503302079
BA2772	4.20752353675978	5.98876336939614
BA2935	5.76293182295601	6.15353258469632
BA2260	6.30695343234241	6.44032365945441
BA2676	6.47376016789819	7.27636680044251
BA2948	4.45829690708788	5.69487870461564
BA2524	4.71338041148762	6.33002794213348
BA2811	5.95983280142242	6.88492067829042
BA2540	5.10108468850577	6.72876764999848
BA2928	6.62899851308068	8.17232215906216
BA2302	4.35980493218316	5.46037170982955
BA2595	4.7899749730526	6.29225118298982
BA2792	5.62043017440298	6.54766219361137
BA2651	4.51902825678144	5.71138116672011
BA2619	6.57921927462639	7.15798365655759
BA3013	6.23486418682469	7.38666974161584
BA2405	4.63387310843381	5.91007221868397
BA2735	6.01046707595227	4.31814348968572
BA2856	4.64521147205465	4.67353963648755
BA2377	4.72354417544082	6.59203093136997
BA2499	3.58175052756526	5.81007696621955
BA2463	7.01129464656936	5.27794535688906
BA3023	3.85081185407147	6.33918453468976
BA2095	6.09645228197541	7.57365573963701
BA2901	5.0241682886734	5.85734049093177
BA2275	6.14149524736616	7.29599106177635
BA2387	6.07906325231323	6.69693008803166
BA2962	7.45670028367566	7.10380554442151
BA2195	4.08320598972476	6.33092888167036
BA2688	3.23858596558685	5.8446879817315
BA2787	5.66936167999459	5.81801473613502
BA2420	5.91360220597683	6.64464627075058
BA2756	4.39589281624757	6.57356389506373
BA2122	3.22968112507528	5.80146381261149
BA2053	5.25892746258291	5.31902852847325
BA2080	4.29267969728308	5.77766563717379
BA2081	7.18078818168097	7.59694470359064
BA2354	6.26203648745747	6.55285609284704
BA3273	4.10948809536277	5.1308809152012
BA2893	5.61817308697624	6.54408446340443
BA2044	6.28823715765654	7.08521741719084
BA2489	3.22332800972844	5.6864679763228
BA2309	5.45489161608543	6.77720928573593
BA2720	3.85948948082755	6.44613094518311
BA2908	6.09727224274201	4.37967727663567
BA2054	6.44947039282618	7.12738803665014
BA2872	5.47433300541024	7.39635430321553
BA2526	3.54989691248403	4.92805421347384
BA2041	3.74848704611698	7.25176192852259
BA2464	6.04982213026608	6.62245620960063
BA2902	5.08617132532278	5.12420512973416
BA2541	6.29556241973791	6.73345379130114
BA2143	5.1308809152012	6.82734034498185
BA2094	7.53511002571526	6.70082648857542
BA2769	4.72632902528561	6.47715255483626
BA2843	4.576912820314	5.19161041350932
BA2592	4.04795438154792	6.54504027868998
BA2497	7.27462693268534	7.3370513303313
BA2718	6.75597489483719	6.54875546973009
BA2575	7.35298985161002	7.22543117773692
BA2096	5.90476239808708	7.2179085684236
BA2593	7.86375133258917	5.57639860004421
BA2791	3.89144729146833	5.72556301998601
BA2620	7.07695814218809	6.33600766569699
BA2629	6.1725191860544	6.22989744594561
BA2870	7.69160326863138	7.4363086679988
BA2423	5.07164095305392	5.48023322260474
BA2682	5.90076617867574	6.45300101587846
BA2276	4.91022290966011	6.34783039381028
BA2348	4.81265842584299	6.02737188880326
BA2709	6.54150806703429	6.66836924971821
BA2789	5.91554817043997	7.18983138735934
BA2694	4.4543011664344	5.01358911563759
BA2538	4.37307759807115	5.29082273845723
BA2583	5.2008194787507	6.42718608083043
BA2415	6.07987511764245	6.38261014012489
BA2722	4.94450171912077	7.95296500400789
BA2806	6.08879387607679	6.0311101011047
BA2221	5.57935496877716	6.54875546973009
BA3025	5.87927912302444	6.61536224183286
BA2514	4.5993645555515	6.43983576769468
BA2520	4.59723676314568	5.4921500734543
BA2441	5.83369852515391	6.65187762334033
BA2153	4.98513676810276	6.39210318114874
BA2479	2.61422648503115	5.87220344290798
BA2281	5.98958134739074	6.63383351459938
BA2657	6.58623483162294	6.48756519390035
BA2932	7.48594354331146	6.58836102643898
BA2123	4.52334899104318	7.07994856692804
BA2844	5.43657703696705	6.48803668934059
BA2660	6.80545390529169	7.15078589361001
BA2836	4.62427313618414	5.49584884893938
BA3027	4.19644815920318	5.86417764609005
BA2714	7.14998539597838	6.88430660085161
BA2139	7.28622892412638	6.85394237356265
BA2251	6.17773554711095	6.02737188880326
BA2952	7.21378004978512	7.62205873798526
BA2440	5.27576605306409	6.42479012495369
BA2036	6.68593691853273	7.30676049708217
BA2828	6.34322095252985	6.08148760261427
BA2292	5.09390910729551	7.34837532536667
BA2410	4.9819516092596	5.98054442725547
BA2051	4.798374704262	5.32198845078755
BA2532	5.86821930876448	5.70335455446958
BA2986	6.7892246921242	7.12738803665014
BA2494	3.75076608161682	5.72754939375197
BA2515	4.05242084925905	6.00134650129498
BA2748	6.45455803457724	7.36816809987369
BA2970	4.23547754378357	6.29268793995786
BA2622	5.88961440143981	6.44517490297706
BA2839	5.32846021235263	5.37601760770264
BA2052	4.36867112545861	5.98054442725547
BA3011	4.83233699169056	5.58529928737232
BA2868	6.88867708372879	6.03024497150621
BA2510	4.67922683289374	6.01912446509313
BA2065	6.91069984449294	7.09779989974783
BA2691	6.43193622663115	6.31632447129761
BA2374	7.58991392876001	7.93352218493006
BA2804	5.2695794873648	7.40804987020109
BA2670	4.93263432505861	5.58529928737232
BA2675	7.41008797800013	6.75309739437635
BA2589	3.43461282312155	5.17241204196236
BA2031	6.82612058067876	7.72809482559201
BA2198	6.5550219238791	7.08148396341999
BA2066	6.1842076331656	7.84734534450722
BA2344	5.95439094102815	7.20973552997534
BA2459	5.73516831539579	6.15651021097325
BA2229	4.10073895515048	5.68416732949988
BA2559	5.07408997846094	6.38837422038712
BA2093	5.34151860321391	6.59203093136997
BA2000	7.95765939482996	8.37409825216549
BA2425	4.80920574953976	7.19312453230448
BA2905	3.14612847066654	5.48539345466374
BA2304	7.6112304020112	7.33529770605395
BA2976	6.03067265261494	6.8194770973329
BA2386	4.25981249131916	5.69028030333394
BA2035	5.46628439479905	6.5150208040986
BA2760	5.35302745757832	6.10277314052035
BA2201	7.15481965297646	7.166329054571
BA2355	2.57374882661096	5.94059984274879
BA2113	6.24956354515351	8.50529098735433
BA2155	4.31592922692549	6.38261014012489
BA2955	6.58727608652663	7.05721925341645
BA2502	6.82247572050957	7.40200052886874
BA2322	5.6147813580075	7.30496309649231
BA2376	6.97110220501606	6.63486341869675
BA2020	5.92833030401015	7.64778904816974
BA2226	6.57772759538865	7.31937809888862
BA2200	6.44374763893835	7.04133576078419
BA2121	5.63513768849615	7.34277993266588
BA2944	4.64167507429005	6.73692509275104
BA2033	5.27249782330272	5.96505632745959
BA2867	3.686686945389	5.96987848742324
BA2089	6.66232694076894	7.30225620212896
BA2224	4.84073982458941	6.68593691853273
BA2046	4.41752853740495	5.65751126924784
BA2972	5.58233779466511	6.52375465899181
BA2978	5.90476239808708	7.3212161814573
BA2829	6.5851771545889	6.41465436154636
BA2851	6.52531304614774	7.07626127790368
BA2587	6.46680230521735	7.27555120012057
BA2461	4.97525881373139	6.66730094916762
BA2695	4.76744564892536	5.80106125250132
BA2623	5.17806224044823	6.92959860586943
BA2024	5.21467303087656	6.50054440194885
BA2426	5.06916581711999	6.72876764999848
BA2271	5.61291824722341	6.77720928573593
BA3004	5.9059700222253	6.90423057855148
BA2579	5.11604418341834	6.47866220517702
BA3010	5.43991302011835	6.83087293035871
BA2662	6.72757025712009	8.29820901257083
BA2674	4.64236314712384	6.29091935991155
BA2280	6.60421812247539	6.98419090856441
BA2512	7.07626127790368	7.29162764738793
BA2658	6.0515207109664	6.51105136156458
BA2394	6.19874995357892	6.02778423402097
BA2950	5.51054741525892	6.64862107605335
BA2981	4.82920315142492	6.75887216800442
BA2934	3.15379592329678	5.92917652580144
BA2539	5.69683059962592	6.95150045701844
BA2249	7.28989199463087	6.71723697861596
BA2034	5.90196356256727	6.50002459426286
BA2109	5.04550512990365	6.03322281740518
BA2242	4.49812951936181	5.91282831503143
BA2277	6.49454808629482	6.81203867711984
BA2727	5.04344198379719	6.26972531039322
BA2132	4.47573564141147	6.54307132156237
BA2618	6.51917819512762	6.70309367478267
BA2521	7.60876718089275	7.21378004978512
BA2846	5.10282218386209	6.6322579586067
BA2885	8.3695120975799	7.39540604135448
BA2639	6.32360812377741	7.79956921933088
BA2775	6.51657057172327	6.43590316276273
BA2402	4.97105541814246	6.84098754890722
BA2097	4.20135659440007	5.98386136715206
BA2786	6.43335604753767	8.56601564488201
BA2399	6.07775440645337	6.53092260630466
BA2850	5.43546904513176	5.73663382994184
BA2174	6.13208464272519	7.34370807957505
BA2004	5.26566945651455	6.77360382440632
BA3001	6.34691329698472	6.7513352539061
BA2311	5.8717903577196	6.90940702790402
BA2483	7.05570452227078	7.24647814947882
BA3040	5.54245080282141	7.139939970706
BA2837	5.24035827892386	5.84112154107977
BA2724	5.6643875190661	5.91045865628191
BA2911	6.06121727575126	6.5181383405608
BA2256	6.20314139469901	7.03474280183588
BA2821	6.91793209354363	7.4333053034535
BA2233	4.79452735368346	6.01292615255046
BA2744	6.82008128976274	6.26474966230624
BA2880	5.0883096858926	6.8090279726606
BA2621	4.96162900206024	6.05776567233175
BA3002	7.49042755149826	7.32309525533159
BA2501	5.76686556527581	6.59468087653905
BA2993	5.56967790109069	5.67695923349879
BA2301	4.86287652588537	6.30510036258626
BA2852	2.47641329200189	4.99811985636614
BA2133	3.1582319317872	5.86977499380276
BA2866	5.37084951659886	6.70639038824238
BA2212	4.78927104224353	6.20964310204874
BA2685	3.97791568550573	6.52531304614774
BA2273	4.97353447958461	6.10105446354612
BA2477	6.59734342436169	7.67359575985668
BA2659	5.69757983119209	6.80239867331755
BA2124	4.78927104224353	6.42718608083043
BA2363	6.58673582096521	6.20613451857404
BA2369	4.24276500476702	5.92353940158255
BA2534	6.43983576769468	6.29503336143835
BA2400	6.50804753914762	7.22867709025789
BA2762	5.08403773679609	6.37975842200095
BA2312	5.91835525147628	6.1419268433851
BA2813	5.85936501205287	6.06929983181706
BA2211	6.53298741802549	7.08297551023298
BA2171	6.05611661620259	7.81249915728454
BA2746	6.80845562026412	7.02911174492955
BA2798	4.18830550628692	6.0072209431505
BA2809	5.03892605141629	6.10621461216555
BA2288	4.70912069685916	5.89603275873882
BA2801	4.6961161698671	6.21976021821158
BA3030	6.26927993913723	7.3370513303313
BA2588	5.36902005012398	6.23885515750168
BA2296	6.11380852099068	6.90226857503049
BA2300	6.53199378857673	7.384595872256
BA2903	4.16090429067131	5.35378122072143
BA2473	4.30837790148871	7.43138197639579
BA2545	6.06036727608855	7.00355473079372
BA2840	5.51015899119849	6.5808607051832
BA2528	5.79603390583248	6.75887216800442
BA2646	5.43474590254893	6.39689952753953
BA3407	3.81612780124423	6.55815560889788
BA2240	7.58879646153396	7.05721925341645
BA2926	6.29737759041703	7.10851364264035
BA2272	7.51732737025111	6.41753927442656
BA2306	5.95520312741494	6.62413100331839
BA2765	6.76656262392125	6.80545390529169
BA2904	6.22067774239525	6.74898905678908
BA2883	3.93840673561022	5.65372634921578
BA2726	8.89122942781574	6.83214250556656
BA2234	6.97176870633362	8.20818067427413
BA2022	6.70701242644057	7.3014086607396
BA2228	3.49799064045743	6.89511146582289
BA2037	6.27917243235478	6.66943948787905
BA2184	6.13418245991914	7.00991256129177
BA3009	5.36619555084966	7.12664090320603
BA2842	4.61468245344628	5.4113491881704
BA2442	7.79521409988635	6.57195133441217
BA2882	6.1556592421586	6.39453514704598
BA2758	5.82658327453077	6.11380852099068
BA2705	5.31976332499236	4.69364567233787
BA2663	4.59368397646332	6.07014345963385
BA2570	5.17593956338375	5.93038956442244
BA2764	4.81656126290881	5.97440821051446
BA2209	3.07362208775687	5.17629556050641
BA2989	3.71113954261245	5.85300580466056
BA2855	3.55318791593181	5.62868512576849
BA2261	4.47248648313274	6.57195133441217
BA2721	5.89765135115317	6.9401836518602
BA2930	6.7928687930301	6.51205995717627
BA2728	5.97772537420238	7.4363086679988
BA2715	2.69222768564293	6.24912819394912
BA2469	5.04768274106503	5.1670870054947
BA2269	4.44772389189131	5.10142924510394
BA2098	6.97450183109637	7.08148396341999
BA2778	7.01613705435711	6.94881589861991
BA2951	5.24328117345542	6.74097656792209
BA2163	5.11328125236518	6.59838838471777
BA2379	4.17369897600356	5.09007782361131
BA2817	3.22116841470907	5.80891216118178
BA3153	4.27041928872006	4.79136581218229
BA2820	7.11889170682512	6.6322579586067
BA2723	3.55417797609775	5.5268548517384
BA2704	5.97361430412984	7.74132890165977
BA2088	3.90594846339568	6.97926113627939
BA2116	3.45550886376031	6.00173500696481
BA2584	5.72791281354614	6.55336509971083
BA3079	5.57561187049385	5.91595003127845
BA2417	6.31720357778214	6.21584775215817
BA2361	4.20061838096406	6.53596454454956
BA2450	7.08974258985974	6.40785243829132
BA2492	6.50152491798344	5.82076176816399
BA2552	5.03783692041918	6.35211013226828
BA2472	4.06768255183074	5.94221717949707
BA2994	5.68192875741287	6.46824522688611
BA2047	7.53093612416627	7.2808607611199
BA2101	4.13397604746354	5.8301135616909
BA2082	4.30539842621614	5.68039540990515
BA2879	4.31740166637701	5.490635893289
BA2577	6.38217571781426	7.70840071464408
BA2456	5.4921500734543	5.6533576160666
BA2175	4.79347559452987	7.09047728148948
BA2824	7.42202383501609	6.70978091072649
BA2507	4.69788797442376	6.45799676814181
BA2563	6.31632447129761	6.5181383405608
BA2244	6.99175546936536	7.09710413510838
BA2470	4.49704564233128	7.08741196449123
BA2984	4.98548688523347	6.7058515766051
BA2414	6.115497606055	7.27110711454488
BA2697	4.99665147897099	6.32590234144832
BA2079	5.8733548574054	6.25044574056375
BA2999	5.43185845277898	6.86346274491745
BA2644	5.72213373131707	6.40877834877257
BA2011	3.33268141494615	5.31976332499236
BA2217	6.01254264145456	6.98756290986723
BA2454	4.35980493218316	6.80239867331755
BA2776	6.83464418679852	7.878761730409
BA2218	5.90885007986137	5.41354619085544
BA2135	3.53525438523798	6.30887529708536
BA2914	6.58888481686372	7.42090370210596
BA2500	6.13505858445244	7.17999658780694
BA2830	4.69647295762567	6.30510036258626
BA2406	6.52836297577895	6.62952631509886
BA3108	5.43621855884092	7.29687122589928
BA2924	5.90436368867117	5.18127720949108
BA2303	8.27031665707811	7.01847365520979
BA2160	6.00261866586335	6.07305710536308
BA2038	3.20723913331244	6.76065503993724
BA2602	3.27264514939603	5.93941599911207
BA2964	4.15738946871551	6.64807496201704
BA2898	5.92875292821339	7.16953610700443
BA3003	5.7225158734594	7.72127626045477
BA2111	5.82541777312417	7.24904224136933
BA2827	5.56256719374486	7.14998539597838
BA2912	5.17381001168529	7.44041046246091
BA2437	5.57601310486413	7.89563066633541
BA2283	5.93038956442244	7.65393092338473
BA2057	5.50092424285105	7.52533179189238
BA2633	5.57412698420844	7.80094268898657
BA3034	5.77144374108322	7.18235291359456
BA2607	5.81442547259646	7.09568366825665
BA2761	5.71331402808145	7.45053981568106
BA2795	5.86701172235977	7.05570452227078
BA2182	5.75491739673993	7.2509128285615
BA2152	5.98343537244457	7.83554388846121
BA2381	5.73095557356358	7.68013043810275
BA2931	5.57710363902521	7.07025966230358
BA2040	4.35354406259827	6.08069063943415
BA2590	5.57116929470375	6.95085389521077
BA3195	5.02654059802702	5.95848988053113
BA2516	5.99273740349983	6.77605663940291
BA2353	6.57871147435603	6.54307132156237
BA3036	5.5372259675426	6.35670315117225
BA2971	4.859362912485	5.28753823686253
BA3410	4.72146237134338	6.06468755944282
BA3118	5.37928711694374	6.34145730932297
BA3206	6.69750566900229	6.62789754750857
BA3202	4.30578132576709	6.87788091401863
BA3217	6.20920563257666	6.6568137663596
BA3405	6.89968682755392	6.45300101587846
BA3306	4.18905337629139	5.43769371500229
BA3371	4.43026354617328	7.05362684769664
BA3413	6.41603346705047	6.67339810625054
BA3411	6.04775659278267	7.20152351501227
BA3133	6.38171333036269	6.87337102503918
BA3164	8.22445433533228	6.73108967735957
BA3451	7.550843282623	7.07556396699123
BA3286	7.52533179189238	7.79956921933088
BA3212	5.68192875741287	7.24390327644845
BA3103	4.18132017858849	6.09471986603717
BA3271	7.59808663804993	7.58177680428358
BA3152	7.1445927897216	7.08148396341999
BA3095	7.01543819204674	6.43289690445385
BA3192	6.08362235286883	6.4243136710677
BA3251	6.81629782268832	7.42721767032965
BA3362	7.53867754134672	7.55300749734541
BA3400	4.5085935471109	5.41572672514552
BA3135	4.33903266779967	5.76218019652153
BA3408	3.17079334153815	5.86940153677441
BA3187	5.68573255517546	6.49954119512004
BA3098	6.64018393293961	6.76002445528346
BA3435	6.22503632366675	6.41227021268222
BA3261	4.65440830398242	6.73801134139373
BA3203	4.18716058878723	5.28574757840294
BA3174	5.09637288827648	5.56667961076671
BA3317	6.62136909185019	6.59256890621003
BA3299	5.20686512079418	6.37404647308394
BA3221	6.35211013226828	6.43542748974206
BA3347	6.06168577538942	6.62466206493959
BA3235	7.3014086607396	6.54553839134552
BA3126	7.76884228347361	6.58028734101557
BA3380	6.09048118374774	5.6154952630376
BA3089	6.34412105865143	6.15791958321841
BA3109	4.16205900590607	5.04621645682115
BA3114	4.93122023310574	6.22545256194412
BA3418	4.20291883221202	5.03714178615516
BA3245	5.5239080872138	5.90312039371181
BA3085	5.32920195672699	6.00173500696481
BA3128	5.40443670689777	5.38767549004293
BA3423	4.69788797442376	6.30326841219344
BA3173	4.05042304398681	6.46136172333021
BA3171	5.6382097192845	6.18251802139279
BA3277	4.46447835591803	5.58646194769947
BA3210	4.05083600444237	5.89521114196018
BA3157	5.29839304298236	6.79931174111644
BA3433	3.74759218302818	4.99665147897099
BA3322	5.29307989811682	6.67339810625054
BA3374	6.57871147435603	7.11145591609312
BA3450	4.14520169098392	6.3688389446517
BA3167	5.24611528011748	5.89646386290191
BA3269	4.89092474484563	5.3588856376779
BA3110	5.57820476090366	5.68268021308212
BA3156	3.93670563044514	6.17423728477739
BA3226	6.06298925282901	6.94819581980106
BA3421	5.96666513140334	6.17121351437265
BA3232	7.46997411625783	7.52082148621471
BA3289	4.75027858706246	5.3034642652041
BA3430	4.69506440431895	6.50200644713267
BA3145	6.67231936736834	4.76145184642672
BA3399	4.01681712942243	5.22996636193318
BA3449	5.38186716708803	6.76359470107912
BA3384	7.22625304922136	7.66613976188412
BA3427	5.37014622702408	6.23442968340786
BA3163	7.16876088952225	7.42090370210596
BA3158	5.34691482072856	6.63707820351379
BA3436	6.55336509971083	6.92303478434711
BA3154	4.57869564199945	5.94059984274879
BA3162	5.29986206219824	5.60693430911561
BA3352	5.41245018586405	5.77182174756257
BA3084	7.0168789681798	7.33978574457582
BA3149	3.77745737706284	5.52840068494334
BA3169	6.88492067829042	5.98263491560423
BA3180	5.06562997256811	5.43621855884092
BA3255	7.59101188148724	6.37732984108365
BA3438	6.96490245805844	6.62086223855277
BA3345	5.1308809152012	6.20740227072508
BA3403	6.58888481686372	6.49699294257919
BA3431	5.06846235610609	5.16389532747044
BA3181	6.18251802139279	6.57305438035027
BA3341	4.26401053300844	5.54913879758469
BA3191	7.03335772337666	6.41465436154636
BA3197	6.65069612456278	7.04344633578654
BA3448	6.11039522609915	7.31301236291507
BA3453	4.29566916323682	6.655181196516
BA3406	6.78802478417111	5.91282831503143
BA3308	5.38841032189554	6.22945844028102
BA3186	5.59508122551735	6.49699294257919
BA3334	5.57412698420844	6.31068973576453
BA3447	4.84704413896278	5.80891216118178
BA3116	4.66681816964876	6.15397098768236
BA3280	4.55238107332514	5.61064071002875
BA3185	5.04694903743101	5.22210266268897
BA3094	5.38984631837511	6.2787278602742
BA3318	4.06925036801479	6.15101372135618
BA3216	5.32485345914141	5.77965565034493
BA3332	4.59403374647175	7.21134659078952
BA3214	5.05963791860408	4.40728719351658
BA3099	8.19411260375688	7.12738803665014
BA3141	7.05213628356552	7.04775148018528
BA3373	5.9527582231115	6.76656262392125
BA3319	7.31758513982701	6.4930085337883
BA3328	6.1281715906941	6.82673548944024
BA3339	5.13729178336945	6.66119005251722
BA3240	6.14975362813735	6.60634523087502
BA3142	5.68535357501915	5.28293318880112
BA3333	4.93997522367398	5.70032456019922
BA3381	5.92676397459841	7.12040364606583
BA3290	5.51241676925768	6.31720357778214
BA3207	7.40108920011618	6.31022816211408
BA3296	6.14235074085009	6.48560018665895
BA3305	6.63537899034447	5.79404160330192
BA3434	5.42966375134891	6.92898560318184
BA3189	6.19606446047222	6.44710159988793
BA3264	5.72941496772039	6.52375465899181
BA3329	3.66471911557075	6.45552187143232
BA3417	6.30602484819544	6.33046496181519
BA3367	7.20800173217813	6.21976021821158
BA3225	7.56436701911919	6.10190214742508
BA3183	6.31585760088979	6.52938873500607
BA3222	5.45598777768521	6.74097656792209
BA3139	6.87718695252014	7.25976697827341
BA3397	6.86281064555051	6.72238123052722
BA3311	6.8576823032308	6.14373648060673
BA3422	4.32671639588567	5.34118303710199
BA3228	7.08297551023298	6.5466649868085
BA3213	5.72675571340994	6.65958088429919
BA3270	6.41897137635364	6.78550767222755
BA3415	7.06166102601644	8.75695672842528
BA3324	6.60476180009226	6.58201675131977
BA3194	6.51105136156458	6.27380663380772
BA3335	5.39495254612019	5.46037170982955
BA3199	5.73442845067299	7.25440312060941
BA3326	7.94635895319707	6.36600938491696
BA3285	7.26503778677364	7.13198010911185
BA3297	6.59999610931592	6.79931174111644
BA3227	6.39926285688665	7.2808607611199
BA3394	5.98835302463094	6.25091484872834
BA3412	7.46474071975909	7.14221254704718
BA3293	8.19593305491973	6.6892157543699
BA3250	6.9766278154768	7.17999658780694
BA3177	7.22705513643141	7.33339060020607
BA3315	6.21410531502083	7.00355473079372
BA3182	6.6886775034689	6.62466206493959
BA3260	4.21672873374062	5.45930289861008
BA3369	6.66619952778557	6.8090279726606
BA3078	6.76957967246072	6.51205995717627
BA3386	8.12041880838799	7.20386734649371
BA3445	3.60216120874402	5.49981147623839
BA3452	5.47397012091034	5.13692147172974
BA3176	6.39832221441364	7.39829394317713
BA3258	7.09641299880345	7.16299526015693
BA3295	6.95685605328487	6.8614500005054
