	ASXL1	KRAS
BA2000	0.0156650526915408	3.3836971111243868
BA2003	0.0155226431216177	4.014852183319062
BA2004	0.0254913130162346	7.518035805741788
BA2006	0.0561093705497009	1.4759602284637354
BA2011	0.0160922814013101	2.9764702068721984
BA2019	0.0243520364568499	5.160280820392373
BA2020	0.0357448020506978	4.544994361851094
BA2022	0.021646254628311	5.324298133885895
BA2023	0.0109655368840786	1.835144329336911
BA2024	0.0190828823696952	3.245164654062419
BA2025	0.015949871831387	4.368893180026906
BA2031	0.0135289091426943	3.2522855283888856
BA2032	0.0149530048419253	5.730829491703615
BA2033	0.0229279407576189	5.173527870541233
BA2034	0.026060951295927	3.914876856324424
BA2035	0.0195101110794645	3.1099427952431493
BA2036	0.0197949302193107	6.121214630742673
BA2037	0.0299060096838507	4.675090272102132
BA2041	0.0200797493591569	4.757182979338932
BA2044	0.0152378239817715	3.010011912928463
BA2046	0.0294787809740814	4.929163679288072
BA2047	0.0254913130162346	4.291588003374781
BA2050	0.0111079464540017	2.1958664129994023
BA2051	0.0209342067786955	13.932897428776403
BA2052	0.0364568499003133	11.076830685833263
BA2053	0.013101680432925	7.179162326710417
BA2054	0.0126744517231557	1.88397156875176
BA2055	0.0113927655938479	0.5163086932955492
BA2063	0.0438621475363144	11.878742352338724
BA2065	0.0190828823696952	4.709459162983161
BA2066	0.0259185417260039	4.58843490487509
BA2068	0.0156650526915408	1.0796480997351472
BA2069	0.0170891483907718	3.374270053532277
BA2072	0.0111079464540017	3.1008031822093227
BA2079	0.0108231273141555	2.7983494448591
BA2080	0.017373967530618	5.886285419771656
BA2081	0.0139561378524636	2.38418961424661
BA2082	0.0178011962403873	3.4924032820084148
BA2087	0.0099686698946169	3.917030623224554
BA2088	0.0226431216177727	7.004680788752677
BA2089	0.0229279407576189	7.291872349620021
BA2093	0.028909142694389	1.7578389225148163
BA2094	0.0168043292509256	7.903188528932866
BA2095	0.017373967530618	2.454555562270261
BA2096	0.013101680432925	2.1072502216250624
BA2097	0.0350327542010823	9.091340105799269
BA2098	0.0118199943036172	2.230917639934675
BA2100	0.0136713187126174	5.275330529503402
BA2101	0.027485046995158	3.4638826169083035
BA2104	0.0078325263457704	2.996660859475001
BA2106	0.0160922814013101	3.161484912907255
