	ABL1	NPM1
BA2000	0.0146845710165825	528.2932619271585
BA2003	0.0095313626532083	717.8183224076506
BA2004	0.0112418889689978	320.01547932986267
BA2006	0.0060003604902667	9.679478408126416
BA2011	0.0100919250180245	348.4981285240867
BA2019	0.0196629416005767	583.7827086691859
BA2020	0.0263392213410237	1236.507877965909
BA2022	0.0168979812545061	916.0964949426144
BA2023	0.0098017303532804	431.7839587624408
BA2024	0.0110868781542898	372.1842389270018
BA2025	0.0185724585436193	722.395881374441
BA2031	0.0146377072819033	803.0149785649028
BA2032	0.0132462148521989	795.6408037215438
BA2033	0.0081723143475126	257.718883807176
BA2034	0.0197494592645998	810.0015144990998
BA2035	0.0183687815428983	899.358854303508
BA2036	0.0147530641672674	778.587533687972
BA2037	0.0234264599855803	1902.128477513421
BA2041	0.01598774333093	845.8378095871379
BA2044	0.0127793799567411	585.7529247149646
BA2046	0.0203460706560922	1115.1507214086078
BA2047	0.0213968997837058	676.9878108900025
BA2050	0.0107462148521989	742.1408316925888
BA2051	0.0223882480173035	484.6791957324424
BA2052	0.013585075702956	1122.4581187120564
BA2053	0.0078983417447728	856.5360596182228
BA2054	0.0082660418168709	797.1291493537034
BA2055	0.0044250180245133	43.55371897587268
BA2063	0.033361571737563	583.6395872324669
BA2065	0.0192790194664744	1202.664762511015
BA2066	0.0210976928622927	819.6683643642182
BA2068	0.0152397260273972	590.7969803002536
BA2069	0.0120782263878875	668.3880927899144
BA2072	0.0101243691420331	443.6027357455251
BA2079	0.0053911319394376	148.52736696454153
BA2080	0.0201568132660418	828.9284153651536
BA2081	0.012382840663302	596.8647857517421
BA2082	0.0226405912040374	1003.8557661222746
BA2087	0.0131452775775054	645.4585078280003
BA2088	0.016995313626532	647.6525682652436
BA2089	0.0200973323720259	803.116732804619
BA2093	0.0109012256669069	717.9466283105468
BA2094	0.0125342465753424	773.6307073311818
BA2095	0.0175198269646719	742.4000933575526
BA2096	0.0067429704397981	843.435358552685
BA2097	0.0227577505407354	1869.086592927769
BA2098	0.012664023071377	446.6952569238338
BA2100	0.0066240086517664	459.57170926115145
BA2101	0.0096467195385724	480.9915091065376
BA2104	0.0069358327325162	158.38864555593398
BA2106	0.0121449170872386	1086.0029372840947
BA2109	0.0096160778658976	352.7594132324559
BA2110	0.005677721701514	227.9689532482417
BA2113	0.0232191780821917	618.1909565783855
BA2116	0.0132804614275414	203.9687913848749
BA2121	0.0142231434751261	828.9494792055228
BA2122	0.0042213410237923	309.0625568800445
BA2123	0.0203028118240807	1943.4570022489283
BA2124	0.0179434030281182	1305.25779886148
BA2125	0.0150955299206921	406.9357044659607
BA2132	0.0178821196827685	578.9355872081394
BA2133	0.0063211968276856	284.94185090038224
BA2134	0.0074351117519826	393.43453986171255
BA2135	0.0098558038932948	1084.5087100504388
BA2139	0.0064852198990627	173.6594297885683
BA2143	0.0127180966113914	307.1844443903837
BA2148	0.0149242970439798	255.3043494272261
BA2153	0.0082390050468637	1331.0218556577304
BA2155	0.012382840663302	621.3355935278439
BA2156	0.0208399423215573	1073.0524097266143
BA2162	0.0132804614275414	777.1502831973705
BA2163	0.0161968276856524	222.89718635289796
BA2168	0.0087941600576784	600.1522459008418
BA2169	0.0112076423936553	515.3014576082433
BA2171	0.0253118240807498	1060.0132072311694
BA2172	0.0166528478731074	1285.5666526108653
BA2174	0.0147224224945926	695.0197814809409
BA2175	0.019388968997837	259.9379581461479
BA2184	0.046326604181687	2459.967100585478
BA2195	0.0100342465753424	669.5415256707589
