	NRAS	RAD21
BA2000	5.043675734302264	9.381081344897805
BA2003	10.560686431397826	10.804738111151956
BA2004	4.441235364145998	13.335979114927524
BA2006	6.575705504189619	2.270388898058533
BA2011	6.488344675152857	4.533384234237969
BA2019	7.803800858255831	12.845973706067053
BA2020	10.709729421914986	10.474535979065164
BA2022	8.019621620352721	8.710936477994075
BA2023	4.375188854380848	10.766220668380647
BA2024	5.175163513879563	6.96521768918246
BA2025	6.074731218320892	10.505514139483594
BA2031	4.219114009776729	8.497243158696646
BA2032	8.583705251658827	6.366887987848954
BA2033	21.634045078260016	10.68218662349429
BA2034	9.198614997934929	6.3724050702506645
BA2035	6.8581726405028185	9.09435826239406
BA2036	5.895456678640012	11.528528001706562
BA2037	8.474187163433587	12.161082044759937
BA2041	10.108074498986811	15.208390411040217
BA2044	4.7535644907408665	11.425941509678632
BA2046	9.160481901497343	6.153405994615816
BA2047	7.613271283589593	7.212823003588878
BA2050	4.103686476329206	7.305722580287018
BA2051	20.82227021965971	10.076275553605024
BA2052	8.803722359895055	13.286222314454694
BA2053	9.031640140409914	7.685499593258364
BA2054	3.633549237992189	11.47302251367756
BA2055	1.6282099596913011	0.8900090654720321
BA2063	5.453141679979542	10.446657944155708
BA2065	7.008120709963036	11.84997670061323
BA2066	10.10974543956892	8.783252326731535
BA2068	6.301531117480288	8.054864759728023
BA2069	5.418720571825874	11.861180142963963
BA2072	3.975963751875416	5.724137968839168
BA2079	3.637880412457246	5.054760892054986
BA2080	10.09782677520544	10.124380642568726
BA2081	4.296904604494646	4.620438733254882
BA2082	11.946301068824308	8.105587557245181
BA2087	9.334338474733304	6.064210598186296
BA2088	13.1502236881413	11.119498790097158
BA2089	13.279025182733749	13.153433288445951
BA2093	3.900351353768402	13.89440940587197
BA2094	9.744641884173047	14.301152628574505
BA2095	6.152794819771235	9.161177992328549
BA2096	6.715911213656165	9.584242645222831
BA2097	13.917958079878336	16.873178231003937
BA2098	10.387971166225924	6.2107357582394345
BA2100	4.6475452234853565	6.090356050041996
BA2101	6.084070489319454	6.636690901812592
BA2104	5.135247990444217	5.107654904717963
BA2106	10.134436245830772	5.7185547695433705
BA2109	7.168784406456207	7.887808449114563
BA2110	3.345155971053532	4.875980173627301
BA2113	7.355297822797085	9.1025554010968
BA2116	11.5696457912037	17.398189447644924
BA2121	8.496779176483521	5.12776073278341
BA2122	4.026122374469674	11.690318294638107
BA2123	14.704105196105951	17.55701446978709
BA2124	5.235737433920034	12.868529500425566
BA2125	6.58007623618558	12.876343621232197
BA2132	7.287418557176935	9.340554458045636
BA2133	5.569103779560801	6.955488449442417
BA2134	3.1951470189520976	6.682310630032674
BA2135	10.07866878646148	6.849923340263783
BA2139	3.987310125081623	6.787244348233263
BA2143	11.295737558973652	13.400617340713
BA2148	7.237628309278444	5.204481045400393
BA2153	7.725737990865466	9.114530887927913
BA2155	4.1905827771309205	5.233148408171361
BA2156	4.879492323703967	8.392648810880598
BA2162	4.131192099621418	9.1097160557551
BA2163	7.40084545361058	14.314580633635316
BA2168	5.304324475960764	6.647345389277667
BA2169	8.809693564752845	8.745864067224826
BA2171	7.35983570213583	10.679439120860676
BA2172	7.799454036850744	13.50883390157314
BA2174	5.846511858146845	12.234477537030015
BA2175	12.59926604192168	21.02068584637091
BA2184	14.021418300866742	18.03765970365849
BA2195	8.728201249493587	9.349963706871057
BA2198	6.621456516309619	10.951500923300072
BA2200	7.825270796632329	8.66317838616753
BA2201	3.210905042782101	5.432057146746553
BA2209	13.608094661958637	10.51849185881264
BA2211	6.499249306980105	9.646568993096242
BA2212	8.737816618242173	12.173442452420591
BA2217	5.215639002629361	4.573645652451456
BA2218	9.040140075502665	4.492958654425742
BA2220	6.568462036017965	11.27168233076358
BA2221	6.168651920425615	9.893553288678971
BA2224	5.262801542565956	9.397529949966035
BA2226	13.813418165213225	10.908716981211048
BA2227	14.655231252770625	8.563166687493254
BA2228	13.848825906875648	13.65711061030867
BA2229	10.823771025224463	10.125749233382871
BA2233	8.992461331969217	6.323547682627363
BA2234	7.927532448144326	11.823723239347228
BA2235	5.807526607623976	8.606492986201966
BA2236	5.421816667461279	7.780395565488438
BA2239	3.623346886499976	6.552249451867215
BA2240	12.666749870098409	11.228756861285458
BA2242	6.392837846825661	9.596092148295025
BA2244	5.764306175984613	5.341309648977824
BA2245	6.29602671469508	9.699043191258031
BA2248	6.139345604158139	5.445572536474128
BA2249	8.565036261731409	6.731132320283495
BA2251	9.824081940256818	11.377710091638932
BA2256	9.382877083579444	9.18485529321266
BA2260	5.080990281668714	8.648831228976123
BA2261	4.797652161882078	13.913285434019771
