	IDH1	FLT3
BA2392	5.74395799798389	8.40429460371975
BA2611	5.75871811902643	8.45453034732936
BA2506	5.75871811902643	8.3926007250059
BA2430	5.80931856446972	8.40194775982719
BA2448	5.79121445090041	8.40429460371975
BA2730	5.8227080060065	8.44966638628301
BA2845	5.67963455085071	8.29820901257083
BA2326	5.67432622931416	8.29387857030758
BA2341	5.64918681238206	8.28526081080175
BA2612	5.59924503664906	8.31128742473223
BA2973	5.63166253168885	8.27883495411433
BA2390	5.6571193282783	8.27883495411433
BA3218	5.60116902965989	8.30473182450184
BA3105	5.68416732949988	8.31347995218337
BA3402	5.71798453197329	8.33784249776874
BA3276	5.7151540674209	8.29387857030758
BA2409	7.52082148621471	8.8525926437112
BA3037	5.44138513248386	6.50698545533974
BA2496	6.59256890621003	6.65958088429919
BA2172	4.82328175599878	2.5120216939863
BA2865	6.97794904447586	9.61949185438657
BA2923	8.2618544484033	8.42559982560594
BA2751	7.15246698865564	9.48875791800016
BA2480	7.35298985161002	8.14321512557108
BA2286	6.15608719552673	9.18338030789918
BA2922	6.60792383481337	9.2592593958878
BA2452	6.40688318423783	9.9941844593607
BA3379	5.94263228316548	9.83892848550566
BA2887	5.85144934754927	8.24509615455004
BA2712	7.45375064871774	8.65565049707964
BA2068	4.80607814010981	8.38100696139026
BA2236	6.90558799283489	9.04860912314158
BA2104	7.73732673360922	9.13342062895717
BA3124	4.22136650202706	6.07264657026384
BA3395	7.16547841878937	6.54255345963774
BA2921	4.79871964465787	8.83992016748168
BA2449	4.22750729569156	5.80773323921587
BA2003	5.20261254311813	7.73595323737682
BA2360	6.61867340597626	8.43037965011906
BA2802	4.3579546600223	8.34456564828853
BA2235	7.1956195388029	9.4917929010063
BA2858	5.32198845078755	6.42718608083043
BA3038	7.20973552997534	6.73222274372854
BA3006	6.49699294257919	9.27569316532541
BA2245	5.4241733124076	9.29229417829056
BA2667	6.49799553338119	10.040753132835
BA2239	7.14764743423536	9.55927298456459
BA2782	6.64358377452482	7.1956195388029
BA2649	6.23214914518013	8.94424486652991
BA2488	6.35757561884313	8.79328666582968
BA2861	7.03549223810054	6.87718695252014
BA2909	6.34548467937847	7.12505562496802
BA2429	5.11958001435747	7.05570452227078
BA2653	4.90152753707883	-0.687378911865671
BA2134	6.53396722315737	6.92559422045597
BA2947	4.83268199793827	8.7174580058356
BA2032	5.82000063861969	8.68962960513866
BA2162	5.33028268437174	8.89122942781574
BA2564	6.85832315809809	8.08701091285537
BA2597	2.84361014461716	3.19146280756599
BA3243	5.4843036495526	9.75851596885508
BA2106	5.19270680337974	10.1170993958946
BA2427	3.18975730461156	7.550843282623
BA2841	3.95599802451469	5.61255399082521
BA2446	6.55661288461065	8.64171611871059
BA2645	4.05123232495892	5.43474590254893
BA2525	3.65728472785622	3.80426788372329
BA2876	3.20185478187358	3.5928295499371
BA2357	3.69392175101973	8.1981158996604
BA2546	7.33073792117204	7.13359161213086
BA2742	9.09600320401444	8.91420804405317
BA2316	9.05942450247106	8.79328666582968
BA2421	5.60042800463674	8.57659398663682
BA2087	4.8688411127684	9.3884596253967
BA2910	6.13375733254388	8.2874098816496
BA2148	4.42623541625347	5.78615399709568
BA2063	2.864896220199	1.69252928638777
BA2329	6.84399982384708	6.6892157543699
BA3178	6.28908084563445	10.0818938676199
BA2072	6.78074983432615	7.2925108116234
BA3029	5.19342572013905	7.6160759273921
BA2733	4.2236378258506	7.77161485169371
BA2995	4.54341837856977	10.0007468429699
BA2069	6.95150045701844	9.2592593958878
BA2100	5.17381001168529	6.78739149461742
BA2681	5.34829013725005	7.09568366825665
BA2248	5.78304332339911	8.69824500910271
BA2832	5.24140893715519	8.72438748273975
BA2308	5.41063794413204	9.4270458724936
BA2413	5.39458251066191	9.47302564786274
BA2701	5.81524050486287	8.18416035809344
BA2634	4.90500171115938	8.98173476670244
BA2677	6.37500681410956	7.55633666761795
BA2937	6.43542748974206	7.14998539597838
BA2600	5.22500574588553	9.01306871894599
BA2019	5.31326361994662	2.34653747220844
BA2412	6.05611661620259	6.0582244402994
BA2334	5.71913182250031	8.56865303112435
BA2050	6.1842076331656	8.60608533344799
BA3230	5.34936654533728	7.54295367203655
BA2953	4.87201227243281	8.39493145233583
BA2481	4.1174274886939	6.25179190765508
BA2731	6.19120375825818	7.98067391429632
BA2294	5.51205399141146	8.89449191470128
BA2418	5.86536301251181	9.27569316532541
BA2816	4.97525881373139	8.97142354261209
BA2656	4.6932849776624	8.08153228980509
BA2814	7.64895583047878	9.25517667754352
BA2631	6.47620808782314	9.22687989289351
BA2023	7.42928783450574	8.37180321609369
BA2375	5.84864920436747	8.3972661940189
BA2485	6.60051001058414	9.87029536698913
BA2455	6.61484329859941	9.95541459791256
BA2025	6.18727628290146	8.8879736022598
BA2636	2.95707573664305	7.24301197621157
BA2325	7.31937809888862	7.88342196520891
BA2169	4.2685172238636	6.55285609284704
BA2156	6.53347844553203	8.70690950167434
BA2511	3.63778681479032	4.75484190831669
BA2939	5.88920214405522	10.3575120670964
BA2168	6.03566200297907	9.39118419839355
BA2505	4.82328175599878	9.27156918109996
BA2860	5.15668163101419	5.64993072157884
BA2707	5.24611528011748	10.2282709856871
BA2871	5.56596083132182	9.17171491689544
BA2655	4.94485331976651	5.94221717949707
BA2227	4.77735183811143	9.90525526471174
BA2125	6.43000064848533	6.44756726036546
BA2523	6.26118056372206	9.44987135785787
BA2603	6.25896920678185	8.60608533344799
