	IDH1	FLT3
BA2808	5.30025672574144	8.67537853618004
BA2282	5.83716487793583	3.56095107813401
BA2482	6.93954050250455	7.80956394588893
BA2812	5.82934773365488	6.75946045637828
BA2822	7.20386734649371	8.42690176653796
BA2594	6.94945791531145	9.56915130536806
BA2747	5.23068767781653	9.16398396797258
BA2561	7.35863482899504	9.87474271994728
BA2567	3.40936163024976	2.50793166232776
BA2906	6.56583781452914	10.7149459001776
BA2956	4.93680420181051	8.44966638628301
BA2474	6.41993290039897	9.12586826213153
BA2737	7.00490622738367	11.5238128563748
BA2110	6.60579006500373	8.15671254170946
BA2992	5.29873886453286	7.48695721637732
BA2220	5.88005273032646	4.48295485202788
BA2772	4.20752353675978	8.89122942781574
BA2935	5.76293182295601	8.45209623715645
BA2260	6.30695343234241	8.34007975821985
BA2676	6.47376016789819	6.3078817611491
BA2948	4.45829690708788	5.20013137153335
BA2524	4.71338041148762	7.95765939482996
BA2811	5.95983280142242	8.89122942781574
BA2540	5.10108468850577	10.332335723606
BA2928	6.62899851308068	9.62975620855742
BA2302	4.35980493218316	8.86857724833819
BA2595	4.7899749730526	8.59260663428802
BA2792	5.62043017440298	7.49672370749375
BA2651	4.51902825678144	8.71853926395486
BA2619	6.57921927462639	8.08701091285537
BA3013	6.23486418682469	8.2618544484033
BA2405	4.63387310843381	8.96800104667789
BA2735	6.01046707595227	9.10341841676742
BA2856	4.64521147205465	5.75302384911337
BA2377	4.72354417544082	7.92215119859177
BA2499	3.58175052756526	7.49358396361658
BA2463	7.01129464656936	9.85235783310065
BA3023	3.85081185407147	7.31397253852267
BA2095	6.09645228197541	8.80867768640892
BA2901	5.0241682886734	7.36623727973933
BA2275	6.14149524736616	6.23576326993081
BA2387	6.07906325231323	9.20300948929151
BA2962	7.45670028367566	9.91143332054624
BA2195	4.08320598972476	6.65130744059523
BA2688	3.23858596558685	5.68948586565832
BA2787	5.66936167999459	7.05061628699762
BA2420	5.91360220597683	10.2913775804187
BA2756	4.39589281624757	8.12418859250955
BA2122	3.22968112507528	3.73646349943155
BA2053	5.25892746258291	7.12590219224429
BA2080	4.29267969728308	8.33560901482561
BA2081	7.18078818168097	8.86857724833819
BA2354	6.26203648745747	9.49346920759786
BA3273	4.10948809536277	8.61703204481685
BA2893	5.61817308697624	9.05220627117217
BA2044	6.28823715765654	9.18338030789918
BA2489	3.22332800972844	5.75528821055756
BA2309	5.45489161608543	4.75484190831669
BA2720	3.85948948082755	4.08116949406361
BA2908	6.09727224274201	9.73952391057151
BA2054	6.44947039282618	7.60989112051761
BA2872	5.47433300541024	5.75528821055756
BA2526	3.54989691248403	8.46922505155083
BA2041	3.74848704611698	6.92898560318184
BA2464	6.04982213026608	8.83048212173684
BA2902	5.08617132532278	8.35358316301659
BA2541	6.29556241973791	7.82406690467398
BA2143	5.1308809152012	6.53889895494815
BA2094	7.53511002571526	10.639379239193
BA2769	4.72632902528561	8.12986534537924
BA2843	4.576912820314	9.31328611186612
BA2592	4.04795438154792	7.58177680428358
BA2497	7.27462693268534	7.52879493976561
BA2718	6.75597489483719	7.574849932275
BA2575	7.35298985161002	7.10851364264035
BA2096	5.90476239808708	7.74666982029682
BA2593	7.86375133258917	8.19393590095693
BA2791	3.89144729146833	8.4424022836884
BA2620	7.07695814218809	8.84307877151568
BA2629	6.1725191860544	10.7038723777592
BA2870	7.69160326863138	10.8192493812712
BA2423	5.07164095305392	7.02415111976065
BA2682	5.90076617867574	9.37793858616158
BA2276	4.91022290966011	5.93572487152612
BA2348	4.81265842584299	4.97069644629257
BA2709	6.54150806703429	6.77544790931264
BA2789	5.91554817043997	9.79245962144758
BA2694	4.4543011664344	8.6472743085318
BA2538	4.37307759807115	9.13720994130471
BA2583	5.2008194787507	9.9941844593607
BA2415	6.07987511764245	5.00864373238871
BA2722	4.94450171912077	6.4238257457666
BA2806	6.08879387607679	9.08127310626888
BA2221	5.57935496877716	4.06120523744264
BA3025	5.87927912302444	7.04562502354572
BA2514	4.5993645555515	7.75227162313381
BA2520	4.59723676314568	8.1981158996604
BA2441	5.83369852515391	9.33455230246716
BA2153	4.98513676810276	9.89297540900361
BA2479	2.61422648503115	5.8733548574054
BA2281	5.98958134739074	8.8525926437112
BA2657	6.58623483162294	5.86861161809713
BA2932	7.48594354331146	10.061177091926
BA2123	4.52334899104318	6.10872354813756
BA2844	5.43657703696705	7.07486831392374
BA2660	6.80545390529169	8.61423212805534
BA2836	4.62427313618414	9.38234175781362
BA3027	4.19644815920318	3.93384904957346
BA2714	7.14998539597838	9.4045391740165
BA2139	7.28622892412638	8.12230223339654
BA2251	6.17773554711095	6.48364202900439
BA2952	7.21378004978512	9.4917929010063
BA2440	5.27576605306409	6.23442968340786
BA2036	6.68593691853273	10.0007468429699
BA2828	6.34322095252985	7.5932544466496
BA2292	5.09390910729551	2.71814995189887
BA2410	4.9819516092596	9.1410080593907
BA2051	4.798374704262	6.28007937385132
BA2532	5.86821930876448	7.15158559200513
BA2986	6.7892246921242	9.93012293296997
BA2494	3.75076608161682	1.62077265501119
BA2515	4.05242084925905	6.30650779394135
BA2748	6.45455803457724	6.71554173603585
BA2970	4.23547754378357	6.56119717042577
BA2622	5.88961440143981	8.25135474465914
BA2839	5.32846021235263	6.91793209354363
BA2052	4.36867112545861	9.67150060698144
BA3011	4.83233699169056	7.01472936087095
BA2868	6.88867708372879	7.51191595859432
BA2510	4.67922683289374	7.69790613813162
BA2065	6.91069984449294	9.2389471182711
BA2691	6.43193622663115	7.01613705435711
BA2374	7.58991392876001	8.03197078783115
BA2804	5.2695794873648	5.86575939790696
BA2670	4.93263432505861	7.94936162159169
BA2675	7.41008797800013	9.09600320401444
BA2589	3.43461282312155	7.3370513303313
BA2031	6.82612058067876	9.82717700787936
BA2198	6.5550219238791	9.46372381175102
BA2066	6.1842076331656	9.88079564639631
BA2344	5.95439094102815	8.48158973981744
BA2459	5.73516831539579	7.58290428004672
BA2229	4.10073895515048	4.60792606754863
BA2559	5.07408997846094	7.21956573793108
BA2093	5.34151860321391	9.00955709168753
BA2000	7.95765939482996	8.65006116973985
BA2425	4.80920574953976	4.04111103630614
BA2905	3.14612847066654	8.01121552663761
BA2304	7.6112304020112	5.09390910729551
BA2976	6.03067265261494	6.88932432366148
BA2386	4.25981249131916	10.040753132835
BA2035	5.46628439479905	7.76614073791854
BA2760	5.35302745757832	7.45167143306165
BA2201	7.15481965297646	8.94761722776196
BA2355	2.57374882661096	6.16391479568772
BA2113	6.24956354515351	8.38007775591671
BA2155	4.31592922692549	5.46663574912202
BA2955	6.58727608652663	8.61423212805534
BA2502	6.82247572050957	9.62461563502098
BA2322	5.6147813580075	7.57131151688563
BA2376	6.97110220501606	6.56326897910348
BA2020	5.92833030401015	8.60067902691643
BA2226	6.57772759538865	7.88494695067266
BA2200	6.44374763893835	8.42559982560594
BA2121	5.63513768849615	8.09804401257278
BA2944	4.64167507429005	8.48407580140491
BA2033	5.27249782330272	6.6628728137431
BA2867	3.686686945389	7.04988485075939
BA2089	6.66232694076894	8.24301678047805
BA2224	4.84073982458941	6.09007059138125
BA2046	4.41752853740495	6.93764309063722
BA2972	5.58233779466511	7.72941398094
BA2978	5.90476239808708	8.03884116383771
BA2829	6.5851771545889	8.73910632748104
BA2851	6.52531304614774	9.1410080593907
BA2587	6.46680230521735	8.53473617000875
BA2461	4.97525881373139	5.10001075384759
BA2695	4.76744564892536	6.97592290315855
BA2623	5.17806224044823	8.15090969693391
BA2024	5.21467303087656	6.91854859965898
BA2426	5.06916581711999	7.57003408038875
BA2271	5.61291824722341	7.43037850226792
BA3004	5.9059700222253	8.87824586229709
BA2579	5.11604418341834	6.7240814115045
BA3010	5.43991302011835	7.82406690467398
BA2662	6.72757025712009	8.07064998624987
BA2674	4.64236314712384	9.7418222227506
BA2280	6.60421812247539	8.99906762077278
BA2512	7.07626127790368	7.84734534450722
BA2658	6.0515207109664	8.26607857536642
BA2394	6.19874995357892	9.10341841676742
BA2950	5.51054741525892	9.04860912314158
BA2981	4.82920315142492	6.3314194986068
BA2934	3.15379592329678	2.71506286109277
BA2539	5.69683059962592	5.35709573192361
BA2249	7.28989199463087	9.50601427714714
BA2034	5.90196356256727	9.98270084399411
BA2109	5.04550512990365	5.79524607347208
BA2242	4.49812951936181	9.88687313292775
BA2277	6.49454808629482	10.332335723606
BA2727	5.04344198379719	9.50601427714714
BA2132	4.47573564141147	7.51527675972318
BA2618	6.51917819512762	7.62437772428186
BA2521	7.60876718089275	9.16398396797258
BA2846	5.10282218386209	10.2205801589611
BA2885	8.3695120975799	9.50125973784097
BA2639	6.32360812377741	7.878761730409
BA2775	6.51657057172327	7.90342171341614
BA2402	4.97105541814246	8.13176351189552
BA2097	4.20135659440007	9.02364943472175
BA2786	6.43335604753767	6.36086030376613
BA2399	6.07775440645337	9.96180572661262
BA2850	5.43546904513176	9.0271917203024
BA2174	6.13208464272519	8.48656626341456
BA2004	5.26566945651455	7.10851364264035
BA3001	6.34691329698472	10.0272952150123
BA2311	5.8717903577196	7.07180826529373
BA2483	7.05570452227078	8.61607464234973
BA3040	5.54245080282141	5.418675896471
BA2837	5.24035827892386	8.88148184246882
BA2724	5.6643875190661	9.36044459889599
BA2911	6.06121727575126	10.061177091926
BA2256	6.20314139469901	8.95099667095566
BA2821	6.91793209354363	10.1605247834958
BA2233	4.79452735368346	9.73079295605488
BA2744	6.82008128976274	8.44724078411408
BA2880	5.0883096858926	4.510389059264
BA2621	4.96162900206024	6.06801263248952
BA3002	7.49042755149826	9.27330009217111
BA2501	5.76686556527581	8.91090509269608
BA2993	5.56967790109069	8.8525926437112
BA2301	4.86287652588537	7.8210975174081
BA2852	2.47641329200189	5.52097220276146
BA2133	3.1582319317872	3.80561258862819
BA2866	5.37084951659886	7.22543117773692
BA2212	4.78927104224353	8.90103696609653
BA2685	3.97791568550573	6.60526101233573
BA2273	4.97353447958461	9.03429954865997
BA2477	6.59734342436169	9.64527993925034
BA2659	5.69757983119209	7.1956195388029
BA2124	4.78927104224353	9.47937675072972
BA2363	6.58673582096521	8.52445890903765
BA2369	4.24276500476702	8.6697155276332
BA2534	6.43983576769468	9.3735473533766
BA2400	6.50804753914762	9.57411368730524
BA2762	5.08403773679609	9.54945587390153
BA2312	5.91835525147628	10.1099887487995
BA2813	5.85936501205287	9.38675693832204
BA2211	6.53298741802549	8.62975229101475
BA2171	6.05611661620259	9.54457000922792
BA2746	6.80845562026412	8.24509615455004
BA2798	4.18830550628692	7.37967634115988
BA2809	5.03892605141629	10.0139606390354
BA2288	4.70912069685916	8.05115312612603
BA2801	4.6961161698671	6.68646890696546
BA3030	6.26927993913723	7.44839655086442
BA2588	5.36902005012398	8.63341745058943
BA2296	6.11380852099068	7.52987979374564
BA2300	6.53199378857673	8.1336646480907
BA2903	4.16090429067131	5.56777378042055
BA2473	4.30837790148871	5.69876878834828
BA2545	6.06036727608855	5.16497113004583
BA2840	5.51015899119849	0.732935262992316
BA2528	5.79603390583248	8.30909856685695
BA2646	5.43474590254893	8.43998936441936
BA3407	3.81612780124423	4.35648958622004
BA2240	7.58879646153396	8.31787605128572
BA2926	6.29737759041703	8.80867768640892
BA2272	7.51732737025111	9.33455230246716
BA2306	5.95520312741494	9.70896839270888
BA2765	6.76656262392125	7.18154554634955
BA2904	6.22067774239525	8.15671254170946
BA2883	3.93840673561022	6.94358580230343
BA2726	8.89122942781574	8.84307877151568
BA2234	6.97176870633362	9.69817061599593
BA2022	6.70701242644057	9.18338030789918
BA2228	3.49799064045743	4.49849748067558
BA2037	6.27917243235478	9.2109276242084
BA2184	6.13418245991914	8.33337930026134
BA3009	5.36619555084966	8.43998936441936
BA2842	4.61468245344628	4.87624040809935
BA2442	7.79521409988635	9.65571538111022
BA2882	6.1556592421586	6.83919348466817
BA2758	5.82658327453077	5.59174174629251
BA2705	5.31976332499236	7.05292631391108
BA2663	4.59368397646332	5.66127358464685
BA2570	5.17593956338375	7.48382605156173
BA2764	4.81656126290881	3.01810452808214
BA2209	3.07362208775687	9.55435683089665
BA2989	3.71113954261245	7.46260985261637
BA2855	3.55318791593181	3.40020939469318
BA2261	4.47248648313274	6.16609369248211
BA2721	5.89765135115317	8.39027400222105
BA2930	6.7928687930301	7.56206988956539
BA2728	5.97772537420238	6.7513352539061
BA2715	2.69222768564293	4.81025360122033
BA2469	5.04768274106503	4.24541957876823
BA2269	4.44772389189131	2.92135532112461
BA2098	6.97450183109637	7.89563066633541
BA2778	7.01613705435711	6.16434498353066
BA2951	5.24328117345542	8.40194775982719
BA2163	5.11328125236518	7.74666982029682
BA2379	4.17369897600356	1.67574340958225
BA2817	3.22116841470907	9.54789329963925
BA3153	4.27041928872006	5.23928838607356
BA2820	7.11889170682512	9.8155160837716
BA2723	3.55417797609775	6.8614500005054
BA2704	5.97361430412984	9.60929418124753
BA2088	3.90594846339568	4.70031416168302
BA2116	3.45550886376031	5.6144197194819
BA2584	5.72791281354614	9.41800548205558
BA3079	5.57561187049385	8.72438748273975
BA2417	6.31720357778214	9.04501990946176
BA2361	4.20061838096406	5.09602373542166
BA2450	7.08974258985974	7.86375133258917
BA2492	6.50152491798344	7.384595872256
BA2552	5.03783692041918	8.98864564355709
BA2472	4.06768255183074	5.34011007418947
BA2994	5.68192875741287	8.34906675857089
BA2047	7.53093612416627	8.88472441482659
BA2101	4.13397604746354	7.02200264661639
BA2082	4.30539842621614	7.68652733200955
BA2879	4.31740166637701	6.04021038079235
BA2577	6.38217571781426	6.15353258469632
BA2456	5.4921500734543	8.16449260027971
BA2175	4.79347559452987	5.35709573192361
BA2824	7.42202383501609	8.96800104667789
BA2507	4.69788797442376	9.72530780524389
BA2563	6.31632447129761	8.96117775713075
BA2244	6.99175546936536	9.1755941413251
BA2470	4.49704564233128	6.26033254809805
BA2984	4.98548688523347	10.0272952150123
BA2414	6.115497606055	8.94424486652991
BA2697	4.99665147897099	7.41308925427417
BA2079	5.8733548574054	4.0140211348306
BA2999	5.43185845277898	9.91143332054624
BA2644	5.72213373131707	8.67537853618004
BA2011	3.33268141494615	7.63755645913212
BA2217	6.01254264145456	8.3558471237735
BA2454	4.35980493218316	8.15477520582082
BA2776	6.83464418679852	9.4045391740165
BA2218	5.90885007986137	6.39210318114874
BA2135	3.53525438523798	8.44724078411408
BA2914	6.58888481686372	6.4108151402329
BA2500	6.13505858445244	8.27244095196937
BA2830	4.69647295762567	7.7605970351598
BA2406	6.52836297577895	7.09423229403913
BA3108	5.43621855884092	8.28526081080175
BA2924	5.90436368867117	8.27031665707811
BA2303	8.27031665707811	8.60337970015667
BA2160	6.00261866586335	10.0680496747685
BA2038	3.20723913331244	3.19915451806038
BA2602	3.27264514939603	3.686686945389
BA2964	4.15738946871551	2.89057971156237
BA2898	5.92875292821339	5.72441309220803
BA3003	5.7225158734594	4.8864219540017
BA2111	5.82541777312417	5.57448750435834
BA2827	5.56256719374486	5.84234806468241
BA2912	5.17381001168529	5.28790037249449
BA2437	5.57601310486413	5.66975458997346
BA2283	5.93038956442244	5.1280622240178
BA2057	5.50092424285105	5.19486917662899
BA2633	5.57412698420844	5.45711106423954
BA3034	5.77144374108322	4.63422441968448
BA2607	5.81442547259646	5.08617132532278
BA2761	5.71331402808145	5.43991302011835
BA2795	5.86701172235977	5.70146183160515
BA2182	5.75491739673993	5.54393492602013
BA2152	5.98343537244457	4.8459770442243
BA2381	5.73095557356358	8.46185834013681
BA2931	5.57710363902521	6.20570520203135
BA2040	4.35354406259827	4.04397400975098
BA2590	5.57116929470375	9.2109276242084
BA3195	5.02654059802702	10.1678932710614
BA2516	5.99273740349983	8.4735346762313
BA2353	6.57871147435603	8.52958832512444
BA3036	5.5372259675426	8.68676863894814
BA2971	4.859362912485	6.04359329819671
BA3410	4.72146237134338	9.36916799017741
BA3118	5.37928711694374	6.83535757136623
BA3206	6.69750566900229	8.45453034732936
BA3202	4.30578132576709	5.22280034919153
BA3217	6.20920563257666	10.5880026699568
BA3405	6.89968682755392	7.76884228347361
BA3306	4.18905337629139	6.59041781660964
BA3371	4.43026354617328	5.35155520786327
BA3413	6.41603346705047	7.60280427832536
BA3411	6.04775659278267	5.78933652729381
BA3133	6.38171333036269	7.38159192503731
BA3164	8.22445433533228	9.27982760161886
BA3451	7.550843282623	7.91426996698012
BA3286	7.52533179189238	8.86536741111737
BA3212	5.68192875741287	0.482015845548193
BA3103	4.18132017858849	6.92369940347749
BA3271	7.59808663804993	9.73629770852437
BA3152	7.1445927897216	8.24301678047805
BA3095	7.01543819204674	9.12210512882866
BA3192	6.08362235286883	8.36494157515656
BA3251	6.81629782268832	8.57129520837751
BA3362	7.53867754134672	10.4284775273914
BA3400	4.5085935471109	7.92364245319313
BA3135	4.33903266779967	9.6874475749889
BA3408	3.17079334153815	4.93052250433244
BA3187	5.68573255517546	6.63655252284443
BA3098	6.64018393293961	9.21490111990201
BA3435	6.22503632366675	9.50125973784097
BA3261	4.65440830398242	7.76884228347361
BA3203	4.18716058878723	7.72809482559201
BA3174	5.09637288827648	6.85271739062875
BA3317	6.62136909185019	9.66095938066438
BA3299	5.20686512079418	7.97230357086309
BA3221	6.35211013226828	4.6132752340943
BA3347	6.06168577538942	7.18474506245045
BA3235	7.3014086607396	9.29647098090766
BA3126	7.76884228347361	9.54457000922792
BA3380	6.09048118374774	9.21490111990201
BA3089	6.34412105865143	8.3603866090308
BA3109	4.16205900590607	6.25135664028146
BA3114	4.93122023310574	7.33796606665151
BA3418	4.20291883221202	6.87025397395673
BA3245	5.5239080872138	7.62080780455831
BA3085	5.32920195672699	9.36044459889599
BA3128	5.40443670689777	8.23061160269424
BA3423	4.69788797442376	9.83304132704525
BA3173	4.05042304398681	8.6279105840654
BA3171	5.6382097192845	7.27982858914582
BA3277	4.46447835591803	8.79942491234482
BA3210	4.05083600444237	3.89787249471578
BA3157	5.29839304298236	9.00955709168753
BA3433	3.74759218302818	8.12418859250955
BA3322	5.29307989811682	4.36239520307836
BA3374	6.57871147435603	8.76897254396233
BA3450	4.14520169098392	7.66253850261184
BA3167	5.24611528011748	8.97485330936457
BA3269	4.89092474484563	9.14863087419242
BA3110	5.57820476090366	9.6837417558498
BA3156	3.93670563044514	-0.534916744230106
BA3226	6.06298925282901	9.47302564786274
BA3421	5.96666513140334	7.65513327960109
BA3232	7.46997411625783	8.34906675857089
BA3289	4.75027858706246	6.95685605328487
BA3430	4.69506440431895	7.68895709467278
BA3145	6.67231936736834	9.73079295605488
BA3399	4.01681712942243	4.64980426174159
BA3449	5.38186716708803	7.02624764830014
BA3384	7.22625304922136	8.48906113697349
BA3427	5.37014622702408	6.00134650129498
BA3163	7.16876088952225	5.77182174756257
BA3158	5.34691482072856	8.67821802831458
BA3436	6.55336509971083	10.4723744199077
BA3154	4.57869564199945	6.26881149847343
BA3162	5.29986206219824	7.1956195388029
BA3352	5.41245018586405	9.90067643419793
BA3084	7.0168789681798	9.87474271994728
BA3149	3.77745737706284	7.07994856692804
BA3169	6.88492067829042	7.61833712147791
BA3180	5.06562997256811	8.17822710034905
BA3255	7.59101188148724	8.7420670822246
BA3438	6.96490245805844	10.1459017836458
BA3345	5.1308809152012	4.49669256281289
BA3403	6.58888481686372	5.73552904725917
BA3431	5.06846235610609	6.57613558769718
BA3181	6.18251802139279	6.3282334089858
BA3341	4.26401053300844	6.43241877433245
BA3191	7.03335772337666	7.09339132647188
BA3197	6.65069612456278	9.36916799017741
BA3448	6.11039522609915	9.05220627117217
BA3453	4.29566916323682	8.34906675857089
BA3406	6.78802478417111	9.50601427714714
BA3308	5.38841032189554	10.0958725482412
BA3186	5.59508122551735	5.61137441450638
BA3334	5.57412698420844	7.94145634611773
BA3447	4.84704413896278	9.08494318011795
BA3116	4.66681816964876	6.17556084584677
BA3280	4.55238107332514	9.38234175781362
BA3185	5.04694903743101	10.0888662099127
BA3094	5.38984631837511	8.68676863894814
BA3318	4.06925036801479	8.91090509269608
BA3216	5.32485345914141	9.88687313292775
BA3332	4.59403374647175	7.2977714926992
BA3214	5.05963791860408	6.77952101227859
BA3099	8.19411260375688	9.06667487040862
BA3141	7.05213628356552	8.34007975821985
BA3373	5.9527582231115	7.29872623007905
BA3319	7.31758513982701	8.56601564488201
BA3328	6.1281715906941	8.04765964150367
BA3339	5.13729178336945	3.33268141494615
BA3240	6.14975362813735	8.86857724833819
BA3142	5.68535357501915	8.37639721534742
BA3333	4.93997522367398	10.4270272319076
BA3381	5.92676397459841	7.33890799019329
BA3290	5.51241676925768	6.90032088066256
BA3207	7.40108920011618	8.95099667095566
BA3296	6.14235074085009	3.95847739460523
BA3305	6.63537899034447	8.22855584188171
BA3434	5.42966375134891	8.55029123602985
BA3189	6.19606446047222	9.53000194332933
BA3264	5.72941496772039	9.67679810675791
BA3329	3.66471911557075	2.64143235528429
BA3417	6.30602484819544	7.18891809205662
BA3367	7.20800173217813	3.21695289492634
BA3225	7.56436701911919	9.11086746340759
BA3183	6.31585760088979	8.91420804405317
BA3222	5.45598777768521	7.73332620572976
BA3139	6.87718695252014	12.5256596633099
BA3397	6.86281064555051	8.8525926437112
BA3311	6.8576823032308	8.5117153749805
BA3422	4.32671639588567	8.70401585675217
BA3228	7.08297551023298	8.82734862624236
BA3213	5.72675571340994	7.73462168625585
BA3270	6.41897137635364	6.98890006339199
BA3415	7.06166102601644	9.53969913371194
BA3324	6.60476180009226	8.52190108216259
BA3194	6.51105136156458	5.89918966262517
BA3335	5.39495254612019	8.82734862624236
BA3199	5.73442845067299	8.60337970015667
BA3326	7.94635895319707	8.54508752883457
BA3285	7.26503778677364	12.2211956145486
BA3297	6.59999610931592	10.0958725482412
BA3227	6.39926285688665	9.85077214115986
BA3394	5.98835302463094	7.81832288003789
BA3412	7.46474071975909	10.1242456090787
BA3293	8.19593305491973	8.31971259652754
BA3250	6.9766278154768	8.46922505155083
BA3177	7.22705513643141	8.84624370479657
BA3315	6.21410531502083	7.17197273809379
BA3182	6.6886775034689	7.26503778677364
BA3260	4.21672873374062	4.24925618439469
BA3369	6.66619952778557	8.70112769787832
BA3078	6.76957967246072	9.81711055855458
BA3386	8.12041880838799	8.99558616821901
BA3445	3.60216120874402	1.34360690251231
BA3452	5.47397012091034	9.04860912314158
BA3176	6.39832221441364	9.2109276242084
BA3258	7.09641299880345	8.46676516104844
BA3295	6.95685605328487	7.19903013947942
