	ABL1	SMC3
BA2000	0.0146845710165825	3.3150187718664466
BA2003	0.0095313626532083	1.416818477495968
BA2004	0.0112418889689978	2.3965693350539183
BA2006	0.0060003604902667	1.056847419143342
BA2011	0.0100919250180245	0.8838373684291491
BA2019	0.0196629416005767	4.0231699819557045
BA2020	0.0263392213410237	5.702337518997182
BA2022	0.0168979812545061	3.433978102200529
BA2023	0.0098017303532804	1.0332794593391743
BA2024	0.0110868781542898	2.4219203833672136
BA2025	0.0185724585436193	2.5270442705364453
BA2031	0.0146377072819033	1.9581540294842268
BA2032	0.0132462148521989	1.3277882799531335
BA2033	0.0081723143475126	2.286677662516808
BA2034	0.0197494592645998	2.2441748181542547
BA2035	0.0183687815428983	1.6766665144799655
BA2036	0.0147530641672674	2.226348268589931
BA2037	0.0234264599855803	4.001305046235747
BA2041	0.01598774333093	2.1260721309749653
BA2044	0.0127793799567411	2.815013655236967
BA2046	0.0203460706560922	3.5876128216064944
BA2047	0.0213968997837058	2.556768271249904
BA2050	0.0107462148521989	1.1324331533770275
BA2051	0.0223882480173035	1.5759132526719422
BA2052	0.013585075702956	2.1775616669795945
BA2053	0.0078983417447728	1.3008910673298952
BA2054	0.0082660418168709	2.058862325905676
BA2055	0.0044250180245133	0.5510118639541347
BA2063	0.033361571737563	1.8498998808393323
BA2065	0.0192790194664744	2.202648426844058
BA2066	0.0210976928622927	3.922272500260468
BA2068	0.0152397260273972	0.6263324496848
BA2069	0.0120782263878875	2.514331978557112
BA2072	0.0101243691420331	1.5725068974625476
BA2079	0.0053911319394376	1.0635013271097902
BA2080	0.0201568132660418	1.8344103599839607
BA2081	0.012382840663302	1.7300151053173558
BA2082	0.0226405912040374	2.562473996602121
BA2087	0.0131452775775054	1.4154801024781172
BA2088	0.016995313626532	2.82377799723316
BA2089	0.0200973323720259	5.218077724922779
BA2093	0.0109012256669069	2.8678024351446605
BA2094	0.0125342465753424	2.823282210690361
BA2095	0.0175198269646719	2.5554522403760265
BA2096	0.0067429704397981	1.8780359332598795
BA2097	0.0227577505407354	2.9077821134687665
BA2098	0.012664023071377	1.4194957032274695
BA2100	0.0066240086517664	1.3929523652555964
BA2101	0.0096467195385724	1.263344263915381
BA2104	0.0069358327325162	0.9511889777623114
BA2106	0.0121449170872386	1.6893663360445064
BA2109	0.0096160778658976	1.2991781069402866
BA2110	0.005677721701514	1.006444588570419
BA2113	0.0232191780821917	4.465431345181407
BA2116	0.0132804614275414	3.0461244603486635
BA2121	0.0142231434751261	2.4785996472211047
BA2122	0.0042213410237923	1.1306823264221917
BA2123	0.0203028118240807	3.1782287684592805
BA2124	0.0179434030281182	2.033744036558366
BA2125	0.0150955299206921	3.465970346615355
BA2132	0.0178821196827685	2.233729654112849
BA2133	0.0063211968276856	1.1861260305849848
BA2134	0.0074351117519826	0.9816864403888884
BA2135	0.0098558038932948	1.0643469802411418
BA2139	0.0064852198990627	1.0507744990239705
BA2143	0.0127180966113914	2.7157132412598206
BA2148	0.0149242970439798	0.563497413121642
BA2153	0.0082390050468637	2.5361067171095435
BA2155	0.012382840663302	1.0017056270187508
BA2156	0.0208399423215573	2.276931502603255
BA2162	0.0132804614275414	1.786441448255179
BA2163	0.0161968276856524	2.3438108921724883
BA2168	0.0087941600576784	0.8694230319650694
BA2169	0.0112076423936553	1.7364676892947142
BA2171	0.0253118240807498	3.0288831752232546
BA2172	0.0166528478731074	2.040679288166669
BA2174	0.0147224224945926	2.877562912089566
BA2175	0.019388968997837	3.934754213004036
BA2184	0.046326604181687	6.254856572216261
BA2195	0.0100342465753424	1.704415172897398
BA2198	0.0141474405191059	2.8376787542526696
BA2200	0.0183453496755587	4.190520709824379
BA2201	0.0077883922134102	1.3281466767504375
BA2209	0.0153947368421052	2.2805428047958363
BA2211	0.0313320115356885	2.2090287437587004
BA2212	0.0161824080749819	1.5439763761481975
BA2217	0.0262707281903388	2.713860275718273
BA2218	0.0069124008651766	0.7073886545765976
BA2220	0.0089419610670511	2.479037331498026
BA2221	0.0084661139149242	1.584983354139158
BA2224	0.0088914924297043	2.1410817187644016
BA2226	0.0220944484498918	4.827990401075094
BA2227	0.0209408795962509	2.5902023933686613
BA2228	0.0196377072819033	3.956914998673384
BA2229	0.0153713049747656	1.864494362043761
BA2233	0.0236860129776496	0.9930477671566504
BA2234	0.0152505407354001	4.239770676619824
BA2235	0.0130641672674837	2.1816898729259955
BA2236	0.018817591925018	1.9426435760683316
BA2239	0.0091726748377793	1.4503685363054315
BA2240	0.0207876712328767	4.072291132537241
BA2242	0.0155587599134823	1.7130333957882529
BA2244	0.0166348233597692	2.7007312385511644
BA2245	0.0197404470079307	2.614416534392874
BA2248	0.00905010814708	0.8049207724713443
BA2249	0.012557678442682	2.602205275965573
BA2251	0.0230894015861571	2.560438993999428
BA2256	0.0136391492429704	2.487855671853356
BA2260	0.0076297764960346	1.1781777868729948
BA2261	0.0063482335976928	1.3311283094629305
BA2269	0.006685291997116	0.8459195515004446
BA2271	0.0136319394376351	3.069149614874101
BA2272	0.01	2.077966241419913
BA2273	0.0184607065609228	1.7335916812625218
BA2275	0.0184697188175919	7.418731302995177
BA2276	0.0092519826964671	1.8143203720726104
BA2277	0.0193421052631578	2.818047742228423
BA2280	0.0273449891852919	4.444777645528837
BA2281	0.0179271809661139	2.2989574116688645
BA2282	0.0063031723143475	1.3741268592291436
BA2286	0.0208507570295602	1.8250522534145173
BA2288	0.0124134823359769	1.649450100361931
BA2292	0.0175486661860129	3.794839874950352
BA2294	0.0140573179524152	1.9233552400759368
BA2296	0.0239365537130497	2.8288304779089515
BA2300	0.0072584715212689	5.097382489173824
BA2301	0.0100739005046863	1.40576704857372
BA2302	0.0157948810382119	1.615989492978879
BA2304	0.0063734679163662	1.0283334827250663
BA2306	0.0136121124729632	1.7578138919355573
BA2308	0.0117321557317952	1.63469915496281
BA2309	0.0130984138428262	2.4997195202702125
BA2311	0.0107876712328767	1.222068637479954
BA2312	0.009127613554434	1.3789965240124635
BA2316	0.0084282624369142	1.5904858119080811
BA2322	0.0178568853640951	2.0838939751631465
BA2325	0.0081506849315068	0.8413011175808077
BA2329	0.0087815428983417	1.4372186373469618
BA2334	0.0099639509733237	0.7254946785002033
BA2339	0.0048882480173035	1.4302089005771752
BA2344	0.0139077144917087	1.8503149338714855
BA2347	0.0055064888248017	1.2072367209873247
BA2348	0.0043727469358327	0.612818773515522
BA2350	0.0045818312905551	0.5951377744595661
BA2354	0.0157534246575342	2.913596088313512
BA2355	0.0216312184571016	2.8546155189572584
BA2357	0.0130569574621485	1.8112049805919703
BA2360	0.0196322999279019	2.404270891801303
BA2361	0.0122873107426099	1.7816081307430442
BA2363	0.0046250901225666	0.6797715559771113
BA2369	0.0189221341023792	1.3693882449305617
BA2374	0.0208489545782263	2.874890061701579
BA2375	0.0116131939437635	2.079875505976536
BA2376	0.0086265320836337	1.74062335559354
BA2377	0.0481254506128334	3.4767477970246614
BA2379	0.0132227829848594	1.662693364060978
BA2385	0.0062310742609949	1.6416017404450312
BA2386	0.0189491708723864	1.9738798668018136
BA2387	0.0169881038211968	1.7994515007766971
BA2394	0.0097242249459264	3.0118607332074743
BA2399	0.0148125450612833	1.558906494449289
BA2400	0.0313842826243691	3.5083230205581977
BA2402	0.0125630857966834	1.7879515925115124
BA2405	0.0074134823359769	0.8324799762040888
BA2406	0.0122512617159336	1.44899436060988
BA2409	0.0120385724585436	1.5367925354248195
BA2410	0.0260958904109589	1.6791159889825993
BA2412	0.0044754866618601	1.038006930841429
BA2413	0.0136788031723143	1.4436322406685482
BA2414	0.0243258832011535	3.8884020848690857
BA2415	0.0047260273972602	1.8456469587769044
BA2417	0.0171773612112472	1.419815057415898
BA2418	0.0077685652487382	0.5887164212922241
BA2420	0.0105136986301369	2.042788010861927
BA2421	0.0181596971881759	3.6544575006602216
BA2423	0.0107894736842105	1.0989154002036317
BA2425	0.0087941600576784	2.025737865846527
BA2426	0.0100558759913482	1.8236173342012945
BA2427	0.0086571737563085	1.1260477431293632
BA2429	0.0106452775775054	1.733522971867255
BA2440	0.01405010814708	3.082923564971363
BA2441	0.0184354722422494	4.550656829320588
BA2442	0.0116095890410958	2.4790182036465587
BA2446	0.0115392934390771	2.486377376512663
BA2449	0.0213698630136986	3.9123375876857502
BA2450	0.0162040374909877	1.7685503692824602
BA2452	0.0252541456380677	2.9489257716654538
BA2454	0.0121611391492429	3.352801555026271
BA2455	0.0087148521989906	1.1034210540288047
BA2456	0.0047837058399423	1.314227078326098
BA2459	0.0067934390771449	1.0701052169948473
BA2461	0.0103262436914203	2.652341799457602
BA2463	0.0140356885364095	2.870785092802993
BA2464	0.0198936553713049	1.8612698354303223
BA2469	0.0165843547224224	0.9347664630705582
BA2470	0.0112599134823359	1.9287647018523923
BA2472	0.0163428262436914	1.6745341744633924
BA2473	0.0219412400865176	3.0477117327903485
BA2474	0.0123521989906272	1.969334151514249
BA2477	0.025086517664023	4.378719416243741
BA2479	0.0077253064167267	1.389789015196396
BA2480	0.023895097332372	1.8899354474654744
BA2481	0.0052072819033886	0.9645934273632606
BA2482	0.0118006488824801	2.345387397431764
BA2483	0.0151604181687094	2.540455553285458
BA2485	0.0216672674837779	1.882589027142917
BA2488	0.0136697909156452	2.0870030063598057
BA2489	0.0131038211968276	1.2419316426671536
BA2492	0.007577505407354	2.102045279572246
BA2494	0.0152487382840663	2.0031098321426426
BA2496	0.0059769286229271	1.3078484316533816
BA2497	0.0092682047584715	1.7206296459303216
BA2499	0.0128262436914203	1.3319813822430249
BA2500	0.0246304974765681	3.8493081386212062
BA2501	0.0150558759913482	2.786783394819409
BA2502	0.0097837058399423	1.8026347921878587
BA2505	0.0148648161499639	1.05314758520532
BA2507	0.0108904109589041	1.3667062414933009
BA2510	0.016472602739726	1.313492513088687
BA2511	0.0059480894015861	0.7882027754066375
BA2512	0.0125036049026676	2.9238902443801247
BA2514	0.0112743330930064	1.805311873259466
BA2515	0.0118655371304974	1.6247954000510667
BA2520	0.0036265320836337	1.2196706233191343
BA2521	0.0162959625090122	2.7539316822159634
BA2523	0.0194394376351838	2.5901151392927235
BA2524	0.0125360490266762	1.1714530201361937
BA2525	0.0119700793078586	1.7763632784365189
BA2526	0.0263968997837058	1.7695618154415775
BA2528	0.0154992790194664	2.718730320305916
BA2532	0.0165176640230713	2.2609910731580123
BA2534	0.0232516222062004	2.0613836331664017
BA2538	0.012586517664023	2.0169393180903463
BA2539	0.0068961788031723	2.709823865502351
BA2540	0.0125937274693583	0.9499357231522844
BA2541	0.0059012256669069	1.5751143407142771
BA2545	0.0118186733958183	3.16320536164948
BA2546	0.0096431146359048	1.8453431646440963
BA2552	0.0384967555875991	1.7893025470516104
BA2559	0.014059120403749	1.6615529034033605
BA2561	0.0080064888248017	1.1496947182984016
BA2563	0.0161067051189617	2.4306717557508546
BA2564	0.0097710886806056	1.8754281099633177
BA2567	0.0041636625811103	0.990137782178459
BA2570	0.0145692141312184	2.652454544407761
BA2575	0.0071935832732516	1.2370908674955
BA2577	0.0213626532083633	3.705727818290487
BA2579	0.0098648161499639	2.205504528100692
BA2583	0.0164635904830569	2.061998477645168
BA2584	0.0166005767844268	1.8253475239196757
BA2587	0.0186751982696467	3.574876430347643
BA2588	0.0140032444124008	1.9405878817302613
BA2589	0.0179704397981254	1.2229498769086946
BA2592	0.0183543619322278	3.339800749908145
BA2593	0.0048125450612833	0.4860893329097235
BA2594	0.0085021629416005	2.119135920897369
BA2595	0.0101045421773612	1.9686800450889244
BA2597	0.0188248017303532	0.6845678232874312
BA2600	0.011598774333093	1.2053859687111452
BA2603	0.0146557317952415	2.574065117017015
BA2618	0.0207354001441961	3.270483612722494
BA2619	0.0106759192501802	1.4203051293650275
BA2620	0.0146971881759192	2.400900114204892
BA2621	0.009030281182408	1.230768495867162
BA2622	0.0153731074260994	1.9044302544185905
BA2623	0.0129217736121124	4.210295149891061
BA2629	0.0102992069214131	2.602214470384204
BA2631	0.0144736842105263	1.934691469340473
BA2634	0.0064221341023792	0.682738001528556
BA2636	0.008720259552992	1.6763952455224806
BA2639	0.0137959625090122	3.125269954249365
BA2644	0.0111986301369863	1.7107571124884613
BA2645	0.0217844268204758	0.913836204405603
BA2646	0.0225540735400144	2.491963008223836
BA2649	0.0211121124729632	2.340836660993684
BA2651	0.007761355443403	0.8180248806417247
BA2653	0.0130948089401586	1.2497913017527102
BA2655	0.0299783705839942	6.395748573434928
BA2656	0.0079307858687815	0.429329729631748
BA2657	0.0115537130497476	2.2037259880847864
BA2658	0.0126622206200432	2.218859591790945
BA2659	0.0140519105984138	2.415658189357893
BA2660	0.0080857966834895	1.6728665693198987
BA2662	0.0143330930064888	3.840854166380231
BA2663	0.0116925018024513	0.9863767977352906
