	ASXL1	JAK2
BA3211	4.9207439830005	6.68242645093915
BA2923	4.94273522337111	6.61867340597626
BA2860	5.01631466171857	6.35352478320916
BA2871	5.04068213537324	6.50103892537921
BA3438	5.11638292117158	5.77488348222962
BA3094	5.17950354207122	7.2588778562729
BA2079	5.22500574588553	7.24647814947882
BA3235	5.23710808006626	7.62320575204897
BA2787	5.24575571846811	7.63278489020753
BA2778	5.30422441487673	6.91326402535282
BA2903	5.30561743364852	7.65022254150033
BA3126	5.32164044187742	6.51657057172327
BA2304	5.36584838994078	6.82970946742006
BA3234	5.36902005012398	7.71088637463883
BA2066	5.37928711694374	7.10006965724524
BA2104	5.3920043604829	7.62437772428186
BA2139	5.39929335398575	7.48490734822992
BA2814	5.40625901568549	6.51402356062823
BA2731	5.40702626397137	6.80425051325387
BA2089	5.42234890079115	6.75887216800442
BA3403	5.42893594031004	6.95411223232461
BA2244	5.43952524273383	7.27898774790875
BA3374	5.44790183156178	6.98137959105818
BA2512	5.45674649791294	7.0168789681798
BA2620	5.46114309064973	6.92625028034322
BA3217	5.46410131409376	6.0072209431505
BA2885	5.46663574912202	6.87847286019697
BA3451	5.46734103839207	7.19903013947942
BA2376	5.46990488253098	7.550843282623
BA2575	5.47284204510325	7.37577438257785
BA3207	5.47615849761807	7.25008508374438
BA3038	5.48611835069995	7.61949698331246
BA3225	5.48685812816546	7.32583087724775
BA2820	5.48685812816546	6.92174677642902
BA2828	5.49725940478877	6.99030175438279
BA2415	5.50018182112328	7.09047728148948
BA3367	5.50055254025843	6.55131094202148
BA2721	5.50315192004078	6.68298551627202
BA2409	5.50426621763009	6.77486042127373
BA3178	5.51345714323729	6.732801148639
BA2644	5.51382815263466	7.44741351807287
BA2024	5.52061119799639	7.14221254704718
BA3311	5.53130217583918	7.11661408634118
BA3002	5.53462725078282	6.6897450758778
BA3136	5.53649114497573	6.28997086497795
BA2134	5.5372259675426	7.35957852119331
BA2914	5.54431492495241	6.78194925141946
BA2928	5.54840893277706	6.55763968463611
BA2260	5.55025760092161	7.13121480456278
BA2726	5.55133978188627	6.16739291737488
BA2455	5.55586804682645	6.77486042127373
BA3191	5.55999957718043	7.17275321082541
BA3319	5.56112145786682	7.67493502317828
BA3326	5.56256719374486	6.47182200391892
BA2094	5.56596083132182	6.21976021821158
BA2539	5.57116929470375	6.90423057855148
BA2746	5.57675252591336	7.10612705087253
BA2618	5.57784205345213	6.74612605168156
BA2701	5.57895756058083	6.81329812446179
BA2765	5.58345571866186	7.09710413510838
BA3116	5.58682786591739	5.69566002369261
BA2109	5.58836680284654	6.45249909303564
BA2882	5.59137657391383	7.49256176412129
BA2662	5.59174174629251	6.6897450758778
BA3295	5.59699754908342	7.05570452227078
BA2234	5.5977589538239	6.55863333147361
BA2412	5.60156210630339	7.23470845982278
BA2697	5.60656322510578	7.51191595859432
BA2600	5.60841425670287	6.44128835620157
BA2110	5.60841425670287	7.58290428004672
BA3431	5.6098838682387	6.43046914091516
BA2742	5.61064071002875	6.59148541753236
BA2303	5.6147813580075	7.25611345915688
BA2322	5.61780736228049	6.59785150913547
BA2325	5.62116214065844	6.63537899034447
BA2348	5.62233299062586	6.82851443258156
BA3390	5.62270762074318	7.34370807957505
BA2496	5.62715965117615	6.85394237356265
BA2962	5.62828464133832	5.68039540990515
BA3219	5.63016664038851	7.75510135803604
BA3213	5.63359431703311	6.97450183109637
