	ASXL1	JAK2
BA3175	5.63513768849615	7.3212161814573
BA2269	5.63974092739285	6.33826437905032
BA2054	5.64011484889975	7.01917646703683
BA2272	5.64203067730003	7.55754763062472
BA2023	5.64727150122162	7.27555120012057
BA2492	5.64878460317562	5.94641278080618
BA2681	5.64993072157884	6.27064006981264
BA2011	5.65258967329686	6.90096747490557
BA2226	5.65258967329686	6.67894286315779
BA2122	5.6533576160666	5.88327701539732
BA2924	5.65411500641845	5.77728199716427
BA3380	5.65522675909671	5.98180577093432
BA2483	5.66740335166233	6.50103892537921
BA3405	5.6705066725732	7.62806217739621
BA3146	5.67127118896803	6.47523792980687
BA3258	5.67546263774049	7.53867754134672
BA2782	5.67546263774049	7.34547705030654
BA2709	5.67583098043324	6.86903485569995
BA2670	5.67924435783264	6.12302701419306
BA3222	5.67963455085071	7.08368088883067
BA3163	5.68268021308212	6.801788717217
BA2344	5.683055970914	6.01664395833904
BA2564	5.6860968528657	7.02768073602554
BA3286	5.6864679763228	6.68698956921182
BA2426	5.68872421112857	6.82550917357801
BA2031	5.68872421112857	6.62521439483861
BA2880	5.68986590376939	6.60743103833352
BA2174	5.69295647546023	7.42825345365406
BA2978	5.69449320412197	7.11517726354172
BA2482	5.69646062028678	6.87718695252014
BA2786	5.69683059962592	6.03523832777957
BA2714	5.69757983119209	6.71155130794723
BA2239	5.69838933100617	7.66988409314176
BA2659	5.70032456019922	6.76359470107912
BA2546	5.70452449404762	6.43542748974206
BA2502	5.70452449404762	7.16215175411855
BA3369	5.70566190016674	7.43037850226792
BA2072	5.70757619671164	7.19225834495813
BA2595	5.70836568128015	5.85542200416075
BA2587	5.70872171926613	6.99925381802676
BA3138	5.71478675399189	6.59468087653905
BA3296	5.71553086944073	6.64131489127646
BA2521	5.71669470584693	6.436391484782
BA2724	5.7171416432858	6.42672024198766
BA2737	5.72061360951374	7.32309525533159
BA3098	5.7225158734594	7.34547705030654
BA2311	5.72290783455204	7.71215406681609
BA3177	5.72441309220803	6.75483486169623
BA2087	5.72480376191034	6.63486341869675
BA2271	5.73401055203652	5.98054442725547
BA2663	5.73552904725917	7.21542521128511
BA2235	5.74011278993299	6.50297201387594
BA3412	5.74090562795813	6.54307132156237
BA2993	5.74510782456024	5.98835302463094
BA2363	5.74665789517333	7.22705513643141
BA2994	5.74740223582238	5.70032456019922
BA3182	5.74822587560422	7.41795204933222
BA3388	5.74861209266001	6.57509033573893
BA2540	5.75023036618314	6.43146976668751
BA3347	5.75302384911337	6.29137386576201
BA2387	5.75528821055756	6.4243136710677
BA3083	5.75568831379393	6.56840033593867
BA2829	5.75606111415072	5.8395569214379
BA2712	5.75681040063766	6.63861770845571
BA2463	5.75719364511349	6.95017040445475
BA2524	5.75756870973775	6.14846279197281
BA2837	5.75987481048265	6.25896920678185
BA3454	5.76141008187331	5.62980424436949
BA3381	5.76488394506669	6.79813530726845
BA3251	5.76568700898176	6.09345357181028
BA3181	5.7664756489083	6.95085389521077
BA2658	5.77182174756257	6.92174677642902
BA2316	5.7725785925433	6.52270916866473
BA3084	5.77331420543403	5.90720734250747
BA2201	5.773700485866	6.97450183109637
BA2939	5.77409344818299	6.03732004077161
BA3030	5.77649310558936	6.50904089235684
BA2240	5.77728199716427	6.00800870736247
BA2792	5.77845042719579	6.19732726364109
BA2545	5.78039940452266	6.72757025712009
BA3318	5.78115226086829	5.46337307822737
BA3203	5.78459303638823	6.56532526138634
BA3394	5.78541513449237	6.33780634376445
BA2801	5.7857780349214	6.84596201012783
BA3229	5.78774237354263	6.95615389337193
BA2872	5.78815697396801	6.80425051325387
BA2762	5.78815697396801	5.94139776988852
BA2329	5.78856545869923	6.65295694076347
BA3255	5.78933652729381	6.19299832162761
BA3237	5.78970451035009	6.68181953854303
BA3260	5.79243605583809	6.46333894051768
BA3130	5.79282325358751	6.24546760741925
BA3169	5.79282325358751	6.55863333147361
BA3270	5.79603390583248	6.92174677642902
BA2025	5.79603390583248	6.47813803224063
BA2950	5.79603390583248	6.31205444786469
BA2594	5.79758031043752	6.59148541753236
BA2172	5.7983454299058	5.3789226513503
BA2636	5.80376596025215	6.38888273500531
BA2256	5.80732189831465	5.26850269480577
BA2469	5.80971219847918	5.83678289113702
BA3384	5.81161565339235	6.26972531039322
BA2930	5.81482124558208	7.03196402344294
BA2510	5.81726345497192	6.05237874936092
BA3411	5.81726345497192	6.13165710493441
BA2695	5.81839607751016	6.28139967131455
BA2497	5.81959741153124	6.22284672145603
BA2500	5.82392380814807	5.93735639042332
BA3010	5.82392380814807	6.71501245136813
BA2842	5.82697757198733	5.97321758321267
BA2418	5.82819619911188	5.60693430911561
BA3103	5.83256616777847	5.70986425222156
BA2414	5.83483518369012	5.87965665517008
BA2935	5.83483518369012	6.90423057855148
BA2901	5.83522810280634	6.20050527440426
BA2282	5.83560892628546	6.91733301258099
BA3189	5.83756838624294	6.38261014012489
BA2421	5.83800900717186	6.39453514704598
BA2275	5.83841841477399	6.57560815980456
BA2921	5.84190332625174	6.13119942059496
BA3118	5.8446879817315	6.58253832351054
BA3137	5.84508987578304	7.06520657071416
BA3362	5.84669771952697	6.12385981288499
BA2813	5.84669771952697	5.32629384115804
BA2621	5.84710176754198	7.31665510949842
BA3167	5.84710176754198	6.40549948389557
BA2981	5.84787957757678	5.69992958447881
BA3271	5.84826511265661	6.70809549173072
BA2904	5.85182499561048	7.33618294917006
BA2198	5.85182499561048	6.20481541845022
BA2691	5.85381815948029	6.88299295533337
BA2044	5.8546289142141	6.82550917357801
BA2406	5.85542200416075	6.45648309857568
BA3290	5.85694980213458	6.64358377452482
BA2306	5.86210066626784	6.53495824677914
BA2812	5.8625242189267	5.97648507555777
BA2769	5.86341197424273	6.75309739437635
BA2423	5.86536301251181	7.36910502551481
BA2584	5.86781157381666	7.16876088952225
BA3306	5.86781157381666	5.22065849428954
BA2937	5.86940153677441	6.60315866621686
BA2312	5.87096179619199	6.76594892950594
BA2926	5.87260128091849	6.21887740590051
BA2561	5.87580696816671	6.18119276601149
BA2446	5.8769475456825	6.57407550686427
BA3221	5.87965665517008	7.01200936090574
BA2952	5.88406214865442	6.74039110508618
BA2000	5.88606180557595	6.36792449266188
BA3385	5.88643954120856	6.40877834877257
BA3013	5.88643954120856	5.72866766844001
BA2760	5.88961440143981	6.54928934120065
BA3250	5.89003355654074	7.54733361982974
BA2634	5.89048099649459	7.09119041085949
BA2277	5.89124416348565	7.01759724929549
BA3128	5.89203625853857	5.55924075077695
BA2111	5.89241706426442	6.20697852343694
BA2850	5.89400600049609	5.77107077621508
BA2660	5.89400600049609	6.65069612456278
BA2472	5.89840678151491	5.63243748418652
BA2657	5.89918966262517	6.24956354515351
BA2861	5.9027386298111	6.39121229400113
BA3036	5.90396043152694	6.03732004077161
BA3410	5.90720734250747	6.71325528813671
BA2300	5.90968137145394	5.65258967329686
BA2098	5.91084110589567	6.22462023570249
BA3328	5.91554817043997	6.41128456721012
BA3445	5.91835525147628	6.16524477136675
BA3216	5.91874058491338	6.2171644897831
BA2301	5.91953516934334	6.76898394569665
BA2280	5.9207696282738	5.94221717949707
BA2639	5.92274484517742	6.60634523087502
BA2162	5.92314727428924	6.83661488155882
BA2775	5.92513526908082	6.26652649814407
BA2248	5.92513526908082	5.21778173093654
BA2603	5.92875292821339	6.41510646424492
BA3078	5.92875292821339	7.10612705087253
BA2461	5.92917652580144	6.78009238710876
BA2821	5.93038956442244	5.98627491229184
BA2563	5.93293802015649	5.31682531575163
BA3232	5.93534312096623	6.1188645712048
BA2276	5.9361114629243	6.02937141783307
BA2830	5.9361114629243	6.11847233502019
BA3305	5.93982972127244	6.39359148087619
BA3228	5.94021025458643	6.41993290039897
BA2106	5.94392026663398	5.75339715282444
BA3109	5.94431286144935	6.4204445396971
BA2992	5.94431286144935	6.84776495812423
BA3242	5.94641278080618	6.78433325744635
BA3266	5.94641278080618	6.47228949068298
BA2516	5.94757169388019	5.98386136715206
BA2051	5.94836876055586	6.42575430557831
BA2399	5.95848988053113	5.37564857832482
BA2470	5.95848988053113	5.95983280142242
BA2934	5.95891123308455	6.09808877325888
BA3230	5.95938551876052	6.45599883472476
BA3430	5.95983280142242	6.15059869214172
BA2972	5.96023036518701	6.19690129645258
BA2454	5.96063563466876	6.4417602152858
BA3135	5.96141985766576	5.72328663310628
BA2082	5.96264354381231	6.34457703412125
BA2442	5.96345262806037	6.0158165147387
BA2682	5.96386071356046	6.23969161748368
BA3157	5.96505632745959	5.50353774574014
BA2851	5.96505632745959	5.91798611999628
BA3087	5.96823920514463	6.115497606055
BA2728	5.96823920514463	7.20712924024302
BA2902	5.96907627794874	5.75832214709053
BA2955	5.96945929693027	7.87120844454502
BA2507	5.96987848742324	6.0921968661524
BA2893	5.97361430412984	5.37965871348939
BA2677	5.97648507555777	6.46380824438958
BA2705	5.97648507555777	6.33191637769617
BA2375	5.97812067314416	7.5032888272442
BA2976	5.9785222997962	7.05796014084047
BA2971	5.97890641593254	6.98137959105818
BA3325	5.98097884801574	6.19299832162761
BA3162	5.98343537244457	6.4338606092369
BA2951	5.98747577885065	6.3764431266369
BA2163	5.98792432171399	6.20697852343694
BA2858	5.98876336939614	6.30978800081562
BA2053	5.98917879350321	5.5722787954592
BA2033	5.98917879350321	6.93558317816731
BA2607	5.98996157877142	6.24819820835326
BA2040	5.99072677808467	6.68810200399149
BA2425	5.99112678530118	6.80239867331755
BA2747	5.99230630864101	5.96305194548373
BA2505	5.99273740349983	6.97318609681243
BA3289	5.9931420196416	5.80028394350004
BA2675	5.99436956978052	5.83602224066433
BA3152	5.99520828398439	7.00853195755675
BA2846	5.99605530428902	6.18549348202673
BA2474	5.99645810395014	6.35117266997331
BA3434	5.99685177199163	6.57613558769718
BA3421	5.99807250561422	6.33963983784712
BA2224	5.99849937933433	6.32729837510952
BA2480	6.00011677121632	5.85615861273504
BA3376	6.00093229876932	5.69181620547997
BA2999	6.00093229876932	6.44128835620157
BA3029	6.00261866586335	5.07445877032658
BA2069	6.00392077224602	6.76957967246072
BA2236	6.00513768153823	6.413222743052
BA3099	6.00599295147661	6.0506842235686
BA2590	6.00638246473167	5.23746872667208
BA2910	6.00800870736247	5.74782936628199
BA2152	6.00800870736247	6.41274177487418
BA2200	6.00841658197255	5.67963455085071
BA2827	6.00881830211778	6.5851771545889
BA3415	6.00921196587346	6.40025463094879
BA2824	6.01215704616716	5.46520959762875
BA2377	6.01373604526196	6.52938873500607
BA2674	6.01784200578308	6.4369045674542
BA3139	6.01784200578308	6.23394092312001
BA3299	6.01867856463796	6.01623506432676
BA3273	6.01912446509313	5.09286972713313
BA2541	6.01912446509313	6.21584775215817
BA2132	6.02077165309049	6.48655837104488
BA3089	6.021192542846	6.16824009925269
BA2623	6.02245886806957	6.6601420957489
BA2909	6.02245886806957	6.7928687930301
BA2523	6.02328497818552	5.76686556527581
BA2806	6.02371028385454	5.72213373131707
BA2004	6.02412758639857	6.67837784799198
BA3399	6.02456199069166	6.24592732813786
BA2081	6.02496543297874	6.6568137663596
BA3275	6.02537342172354	6.03812571980279
BA2631	6.02698748997862	6.45945806358587
BA2868	6.02819468374248	6.22503632366675
BA2970	6.02937141783307	5.71100608100859
BA3183	6.0311101011047	5.89960125866496
BA3180	6.03363601462633	5.58682786591739
BA3243	6.03404286985942	7.08297551023298
BA2195	6.03523832777957	6.38023120196824
BA2667	6.03566200297907	7.12738803665014
BA2906	6.03938413348279	6.56840033593867
BA2528	6.04021038079235	6.11717160296269
BA2286	6.04154865344481	5.89203625853857
BA2744	6.04154865344481	5.77808284388984
BA2887	6.0444352624309	5.77451233227095
BA3192	6.04647904010288	4.88537399325768
BA2360	6.04734642903678	6.19646958807837
BA2143	6.04775659278267	6.34278372708773
BA3006	6.04816746430603	6.23620830247888
BA3335	6.04856537740908	5.66090400314826
BA2911	6.04856537740908	6.14800492227439
BA3297	6.04856537740908	6.7037023558772
BA2249	6.04898713449574	6.62086223855277
BA3386	6.05025616147561	5.62490937512472
BA2855	6.0515207109664	5.55474564087748
BA2283	6.05279557201734	6.52630500155159
BA2804	6.05361973784087	5.92833030401015
BA2121	6.05448659537988	6.05279557201734
BA2477	6.05488922575061	6.12637853560869
BA2898	6.05488922575061	6.59418114772064
BA2450	6.05529649425473	5.88961440143981
BA2402	6.05529649425473	6.19966591698805
BA2032	6.05692203263316	4.86639351070548
BA2751	6.05776567233175	6.87847286019697
BA2722	6.0582244402994	6.31022816211408
BA2501	6.06036727608855	5.83716487793583
BA2559	6.06078122712208	5.76218019652153
BA2449	6.06168577538942	5.1308809152012
BA3395	6.06345159600226	6.78550767222755
BA2221	6.06552141810206	6.72582978047913
BA3452	6.06680993243889	6.89180239315318
BA2227	6.06801263248952	5.4168131671987
BA2733	6.0688553647905	6.66177361256097
BA2168	6.0688553647905	5.08188769059011
BA2795	6.07098245209084	6.49248354368901
BA3261	6.07182186589842	6.16141096550525
BA2242	6.07305710536308	6.29606229973496
BA2552	6.07349886728139	5.43258320293738
BA2499	6.07438042977308	6.15698094792798
BA2296	6.07479305709891	6.14630933784289
BA2758	6.07520173413689	6.92369940347749
BA3187	6.0756397245943	6.65737778697747
BA2160	6.0765385205626	6.50152491798344
BA2394	6.07695623288107	7.33890799019329
BA3025	6.07906325231323	5.87851415939896
BA3406	6.08028059153902	6.50649211862862
BA2381	6.08362235286883	5.57747658361311
BA3324	6.08362235286883	6.11161537904966
BA3174	6.0840496796786	6.33002794213348
BA2597	6.08666258593702	6.04401665671066
BA2354	6.08666258593702	6.27784077147234
BA2772	6.08835914671386	6.12385981288499
BA2068	6.08966256500214	5.80651617633479
BA2261	6.09174069183038	6.389795387917
BA2948	6.09345357181028	6.70639038824238
BA3312	6.09515830888203	5.93857356885623
BA2764	6.09808877325888	5.95600036566632
BA2534	6.10105446354612	5.81482124558208
BA2050	6.10277314052035	5.67279352334088
BA3003	6.10323904488586	6.22945844028102
BA3095	6.10408615184211	5.50942414006277
BA2481	6.10497366667794	6.43793151264448
BA3269	6.10538403903875	6.22719727634407
BA2034	6.1058059803294	6.09980072152953
BA3317	6.1058059803294	5.33173488154361
BA3310	6.10787715288174	5.9527582231115
BA2100	6.11039522609915	5.66204443579784
BA2334	6.11294027816034	6.41176296562855
BA3345	6.11294027816034	7.42928783450574
BA3226	6.11633596300958	5.81122081776697
BA3446	6.11760662803549	6.92898560318184
BA2212	6.1180523945273	5.90436368867117
BA2386	6.1180523945273	5.84508987578304
BA2676	6.1180523945273	6.02203823110219
BA2437	6.11847233502019	6.14502031934272
BA3417	6.11971599118053	6.45750445904916
BA2789	6.12180366530222	5.99072677808467
BA3357	6.12180366530222	6.11421817923463
BA2097	6.12261931153674	6.00680494194609
BA3285	6.12385981288499	6.26972531039322
BA2646	6.12593955851946	5.68685508446053
BA2776	6.1281715906941	4.99354110892251
BA3199	6.12904074966952	5.74510782456024
BA3123	6.12904074966952	6.73801134139373
BA3085	6.12947427780454	6.00513768153823
BA2379	6.12991458455326	6.10703701818297
BA2022	6.13165710493441	5.46734103839207
BA2588	6.13597197195766	6.30142372411484
BA2622	6.13597197195766	6.79404595569359
BA3034	6.1368245443414	6.28908084563445
BA3023	6.13725593051751	5.26887133584046
BA2057	6.13853683580785	6.27158031478995
BA2870	6.14026668002857	5.45598777768521
BA3453	6.14547247746584	5.51950702685712
BA3171	6.14934626765103	7.23310611857777
BA2809	6.15101372135618	6.49897356885038
BA3341	6.15101372135618	5.52461336373262
BA2932	6.1527015081476	5.53058601108242
BA2353	6.15311168314809	6.25534556152395
BA3379	6.15698094792798	5.99561264597437
BA2019	6.15834977750935	6.81569990825769
BA3197	6.16141096550525	5.90799934087277
BA3427	6.16391479568772	6.65242333740906
BA3413	6.16479221189801	5.96585962161822
BA3280	6.16609369248211	5.52576079897821
BA2840	6.16651995068436	6.34783039381028
BA2956	6.16651995068436	6.33555481831586
BA3200	6.16824009925269	6.41850564142252
BA2369	6.16992972400798	6.55763968463611
BA3333	6.17121351437265	6.1058059803294
BA2003	6.17121351437265	5.81122081776697
BA3416	6.17209130162237	5.84590125948166
BA2515	6.17598273714894	5.65599688789121
BA2308	6.17641644366945	5.84234806468241
BA3114	6.17641644366945	6.5272776299756
BA2047	6.17989946486144	6.04647904010288
BA3435	6.18251802139279	6.32729837510952
BA2707	6.18507158781402	6.50698545533974
BA3149	6.18507158781402	5.79160717030847
BA2931	6.18549348202673	6.31115381839613
BA2125	6.18904995277038	6.48317228455133
BA2113	6.18950223686314	6.46286097671524
BA2832	6.18950223686314	6.1188645712048
BA2984	6.19120375825818	6.17686048502122
BA2865	6.1921407741856	5.63859875243939
BA3448	6.19345543409726	5.93982972127244
BA2420	6.19345543409726	6.73527749858946
BA2655	6.19438001519865	5.63974092739285
BA3164	6.19438001519865	5.25926318349682
BA3158	6.19438001519865	6.37031994316104
BA3001	6.19521896796153	5.92959760650397
BA2220	6.19646958807837	5.64166399423883
BA2488	6.19690129645258	6.41031606152443
BA2175	6.19776851107361	6.57670086749662
BA2217	6.19822146547957	5.80299550783759
BA2791	6.19874995357892	5.75793531082724
BA2124	6.19874995357892	5.76568700898176
BA2811	6.20050527440426	6.01912446509313
BA3375	6.20098661255903	5.57190904546529
BA2417	6.20227272504612	6.33280116885594
BA3293	6.20356343645269	4.64271832053246
BA3133	6.20398896796611	6.17121351437265
BA2718	6.20525292176704	6.26203648745747
BA3173	6.20825574796756	5.83602224066433
BA2761	6.20964310204874	6.11161537904966
BA3154	6.21013178100069	4.79068369995582
BA3422	6.21316864027758	5.37638785070633
BA2723	6.21316864027758	5.35814543619648
BA3449	6.21363363803942	6.13249003882685
BA2096	6.21410531502083	5.67695923349879
BA2413	6.21539686316165	5.70836568128015
BA2153	6.21802371577529	6.22989744594561
BA3447	6.22157033382946	6.52120608932454
BA3194	6.22157033382946	6.47764595644109
BA3245	6.22284672145603	5.67089201714434
BA3353	6.22545256194412	5.76066648810106
BA3407	6.23533588980149	5.35378122072143
BA2944	6.23533588980149	6.18463805749781
BA2856	6.23533588980149	5.75062167266173
BA2526	6.24013217204255	6.3282334089858
BA2233	6.24100946664766	5.92432462638165
BA2361	6.2445717796939	6.49454808629482
BA2171	6.24592732813786	5.69370906216796
BA2080	6.24592732813786	5.35965803846691
BA2808	6.24912819394912	5.90396043152694
BA3433	6.25091484872834	5.53426887614694
BA2836	6.25179190765508	6.24592732813786
BA3141	6.25265344537738	5.41282200225543
BA3079	6.25311199468293	6.94421494122577
BA3264	6.25445222164076	6.10872354813756
BA3283	6.25584067626589	7.15557221270197
BA3208	6.25584067626589	6.33826437905032
BA2245	6.25762029146855	6.33826437905032
BA2400	6.25896920678185	6.44802101478473
BA3352	6.25896920678185	5.15632938242022
BA2879	6.25896920678185	6.04401665671066
BA2735	6.25945312566298	5.32629384115804
BA3249	6.26033254809805	5.94221717949707
BA2602	6.26033254809805	5.04444275985059
BA2410	6.26033254809805	5.65448355973944
BA3119	6.26118056372206	5.88444565778855
BA2656	6.26338772089894	5.45378533976882
BA3371	6.26385719339892	5.53534040119425
BA2065	6.26517604030033	6.06468755944282
BA2866	6.26561634633026	6.10747462593212
BA2182	6.26604717378172	6.29410623448101
BA2464	6.26881149847343	5.36035690673449
BA2633	6.26972531039322	6.13853683580785
BA2440	6.27158031478995	6.35211013226828
BA2908	6.27158031478995	5.76994542170869
BA3176	6.2751197185023	5.99436956978052
BA3300	6.27603504625168	5.53314032561817
BA2756	6.27694818574979	5.20013137153335
BA3190	6.27784077147234	5.92432462638165
BA3302	6.2796317403598	6.07138778077856
BA2309	6.28139967131455	6.96912043899967
BA2452	6.28373604828764	4.76109238764645
BA2802	6.2850706491728	6.27289277243206
BA2156	6.28642083726129	5.69217660010952
BA2577	6.2877927663973	5.91437229465113
BA2374	6.2877927663973	5.79758031043752
BA2727	6.29137386576201	5.64425897367774
BA3206	6.29871693912713	6.10662293034719
BA2020	6.30050208589508	6.2445717796939
BA3308	6.30050208589508	6.3129901827468
BA2619	6.30326841219344	6.34099882607851
BA2456	6.30418081628279	5.88085174617523
BA3027	6.30464556196735	6.4243136710677
BA2294	6.30740738637139	6.26561634633026
BA2095	6.3078817611491	5.38803577864658
BA3351	6.31068973576453	5.67279352334088
BA2218	6.31205444786469	5.25497927017155
BA2251	6.31251579014812	6.21013178100069
BA2184	6.3144421792923	5.98343537244457
BA3400	6.31492475633183	5.63782453216305
BA2649	6.31810358288684	5.21007881246748
BA3214	6.32126637219132	5.21114894759575
BA2135	6.32267289165303	6.1167480511433
BA3334	6.32314377198831	6.14235074085009
BA2651	6.32408741401117	5.6655125977295
BA3145	6.3249851051031	6.08192723673296
BA3004	6.33046496181519	5.66014078206684
BA2148	6.33368252669389	5.13585150348145
BA2228	6.33600766569699	5.616270357549
BA2953	6.33918453468976	6.09980072152953
BA3227	6.34322095252985	5.38984631837511
BA2816	6.34923107690817	6.84098754890722
BA3011	6.35627429889414	4.84562521936661
BA3240	6.35713479831954	6.67612658139253
BA2037	6.36182238595201	5.95316910567884
BA2844	6.36227514110898	6.23969161748368
BA2273	6.36276922003241	5.97440821051446
BA3373	6.36326165874901	5.43585497001994
BA2441	6.36467185423724	5.93816710389573
BA2822	6.36600938491696	5.15597615770657
BA3009	6.36695225743452	5.97812067314416
BA2532	6.37031994316104	5.66778894823137
BA2798	6.37079667059363	6.39121229400113
BA3117	6.37215716750202	5.51276153131016
BA2489	6.37547648198029	5.84150393894181
BA2748	6.37975842200095	6.1036718931718
BA3397	6.3811905938473	6.04113685727626
BA2645	6.38738832095137	6.01784200578308
BA3108	6.39073862378253	5.57935496877716
BA2036	6.40025463094879	6.2787278602742
BA2211	6.40122033716978	5.4113491881704
BA3040	6.40264148496757	6.21630928183059
BA2390	6.40264148496757	5.55851041668359
BA2973	6.40360502181603	5.56556160430555
BA3268	6.40454724548096	5.92753747485825
BA2592	6.40688318423783	5.60348204059795
BA3450	6.41555515164963	5.63398998851589
BA2839	6.41651938191685	5.66361114365051
BA2704	6.41753927442656	5.33791952921801
BA2429	6.42530173541054	6.23033780733241
BA2845	6.42575430557831	5.53865932247819
BA2341	6.42763769743183	5.50315192004078
BA2326	6.42858727965842	5.57154615906059
BA2964	6.42858727965842	5.48241842021019
BA2035	6.42953951724595	5.57338620444232
BA2038	6.43095537419459	4.74673296350921
BA2912	6.4338606092369	5.9785222997962
BA3195	6.43590316276273	6.54096638153352
BA3436	6.436391484782	6.37595873118392
BA2116	6.4369045674542	6.69408720379773
BA2485	6.4432415747754	5.88045550111629
BA3218	6.44565569212713	5.53130217583918
BA3423	6.44756726036546	5.35265544520885
BA3153	6.44995385247277	5.82076176816399
BA2612	6.45455803457724	5.55285643961997
BA2570	6.45599883472476	5.69757983119209
BA2841	6.45648309857568	5.4943411471575
BA2088	6.45847746962255	5.7725785925433
BA2473	6.46136172333021	5.28216189346069
BA2427	6.46136172333021	6.1281715906941
BA3322	6.46633469347968	5.72941496772039
BA2041	6.47228949068298	5.25419658542836
BA2905	6.47426873472503	5.6590072041356
BA3202	6.48705929163371	6.08794135772437
BA3185	6.48952236006017	6.70422977407013
BA3037	6.49002795768883	5.10315757075363
BA2405	6.4915209071939	5.87733009897837
BA3332	6.49799553338119	5.91677233397116
BA2046	6.50002459426286	5.39854887648757
BA2579	6.50152491798344	6.50248754607679
BA2292	6.51154576024005	5.80891216118178
BA3418	6.51302546929391	5.87139334737162
BA2986	6.52020957672534	5.47397012091034
BA3402	6.52120608932454	5.41320005218039
BA2281	6.52170608095191	5.42125052108752
BA2448	6.52324588492183	5.40295228642976
BA2506	6.5242368874556	5.45268870343212
BA2867	6.53145543602281	5.83331901871842
BA2611	6.53249965977741	5.38803577864658
BA3276	6.53695474326822	5.38841032189554
BA2357	6.53695474326822	6.01704720263967
BA3105	6.54096638153352	5.4227029621497
BA2288	6.54255345963774	5.77182174756257
BA2392	6.54408446340443	5.49361387353109
BA2730	6.54408446340443	5.32810180055979
BA2520	6.54875546973009	5.56477795201106
BA3277	6.55285609284704	5.73207630464099
BA3142	6.55965463360655	6.22807535432375
BA2302	6.56065461359229	5.77571318535643
BA3156	6.56583781452914	5.73627139725326
BA3110	6.57095981156775	5.83640380634386
BA2494	6.57247167015578	5.70182427600488
BA2720	6.57407550686427	6.78739149461742
BA2133	6.57670086749662	6.49504433110095
BA3186	6.57720688521491	6.61224021519215
BA2169	6.58028734101557	5.67695923349879
BA2430	6.58462737788517	5.33137556428865
