	GATA2	DNMT3A
BA2843	5.51382815263466	7.04918884608735
BA2592	5.87139334737162	5.39347949789235
BA2497	-0.200351841889843	4.53554304554111
BA2718	9.71984209806913	7.87584460904621
BA2575	5.35965803846691	4.84562521936661
BA2096	6.33465501524617	4.66610967820232
BA2593	6.50598160592548	5.2635303158332
BA2791	7.2245944685398	5.91758639573652
BA2620	6.6396645832219	5.72903451515424
BA2629	6.5105672693692	6.23533588980149
BA2870	1.06894896681523	6.38599164256093
BA2423	3.54497964521433	4.43352231435234
BA2682	7.53511002571526	5.44640808199127
BA2276	6.88553914900191	5.42530018626189
BA2348	4.47099076274074	4.75764062057754
BA2709	4.71407158331364	5.2868395453686
BA2789	8.85577669200061	5.88684341274268
BA2694	7.01613705435711	6.22675882110798
BA2538	6.04021038079235	6.25807759133934
BA2583	5.53534040119425	6.36648969189247
BA2415	3.41140290286834	4.81585561124571
BA2722	7.49794707202402	5.89048099649459
BA2806	7.96744532914178	5.91595003127845
BA2221	2.52007957747602	4.65687977223113
BA3025	9.53969913371194	7.31039812260742
BA2514	5.72754939375197	5.17241204196236
BA2520	2.91242066204713	6.93890773932704
BA2441	7.28268371584317	6.92239609110895
BA2153	5.7983454299058	6.39926285688665
BA2479	4.7941665840707	5.61780736228049
BA2281	7.82261702082019	6.1921407741856
BA2657	9.2429894144776	6.04691526295528
BA2932	7.63041516939983	6.14718029862126
BA2123	7.50105244518025	4.48731198029739
BA2844	4.95919380929034	5.36000471761652
BA2660	7.34370807957505	5.62419273985357
BA2836	6.93954050250455	5.62530338833762
BA3027	4.29639716866503	5.36514025423526
BA2714	7.06807720975175	5.21363189314042
BA2139	1.76917277909169	4.53197710730373
BA2251	10.3660086756332	7.54970729199318
BA2952	6.43493754543007	4.36608295505138
BA2440	5.98220791058853	4.78017722753487
BA2036	9.97467175015227	6.25807759133934
BA2828	7.70840071464408	5.75062167266173
BA2292	7.06020993945392	4.11937931431274
BA2410	7.93187727167438	5.75415496254133
BA2051	4.75937775414095	4.68591344454784
BA2532	7.83554388846121	4.96266025809675
BA2986	5.50315192004078	5.59662502172316
BA2494	9.8991027074875	5.24647301398251
BA2515	4.95086713745968	5.18055221298724
BA2748	7.63278489020753	6.79158437688518
BA2970	5.95193817538216	5.58383676402354
BA2622	4.99389750199927	4.81831316874204
BA2839	6.50494854074967	4.66151584498319
BA2052	4.39995076697618	6.34832965907228
BA3011	7.33163994376767	5.11433165880832
BA2868	9.1872873383188	7.18812871773308
BA2510	0.277265117709438	5.21924696123963
BA2065	8.15477520582082	6.17379906817959
BA2691	2.91665615356007	4.77982414410044
BA2374	6.50348265468803	5.51691886633525
BA2804	5.14161615451425	5.82541777312417
BA2670	5.72023465218825	5.45893049861312
BA2675	8.26396477173174	6.34832965907228
BA2589	9.2592593958878	7.27555120012057
BA2031	4.02452335153635	5.12702075468941
BA2198	6.44613094518311	6.54928934120065
BA2066	4.44555299237497	4.56478976898356
BA2344	7.58759859001841	6.75597489483719
BA2459	6.76898394569665	5.41754429750073
BA2229	6.60156923670466	6.2290430058542
BA2559	6.88867708372879	5.02728430921221
BA2093	9.38234175781362	6.36086030376613
BA2000	7.13121480456278	5.82859548893421
BA2425	9.81131500696184	6.12637853560869
BA2905	7.50647222464875	5.90555861314736
BA2304	-0.0150693070758923	4.5391313162393
BA2976	6.37878971540536	5.89878476046271
BA2386	9.44987135785787	5.76181699229763
BA2035	9.13342062895717	7.38848640256579
BA2760	5.61668949030342	5.22317063501282
BA2201	6.36792449266188	4.76005725019894
BA2355	5.32233498083344	5.02764204989782
BA2113	6.40170617544637	5.95559861955689
BA2155	10.332335723606	6.54150806703429
BA2955	3.4170840126625	4.80814964517647
BA2502	5.81083073745061	4.91792245118013
BA2322	7.08974258985974	6.24013217204255
BA2376	3.41561286956515	4.81549079833473
BA2020	7.53405377993628	5.67811655623058
BA2226	7.24647814947882	5.69683059962592
BA2200	8.3603866090308	6.16950493399515
BA2121	5.70530146482159	5.97608438156721
BA2944	8.14513423086413	7.24218373520164
BA2033	6.26705656087935	4.56407532031905
BA2867	6.47866220517702	6.13725593051751
BA2089	3.08537081267169	4.27079096532492
BA2224	7.33529770605395	6.16479221189801
BA2046	7.13433489569232	4.60401552568644
BA2972	6.63915578339387	6.61484329859941
BA2978	5.22173396238009	5.38151536241943
BA2829	7.55977224878375	5.66740335166233
BA2851	6.59041781660964	6.02615955253131
BA2587	5.15207050393233	5.97523061949623
BA2461	4.04229195612943	5.15668163101419
BA2695	6.21316864027758	4.65902094233579
BA2623	6.63383351459938	6.63758201438047
BA2024	5.51691886633525	5.40260210506482
BA2426	6.73745939965324	5.91240742486635
BA2271	5.03254935299147	5.10834862967978
BA3004	8.19012213724112	6.38888273500531
BA2579	3.94179623964938	5.66051919592254
BA3010	5.94914872700359	5.53426887614694
BA2662	5.1312402648846	5.34255610443151
BA2674	6.6396645832219	6.40360502181603
BA2280	7.74536502725477	6.36182238595201
BA2512	2.27310977570549	4.68695768946558
BA2658	3.01238141071871	5.76371292639746
BA2394	10.3745587770136	6.73922514739457
BA2950	6.08318959151969	6.02576365304124
BA2981	5.21743147503023	5.64089444218065
BA2934	3.23073632692797	5.56441490975965
BA2539	4.34458492733121	4.88365938121125
BA2249	7.23036606098158	5.48468121276611
BA2034	7.78401208165605	6.11503718341623
BA2109	5.25385282871793	4.87023108953253
BA2242	8.1981158996604	6.03404286985942
BA2277	7.17358455839536	5.97691207859612
BA2727	8.29820901257083	7.10771088589405
BA2132	8.1336646480907	5.91874058491338
BA2618	5.7443340618491	5.46299801814277
BA2521	7.6685963483501	5.49396648422183
BA2846	6.97731252665637	6.49002795768883
BA2885	0.499201192837283	4.92595904339551
BA2639	7.23126576681474	6.29137386576201
BA2775	8.75396729152058	5.60579685194834
BA2402	7.41497012248878	5.17065533146209
BA2097	6.65845499115322	5.66740335166233
BA2786	4.91685437213902	5.58682786591739
BA2399	7.90654028957083	6.16697408993369
BA2850	7.30676049708217	5.53758769155616
BA2174	6.39165195051498	5.56931523967556
BA2004	7.10612705087253	5.79282325358751
BA3001	9.11460476788528	6.55713498264667
BA2311	4.44334512113552	4.78361272995645
BA2483	7.94314055717551	6.25534556152395
BA3040	6.93954050250455	5.54431492495241
BA2837	7.37675245327076	6.13249003882685
BA2724	5.71100608100859	4.79523149626919
BA2911	7.95452812467512	6.13505858445244
BA2256	7.39540604135448	6.07438042977308
BA2821	5.09181307158236	6.06121727575126
BA2233	7.00565090016862	6.75074032756909
BA2744	8.99906762077278	6.69580577134555
BA2880	4.91721018578494	5.14825734566663
BA2621	4.85056186804303	5.31756660169569
BA3002	7.08521741719084	6.11593110685268
BA2501	7.1646982323911	5.71368801694621
BA2993	7.77161485169371	5.68833994254818
BA2301	4.78361272995645	4.60295748096679
BA2852	5.70872171926613	5.42453578520679
BA2133	5.82429929461363	5.51345714323729
BA2866	6.19563315556883	6.36930495814156
BA2212	5.48915482766383	5.89086317810063
BA2685	7.281719536851	5.40778946397742
BA2273	7.99573716734119	5.9773343667847
BA2477	7.05292631391108	6.16697408993369
BA2659	6.8446685918264	5.05963791860408
BA2124	7.65513327960109	6.63383351459938
BA2363	7.42090370210596	6.0344495153559
BA2369	6.59569193185131	5.84631034661227
BA2534	9.27156918109996	7.56679847925559
BA2400	7.14383843051354	5.92432462638165
BA2762	7.08227901596389	6.03732004077161
BA2312	7.25176192852259	6.01745471553114
BA2813	7.19643196455649	5.79446889536676
BA2211	9.02190186898869	6.67837784799198
BA2171	7.29431703031285	5.78002501253586
BA2746	4.79767961716109	4.56145114497437
BA2798	7.96422079504262	4.85230183637924
BA2809	6.5550219238791	6.37079667059363
BA2288	4.72003247702049	6.21760589006463
BA2801	6.06971777989566	5.10733697094661
BA3030	5.4066422207313	5.98792432171399
BA2588	8.07245680901417	6.3730951356739
BA2296	6.47426873472503	6.57772759538865
BA2300	5.79874599985332	6.17423728477739
BA2903	5.63551782963557	5.46260848821559
BA2473	7.36910502551481	4.66541353379402
BA2545	4.92380795044112	5.29014927757584
BA2840	9.59577094815016	5.20757281722967
BA2528	6.5518017021576	5.49025573477232
BA2646	7.49256176412129	6.24227196022735
BA3407	4.81902834400603	4.41937585941747
BA2240	7.72809482559201	5.87772009379433
BA2926	6.5851771545889	5.48685812816546
BA2272	5.95076318092024	5.16389532747044
BA2306	5.04444275985059	6.16229657509821
BA2765	6.08707291217101	5.10733697094661
BA2904	10.1753003572988	6.23081198982986
BA2883	8.31787605128572	5.00552413095077
BA2726	-0.238630282752338	5.10142924510394
BA2234	1.05164008757557	4.09352976766015
BA2022	7.70330320958059	6.00392077224602
BA2228	5.23174307005196	4.73692025392607
BA2037	8.24717893447311	6.37031994316104
BA2184	8.42083657982967	7.44644074627456
BA3009	7.23636521102564	6.32314377198831
BA2842	4.40802912825966	4.54377637973889
BA2442	7.74132890165977	5.54393492602013
BA2882	3.77959301841516	5.05929023106165
BA2758	4.26323917922153	4.51398396735729
BA2705	7.8210975174081	5.54355794441881
BA2663	4.20873434593167	5.4040564998537
BA2570	5.80572775335192	6.3129901827468
BA2764	5.04210102667198	4.16479586623105
BA2209	5.44603871114775	6.20525292176704
BA2989	8.20818067427413	6.26705656087935
BA2855	4.36015860511768	5.04138595893264
BA2261	7.86519796261888	5.32664570587017
BA2721	6.26118056372206	5.42748213274228
BA2930	5.53979697945933	4.32076840742144
BA2728	7.28525840993051	5.46114309064973
BA2715	6.91854859965898	5.13442321095142
BA2469	5.74011278993299	4.04753383160948
BA2269	4.62036406268975	4.81095988420945
BA2098	3.75076608161682	3.59566377043115
BA2778	2.42732071858121	3.69392175101973
BA2951	8.46922505155083	6.93021683662514
BA2163	7.42519569680361	7.03196402344294
BA2379	5.86210066626784	5.14161615451425
BA2817	1.83042814261167	4.73585764384443
BA3153	8.08335570616425	6.35855944709052
BA2820	5.64240286737973	4.82534093200762
BA2723	5.69915968973013	4.46663819123563
BA2704	8.11104544817006	6.19169062886434
BA2088	4.65333014368695	4.23317948236661
BA2116	6.94294359338222	5.36689692587537
BA2584	2.24349372699526	6.19479612483736
BA3079	6.6100656847185	5.95765278561263
BA2417	3.06113870744397	5.79321150053106
BA2361	4.6932849776624	5.50498484264806
BA2450	8.38100696139026	6.67894286315779
BA2492	3.31109043996003	4.23203632866019
BA2552	7.65148276489013	5.91595003127845
BA2472	5.32411225603459	4.56799936889978
BA2994	8.22036612888066	6.38599164256093
BA2047	7.77846043065093	5.70146183160515
BA2101	4.65120922776301	5.79045455115976
BA2082	3.90728684369565	5.53865932247819
BA2879	6.69192414230504	5.11922365704846
BA2577	7.03196402344294	6.7058515766051
BA2456	2.29791028651136	4.85371906563251
BA2175	6.38261014012489	4.99738222665924
BA2824	8.75098362594822	6.40454724548096
BA2507	6.80545390529169	6.74039110508618
BA2563	7.98067391429632	6.49406704275497
BA2244	5.8045076557668	4.96127415225726
BA2470	7.75780436658957	6.2918184227424
BA2984	8.00780085925266	5.62868512576849
BA2414	6.95751613947387	6.58623483162294
BA2697	4.59081785984696	4.61150443110127
BA2079	3.85600991616853	5.08758890657065
BA2999	6.90096747490557	6.39738498406032
BA2644	6.78194925141946	5.65485837851428
BA2011	6.37975842200095	5.32664570587017
BA2217	8.48656626341456	7.20800173217813
BA2454	10.5981160524102	7.33073792117204
BA2776	8.24717893447311	6.74039110508618
BA2218	8.42321613548815	5.91717313414898
BA2135	5.36438724591077	6.06255807626612
BA2914	7.92045916247849	5.77070270325106
BA2500	6.70193954968785	5.48059363504872
BA2830	6.92050118830241	6.85144834736251
BA2406	3.72560586066794	5.29272133823875
BA3108	8.20616122712402	4.66717493535737
BA2924	7.50647222464875	5.31255258978501
BA2303	5.34973720544744	5.28256921751163
BA2160	8.32893113987774	6.655181196516
BA2038	4.95577043792796	4.35906524158071
BA2602	4.40656431480039	4.62321630772693
BA2964	4.68133985426918	4.39407415685903
BA2898	4.78153410225228	5.13692147172974
BA3003	5.33137556428865	5.2450731397095
BA2111	5.55851041668359	5.12563283342855
BA2827	4.82742292972687	5.11569183564456
BA2912	3.99833496825788	5.81007696621955
BA2437	5.35593989387114	5.1122048652643
BA2283	4.81337176305461	5.36221790332293
BA2057	4.51939484788158	5.19592591955162
BA2633	5.16960938829634	5.44569104780308
BA3034	5.28256921751163	5.06279777386113
BA2607	4.60223859726182	4.98230143047781
BA2761	4.68309897358403	5.67432622931416
BA2795	4.53769799161138	5.22927128390671
BA2182	4.89591757187592	5.25109490120941
BA2152	4.38228741422543	5.23965795443685
BA2381	7.06885426902192	6.38306782429477
BA2931	4.47827685062553	5.49691431965408
BA2040	3.26599227921617	4.54056013941107
BA2590	7.19738153999511	6.56990345420697
BA3195	7.02200264661639	6.86838819773824
BA2516	6.44710159988793	5.78615399709568
BA2353	6.91854859965898	7.26851020715081
BA3036	8.34456564828853	6.3850340445232
BA2971	8.50093062457148	6.23664169060856
BA3410	6.10703701818297	5.66279307581164
BA3118	5.98917879350321	5.42234890079115
BA3206	6.34190143280827	6.83601210531875
BA3202	4.49454936710229	4.24693083065817
BA3217	7.89401548128851	6.01664395833904
BA3405	6.63486341869675	5.35117907046834
BA3306	7.51299557490928	5.44067594846619
BA3371	5.36365751969834	4.97317547511932
BA3413	7.63278489020753	6.83843057067482
BA3411	5.03642055076695	5.73738411344192
BA3133	8.97142354261209	6.15921420802907
BA3164	8.5555137585582	5.78192253760815
BA3451	3.32501250452144	4.90254409754431
BA3286	5.84234806468241	5.8761890408473
BA3212	10.1019627568373	6.15834977750935
BA3103	5.06069232646451	5.4040564998537
BA3271	6.05279557201734	5.49289037233673
BA3152	3.24991105964122	5.21327609576147
BA3095	8.09989277486394	6.20098661255903
BA3192	6.97318609681243	5.35415056636227
BA3251	7.03918975972709	6.35399476116952
BA3362	0.433070764286167	5.60540886857144
BA3400	8.33337930026134	5.490635893289
BA3135	7.08899874190146	5.89003355654074
BA3408	3.38554683036159	5.12063498746829
BA3187	5.11433165880832	5.39277292171201
BA3098	7.02978091514104	6.18590754539494
BA3435	7.93658206656699	5.67887021391384
BA3261	4.68906744298486	6.47915200705891
BA3203	6.52375465899181	5.61405116349114
BA3174	4.59438606664195	5.21397119518206
BA3317	8.17625565039323	6.81883552060849
BA3299	5.26710389157619	4.41640814943071
BA3221	2.71814995189887	5.50684581649132
BA3347	1.4977254366136	4.5651470965606
BA3235	4.24655068383766	4.59152669861806
BA3126	2.64402051124596	4.09434749658679
BA3380	7.18812871773308	5.84353133766961
BA3089	8.04934885751887	6.50598160592548
BA3109	5.95395062623658	5.19197507986882
BA3114	7.18398636132438	4.61788631559245
BA3418	7.28800386009291	6.25221507266163
BA3245	6.84839040918598	5.72099925846855
BA3085	7.11517726354172	6.88232132236019
BA3128	7.30861526987379	5.6290939324601
BA3423	7.7605970351598	5.86057748465192
BA3173	6.07221564365928	5.93735639042332
BA3171	7.37675245327076	6.34878143548061
BA3277	7.2179085684236	5.44424859687628
BA3210	6.4915209071939	5.82971849546372
BA3157	6.68070832768596	6.43193622663115
BA3433	8.30037965468589	5.85578814032464
BA3322	4.34569920053779	5.08223929101889
BA3374	-0.177808519803868	5.35519815996299
BA3450	6.77720928573593	5.34219904385068
BA3167	0.719254707053097	4.81095988420945
BA3269	6.76898394569665	4.99738222665924
BA3110	2.87198103535148	5.37014622702408
BA3156	7.83704881770087	5.45234424595149
BA3226	8.14705635633251	6.25000151049301
BA3421	6.54456958822718	4.8864219540017
BA3232	8.15477520582082	6.27426778231287
BA3289	4.99494706061389	4.85971090955896
BA3430	3.64521772451027	5.25385282871793
BA3145	8.20818067427413	6.73922514739457
BA3399	6.40074858834192	4.74148796294472
BA3449	8.79635277497105	4.95086713745968
BA3384	7.68652733200955	5.9563978434584
BA3427	7.88494695067266	5.25714318052804
BA3163	2.07381903278467	4.59152669861806
BA3158	7.96744532914178	6.79581543973709
BA3436	10.4540502805812	6.93827202821145
BA3154	0.601632895281666	6.2850706491728
BA3162	6.46633469347968	5.92513526908082
BA3352	7.01472936087095	6.18861040169558
BA3084	4.77031077404719	5.89359904116522
BA3149	3.28330883545606	5.35709573192361
BA3169	3.00426499817374	4.99738222665924
BA3180	7.02698040559294	5.90885007986137
BA3255	7.81832288003789	5.37928711694374
BA3438	1.59541816670198	5.831768285151
BA3345	2.11388863910946	4.94207214987635
BA3403	1.97096633043764	5.24180259489468
BA3431	6.16270217963845	5.5327793179831
BA3181	5.21924696123963	5.01499035740301
BA3341	7.60395254604328	4.25037031677199
BA3191	7.06736498172321	5.50721271315311
BA3197	10.0139606390354	6.83344544574865
BA3448	7.76334677298606	6.60051001058414
BA3453	6.94358580230343	4.81972624226558
BA3406	7.62437772428186	5.89003355654074
BA3308	7.41702873174962	6.62952631509886
BA3186	9.9053830477262	6.7037023558772
BA3334	4.22175408993243	4.61468245344628
BA3447	4.59972375526065	7.53734841909383
BA3116	3.24833932522177	4.92736106288858
BA3280	7.63278489020753	5.34471469248409
BA3185	2.28340449654963	6.0765385205626
BA3094	-1.96011964564348	5.44318329987226
BA3318	6.326824292765	4.65263126814038
BA3216	6.47279065497325	5.88406214865442
BA3332	7.36724009431295	5.83917770608647
BA3214	7.99246857024867	6.52836297577895
BA3099	7.75780436658957	5.81839607751016
BA3141	8.84307877151568	6.6430484484285
BA3373	8.43758065182973	7.08521741719084
BA3319	5.9785222997962	4.99665147897099
BA3328	9.1410080593907	5.75023036618314
BA3339	1.3495851994097	5.90720734250747
BA3240	8.91751782379931	7.46784096415085
BA3142	8.68676863894814	6.49002795768883
BA3333	7.37577438257785	6.66451367219681
BA3381	5.08870565418655	5.12596382526423
BA3290	8.19012213724112	5.67811655623058
BA3207	3.02428518304635	3.30852387884075
BA3296	3.53193069811392	5.02619905861961
BA3305	6.50854787129231	5.71368801694621
BA3434	4.82292152807512	6.20525292176704
BA3189	6.86708630662577	6.72005859768329
BA3264	7.17999658780694	6.11294027816034
BA3329	9.23665444981222	6.39359148087619
BA3417	0.207476070123517	5.51691886633525
BA3367	5.72023465218825	5.03748167961273
BA3225	3.92905779716509	4.30837790148871
BA3183	6.73692509275104	5.77294291662078
BA3222	0.578560653385863	5.4780108909795
BA3139	7.81101053195418	6.25445222164076
BA3397	3.03620367997927	6.5518017021576
BA3311	6.35019247071228	5.23032944318066
BA3422	9.65571538111022	6.54042498941119
BA3228	7.8210975174081	6.11633596300958
BA3213	5.6533576160666	5.8546289142141
BA3270	6.34737367069021	5.36939086109841
BA3415	5.82971849546372	6.08148760261427
BA3324	6.87212018212394	6.40503611780804
BA3194	8.2960419873451	6.77720928573593
BA3335	9.2389471182711	6.11633596300958
BA3199	7.05796014084047	7.06166102601644
BA3326	2.88584557978208	5.30886708091399
BA3285	9.61602995658446	6.35713479831954
BA3297	7.82688083190866	6.17989946486144
BA3227	9.60929418124753	7.03623900558414
BA3394	7.53511002571526	6.21933467933948
BA3412	0.439987090282692	6.21454243325922
BA3293	9.06845231152446	5.91637612602088
BA3250	5.42966375134891	5.83256616777847
BA3177	5.13976221148527	5.6412866944169
BA3315	3.90901162589946	4.798374704262
BA3182	5.55510823651463	5.85810717843667
BA3260	4.66398706452937	6.02077165309049
BA3369	4.807111451034	5.69992958447881
BA3078	5.75415496254133	5.48023322260474
BA3386	8.70980864868103	6.57509033573893
BA3445	6.61275930528802	4.87235166783045
BA3452	7.32489473499785	5.46001022094073
BA3176	7.22042069105103	6.55914586158058
BA3258	1.26994075255518	4.16634381840989
