	GATA2	DNMT3A
BA2392	7.41600983782201	6.55027156269161
BA2611	7.34547705030654	6.42139457326444
BA2506	7.41107466475047	6.38837422038712
BA2430	7.37299295258264	6.42233932973963
BA2448	7.42721767032965	6.36982886713941
BA2730	7.37967634115988	6.4369045674542
BA2845	7.31758513982701	6.55451548155805
BA2326	7.3445927403943	6.59041781660964
BA2341	7.3614587281193	6.54307132156237
BA2612	7.32489473499785	6.57247167015578
BA2973	7.31665510949842	6.54150806703429
BA2390	7.3634906067475	6.56633757408764
BA3218	7.31484141146978	6.52170608095191
BA3105	7.26503778677364	6.40170617544637
BA3402	7.27805701193436	6.40737616847402
BA3276	7.29968056370735	6.46333894051768
BA2409	4.08953411027778	4.92558404139259
BA3037	9.22687989289351	4.90640898586377
BA2496	4.22136650202706	5.03856627298611
BA2172	7.72672331348077	5.90037022570554
BA2865	10.0543370402648	6.44802101478473
BA2923	-0.905814060314707	5.58458887284863
BA2751	6.91069984449294	5.98996157877142
BA2480	8.44966638628301	5.89765135115317
BA2286	6.84098754890722	5.42089748568897
BA2922	6.95344802847081	6.6639864599992
BA2452	7.2808607611199	5.90353378741165
BA3379	6.11039522609915	6.22675882110798
BA2887	5.05929023106165	6.29652207810065
BA2712	2.26275670492429	4.84562521936661
BA2068	8.95777690896205	5.85144934754927
BA2236	8.58457840504288	5.92513526908082
BA2104	0.732935262992316	4.27532548252001
BA3124	5.77221027466017	6.23033780733241
BA3395	7.45571345371651	4.90361056525495
BA2921	7.41497012248878	5.99605530428902
BA2449	5.21327609576147	5.3715755453953
BA2003	7.37771038448057	5.33364015180298
BA2360	8.58992566833602	6.90753952267277
BA2802	7.40900238551148	6.43335604753767
BA2235	6.83214250556656	4.92771047103252
BA2858	4.24617468927424	4.35648958622004
BA3038	6.41227021268222	5.29082273845723
BA3006	7.99915514777274	5.99970534098919
BA2245	7.66369633945432	6.01005588113279
BA2667	6.50152491798344	6.36134230536283
BA2239	4.89696755761679	5.21813047946163
BA2782	5.97890641593254	5.27325382286629
BA2649	7.15798365655759	5.99890598903284
BA2488	8.16840116234166	5.55888193371954
BA2861	7.44839655086442	6.61117532741348
BA2909	7.51630069461518	6.01784200578308
BA2429	6.13853683580785	5.69757983119209
BA2653	8.67721676583393	5.46484401503758
BA2134	5.66361114365051	4.6827458552578
BA2947	8.5971359914493	6.7903869995291
BA2032	9.91143332054624	6.13853683580785
BA2162	9.31751716888528	6.25945312566298
BA2564	4.70523791699629	5.50870400018428
BA2597	9.36650856672567	5.76760186750385
BA3243	9.58909503454725	5.43042530271375
BA2106	7.01200936090574	5.67317843136018
BA2427	4.33903266779967	5.48059363504872
BA2841	5.94099029232779	5.45711106423954
BA2446	2.31812232252383	4.90083067720818
BA2645	9.64008823387741	6.82793872143045
BA2525	5.24865361107735	4.89058431526758
BA2876	5.79758031043752	5.44640808199127
BA2357	5.50571962151203	5.02235718099048
BA2546	3.0112376490771	5.51500276467509
BA2742	3.66797907398221	4.92841190922266
BA2316	3.22495437973645	4.98581237116735
BA2421	2.45065051871032	4.63033110918827
BA2087	2.55585093682386	5.13368956327964
BA2910	10.2053241381792	6.40025463094879
BA2148	8.16059641320183	6.0688553647905
BA2063	3.02935460711532	5.18021866658889
BA2329	7.2245944685398	5.09075247446604
BA3178	-0.106092733460167	4.99923632979666
BA2072	5.14543140849029	5.4391470099726
BA3029	8.92748837970555	5.38508153742644
BA2733	5.32125964978542	5.37965871348939
BA2995	1.87147539953468	6.74268846032395
BA2069	1.06756511195893	4.77701262518198
BA2100	6.69027313849037	4.98409448643986
BA2681	7.58759859001841	6.51154576024005
BA2248	6.88553914900191	6.0444352624309
BA2832	8.69249597847146	6.12682630802195
BA2308	7.87732006412967	6.22113787930576
BA2413	7.29077391107671	6.16609369248211
BA2701	5.76256437697443	5.64618047026692
BA2634	6.61275930528802	6.25091484872834
BA2677	7.25790347094091	5.69566002369261
BA2937	8.40664550150058	5.79045455115976
BA2600	6.59949061589029	5.50315192004078
BA2019	9.64527993925034	5.65448355973944
BA2412	6.57041549701901	4.71932990142095
BA2334	7.64511152399424	6.20697852343694
BA2050	7.30591810989836	5.92596043186298
BA3230	7.22951525991334	5.17381001168529
BA2953	5.74281190993701	5.84669771952697
BA2481	6.26652649814407	5.03079434015524
BA2731	4.76216052725516	5.42234890079115
BA2294	7.90950778255697	7.17520302946663
BA2418	7.77713213848426	6.01373604526196
BA2816	1.63244056607344	5.11433165880832
BA2656	8.15865294170913	6.45897655908302
BA2814	5.88643954120856	5.02974000658284
BA2631	8.0760787079227	6.2167212997473
BA2023	-0.126036792393191	4.72738279030256
BA2375	7.68273154484305	6.08536052540414
BA2485	9.30657970599922	6.78074983432615
BA2455	4.2507446186302	4.69855961142677
BA2025	2.32043052645812	5.23673966789925
BA2636	9.22287720595147	5.92637395893393
BA2325	4.5269559134182	4.04879675825088
BA2169	7.0623479587219	6.19606446047222
BA2156	8.22650342209935	6.79640967556144
BA2511	7.6112304020112	5.26710389157619
BA2939	8.22855584188171	6.0158165147387
BA2168	7.27636680044251	6.41510646424492
BA2505	7.27462693268534	5.62195033213407
BA2860	8.5529001392332	6.33509433573957
BA2707	6.27202284935672	6.18632897661868
BA2871	3.03505636097059	5.96907627794874
BA2655	5.94796425199258	4.77872894002383
BA2227	7.50002964161751	6.55232565838748
BA2125	6.27380663380772	6.10829331712153
BA2523	6.52219766315803	5.74395799798389
BA2603	7.93187727167438	5.47138243938151
BA2808	8.47415784691615	6.31675170697475
BA2282	2.39603844730184	4.80111971961835
BA2482	8.45696872743274	6.17641644366945
BA2812	2.68530372380301	4.99775683802712
BA2822	6.10829331712153	5.98054442725547
BA2594	4.34871319583887	5.81201009033099
BA2747	8.01284698319857	6.18950223686314
BA2561	0.106733079748621	5.94641278080618
BA2567	3.87651804611081	5.34433907396084
BA2906	2.27825644198579	4.74957774721697
BA2956	3.23073632692797	5.64166399423883
BA2474	8.0044307958278	6.09936975927192
BA2737	0.583388534420479	5.70872171926613
BA2110	4.92630002359127	4.74182984575756
BA2992	3.78491798790536	5.05504885396523
BA2220	9.160132157513	5.65448355973944
BA2772	8.79942491234482	6.0781745380856
BA2935	6.05993013058661	5.28177179122875
BA2260	4.49346190383121	5.01183343730558
BA2676	5.78078023650693	5.36293986474154
BA2948	8.35358316301659	5.85542200416075
BA2524	4.83023871763674	5.52135062216325
BA2811	8.47663077360064	6.24912819394912
BA2540	4.68836796933157	3.86156811832603
BA2928	4.17753260382741	5.34151860321391
BA2302	7.19225834495813	5.53940253028108
BA2595	5.88961440143981	5.14967422759909
BA2792	7.17761745050204	5.02056262861089
BA2651	6.92432887364054	6.03566200297907
BA2619	9.4917929010063	6.44227342376241
BA3013	5.87965665517008	6.16865049658773
BA2405	7.40510623344956	5.67317843136018
BA2735	8.43517613550052	5.32233498083344
BA2856	8.63894476137773	4.20674974606089
BA2377	2.36843137715683	4.1940893457466
BA2499	7.8503248353151	5.81959741153124
BA2463	2.17929512084737	6.22329037773919
BA3023	7.81686981561798	5.20440021667154
BA2095	8.05288390011611	6.14672505812723
BA2901	6.08192723673296	5.08758890657065
BA2275	6.35757561884313	5.75302384911337
BA2387	7.77444024847	4.47173241334974
BA2962	6.61649602743193	5.58010200112807
BA2195	8.31347995218337	5.51500276467509
BA2688	7.560948520145	4.72354417544082
BA2787	3.12103519528401	4.78223236558204
BA2420	6.08362235286883	5.5603638318114
BA2756	5.8081471591439	4.01681712942243
BA2122	4.82431105237604	4.87096387518994
BA2053	7.02841397070837	5.84787957757678
BA2080	5.89999571306857	5.86901047120639
BA2081	5.76181699229763	5.77033121359801
BA2354	5.88722354181861	6.23533588980149
BA3273	1.71633530219167	4.71789490848166
BA2893	8.07971165578759	6.19299832162761
BA2044	4.90950444103544	5.54245080282141
BA2489	5.30096102579671	4.74182984575756
BA2309	8.01457218763256	4.97387498404503
BA2720	7.5552619353094	4.52153193566258
BA2908	8.34151708484093	6.4243136710677
BA2054	5.69876878834828	5.07550246590364
BA2872	6.13505858445244	5.31756660169569
BA2526	8.34681429629083	4.92943275175156
BA2041	7.08598210070988	4.60901148734067
BA2464	7.31579076602089	6.09645228197541
BA2902	7.50436087643108	5.39890865222561
BA2541	7.65276972214058	6.22378350328208
BA2143	6.08318959151969	5.09390910729551
BA2094	-1.9002011047749	5.80146381261149
BA2769	7.3370513303313	5.91953516934334
