#Résultats bruts de l'abondance de mutation du gène FLT3 selon la feature priorMDS, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.004615 avec le test Mann-Whitney
  Abundance   TotalKmers  NormalizedExpression priorMDS
  22.965517 9.399235e+09              2.443339        n
  12.413793 7.153630e+09              1.735314        n
  15.793103 7.843750e+09              2.013463        n
 449.310345 7.843750e+09             57.282592        n
  82.862069 8.174919e+09             10.136133        n
  39.310345 8.340798e+09              4.713020        n
 402.827586 7.814987e+09             51.545524        n
  14.241379 6.313854e+09              2.255576        n
  56.344828 8.901559e+09              6.329771        n
  13.034483 4.938896e+09              2.639149        n
  94.172414 8.566528e+09             10.993067        n
  10.241379 9.745327e+09              1.050902        n
  45.310345 4.579619e+09              9.893911        n
 296.346154 1.182556e+10             25.059806        n
 163.423077 7.091594e+09             23.044618        n
 502.153846 7.004248e+09             71.692756        n
 354.769231 6.979146e+09             50.832756        n
  10.923077 8.167692e+09              1.337352        n
 124.500000 8.901559e+09             13.986314        n
  70.000000 1.257424e+10              5.566936        n
 186.384615 1.344911e+10             13.858508        y
 171.423077 4.579619e+09             37.431730        n
 120.965517 6.572317e+09             18.405307        n
 291.931034 8.531157e+09             34.219395        n
 445.862069 6.313854e+09             70.616471        n
  24.586207 9.576597e+09              2.567322        n
  11.827586 7.153630e+09              1.653369        n
2279.724138 8.923147e+09            255.484317        n
 144.206897 6.572317e+09             21.941560        n
  11.758621 7.726760e+09              1.521805        n
 603.965517 5.411534e+09            111.607083        n
 220.000000 6.436533e+09             34.179889        n
  84.310345 8.260289e+09             10.206707        n
  80.448276 8.901402e+09              9.037709        n
 325.931034 1.264142e+10             25.782792        n
  13.586207 9.820734e+09              1.383421        n
 131.896552 1.249729e+10             10.554012        n
 335.379310 6.572317e+09             51.029080        n
  63.310345 7.958003e+09              7.955557        n
 666.413793 1.419232e+10             46.955934        n
 128.724138 6.764061e+09             19.030600        y
 183.310345 1.227116e+10             14.938306        n
 222.206897 8.656098e+09             25.670561        n
  18.172414 6.259413e+09              2.903214        n
  35.724138 7.312465e+09              4.885376        n
  89.344828 1.031387e+10              8.662590        n
  12.827586 8.919518e+09              1.438148        y
 351.551724 7.153630e+09             49.143127        n
1253.482759 7.536666e+09            166.317944        n
 900.344828 9.377847e+09             96.007629        n
  55.517241 7.421624e+09              7.480471        n
  21.896552 8.063055e+09              2.715665        n
  12.827586 1.306337e+10              0.981951        y
  72.034483 5.670167e+09             12.704119        n
  10.689655 9.008421e+09              1.186629        y
 495.068966 7.182719e+09             68.925009        n
  69.551724 6.313854e+09             11.015733        n
 328.275862 6.229103e+09             52.700345        n
 118.620690 6.421663e+09             18.471958        n
  10.000000 7.153630e+09              1.397892        n
 207.068966 7.659302e+09             27.034966        n
  17.103448 7.421624e+09              2.304543        n
 101.310345 1.088828e+10              9.304534        n
  95.517241 8.929424e+09             10.696910        n
  16.724138 9.427317e+09              1.774008        n
  39.689655 7.137673e+09              5.560588        n
  34.896552 6.436533e+09              5.421638        n
 368.724138 1.182556e+10             31.180277        n
 130.103448 9.399235e+09             13.841919        n
 376.931034 6.255084e+09             60.259944        n
 126.758621 7.153630e+09             17.719483        n
  17.379310 6.436533e+09              2.700104        n
 416.655172 9.270890e+09             44.942305        n
 449.793103 7.166337e+09             62.764719        n
  44.034483 6.152350e+09              7.157344        n
 292.241379 9.623216e+09             30.368370        n
  12.758621 8.901402e+09              1.433327        n
  41.724138 8.566528e+09              4.870601        n
  60.068966 9.820734e+09              6.116545        n
  48.689655 7.091594e+09              6.865827        n
  13.137931 5.682211e+09              2.312116        n
  58.241379 8.854002e+09              6.577972        n
  47.793103 6.278038e+09              7.612745        n
  80.034483 6.109573e+09             13.099849        y
 541.379310 9.789722e+09             55.300787        y
 214.758621 8.352852e+09             25.710814        n
 201.413793 9.119252e+09             22.086658        n
  91.448276 7.894510e+09             11.583781        n
 390.965517 8.980720e+09             43.533872        n
 682.379310 1.071946e+10             63.658018        n
 399.586207 8.031214e+09             49.754150        n
 290.689655 1.260141e+10             23.068029        n
  17.344828 6.572317e+09              2.639073        n
 197.896552 5.578305e+09             35.476110        n
  68.310345 9.250500e+09              7.384503        n
  12.103448 6.436533e+09              1.880430        n
  12.827586 6.552646e+09              1.957619        n
  17.000000 7.965646e+09              2.134165        n
 654.758621 1.234512e+10             53.037850        n
 358.931034 8.745010e+09             41.044095        n
 128.068966 8.933638e+09             14.335589        n
 131.655172 9.250500e+09             14.232222        n
 152.137931 8.054348e+09             18.888919        n
 252.586207 9.795604e+09             25.785670        n
 395.827586 8.167692e+09             48.462601        n
  87.413793 8.378561e+09             10.433032        n
  68.310345 6.740566e+09             10.134215        n
 268.896552 1.152272e+10             23.336209        n
 185.620690 6.930774e+09             26.782102        y
1427.586207 1.352301e+10            105.567168        n
 228.068966 1.126770e+10             20.240943        n
 537.758621 1.270211e+10             42.336170        n
 728.965517 9.361311e+09             77.870026        n
 216.206897 8.901402e+09             24.289084        n
1076.793103 1.285754e+10             83.747969        n
  68.793103 1.072766e+10              6.412682        n
 170.862069 9.101451e+09             18.773059        n
  10.689655 8.919518e+09              1.198457        y
 998.482759 1.419232e+10             70.353722        n
  17.551724 6.739097e+09              2.604462        n
 905.655172 8.577040e+09            105.590646        n
  10.000000 1.279018e+10              0.781850        n
  10.689655 1.031387e+10              1.036435        n
 714.137931 1.269887e+10             56.236354        n
 254.413793 5.072799e+09             50.152548        n
 541.310345 8.693196e+09             62.268279        n
