	KIT	PTPN11
BA2822	6.64684027167279	7.85777881958234
BA2594	7.31665510949842	7.22204702944845
BA2747	6.53543485984192	6.84839040918598
BA2561	1.51130448384538	6.23664169060856
BA2567	1.72847085742469	5.88005273032646
BA2906	6.151452910791	7.23036606098158
BA2956	5.88606180557595	6.67446820413111
BA2474	7.37771038448057	6.71554173603585
BA2737	3.93165864889064	6.8175184307766
BA2110	3.98774117772589	6.42189529871828
BA2992	5.40957494113667	7.02978091514104
BA2220	5.05504885396523	7.18644077892568
BA2772	5.93332587992066	6.64072538795855
BA2935	6.4108151402329	6.48412876670839
BA2260	4.5552347102947	6.88993208075706
BA2676	7.74536502725477	6.9965338713589
BA2948	7.64255001400601	6.67339810625054
BA2524	7.27555120012057	6.87150487669772
BA2811	5.21501701134356	7.33796606665151
BA2540	5.98011491063707	6.6322579586067
BA2928	6.05650405294687	6.81569990825769
BA2302	6.56685915377229	6.75716311747521
BA2595	7.36047250037276	6.73108967735957
BA2792	6.66177361256097	6.80239867331755
BA2651	6.88867708372879	7.43037850226792
BA2619	8.67821802831458	7.281719536851
BA3013	5.69333061318898	6.8072812584581
BA2405	5.94473215258657	6.61979235879454
BA2735	5.40147695209821	6.59311218108753
BA2856	5.36476332195428	6.62245620960063
BA2377	6.32635613681556	7.47952389617521
BA2499	8.03722226484621	7.33163994376767
BA2463	-0.256578476181957	6.1281715906941
BA3023	5.91320591729895	7.07180826529373
BA2095	5.73627139725326	7.27636680044251
BA2901	4.75201016058728	6.75831323775631
BA2275	7.82833379039141	6.90492530830845
BA2387	8.6279105840654	6.9068542300968
BA2962	6.10621461216555	7.12040364606583
BA2195	6.92111028015582	6.71384139703977
BA2688	5.64352989350398	6.43193622663115
BA2787	3.13490199455068	5.683055970914
BA2420	7.9003747386446	7.09927444538542
BA2756	6.19822146547957	6.73922514739457
BA2122	4.4543011664344	6.21887740590051
BA2053	7.50105244518025	6.74097656792209
BA2080	8.30255392241405	6.6892157543699
BA2081	8.48656626341456	7.04635072837336
BA2354	9.28155652487085	7.18398636132438
BA3273	0.651829022283505	6.61484329859941
BA2893	6.14672505812723	6.58991080721251
BA2044	7.70961368830257	6.98137959105818
BA2489	5.95233629524957	7.08227901596389
BA2309	7.13359161213086	6.84162430439576
BA2720	5.0932101529727	6.80239867331755
BA2908	7.7071077714624	7.10160504306164
BA2054	5.13193342655662	6.53448056780642
BA2872	6.41806054956223	6.8072812584581
BA2526	5.60348204059795	6.71268468403438
BA2041	6.14889515620208	7.34082017175962
BA2464	7.70197141870837	7.01338554790523
BA2902	5.85341733924409	6.25676516705994
BA2541	7.62080780455831	7.08368088883067
BA2143	7.12590219224429	7.02052497875875
BA2094	0.162179847700664	6.56326897910348
BA2769	6.82369230677028	6.45847746962255
BA2843	7.68775219309565	6.29268793995786
BA2592	6.28328278970437	6.72757025712009
BA2497	-1.79323399416306	7.05362684769664
BA2718	7.99739906746641	6.92559422045597
BA2575	5.99724316529864	6.55713498264667
BA2096	6.21496669116308	6.77304018403642
BA2593	5.69295647546023	5.14123425745589
BA2791	6.3688389446517	7.35578970076071
BA2620	7.19985683529985	6.88993208075706
BA2629	5.91637612602088	6.73637438056
BA2870	2.62348222679061	6.83843057067482
BA2423	2.36769406332286	6.46528423305325
BA2682	7.64895583047878	7.00642277827321
BA2276	5.42161592263156	6.60106588860888
BA2348	2.91773529558035	6.31115381839613
BA2709	6.00841658197255	6.80966373142259
BA2789	8.25344779136567	6.89441914208329
BA2694	6.30006188044534	6.37687982809383
BA2538	5.37928711694374	6.90492530830845
BA2583	7.81538872947805	7.47634089236666
BA2415	4.50065722085035	6.25354722820146
BA2722	7.10612705087253	7.79240622395492
BA2806	7.51084212363206	6.95550948162844
BA2221	4.19332061557143	6.65792194443728
BA3025	7.20800173217813	7.25696535562506
BA2514	5.86940153677441	6.6886775034689
BA2520	4.68486735962429	6.74670042339904
BA2441	7.72277870826456	7.29872623007905
BA2153	8.99906762077278	7.37002936753922
BA2479	3.64055833212888	6.11118909883084
BA2281	4.88780360986739	7.33529770605395
BA2657	4.35206524028425	6.83029032072815
BA2932	7.52657913903788	6.88492067829042
BA2123	6.19874995357892	7.53867754134672
BA2844	7.31484141146978	6.7316871446616
BA2660	5.87260128091849	7.15633759792086
BA2836	7.15078589361001	6.7058515766051
BA3027	2.43277955517649	6.26203648745747
BA2714	7.35673455123978	6.60106588860888
BA2139	1.49445405603774	6.47376016789819
BA2251	7.64135506224067	6.88553914900191
BA2952	4.05764463767079	7.06094242567649
BA2440	5.83560892628546	7.23974353995359
BA2036	5.0083041453619	6.96567270429015
BA2828	7.44544500262934	6.71443140013608
BA2292	5.99724316529864	6.71155130794723
BA2410	7.51527675972318	6.87847286019697
BA2051	5.25714318052804	6.75309739437635
BA2532	4.7790741086654	7.166329054571
BA2986	8.01965582601105	6.95017040445475
BA2494	6.43793151264448	7.28268371584317
BA2515	6.68127929274665	6.91918219556931
BA2748	7.62437772428186	6.92898560318184
BA2970	5.98303645552473	6.71950765088023
BA2622	4.83724303208421	6.41603346705047
BA2839	7.48490734822992	7.39444593270682
BA2052	5.78192253760815	6.83661488155882
BA3011	3.98080879790434	6.52889213798317
BA2868	6.52324588492183	6.8867637487898
BA2510	6.50804753914762	6.81145766315316
BA2065	8.25974759702626	7.08068398565122
BA2691	1.42234206716286	6.91457416198527
BA2374	7.01983909137586	6.87025397395673
BA2804	5.98220791058853	6.53989151011847
BA2670	5.55778136463102	6.55965463360655
BA2675	7.92045916247849	7.07180826529373
BA2589	5.29733962996603	6.79699042284113
BA2031	4.36276075031951	6.77360382440632
BA2198	6.53495824677914	7.25611345915688
BA2066	5.94221717949707	6.69300731767576
BA2344	5.28107931681894	6.87337102503918
BA2459	5.17241204196236	6.79520689964912
BA2229	7.33250978911574	6.82188197814107
BA2559	4.47062750328023	6.51154576024005
BA2093	8.6697155276332	7.67359575985668
BA2000	7.94314055717551	6.78865136154736
BA2425	5.65372634921578	7.60395254604328
BA2905	7.50539293842063	7.22543117773692
BA2304	-0.736047992509252	6.57041549701901
BA2976	6.62737493861003	6.6562779760327
BA2386	6.41227021268222	6.54875546973009
BA2035	5.79487700443781	7.6112304020112
BA2760	5.5985184260425	7.21956573793108
BA2201	5.93777047922961	6.62952631509886
BA2355	4.98897342757444	6.95017040445475
BA2113	8.53327685252825	7.06371663624663
BA2155	7.62437772428186	7.08671523409321
BA2955	4.5391313162393	6.76898394569665
BA2502	5.85381815948029	6.68355614720783
BA2322	7.97894297933459	6.6430484484285
BA2376	3.16972930293428	6.46333894051768
BA2020	5.28216189346069	6.94945791531145
BA2226	5.88838394030345	6.81394894542996
BA2200	6.80486837491	6.97176870633362
BA2121	5.77488348222962	7.04133576078419
BA2944	6.94758145894243	7.26150324021213
BA2033	5.59251221721887	6.56014980461976
BA2867	8.57394218930808	6.66177361256097
BA2089	3.23189129338738	6.3688389446517
BA2224	8.09067732991193	6.83535757136623
BA2046	7.94314055717551	6.79874731374986
BA2972	8.02685700006077	6.54042498941119
BA2978	4.44482165400227	6.34007878045522
BA2829	7.62320575204897	6.85895592875875
BA2851	8.58992566833602	6.78491577385659
BA2587	8.15284092667829	6.75946045637828
BA2461	4.86570889780568	6.40454724548096
BA2695	4.77523727497609	6.50854787129231
BA2623	7.62925234894777	7.1445927897216
BA2024	6.07479305709891	6.09557546472806
BA2426	6.97110220501606	6.82970946742006
BA2271	-0.425828695317915	6.81329812446179
BA3004	6.43437499992686	6.45300101587846
BA2579	4.6788765540465	6.40170617544637
BA3010	4.41460197309359	6.66067320636594
BA2662	5.59027419096801	6.36600938491696
BA2674	9.2429894144776	6.91733301258099
BA2280	7.13433489569232	6.97042186538325
BA2512	2.98186111032531	6.25491135905161
BA2658	5.58159000678894	6.88802086010583
BA2394	6.89644993218602	6.56014980461976
BA2950	4.65477615366599	6.79581543973709
BA2981	4.87586349576247	6.90360620539941
BA2934	2.17173440950598	5.89400600049609
BA2539	4.04879675825088	6.20140158235265
BA2249	7.01472936087095	6.89180239315318
BA2034	8.61607464234973	6.67112647924208
BA2109	4.81867438751018	6.26294056892688
BA2242	4.90326139384486	6.08879387607679
BA2277	8.35358316301659	6.93219471408877
BA2727	7.28438406463884	7.37103549421363
BA2132	6.09600230844392	6.75946045637828
BA2618	6.99925381802676	6.51402356062823
BA2521	6.90558799283489	6.76002445528346
BA2846	7.00565090016862	6.81203867711984
BA2885	1.13209845200278	6.64915964619014
BA2639	8.95438322249582	6.97592290315855
BA2775	3.52621202722456	6.57821130696448
BA2402	6.7630173908565	6.96091622827791
BA2097	7.10771088589405	6.58783674116998
BA2786	2.25371361358042	6.84900595542396
BA2399	6.48220324595878	6.93954050250455
BA2850	6.27245301532753	6.43493754543007
BA2174	6.06843510757967	6.73222274372854
BA2004	7.08821062221174	6.87652414386981
BA3001	7.12590219224429	7.00713971211596
BA2311	4.39292391038912	6.57095981156775
BA2483	3.32807645348226	6.95895559810233
BA3040	7.90803356905227	6.20356343645269
BA2837	7.52987979374564	7.03196402344294
BA2724	4.5990180150559	6.70026474055664
BA2911	6.75946045637828	6.73404028171299
BA2256	7.01129464656936	6.85640581689667
BA2821	8.00107447892983	7.166329054571
BA2233	6.24592732813786	6.30187774864901
BA2744	6.45401948854285	6.32126637219132
BA2880	4.97805997780333	6.87025397395673
BA2621	3.5362979263788	6.4442145827922
BA3002	2.97228864719493	6.90558799283489
BA2501	5.07976129224881	6.94421494122577
BA2993	6.26748667871903	6.86965319256556
BA2301	3.86710818348133	6.6100656847185
BA2852	4.67708963797245	6.03322281740518
BA2133	4.28927616177022	6.16651995068436
BA2866	6.35306835134338	6.76777472760262
BA2212	6.32036876736161	6.6568137663596
BA2685	5.48468121276611	7.20800173217813
BA2273	7.37675245327076	7.21621114040909
BA2477	8.57659398663682	7.10693286579065
BA2659	7.88793681406652	6.87025397395673
BA2124	6.65845499115322	6.68070832768596
BA2363	6.91665453342353	6.77360382440632
BA2369	6.92764387831615	6.49198171831508
BA2534	6.74557828155057	7.23390393878716
BA2400	8.25764420926654	6.93090952480088
BA2762	7.60044547310861	6.67894286315779
BA2312	7.8894951557827	6.61484329859941
BA2813	6.33918453468976	6.79754404909056
BA2211	5.28073246291878	6.79699042284113
BA2171	6.40503611780804	6.83661488155882
BA2746	4.63527142594282	6.62521439483861
BA2798	7.01129464656936	6.63383351459938
BA2809	9.26335235036244	7.11517726354172
BA2288	6.31720357778214	6.48655837104488
BA2801	4.13824319852488	5.71628948447083
BA3030	7.15557221270197	6.67837784799198
BA2588	7.66735491479546	6.59569193185131
BA2296	7.55867055300222	6.90161368403515
BA2300	6.90492530830845	7.57834177713667
BA2903	2.6560583580885	5.70908891657494
BA2473	5.65139228908545	6.7630173908565
BA2545	5.62868512576849	6.73745939965324
BA2840	4.79032535890257	6.78618260321054
BA2528	6.79158437688518	6.26075536574437
BA2646	7.53867754134672	6.97042186538325
BA3407	4.94668602882429	7.08974258985974
BA2240	7.7729524118183	7.22379610574448
BA2926	7.01543819204674	6.91665453342353
BA2272	6.3423350524195	6.32267289165303
BA2306	5.04621645682115	6.97926113627939
BA2765	3.98649459567883	6.42907602157434
BA2904	7.79663560293131	6.73404028171299
BA2883	5.99890598903284	7.14840411383597
BA2726	-1.00974723907371	6.42907602157434
BA2234	2.12152501264232	6.77605663940291
BA2022	6.15311168314809	7.22786001580346
BA2228	5.62043017440298	7.19482368325309
BA2037	9.4045391740165	7.45167143306165
BA2184	8.44966638628301	6.945568125872
BA3009	5.96264354381231	6.92174677642902
BA2842	2.25911507046517	6.30695343234241
BA2442	6.41897137635364	6.7928687930301
BA2882	3.53291440511488	6.50598160592548
BA2758	2.4978306958102	5.94678819915787
BA2705	6.8576823032308	6.98821538280907
BA2663	3.17350672344865	6.16309999506727
BA2570	7.24138386390375	6.99719018449603
BA2764	5.17699814732324	5.94307491514827
BA2209	7.02415111976065	6.80845562026412
BA2989	7.32679901700122	6.87212018212394
BA2855	4.85724763111666	6.82734034498185
BA2261	7.74808252538179	6.91599118004167
BA2721	6.34190143280827	5.92917652580144
BA2930	2.84242237772409	6.09128064758952
BA2728	6.63655252284443	6.68070832768596
BA2715	6.53249965977741	7.56206988956539
BA2469	5.80492505261512	6.84776495812423
BA2269	3.10489818725874	6.30887529708536
BA2098	4.7941665840707	5.90196356256727
BA2778	3.17944274470636	6.2445717796939
BA2951	6.73467335194796	7.29687122589928
BA2163	5.72978046990601	7.57131151688563
BA2379	5.43621855884092	6.47571845442986
BA2817	3.81521123693014	7.06302085430374
BA3153	5.02619905861961	6.89839628157059
BA2820	6.19646958807837	6.46824522688611
BA2723	5.3277279235139	7.22379610574448
BA2704	7.27022547665066	6.92764387831615
BA2088	5.81570333041158	7.25611345915688
BA2116	6.54042498941119	7.58759859001841
BA2584	3.43900565903568	7.11072300969941
BA3079	6.59785150913547	7.09190952990899
BA2417	1.25696002199891	6.40314188601748
BA2361	5.51462217129908	6.57456923029337
BA2450	5.06562997256811	6.82066158800154
BA2492	3.30695131155452	7.0594253136799
BA2552	5.54506701473391	6.12904074966952
BA2472	4.23625755420962	6.46680230521735
BA2994	4.69471321352097	6.84098754890722
BA2047	5.53758769155616	6.95685605328487
BA2101	7.01271335596315	6.38550593619779
BA2082	8.0179995830141	6.65187762334033
BA2879	5.92036694036748	6.47025472959033
BA2577	8.44724078411408	7.03549223810054
BA2456	0.240701063558228	6.6897450758778
BA2175	5.41173058943586	6.56428369493048
BA2824	4.91302715387873	6.59895239127683
BA2507	7.49457772487061	6.72991592484699
BA2563	3.16152901437988	6.80299244523417
BA2244	8.04591780353771	6.63330728837913
BA2470	8.74800571415782	6.99787187673434
BA2984	5.55778136463102	6.59311218108753
BA2414	8.45696872743274	6.9766278154768
BA2697	3.02935460711532	5.95806732051197
BA2079	2.04428550060962	5.91637612602088
BA2999	8.99906762077278	7.04058248557274
BA2644	6.33046496181519	6.38646200740092
BA2011	4.6706843537504	6.08148760261427
BA2217	8.64449262965366	6.93021683662514
BA2454	7.15951987646114	7.59565623174131
BA2776	5.87139334737162	6.85454256896604
BA2218	3.9200316734717	5.99645810395014
BA2135	7.52987979374564	6.81203867711984
BA2914	4.80249649532499	6.36695225743452
BA2500	5.25002967084118	6.72062167573975
BA2830	7.40017541649469	6.49846429425474
BA2406	5.17988483740919	6.95751613947387
BA3108	9.03429954865997	7.26585264294213
BA2924	6.97518866229435	6.69750566900229
BA2303	3.81737153202812	6.44802101478473
BA2160	7.32489473499785	6.67558655089664
BA2038	5.26497574003642	6.83344544574865
BA2602	5.31033947454173	6.68423874907307
BA2964	5.53350703365187	6.81453593095305
BA2898	5.73858169391831	6.47329372187665
BA3003	5.15703871631077	6.32546109149907
BA2111	6.09048118374774	6.45799676814181
BA2827	5.60231976530737	6.46528423305325
BA2912	4.7189671068174	6.35352478320916
BA2437	5.57895756058083	6.50546050499068
BA2283	5.17806224044823	6.40549948389557
BA2057	5.10629601616429	6.38888273500531
BA2633	5.33399944565982	6.50546050499068
BA3034	5.34471469248409	6.45552187143232
BA2607	5.58195119803049	6.3878866435171
BA2761	5.04377519736749	6.41701283707656
BA2795	4.93540010442141	6.37358566074055
BA2182	5.4501485597404	6.5105672693692
BA2152	5.45636731851438	6.46580356265107
BA2381	8.43517613550052	7.09423229403913
BA2931	5.82897025310715	6.62737493861003
BA2040	4.10430197787171	6.62737493861003
BA2590	7.03196402344294	7.19225834495813
BA3195	7.83268389248944	6.59785150913547
BA2516	6.90032088066256	6.72524597427468
BA2353	8.40664550150058	6.97731252665637
BA3036	7.26503778677364	7.023488210081
BA2971	8.84806156927188	6.70309367478267
BA3410	6.36512999451549	6.85895592875875
BA3118	6.67724465459247	6.81629782268832
BA3206	9.08862153045619	7.08974258985974
BA3202	4.94702787792631	6.97318609681243
BA3217	4.81514527019492	6.51917819512762
BA3405	5.70948396756837	6.57720688521491
BA3306	4.17828103107484	6.52375465899181
BA3371	6.16270217963845	6.56739724791344
BA3413	8.43037965011906	6.88232132236019
BA3411	7.23805703314362	6.72991592484699
BA3133	8.44966638628301	7.35298985161002
BA3164	5.95559861955689	7.04851156959908
BA3451	4.06401487195903	6.56942061445838
BA3286	7.00490622738367	6.73345379130114
BA3212	1.8338629705864	7.58879646153396
BA3103	7.43138197639579	6.77421514705842
BA3271	7.53974354156668	6.93152855508892
BA3152	5.91992653150053	6.94819581980106
BA3095	7.10160504306164	6.82008128976274
BA3192	8.52190108216259	7.09190952990899
BA3251	6.08621852980205	6.90940702790402
BA3362	5.42125052108752	6.78550767222755
BA3400	5.89003355654074	6.45847746962255
BA3135	6.26881149847343	6.3878866435171
BA3408	2.57836343869641	6.54766219361137
BA3187	6.4417602152858	6.75309739437635
BA3098	8.32449794408229	7.07919944865791
BA3435	9.3735473533766	7.07103568667065
BA3261	8.07426638068647	6.83535757136623
BA3203	6.97250726431014	6.48120572889895
BA3174	5.73207630464099	6.8576823032308
BA3317	8.78412431760784	6.86708630662577
BA3299	4.04672215210504	6.49051077750921
BA3221	-0.38969003685215	6.36600938491696
BA3347	1.22944543113974	6.45401948854285
BA3235	1.81606762523089	6.40025463094879
BA3126	3.2401351714745	6.89968682755392
BA3380	6.34190143280827	6.50152491798344
BA3089	8.79022656584331	7.04562502354572
BA3109	5.96945929693027	6.69027313849037
BA3114	5.7641069155357	6.07391847012236
BA3418	6.62357481456438	7.3548407117676
BA3245	6.97993778438247	6.98621603600523
BA3085	7.56321071069528	7.48057619109315
BA3128	7.00991256129177	6.6952290990594
BA3423	5.53058601108242	6.86708630662577
BA3173	7.1445927897216	7.11288822976142
BA3171	9.14481502348153	7.86087718753597
BA3277	6.44947039282618	6.59203093136997
BA3210	5.28864753312789	7.09779989974783
BA3157	8.42559982560594	7.00079089475897
BA3433	5.70146183160515	6.47715255483626
BA3322	4.93470537442066	6.65403117957095
BA3374	5.53239656043462	7.18644077892568
BA3450	6.72640507458581	7.03048318855786
BA3167	8.40194775982719	7.12814379144502
BA3269	7.55189787670547	6.50854787129231
BA3110	3.17892025585561	7.03404295294828
BA3156	6.61592394796106	6.71895435387141
BA3226	7.7045927999637	6.93827202821145
BA3421	5.05080635120384	6.45699666582514
BA3232	7.12266775163133	6.86346274491745
BA3289	5.08151823941693	6.34503333401511
BA3430	2.4702039958371	6.63486341869675
BA3145	7.58759859001841	7.03474280183588
BA3399	5.58084969783205	6.31068973576453
BA3449	5.95439094102815	7.36724009431295
BA3384	7.56567805381962	6.71895435387141
BA3427	7.66369633945432	6.69300731767576
BA3163	1.17134115218982	6.48560018665895
BA3158	7.45963779857083	7.32779530563549
BA3436	8.47663077360064	6.80545390529169
BA3154	-0.227067223199409	7.18235291359456
BA3162	8.49657233882556	6.95960331595656
BA3352	6.99719018449603	6.66781105206711
BA3084	6.95213438220586	6.7892246921242
BA3149	5.90555861314736	7.07919944865791
BA3169	2.62283712368534	7.03267038157323
BA3180	7.79093203959201	7.1639233124779
BA3255	6.40926123688896	6.61979235879454
BA3438	3.9216388561837	7.30411511402805
BA3345	2.02417937472789	5.98917879350321
BA3403	4.68063578286025	7.11817234858432
BA3431	5.74901581721608	6.61592394796106
BA3181	4.39774491020096	6.43493754543007
BA3341	5.75832214709053	6.88034277223335
BA3191	6.79520689964912	6.67612658139253
BA3197	5.66936167999459	6.8194770973329
BA3448	8.51679913189176	7.05570452227078
BA3453	7.12738803665014	6.6952290990594
BA3406	6.73404028171299	7.07405167828484
BA3308	7.55977224878375	6.98688341334907
BA3186	8.10894763837049	6.82908216215166
BA3334	5.02586431491849	6.21584775215817
BA3447	5.94021025458643	5.78152676577258
BA3116	5.85542200416075	6.60051001058414
BA3280	6.01005588113279	6.53989151011847
BA3185	5.6098838682387	6.04192947928388
BA3094	5.75137733831877	6.98958107037054
BA3318	7.574849932275	6.97993778438247
BA3216	6.67285627660237	6.32959875231621
BA3332	6.47025472959033	6.95550948162844
BA3214	5.9785222997962	6.85335943019892
BA3099	7.20386734649371	7.12505562496802
BA3141	7.23894729675129	6.65295694076347
BA3373	7.56206988956539	7.77581260088951
BA3319	6.19521896796153	6.44374763893835
BA3328	4.62535414272787	6.58991080721251
BA3339	-0.08887661487244	6.31765450633365
BA3240	7.69023500088856	6.89839628157059
BA3142	5.56967790109069	7.74397164014646
BA3333	6.99516443206292	6.62245620960063
BA3381	6.39210318114874	6.80116720365205
BA3290	5.14045385048919	6.63330728837913
BA3207	3.08252840570975	6.20186257831003
BA3296	4.19910119394124	6.16229657509821
BA3305	3.81612780124423	6.732801148639
BA3434	7.19312453230448	6.57095981156775
BA3189	7.06371663624663	7.13671405241938
BA3264	7.54625616208849	6.92499248066896
BA3329	8.05115312612603	7.18891809205662
BA3417	-1.04532144447794	6.89058644352535
BA3367	0.962688765366786	6.21316864027758
BA3225	2.72493519321927	6.13032258367322
BA3183	7.48057619109315	6.93090952480088
BA3222	4.25414001013237	7.43138197639579
BA3139	6.63599137571399	7.60395254604328
BA3397	7.35390839708449	7.54512561180818
BA3311	5.94099029232779	6.53396722315737
BA3422	5.54020534264446	6.30098784091473
BA3228	7.17116786854616	6.57407550686427
BA3213	7.8503248353151	6.96091622827791
BA3270	5.48358277984793	6.46528423305325
BA3415	9.88079564639631	7.68652733200955
BA3324	7.81101053195418	7.37396310701658
BA3194	6.63330728837913	6.98063449004179
BA3335	6.17773554711095	6.50956258535332
BA3199	7.59808663804993	6.60792383481337
BA3326	-0.0006124782671186	6.94358580230343
BA3285	7.78681257977187	7.6112304020112
BA3297	6.74447949059254	6.83464418679852
BA3227	7.40017541649469	6.79520689964912
BA3394	5.43546904513176	6.80845562026412
BA3412	4.96266025809675	6.9924430115513
BA3293	3.4550470720229	6.78255354390321
BA3250	7.12738803665014	6.86209164981008
BA3177	7.40108920011618	7.05362684769664
BA3315	5.33868120504246	7.40900238551148
BA3182	7.4382687261571	6.67112647924208
BA3260	4.43026354617328	6.48756519390035
BA3369	8.1073163967498	6.83661488155882
BA3078	8.74983670146495	7.01060112681321
BA3386	6.99516443206292	6.68355614720783
BA3445	2.9652424467697	6.46040057966304
BA3452	7.80094268898657	6.52072194410879
BA3176	8.42321613548815	6.85962983110872
BA3258	1.45644363841645	6.37732984108365
