	ABL1	MSH6
BA2000	0.0146845710165825	0.0542550177095631
BA2003	0.0095313626532083	0.0156103896103896
BA2004	0.0112418889689978	0.0231806375442739
BA2006	0.0060003604902667	0.0024391971664698
BA2011	0.0100919250180245	0.0096292798110979
BA2019	0.0196629416005767	0.0385076741440377
BA2020	0.0263392213410237	0.0823423848878394
BA2022	0.0168979812545061	0.0409256198347107
BA2023	0.0098017303532804	0.011952774498229
BA2024	0.0110868781542898	0.0256623376623376
BA2025	0.0185724585436193	0.040668240850059
BA2031	0.0146377072819033	0.0223943329397874
BA2032	0.0132462148521989	0.0113860684769775
BA2033	0.0081723143475126	0.0261959858323494
BA2034	0.0197494592645998	0.0296835891381345
BA2035	0.0183687815428983	0.0264155844155844
BA2036	0.0147530641672674	0.0392420306965761
BA2037	0.0234264599855803	0.0540731995277449
BA2041	0.01598774333093	0.0222857142857142
BA2044	0.0127793799567411	0.0345879574970484
BA2046	0.0203460706560922	0.0330106257378984
BA2047	0.0213968997837058	0.0341912632821723
BA2050	0.0107462148521989	0.0149728453364816
BA2051	0.0223882480173035	0.0187532467532467
BA2052	0.013585075702956	0.0341109799291617
BA2053	0.0078983417447728	0.0144628099173553
BA2054	0.0082660418168709	0.0216788665879574
BA2055	0.0044250180245133	0.0031617473435655
BA2063	0.033361571737563	0.0147886658795749
BA2065	0.0192790194664744	0.0292561983471074
BA2066	0.0210976928622927	0.04770720188902
BA2068	0.0152397260273972	0.0162195985832349
BA2069	0.0120782263878875	0.0361652892561983
BA2072	0.0101243691420331	0.0253600944510035
BA2079	0.0053911319394376	0.0078606847697756
BA2080	0.0201568132660418	0.029608028335301
BA2081	0.012382840663302	0.016004722550177
BA2082	0.0226405912040374	0.0237945690672963
BA2087	0.0131452775775054	0.0078417945690672
BA2088	0.016995313626532	0.0312231404958677
BA2089	0.0200973323720259	0.0469870129870129
BA2093	0.0109012256669069	0.0322455726092089
BA2094	0.0125342465753424	0.0230177095631641
BA2095	0.0175198269646719	0.0389374262101534
BA2096	0.0067429704397981	0.0160377804014167
BA2097	0.0227577505407354	0.0495419126328217
BA2098	0.012664023071377	0.0146021251475796
BA2100	0.0066240086517664	0.01256906729634
BA2101	0.0096467195385724	0.0138205430932703
