#Boxplots d'expressions du gène KRAS en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 4.577, p-value = 0.00006
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        0.556087
BA2496       1        0.501530
BA3037       1        0.839314
BA2865       1        0.680636
BA2751       1        0.718791
BA2055       1        0.083341
BA2286       1        0.487917
BA2488       1        0.609321
BA3379       1        0.380648
BA2887       1        0.457218
BA2712       2        0.467035
BA2068       2        0.144580
BA2104       1        0.553754
BA3124       1        0.498774
BA2449       1        0.419159
BA2235       1        0.794654
BA3038       1        0.648582
BA3006       3        0.485895
BA2667       1        0.535552
BA2239       1        0.404559
BA2782       3        0.533028
BA2649       1        0.390901
BA2861       1        0.441158
BA2134       1        0.414248
BA2909       1        0.821777
BA2653       1        0.760710
BA2947       1        0.461524
BA2162       1        0.776600
BA2564       1        0.345776
BA3043       1        0.553350
BA2597       4        0.841275
BA3243       2        0.474565
BA2446       1        0.490995
BA2525       4        1.348686
BA2876       4        1.062465
BA2357       2        0.441531
BA2546       1        0.560103
BA2742       1        0.618889
BA2316       1        0.494446
BA2087       2        0.702190
BA2148       2        0.718139
BA3178       3        0.432199
BA2072       1        0.539139
BA2733       2        0.763624
BA2995       2        0.587736
BA2069       1        0.487889
BA2681       3        0.527020
BA2832       2        0.350666
BA2600       4        0.343297
BA3230       1        0.320487
BA2731       2        0.335829
BA2294       4        0.326378
BA2816       4        0.471836
BA2814       3        0.576309
BA2631       1        0.476286
BA2023       1        0.295766
BA2375       1        0.518798
BA2485       1        0.550363
BA2455       4        0.731515
BA2636       4        0.436089
BA2325       1        0.379209
BA2156       1        0.318681
BA2511       4        0.511492
BA2505       4        0.506396
BA2871       3        0.386570
BA2227       1        0.213590
BA2812       3        0.335475
BA2125       1        0.781549
BA2603       1        0.458234
BA2808       4        0.122205
BA2482       1        0.629484
BA2594       1        0.346103
BA2747       4        0.289246
BA2561       3        0.242615
BA2567       3        0.615034
BA2906       1        0.810982
BA2956       2        0.680454
BA2474       1        0.569346
BA2737       2        0.627560
BA2006       2        0.180589
BA2110       1        0.373645
BA2915       4        0.232797
BA2992       4        0.643308
BA2220       1        1.379243
BA2063       2        1.347967
BA2772       2        0.418313
BA2935       4        0.208987
BA2260       3        0.593064
BA2948       3        0.579605
BA3296       1        0.525202
BA2524       4        0.700345
BA2811       1        0.599668
BA2540       4        0.366188
BA2928       1        0.664049
BA2302       4        1.299030
BA2651       4        0.572277
BA2619       1        1.005467
BA3013       4        0.382502
BA2405       3        0.391178
BA2856       3        0.891317
BA2377       2        0.553463
BA2499       2        0.643552
BA2350       2        0.352493
BA3023       4        0.680341
BA2095       1        0.418850
BA2275       1        0.428746
BA2901       2        0.404259
BA2387       1        0.725625
BA2962       1        0.372584
BA2195       4        0.955582
BA2688       2        0.978120
BA2420       1        0.382998
BA2053       2        1.021211
BA2081       1        0.407484
BA2354       1        0.370248
BA3273       2        0.941048
BA2893       3        0.319558
BA2044       1        0.440712
BA2489       2        0.587127
BA2908       1        0.556443
BA2054       3        0.220834
BA2872       1        0.599619
BA2041       2        0.688682
BA2464       1        0.366063
BA2902       4        0.311730
BA2541       1        0.510717
BA2843       4        0.409281
BA2497       1        0.575782
BA2718       1        0.419568
BA2575       1        0.757114
BA2593       3        0.063929
BA2791       2        0.248335
BA2620       1        0.664932
BA2629       1        0.640776
BA2870       1        0.430097
BA2682       4        0.516810
BA2276       2        0.392889
BA2709       2        0.425412
BA2789       1        0.524710
BA2538       2        0.413694
BA2583       5        0.674756
BA2806       2        0.463063
BA2441       1        0.521702
BA2514       2        0.704414
BA2520       5        0.592580
BA2479       5        0.673283
BA2281       1        0.721092
BA2932       1        0.649046
BA2123       2        0.566334
BA2844       2        0.359078
BA2660       1        0.721916
BA2836       2        0.720576
BA2714       1        1.079243
BA2440       5        0.525707
BA2036       3        0.767999
BA2828       1        0.802283
BA2952       1        0.677958
BA2410       2        0.294559
BA2139       3        0.415432
BA2051       5        1.167948
BA2532       2        0.452563
BA2494       5        1.046099
BA2748       1        0.352448
BA2622       1        0.603114
BA2970       2        0.369837
BA2839       2        0.537538
BA2868       3        0.715915
BA3011       1        0.318981
BA2052       2        1.233843
BA2510       5        0.397202
BA2691       1        0.768402
BA2374       1        0.455807
BA2804       5        0.628677
BA2675       1        0.582769
BA2031       1        0.494846
BA2198       3        0.617991
BA2066       1        0.388010
BA2344       3        0.356745
BA2459       2        0.163253
BA2229       5        1.113976
BA2559       5        0.509573
BA2093       1        0.293636
BA2000       3        0.466214
BA2425       1        0.631692
BA2905       5        0.789745
BA2304       3        0.520962
BA2976       1        0.107161
BA2386       2        0.761133
BA2035       1        0.500178
BA2760       5        1.019238
BA2201       1        0.532161
BA2355       5        1.562844
BA2113       1        0.305958
BA2955       1        0.456389
BA2322       1        0.160184
BA2020       3        0.413677
BA2226       1        0.319369
BA2376       1        0.462862
BA2889       1        0.008013
BA2121       1        0.257332
BA2944       3        0.247425
BA2033       5        0.534339
BA2867       2        0.696642
BA2089       1        0.637544
BA2224       1        0.442183
