	NPM1	MSH6
BA2000	528.2932619271585	0.0542550177095631
BA2003	717.8183224076506	0.0156103896103896
BA2004	320.01547932986267	0.0231806375442739
BA2006	9.679478408126416	0.0024391971664698
BA2011	348.4981285240867	0.0096292798110979
BA2019	583.7827086691859	0.0385076741440377
BA2020	1236.507877965909	0.0823423848878394
BA2022	916.0964949426144	0.0409256198347107
BA2023	431.7839587624408	0.011952774498229
BA2024	372.1842389270018	0.0256623376623376
BA2025	722.395881374441	0.040668240850059
BA2031	803.0149785649028	0.0223943329397874
BA2032	795.6408037215438	0.0113860684769775
BA2033	257.718883807176	0.0261959858323494
BA2034	810.0015144990998	0.0296835891381345
BA2035	899.358854303508	0.0264155844155844
BA2036	778.587533687972	0.0392420306965761
BA2037	1902.128477513421	0.0540731995277449
BA2041	845.8378095871379	0.0222857142857142
BA2044	585.7529247149646	0.0345879574970484
BA2046	1115.1507214086078	0.0330106257378984
BA2047	676.9878108900025	0.0341912632821723
BA2050	742.1408316925888	0.0149728453364816
BA2051	484.6791957324424	0.0187532467532467
BA2052	1122.4581187120564	0.0341109799291617
BA2053	856.5360596182228	0.0144628099173553
BA2054	797.1291493537034	0.0216788665879574
BA2055	43.55371897587268	0.0031617473435655
BA2063	583.6395872324669	0.0147886658795749
BA2065	1202.664762511015	0.0292561983471074
BA2066	819.6683643642182	0.04770720188902
BA2068	590.7969803002536	0.0162195985832349
BA2069	668.3880927899144	0.0361652892561983
BA2072	443.6027357455251	0.0253600944510035
BA2079	148.52736696454153	0.0078606847697756
BA2080	828.9284153651536	0.029608028335301
BA2081	596.8647857517421	0.016004722550177
BA2082	1003.8557661222746	0.0237945690672963
BA2087	645.4585078280003	0.0078417945690672
BA2088	647.6525682652436	0.0312231404958677
BA2089	803.116732804619	0.0469870129870129
BA2093	717.9466283105468	0.0322455726092089
BA2094	773.6307073311818	0.0230177095631641
BA2095	742.4000933575526	0.0389374262101534
BA2096	843.435358552685	0.0160377804014167
BA2097	1869.086592927769	0.0495419126328217
BA2098	446.6952569238338	0.0146021251475796
BA2100	459.57170926115145	0.01256906729634
BA2101	480.9915091065376	0.0138205430932703
BA2104	158.38864555593398	0.0088547815820543
BA2106	1086.0029372840947	0.0139433293978748
BA2109	352.7594132324559	0.0162857142857142
BA2110	227.9689532482417	0.0092207792207792
BA2113	618.1909565783855	0.0466233766233766
BA2116	203.9687913848749	0.0279716646989374
BA2121	828.9494792055228	0.0388854781582054
BA2122	309.0625568800445	0.0070177095631641
BA2123	1943.4570022489283	0.0416906729634002
BA2124	1305.25779886148	0.0444061393152302
BA2125	406.9357044659607	0.0466540731995277
BA2132	578.9355872081394	0.0233789846517119
BA2133	284.94185090038224	0.0076623376623376
BA2134	393.43453986171255	0.0114073199527744
BA2135	1084.5087100504388	0.0305596221959858
BA2139	173.6594297885683	0.0092821723730814
BA2143	307.1844443903837	0.0279858323494687
BA2148	255.3043494272261	0.0075513577331759
BA2153	1331.0218556577304	0.0263825265643447
BA2155	621.3355935278439	0.0152609208972845
BA2156	1073.0524097266143	0.0395914994096812
BA2162	777.1502831973705	0.0232561983471074
BA2163	222.89718635289796	0.0367863046044864
BA2168	600.1522459008418	0.0038370720188902
BA2169	515.3014576082433	0.0213152302243211
BA2171	1060.0132072311694	0.0656316410861865
BA2172	1285.5666526108653	0.0277048406139315
BA2174	695.0197814809409	0.039582054309327
BA2175	259.9379581461479	0.0395135773317591
BA2184	2459.967100585478	0.0871995277449823
BA2195	669.5415256707589	0.0234781582054309
BA2198	1047.4834367515962	0.0448500590318772
BA2200	1259.7528710461302	0.0592750885478158
BA2201	527.5463422425489	0.0201959858323494
BA2209	569.168974056234	0.0358016528925619
BA2211	922.0441599225848	0.0311310507674144
BA2212	1006.7795485871216	0.023482880755608
BA2217	794.3959000794692	0.0361582054309327
BA2218	979.1264761510888	0.0155655253837072
