	TP53	CEBPA
BA2000	8.06307340091042	0.2364838584208479
BA2003	2.2260197873263383	0.0844029560482302
BA2004	7.673631869747613	0.0995721509140412
BA2006	7.428197079696779	0.0501750291715285
BA2011	1.1963063819805329	0.0645663166083236
BA2019	6.224170045462047	0.0035005834305717
BA2020	21.520381567447888	0.1855309218203034
BA2022	9.45684986281421	0.2166472189809412
BA2023	6.434672541888756	0.2535978218591987
BA2024	6.510640280236593	0.1777518475301439
BA2025	10.394921412662669	0.2154803578374173
BA2031	8.495527625696191	0.1310774017891871
BA2032	2.499893151699212	0.1221314663555036
BA2033	1.7986397277922732	0.2209257098405289
BA2034	10.402330525568503	0.1310774017891871
BA2035	5.694807242052163	0.1306884480746791
BA2036	7.951478653704009	0.7098405289770517
BA2037	13.456446138821162	0.0840140023337222
BA2041	4.012876279461654	0.072345390898483
BA2044	12.997143664324703	0.1330221703617269
BA2046	2.618085774132732	0.1497471800855698
BA2047	6.872806555198192	0.5511474134577985
BA2050	5.023659216923838	0.1271878646441073
BA2051	0.9779779714778264	0.131855309218203
BA2052	4.334996906915623	0.0295604823026059
BA2053	2.357057989901253	0.0840140023337222
BA2054	3.190998846688494	0.1540256709451575
BA2055	8.735408391437288	0.0653442240373395
BA2063	2.152309015331881	0.0167250097238428
BA2065	9.459880976324264	0.1979774406845585
BA2066	20.073948076003976	0.2944379618825359
BA2068	3.486147991478991	0.3940101127965772
BA2069	15.409996932172731	0.2656553870089459
BA2072	6.954497290282092	0.1069622714896927
BA2079	2.0472781137670544	0.1186308829249319
BA2080	2.4647671501971486	0.5262543757292882
BA2081	9.149696405407012	0.1501361338000778
BA2082	1.7753601682942917	0.484636328276935
BA2087	4.855407453197315	0.2248152469856087
BA2088	2.4632406685354358	0.0630105017502917
BA2089	9.676104817049987	0.1295215869311552
BA2093	2.2386160646417284	0.1252430960715674
BA2094	12.051290934790956	0.5943212757681836
BA2095	9.865156313761132	0.2551536367172306
BA2096	6.77397549750367	0.0781796966161026
BA2097	6.33159715116314	0.1750291715285881
BA2098	22.683107122235867	0.1824192921042396
BA2100	0.4942224100471776	0.0626215480357837
BA2101	3.382179169574317	0.0318942045896538
BA2104	4.151746644592918	0.1929210423959549
BA2106	3.0315719050191947	0.0921820303383897
BA2109	1.2120564008482917	0.1299105406456631
BA2110	2.3221181476454724	0.1213535589264877
BA2113	11.35363658872494	0.1419681057954103
BA2116	0.5147534372218869	0.0241151302994943
BA2121	10.948348696573852	0.0696227148969272
BA2122	1.4582446731011915	0.0556203811746402
BA2123	7.1946210352410045	0.0882924931933099
BA2124	13.386270032709085	0.338000777907429
BA2125	9.790402798354815	0.0929599377674056
BA2132	2.7211224761939943	0.1011279657720731
BA2133	0.8131475906953063	0.0225593154414624
BA2134	4.913494345748131	0.131855309218203
BA2135	3.617560816574061	0.0501750291715285
BA2139	4.057071783339983	0.1750291715285881
BA2143	6.514813997712446	0.0801244651886425
BA2148	0.3308884751012781	0.0186697782963827
BA2153	3.840478484261512	0.0458965383119408
BA2155	3.973317728058916	0.3838973162193699
BA2156	11.453174911166562	0.9144301828082458
BA2162	3.729057553001509	0.0980163360560093
BA2163	13.44292850019923	0.0350058343057176
BA2168	3.962430004021511	0.0805134189031505
BA2169	2.463700853323531	0.0618436406067677
BA2171	9.666398457499485	0.3345001944768572
