ID_sample	TypeMutation	ExpressionGene
BA2636	NonMut	9.04860912314158
BA2325	NonMut	8.45209623715645
BA2169	NonMut	9.50601427714714
BA2156	NonMut	9.38675693832204
BA2511	NonMut	9.36916799017741
BA2939	NonMut	9.13342062895717
BA2168	NonMut	9.73079295605488
BA2505	NonMut	9.39118419839355
BA2871	NonMut	8.99211218550823
BA2655	NonMut	9.60422004710875
BA2227	NonMut	9.59916222255831
BA2125	NonMut	9.41800548205558
BA2523	NonMut	9.53000194332933
BA2603	NonMut	9.12586826213153
BA2808	NonMut	9.17948259034573
BA2282	NonMut	9.02364943472175
BA2482	NonMut	8.91090509269608
BA2812	NonMut	9.70356008854553
BA2822	NonMut	9.31672506964559
BA2594	NonMut	9.22287720595147
BA2747	NonMut	9.47769688223901
BA2561	NonMut	9.93012293296997
BA2567	NonMut	10.0007468429699
BA2906	NonMut	9.91143332054624
BA2956	NonMut	9.90525526471174
BA2474	NonMut	9.00955709168753
BA2737	NonMut	9.80971908397822
BA2110	NonMut	8.73025810259064
BA2992	NonMut	9.14481502348153
BA2220	NonMut	9.40901547409309
BA2772	NonMut	8.71853926395486
BA2935	NonMut	9.17171491689544
BA2260	NonMut	9.12964008242639
BA2948	NonMut	8.6697155276332
BA2524	NonMut	8.98864564355709
BA2811	NonMut	9.24704173883127
BA2540	NonMut	9.04501990946176
BA2928	NonMut	9.36916799017741
BA2302	NonMut	9.39562360946183
BA2595	NonMut	8.68106286594684
BA2792	NonMut	9.54457000922792
BA2651	NonMut	8.92748837970555
BA2619	NonMut	8.7332018546727
BA3013	NonMut	9.50601427714714
BA2405	NonMut	8.70980864868103
BA2735	NonMut	8.59798330037588
BA2856	NonMut	8.92415796681604
BA2377	NonMut	7.83840005803793
BA2499	NonMut	8.81487669872437
BA2463	NonMut	9.52684328251404
BA3023	NonMut	9.00605305286098
BA2095	NonMut	9.61438474364243
BA2901	NonMut	8.45209623715645
BA2275	NonMut	8.70401585675217
BA2387	NonMut	9.30065851731011
BA2962	NonMut	9.36480042798147
BA2688	NonMut	9.00264729477778
BA2787	NonMut	8.94424486652991
BA2420	NonMut	9.4000752436972
BA2756	NonMut	8.61423212805534
BA2122	NonMut	8.73025810259064
BA2053	NonMut	8.71562351354988
BA2080	NonMut	9.34313727945847
BA2081	NonMut	9.50601427714714
BA2354	NonMut	9.03608369232641
BA3273	NonMut	9.00443312215534
BA2893	NonMut	9.85077214115986
BA2044	NonMut	9.3735473533766
BA2309	NonMut	9.39562360946183
BA2720	NonMut	8.46249696810185
BA2908	NonMut	8.66493693752935
BA2054	NonMut	9.3217592552912
BA2526	NonMut	9.31328611186612
BA2041	NonMut	9.88079564639631
BA2464	NonMut	8.85577669200061
BA2902	NonMut	10.0680496747685
BA2541	NonMut	9.04860912314158
BA2143	NonMut	9.0307417478067
BA2094	NonMut	9.45909303825332
BA2592	NonMut	9.86871412745455
BA2718	NonMut	9.30906602396076
BA2575	NonMut	8.55813210635661
BA2096	NonMut	10.0958725482412
BA2593	NonMut	10.111511463709
BA2791	NonMut	9.61438474364243
BA2620	NonMut	8.8717935877338
BA2629	NonMut	9.55435683089665
BA2870	NonMut	9.53484314535953
BA2682	NonMut	9.51078302100883
BA2348	NonMut	8.38563253120242
BA2709	NonMut	8.68676863894814
BA2415	NonMut	8.94424486652991
BA2806	NonMut	9.66622107740225
BA2221	NonMut	9.47769688223901
BA3025	NonMut	9.50125973784097
BA2514	NonMut	9.49819442110274
BA2441	NonMut	9.62461563502098
BA2153	NonMut	9.11460476788528
BA2479	NonMut	9.67313133431446
