#Boxplots d'expressions du gène CEBPA en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 4.768, p-value = 0.00003
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2545       1        0.014210
BA2840       1        0.000071
BA2528       1        0.012634
BA2646       1        0.024579
BA3067       1        0.006556
BA2926       3        0.019102
BA2272       1        0.022194
BA2306       6        0.003163
BA2726       1        0.014042
BA2234       1        0.035613
BA2022       3        0.024921
BA2037       1        0.009087
BA2184       1        0.115451
BA3009       1        0.016825
BA2442       3        0.018128
BA2882       1        0.024521
BA2347       6        0.013213
BA2570       2        0.008459
BA2721       1        0.012638
BA2728       1        0.015273
BA2098       1        0.022901
BA2951       3        0.009531
BA2778       1        0.016925
BA3153       5        0.007277
BA2820       1        0.020142
BA2704       1        0.028203
BA2584       3        0.018484
BA3079       3        0.010173
BA2361       5        0.014478
BA2472       2        0.016749
BA2047       1        0.058118
BA2101       1        0.003824
BA2082       2        0.051054
BA2456       2        0.046785
BA2175       2        0.026641
BA2507       5        0.005806
BA2563       3        0.027846
BA2984       1        0.025766
BA2414       5        0.017694
BA2697       3        0.028512
BA2644       3        0.018279
BA2011       3        0.007930
BA2217       1        0.110656
BA2454       2        0.018169
BA2776       1        0.049691
BA2135       6        0.005746
BA2914       1        0.019023
BA2500       1        0.024659
BA3108       1        0.032969
BA2303       3        0.018684
BA2160       3        0.051709
BA2590       5        0.033498
BA3195       5        0.016268
BA3036       2        0.015332
BA2971       6        0.008448
BA3410       8        0.017548
BA3118       2        0.013572
BA3206       1        0.007846
BA3217       5        0.019528
BA3405       3        0.018462
BA3306       5        0.012657
BA3413       3        0.121340
BA3411       1        0.008470
BA3133       1        0.013035
BA3451       1        0.023846
BA3286       1        0.022114
BA3212       1        0.000295
BA3103       2        0.008856
BA3271       1        0.018069
BA3152       1        0.011270
BA3095       1        0.021361
BA3251       5        0.010955
BA3362       1        0.054312
BA3135       8        0.018957
BA3408       8        0.003417
BA3098       3        0.014586
BA3435       1        0.062756
BA3261       1        0.081751
BA3203       6        0.014735
BA3299       6        0.012518
BA3347       5        0.033205
BA3126       1        0.012899
BA3418       8        0.003741
BA3245       5        0.005156
BA3085       1        0.007415
BA3171       1        0.028739
BA3277       5        0.028271
BA3157       1        0.035030
BA3433       5        0.017805
BA3374       1        0.027833
BA3450       7        0.012496
BA3167       2        0.036030
BA3269       5        0.011923
BA3110       2        0.005958
BA3156       8        0.000267
BA3226       1        0.033535
BA3421       5        0.011559
BA3232       1        0.022798
BA3289       5        0.009093
BA3430       5        0.007184
BA3384       1        0.026509
BA3427       1        0.006381
BA3449       8        0.002532
BA3163       1        0.017389
BA3158       3        0.007327
BA3436       1        0.073967
BA3154       7        0.003436
BA3162       2        0.009431
BA3352       2        0.031655
BA3084       1        0.010476
BA3149       5        0.004971
BA3169       5        0.019957
BA3180       5        0.034212
BA3255       1        0.021639
BA3438       1        0.023867
BA3345       8        0.006993
BA3431       7        0.012793
BA3181       8        0.013188
BA3341       2        0.026366
BA3191       1        0.023266
BA3197       1        0.020584
BA3448       1        0.022412
BA3453       5        0.016879
BA3406       3        0.024131
BA3334       2        0.009849
BA3447       7        0.007814
BA3116       5        0.016412
BA3280       5        0.015774
BA3185       5        0.010121
BA3094       1        0.030633
BA3318       2        0.007438
BA3216       5        0.022272
BA3332       7        0.008826
BA3373       1        0.008596
BA3319       1        0.013361
BA3328       1        0.034173
BA3240       1        0.024505
BA3142       1        0.012047
BA3333       5        0.016080
BA3381       1        0.016091
BA3290       1        0.019789
BA3207       1        0.014055
BA3305       5        0.031185
BA3434       1        0.006858
BA3189       1        0.029216
BA3264       1        0.042628
BA3329       5        0.001233
BA3225       1        0.018482
BA3397       1        0.023395
BA3311       1        0.012475
BA3422       5        0.016913
BA3213       5        0.010356
BA3415       1        0.026375
BA3270       1        0.021277
BA3324       1        0.017346
BA3335       5        0.012161
BA3199       5        0.063161
BA3326       5        0.015558
BA3297       1        0.050777
BA3227       1        0.041291
BA3412       1        0.018544
BA3250       1        0.012700
BA3177       1        0.017442
BA3315       1        0.028411
BA3182       1        0.012176
BA3369       1        0.014892
BA3078       1        0.006016
BA3386       1        0.016872
BA3176       1        0.014187
BA3258       1        0.019319
BA3295       1        0.010631
BA3136       1        0.027221
BA3234       1        0.024314
BA3087       1        0.019702
BA3454       1        0.031285
BA3302       1        0.013209
BA3117       1        0.125186
BA3266       1        0.022491
BA3268       1        0.015185
BA3229       1        0.018149
BA3353       1        0.024044
BA3312       1        0.056205
BA3119       1        0.043497
BA3219       1        0.013098
BA3351       1        0.048331
BA3357       1        0.036376
BA3208       1        0.014514
BA3310       1        0.016255
BA3200       1        0.069462
BA3146       1        0.017982
BA3211       1        0.015989
BA3130       1        0.005122
BA3376       1        0.026810
BA3137       1        0.012153
BA3300       1        0.000048
BA3375       1        0.024144
BA3385       1        0.021766
BA3416       1        0.069568
BA3123       1        0.029588
