	NPM1	TP53
BA2000	529.0740751552895	8.06307340091042
BA2003	718.8454548403314	2.2260197873263383
BA2004	320.416765868189	7.673631869747613
BA2006	9.731263616557731	7.428197079696779
BA2011	349.1494593922488	1.1963063819805329
BA2019	584.7298493866805	6.224170045462047
BA2020	1238.4508547008545	21.520381567447888
BA2022	917.8624004605978	9.45684986281421
BA2023	432.430363504652	6.434672541888756
BA2024	373.1442557723393	6.510640280236593
BA2025	723.6161514674798	10.394921412662669
BA2031	804.2156041021317	8.495527625696191
BA2032	797.0029006308893	2.499893151699212
BA2033	258.23198424669016	1.7986397277922732
BA2034	811.2764224741454	10.402330525568503
BA2035	900.7865531930996	5.694807242052163
BA2036	779.9021105326607	7.951478653704009
BA2037	1905.212257740152	13.456446138821162
BA2041	846.7808362661304	4.012876279461654
BA2044	586.7526892532584	12.997143664324703
BA2046	1116.3443179422306	2.618085774132732
BA2047	678.6308819474854	6.872806555198192
BA2050	743.1948731463913	5.023659216923838
BA2051	485.30915140801295	0.9779779714778264
BA2052	1123.444664742103	4.334996906915623
BA2053	858.0353314195818	2.357057989901253
BA2054	798.0997645653246	3.190998846688494
BA2055	43.69121161009207	8.735408391437288
BA2063	584.475008784876	2.152309015331881
BA2065	1203.8952158917054	9.459880976324264
BA2066	820.948611719295	20.073948076003976
BA2068	591.6639941722485	3.486147991478991
BA2069	669.1056490806965	15.409996932172731
BA2072	444.2673762143402	6.954497290282092
BA2079	148.75517388648316	2.0472781137670544
BA2080	829.9345694329564	2.4647671501971486
BA2081	597.5572717148619	9.149696405407012
BA2082	1006.1029619898692	1.7753601682942917
BA2087	646.277790211756	4.855407453197315
BA2088	648.9600212458845	2.4632406685354358
BA2089	804.2096484968401	9.676104817049987
BA2093	718.9785651729675	2.2386160646417284
BA2094	774.4474723884591	12.051290934790956
BA2095	743.3756410256409	9.865156313761132
BA2096	844.926645204539	6.77397549750367
BA2097	1871.544588786714	6.33159715116314
BA2098	447.058323196938	22.683107122235867
BA2100	460.46480967904114	0.4942224100471776
BA2101	481.9798980413782	3.382179169574317
BA2104	158.77373403179857	4.151746644592918
BA2106	1087.2221949215304	3.0315719050191947
BA2109	353.25556042102534	1.2120564008482917
BA2110	228.4360225865918	2.3221181476454724
BA2113	619.5860880001297	11.35363658872494
BA2116	204.49241959811215	0.5147534372218869
BA2121	830.565918465539	10.948348696573852
BA2122	309.8565362180163	1.4582446731011915
BA2123	1944.6786659963132	7.1946210352410045
BA2124	1306.525201781843	13.386270032709085
BA2125	407.5005611508458	9.790402798354815
BA2132	579.7304751401525	2.7211224761939943
BA2133	285.45101823469946	0.8131475906953063
BA2134	394.3391348654157	4.913494345748131
BA2135	1086.0343934651337	3.617560816574061
BA2139	173.99071803521517	4.057071783339983
BA2143	307.85163506814365	6.514813997712446
BA2148	255.70209620655535	0.3308884751012781
BA2153	1332.816741811144	3.840478484261512
BA2155	622.2423014753186	3.973317728058916
BA2156	1074.5038515599235	11.453174911166562
BA2162	778.2497983533087	3.729057553001509
