	SRSF2	ASXL1
BA2636	9.04860912314158	5.80376596025215
BA2325	8.45209623715645	5.62116214065844
BA2169	9.50601427714714	6.58028734101557
BA2156	9.38675693832204	6.28642083726129
BA2511	9.36916799017741	6.6441169206914
BA2939	9.13342062895717	5.77409344818299
BA2168	9.73079295605488	6.0688553647905
BA2505	9.39118419839355	5.99273740349983
BA2860	8.71271331389775	5.01631466171857
BA2707	9.20696376307392	6.18507158781402
BA2871	8.99211218550823	5.04068213537324
BA2655	9.60422004710875	6.19438001519865
BA2227	9.59916222255831	6.06801263248952
BA2125	9.41800548205558	6.18904995277038
BA2523	9.53000194332933	6.02328497818552
BA2603	9.12586826213153	5.92875292821339
BA2808	9.17948259034573	6.24912819394912
BA2282	9.02364943472175	5.83560892628546
BA2482	8.91090509269608	5.69646062028678
BA2812	9.70356008854553	5.8625242189267
BA2822	9.31672506964559	6.36600938491696
BA2594	9.22287720595147	5.79758031043752
BA2747	9.47769688223901	5.99230630864101
BA2561	9.93012293296997	5.87580696816671
BA2567	10.0007468429699	6.66943948787905
BA2906	9.91143332054624	6.03938413348279
BA2956	9.90525526471174	6.16651995068436
BA2474	9.00955709168753	5.99645810395014
BA2737	9.80971908397822	5.72061360951374
BA2110	8.73025810259064	5.60841425670287
BA2992	9.14481502348153	5.94431286144935
BA2220	9.40901547409309	6.19646958807837
BA2772	8.71853926395486	6.08835914671386
BA2935	9.17171491689544	5.83483518369012
BA2260	9.12964008242639	5.55025760092161
BA2676	9.23089240757758	6.1180523945273
BA2948	8.6697155276332	6.09345357181028
BA2524	8.98864564355709	5.75756870973775
BA2811	9.24704173883127	6.20050527440426
BA2540	9.04501990946176	5.75023036618314
BA2928	9.36916799017741	5.54840893277706
BA2302	9.39562360946183	6.56065461359229
BA2595	8.68106286594684	5.70836568128015
BA2792	9.54457000922792	5.77845042719579
BA2651	8.92748837970555	6.32408741401117
BA2619	8.7332018546727	6.30326841219344
BA3013	9.50601427714714	5.88643954120856
BA2405	8.70980864868103	6.4915209071939
BA2735	8.59798330037588	6.25945312566298
BA2856	8.92415796681604	6.23533588980149
BA2377	7.83840005803793	6.01373604526196
BA2499	8.81487669872437	6.07438042977308
BA2463	9.52684328251404	5.75719364511349
BA3023	9.00605305286098	6.13725593051751
BA2095	9.61438474364243	6.3078817611491
BA2901	8.45209623715645	5.83522810280634
BA2275	8.70401585675217	5.83841841477399
BA2387	9.30065851731011	5.75528821055756
BA2962	9.36480042798147	5.62828464133832
BA2195	8.97142354261209	6.03523832777957
BA2688	9.00264729477778	6.83919348466817
BA2787	8.94424486652991	5.24575571846811
BA2420	9.4000752436972	6.19345543409726
BA2756	8.61423212805534	6.27694818574979
BA2122	8.73025810259064	5.6533576160666
BA2053	8.71562351354988	5.98917879350321
BA2080	9.34313727945847	6.24592732813786
BA2081	9.50601427714714	6.02496543297874
BA2354	9.03608369232641	6.08666258593702
BA3273	9.00443312215534	6.01912446509313
BA2893	9.85077214115986	5.97361430412984
BA2044	9.3735473533766	5.8546289142141
BA2489	9.57411368730524	6.37547648198029
BA2309	9.39562360946183	6.28139967131455
BA2720	8.46249696810185	6.57407550686427
BA2908	8.66493693752935	6.27158031478995
BA2054	9.3217592552912	5.64011484889975
BA2872	9.13720994130471	5.78815697396801
BA2526	9.31328611186612	6.24013217204255
BA2041	9.88079564639631	6.47228949068298
BA2464	8.85577669200061	6.26881149847343
BA2902	10.0680496747685	5.96907627794874
BA2541	9.04860912314158	6.01912446509313
BA2143	9.0307417478067	6.04775659278267
BA2094	9.45909303825332	5.56596083132182
BA2769	8.97485330936457	5.86341197424273
BA2843	9.29229417829056	6.6100656847185
BA2592	9.86871412745455	6.40688318423783
BA2497	8.61423212805534	5.81959741153124
BA2718	9.30906602396076	6.20525292176704
BA2575	8.55813210635661	5.47284204510325
BA2096	10.0958725482412	6.21410531502083
BA2593	10.111511463709	7.15951987646114
BA2791	9.61438474364243	6.19874995357892
BA2620	8.8717935877338	5.46114309064973
BA2629	9.55435683089665	6.7472714933791
BA2870	9.53484314535953	6.14026668002857
BA2423	8.69824500910271	5.86536301251181
BA2682	9.51078302100883	5.96386071356046
BA2276	9.1410080593907	5.9361114629243
BA2348	8.38563253120242	5.62233299062586
BA2709	8.68676863894814	5.67583098043324
BA2789	9.09600320401444	6.12180366530222
BA2694	9.42251934116338	6.60421812247539
BA2538	9.00955709168753	6.74612605168156
BA2583	9.67679810675791	6.66119005251722
BA2415	8.94424486652991	5.50018182112328
BA2722	8.95099667095566	6.0582244402994
BA2806	9.66622107740225	6.02371028385454
BA2221	9.47769688223901	6.06552141810206
BA3025	9.50125973784097	6.07906325231323
BA2514	9.49819442110274	6.60209690951209
BA2520	9.53000194332933	6.54875546973009
BA2441	9.62461563502098	6.36467185423724
BA2153	9.11460476788528	6.21802371577529
BA2479	9.67313133431446	7.27636680044251
BA2281	9.64527993925034	6.52170608095191
BA2657	8.99211218550823	5.89918966262517
BA2932	9.47769688223901	6.1527015081476
BA2123	9.82717700787936	6.73527749858946
BA2844	9.66095938066438	6.36227514110898
BA2660	9.16784487350203	5.89400600049609
BA2836	9.14481502348153	6.25179190765508
BA3027	9.29647098090766	6.30464556196735
BA2714	8.89449191470128	5.69757983119209
BA2139	8.42559982560594	5.39929335398575
BA2251	9.3260124319477	6.31251579014812
BA2952	8.99211218550823	5.88406214865442
BA2440	9.83892848550566	6.27158031478995
BA2036	9.65571538111022	6.40025463094879
BA2828	9.06304565250042	5.49725940478877
BA2292	9.94271473100152	6.51154576024005
BA2410	9.64527993925034	6.26033254809805
BA2051	8.88472441482659	5.94836876055586
BA2532	8.94424486652991	6.37031994316104
BA2986	9.67150060698144	6.52020957672534
BA2494	9.52036350053221	6.57247167015578
BA2515	9.48238177689826	6.17598273714894
BA2748	9.45909303825332	6.37975842200095
BA2970	9.11835064360706	6.02937141783307
BA2622	9.01306871894599	6.13597197195766
BA2839	9.29229417829056	6.41651938191685
BA2052	9.55435683089665	7.04775148018528
BA3011	9.07750677038397	6.35627429889414
BA2868	9.47769688223901	6.02819468374248
BA2510	8.99211218550823	5.81726345497192
BA2065	9.09600320401444	6.26517604030033
BA2691	8.86536741111737	5.85381815948029
BA2374	9.67679810675791	6.2877927663973
BA2804	9.08494318011795	6.05361973784087
BA2670	8.28526081080175	5.67924435783264
BA2675	9.13342062895717	5.99436956978052
BA2589	9.03786515454843	6.71837477507922
BA2031	8.60608533344799	5.68872421112857
BA2198	9.07395764638915	5.85182499561048
BA2066	8.90103696609653	5.37928711694374
BA2344	9.43613726309062	5.683055970914
BA2459	8.31312330931764	6.93219471408877
BA2229	9.38675693832204	6.84719227215285
BA2559	8.86857724833819	6.06078122712208
BA2093	9.22287720595147	7.15557221270197
BA2000	9.58408544068247	5.88606180557595
BA2425	9.50768698561149	5.99112678530118
BA2905	9.16784487350203	6.47426873472503
BA2304	8.61695773628636	5.36584838994078
BA2976	8.97485330936457	5.9785222997962
BA2386	8.79328666582968	6.1180523945273
BA2035	9.22287720595147	6.42953951724595
BA2760	8.49657233882556	5.88961440143981
BA2201	9.08494318011795	5.773700485866
BA2355	9.52517542791568	6.6656439229699
BA2113	9.44407804044761	6.18950223686314
BA2155	9.88687313292775	6.82309107200081
BA2955	9.09600320401444	5.96945929693027
BA2502	9.14863087419242	5.70452449404762
BA2322	9.160132157513	5.61780736228049
BA2376	8.61423212805534	5.46990488253098
BA2020	9.83892848550566	6.30050208589508
BA2226	8.93417001363455	5.65258967329686
BA2200	9.73079295605488	6.00841658197255
BA2121	8.92415796681604	6.05448659537988
BA2944	9.2389471182711	6.23533588980149
BA2033	9.53484314535953	5.98917879350321
BA2867	9.30065851731011	6.53145543602281
BA2089	8.18416035809344	5.42234890079115
BA2224	9.12964008242639	5.99849937933433
BA2046	9.1872873383188	6.50002459426286
BA2972	9.44070228005406	5.96023036518701
BA2978	8.40194775982719	5.69449320412197
BA2829	8.97485330936457	5.75606111415072
BA2851	9.2592593958878	5.96505632745959
BA2587	9.02364943472175	5.70872171926613
BA2461	9.21490111990201	5.92917652580144
BA2695	9.0468018581655	5.81839607751016
BA2623	9.3217592552912	6.02245886806957
BA2024	9.17171491689544	5.52061119799639
BA2426	9.0307417478067	5.68872421112857
BA2271	9.12964008242639	5.73401055203652
BA3004	9.80971908397822	6.33046496181519
BA2579	8.85577669200061	6.50152491798344
BA3010	8.87824586229709	5.82392380814807
BA2662	9.06304565250042	5.59174174629251
BA2674	9.25517667754352	6.01784200578308
BA2280	9.22287720595147	5.9207696282738
BA2512	8.54249270039127	5.45674649791294
BA2658	9.30065851731011	5.77182174756257
BA2394	9.26335235036244	6.07695623288107
BA2950	9.31751716888528	5.79603390583248
BA2981	8.89449191470128	5.84787957757678
BA2934	9.3260124319477	5.95891123308455
BA2539	9.11835064360706	5.57116929470375
BA2249	9.22687989289351	6.04898713449574
BA2034	8.99390471507907	6.1058059803294
BA2109	8.65285322774346	5.58836680284654
BA2242	9.45909303825332	6.07305710536308
BA2277	9.2389471182711	5.89124416348565
BA2727	8.92415796681604	6.29137386576201
BA2132	9.8991027074875	6.02077165309049
BA2618	8.70690950167434	5.57784205345213
BA2521	9.09970659968869	5.71669470584693
BA2846	9.30906602396076	5.99605530428902
BA2885	8.57925061313916	5.46663574912202
BA2639	9.4270458724936	5.92274484517742
BA2775	9.44987135785787	5.92513526908082
BA2402	8.84307877151568	6.05529649425473
BA2097	9.28812805203208	6.12261931153674
BA2786	9.42251934116338	5.69683059962592
BA2399	9.63491369950168	5.95848988053113
BA2850	9.89297540900361	5.89400600049609
BA2174	9.04860912314158	5.69295647546023
BA2004	8.48407580140491	6.02412758639857
BA3001	9.67679810675791	6.19521896796153
BA2311	8.78412431760784	5.72290783455204
BA2483	8.63525880753156	5.66740335166233
BA3040	9.43158515365849	6.40264148496757
BA2837	9.0271917203024	5.75987481048265
BA2724	8.88472441482659	5.7171416432858
BA2911	8.99558616821901	6.04856537740908
BA2256	9.27569316532541	5.80732189831465
BA2821	9.34313727945847	5.93038956442244
BA2233	9.65571538111022	6.24100946664766
BA2744	9.14863087419242	6.04154865344481
BA2880	9.160132157513	5.68986590376939
BA2621	8.9076089453561	5.84710176754198
BA3002	8.69720423583871	5.53462725078282
BA2501	9.40901547409309	6.06036727608855
BA2993	9.35176787188011	5.74510782456024
BA2301	9.0307417478067	5.91953516934334
BA2852	9.3561004357089	6.69247942029726
BA2133	9.2389471182711	6.57670086749662
BA2866	9.8991027074875	6.26561634633026
BA2212	9.33027676031699	6.1180523945273
BA2685	9.26745559419095	6.60106588860888
BA2273	9.98114720830101	6.36276922003241
BA2477	9.26335235036244	6.05488922575061
BA2659	8.52958832512444	5.70032456019922
BA2124	9.87632246618632	6.19874995357892
BA2363	8.26607857536642	5.74665789517333
BA2369	9.25110414260315	6.16992972400798
BA2534	9.34313727945847	6.10105446354612
BA2400	9.43613726309062	6.25896920678185
BA2762	9.34313727945847	5.78815697396801
BA2312	9.53484314535953	5.87096179619199
BA2813	9.78106105276028	5.84669771952697
BA2211	9.85831326849695	6.40122033716978
BA2171	9.64008823387741	6.24592732813786
BA2746	8.98518651350313	5.57675252591336
BA2798	9.27569316532541	6.37079667059363
BA2809	9.39118419839355	6.15101372135618
BA2288	9.98087822775469	6.54255345963774
BA2801	8.83362186336888	5.7857780349214
BA3030	8.61063875058243	5.77649310558936
BA2588	9.60929418124753	6.13597197195766
BA2296	9.36916799017741	6.07479305709891
BA2300	9.88687313292775	5.90968137145394
BA2903	8.3926007250059	5.30561743364852
BA2473	9.93797001113285	6.46136172333021
BA2545	9.17171491689544	5.78039940452266
BA2840	9.22062772367926	6.16651995068436
BA2528	9.30485684547982	6.04021038079235
BA2646	8.95099667095566	6.12593955851946
BA3407	9.38234175781362	6.23533588980149
BA2240	9.28812805203208	5.77728199716427
BA2926	9.26745559419095	5.87260128091849
BA2272	8.97485330936457	5.64203067730003
BA2306	8.7420670822246	5.86210066626784
BA2765	8.55029123602985	5.58345571866186
BA2904	9.13720994130471	5.85182499561048
BA2883	9.01306871894599	6.6100656847185
BA2726	8.54249270039127	5.55133978188627
BA2234	8.97142354261209	5.5977589538239
BA2022	9.75851596885508	6.13165710493441
BA2228	9.25517667754352	6.33600766569699
BA2037	9.23089240757758	6.36182238595201
BA2184	9.45447558148811	6.3144421792923
BA3009	9.76974697360105	6.36695225743452
BA2842	8.61968837224666	5.82697757198733
BA2442	8.9076089453561	5.96345262806037
BA2882	8.5607551950315	5.59137657391383
BA2758	8.76897254396233	6.07520173413689
BA2705	9.20696376307392	5.97648507555777
BA2663	8.62516478231551	5.73552904725917
BA2570	8.79022656584331	6.45599883472476
BA2764	8.18813169577028	6.09808877325888
BA2209	8.67821802831458	7.36435791540221
BA2989	9.10341841676742	6.63915578339387
BA2855	8.81487669872437	6.0515207109664
BA2261	8.53400537696188	6.09174069183038
BA2721	8.97829037472744	5.50315192004078
BA2930	8.43517613550052	5.81482124558208
BA2728	8.5373170330564	5.96823920514463
BA2715	9.56420444046175	6.70193954968785
BA2469	8.35811493599106	5.80971219847918
BA2269	8.18416035809344	5.63974092739285
BA2098	9.14863087419242	5.91084110589567
BA2778	8.52190108216259	5.30422441487673
BA2951	9.14863087419242	5.98747577885065
BA2163	9.36044459889599	5.98792432171399
BA2379	8.65845299235754	6.12991458455326
BA2817	8.68189146093676	6.85707363149716
BA3153	9.47302564786274	6.44995385247277
BA2820	8.86216405394702	5.48685812816546
BA2723	9.09600320401444	6.21316864027758
BA2704	9.58408544068247	6.41753927442656
BA2088	9.4917929010063	6.45847746962255
BA2116	8.77199110438686	6.4369045674542
BA2584	10.0475291689068	5.86781157381666
BA3079	10.0007468429699	6.25311199468293
BA2417	9.65571538111022	6.20227272504612
BA2361	9.1755941413251	6.2445717796939
BA2450	9.24704173883127	6.05529649425473
BA2492	8.19611264417946	5.64878460317562
BA2552	9.00955709168753	6.07349886728139
BA2472	8.68106286594684	5.89840678151491
BA2994	9.23491479941431	5.74740223582238
BA2047	9.58909503454725	6.17989946486144
BA2101	9.48238177689826	6.59148541753236
BA2082	8.77804587995587	5.96264354381231
BA2879	9.17171491689544	6.25896920678185
BA2577	9.54457000922792	6.2877927663973
BA2456	8.80250309714617	6.30418081628279
BA2175	9.59412059033195	6.19776851107361
BA2824	9.19512951707567	6.01215704616716
BA2507	9.88079564639631	5.96987848742324
BA2563	9.68211371581436	5.93293802015649
BA2244	8.84624370479657	5.43952524273383
BA2470	9.76974697360105	5.95848988053113
BA2984	9.6874475749889	6.19120375825818
BA2414	9.64008823387741	5.83483518369012
BA2697	9.44696832329653	5.60656322510578
BA2079	8.68391306436784	5.22500574588553
BA2999	9.03429954865997	6.00093229876932
BA2644	9.3735473533766	5.51382815263466
BA2011	9.09600320401444	5.65258967329686
BA2217	9.69279982690398	6.19822146547957
BA2454	9.86270964606403	5.96063563466876
BA2776	9.80971908397822	6.1281715906941
BA2218	9.59916222255831	6.31205444786469
BA2135	9.94271473100152	6.32267289165303
BA2914	8.83362186336888	5.54431492495241
BA2500	9.0307417478067	5.82392380814807
BA2830	9.44987135785787	5.9361114629243
BA2406	9.4270458724936	5.85542200416075
BA3108	9.43613726309062	6.39073862378253
BA2924	9.09230819306279	5.65411500641845
BA2303	8.83676787171411	5.6147813580075
BA2160	9.55927298456459	6.0765385205626
BA2038	9.0307417478067	6.43095537419459
BA2602	8.56338303703764	6.26033254809805
BA2964	8.8717935877338	6.42858727965842
BA2898	9.44987135785787	6.05488922575061
BA3003	9.48238177689826	6.10323904488586
BA2111	9.58408544068247	5.89241706426442
BA2827	9.58909503454725	6.00881830211778
BA2912	9.55927298456459	6.4338606092369
BA2437	9.55927298456459	6.11847233502019
BA2283	9.58909503454725	6.05279557201734
BA2057	9.54457000922792	6.13853683580785
BA2633	9.58909503454725	6.26972531039322
BA3034	9.55435683089665	6.1368245443414
BA2607	9.3735473533766	5.98996157877142
BA2761	9.4270458724936	6.20964310204874
BA2795	9.54457000922792	6.07098245209084
BA2182	9.54457000922792	6.26604717378172
BA2152	9.49651930986164	6.00800870736247
BA2381	9.80971908397822	6.08362235286883
BA2931	9.53000194332933	6.18549348202673
BA2040	9.34313727945847	5.99072677808467
BA2590	9.60929418124753	6.00638246473167
BA3195	9.3561004357089	6.43590316276273
BA2516	8.94268168369866	5.94757169388019
BA2353	9.2429894144776	6.15311168314809
BA3036	9.11086746340759	5.90396043152694
BA2971	9.02543573403374	5.97890641593254
BA3410	9.47302564786274	5.90720734250747
BA3118	9.22287720595147	5.8446879817315
BA3206	9.57411368730524	6.29871693912713
BA3202	9.48238177689826	6.48705929163371
BA3217	9.4045391740165	5.46410131409376
BA3405	8.22445433533228	5.6705066725732
BA3306	9.00255657247606	5.86781157381666
BA3371	9.10341841676742	6.26385719339892
BA3413	9.58909503454725	6.16479221189801
BA3411	9.07395764638915	5.81726345497192
BA3133	9.3561004357089	6.20398896796611
BA3164	9.13342062895717	6.19438001519865
BA3451	8.52958832512444	5.46734103839207
BA3286	9.36916799017741	5.6864679763228
BA3212	9.56098320131876	6.91733301258099
BA3103	8.91751782379931	5.83256616777847
BA3271	9.1872873383188	5.84826511265661
BA3152	9.3735473533766	5.99520828398439
BA3095	9.79245962144758	6.10408615184211
BA3192	9.11086746340759	6.04647904010288
BA3251	9.40901547409309	5.76568700898176
BA3362	9.00434706477645	5.84669771952697
BA3400	9.65048894475304	6.31492475633183
BA3135	9.4000752436972	5.96141985766576
BA3408	9.63491369950168	6.98137959105818
BA3187	9.27569316532541	6.0756397245943
BA3098	9.12964008242639	5.7225158734594
BA3435	9.19120372633416	6.18251802139279
BA3261	9.54457000922792	6.07182186589842
BA3203	9.76974697360105	5.78459303638823
BA3174	8.89776108628452	6.0840496796786
BA3317	9.33883912107995	6.1058059803294
BA3299	8.75098362594822	6.01867856463796
BA3221	8.78108213178214	5.87965665517008
BA3347	9.43158515365849	5.75302384911337
BA3235	8.20012237793382	5.23710808006626
BA3126	8.26607857536642	5.32164044187742
BA3380	9.04143859741613	5.65522675909671
BA3089	9.2389471182711	6.021192542846
BA3109	8.46185834013681	5.94431286144935
BA3114	9.17171491689544	6.17641644366945
BA3418	8.97829037472744	6.51302546929391
BA3245	9.56915130536806	6.22284672145603
BA3085	9.07761127342397	6.12947427780454
BA3128	9.45909303825332	5.89203625853857
BA3423	9.67679810675791	6.44756726036546
BA3173	9.98114720830101	6.20825574796756
BA3171	8.83048212173684	6.14934626765103
BA3277	9.43158515365849	6.55285609284704
BA3210	9.19120372633416	6.81145766315316
BA3157	9.56420444046175	5.96505632745959
BA3433	9.53969913371194	6.25091484872834
BA3322	9.53484314535953	6.46633469347968
BA3374	8.79328666582968	5.44790183156178
BA3450	9.60422004710875	6.41555515164963
BA3167	8.47663077360064	5.84710176754198
BA3269	9.60929418124753	6.10538403903875
BA3110	9.66259277874038	6.57095981156775
BA3156	9.2592593958878	6.56583781452914
BA3226	9.39118419839355	6.11633596300958
BA3421	8.95777690896205	5.99807250561422
BA3232	9.27569316532541	5.93534312096623
BA3289	8.61423212805534	5.9931420196416
BA3430	8.38747453651413	5.95983280142242
BA3145	9.30906602396076	6.3249851051031
BA3399	8.96117775713075	6.02456199069166
BA3449	9.09230819306279	6.21363363803942
BA3384	9.17948259034573	5.81161565339235
BA3427	9.28812805203208	6.16391479568772
BA3163	8.52958832512444	5.68268021308212
BA3158	9.55927298456459	6.19438001519865
BA3436	9.61438474364243	6.436391484782
BA3154	9.62258533258528	6.21013178100069
BA3162	8.12230223339654	5.98343537244457
BA3352	8.92264013919218	6.25896920678185
BA3084	9.31751716888528	5.77331420543403
BA3149	8.71853926395486	6.18507158781402
BA3169	8.9076089453561	5.79282325358751
BA3180	9.2109276242084	6.03363601462633
BA3255	9.41350421836705	5.78933652729381
BA3438	9.62975620855742	5.11638292117158
BA3345	8.94087956106744	6.11294027816034
BA3403	8.47415784691615	5.42893594031004
BA3431	8.42559982560594	5.6098838682387
BA3181	8.03722226484621	5.7664756489083
BA3341	8.96458579397726	6.15101372135618
BA3191	8.77804587995587	5.55999957718043
BA3197	9.16398396797258	6.16141096550525
BA3448	9.38234175781362	6.19345543409726
BA3453	9.12586826213153	6.14547247746584
BA3406	9.82133532639013	6.08028059153902
BA3308	9.17948259034573	6.30050208589508
BA3186	9.40240975182614	6.57720688521491
BA3334	8.65565049707964	6.32314377198831
BA3447	9.52036350053221	6.22157033382946
BA3116	8.97485330936457	5.58682786591739
BA3280	9.53969913371194	6.16609369248211
BA3185	9.19906475607931	6.48952236006017
BA3094	8.6697155276332	5.17950354207122
BA3318	8.42559982560594	5.78115226086829
BA3216	9.40901547409309	5.91874058491338
BA3332	9.41800548205558	6.49799553338119
BA3214	9.25691151442812	6.32126637219132
BA3099	9.4045391740165	6.00599295147661
BA3141	9.39562360946183	6.25265344537738
BA3373	9.3217592552912	6.36326165874901
BA3319	8.43037965011906	5.56112145786682
BA3328	9.28812805203208	5.91554817043997
BA3339	9.732408696693	6.65737778697747
BA3240	9.08127310626888	6.35713479831954
BA3142	9.44070228005406	6.55965463360655
BA3333	9.46372381175102	6.17121351437265
BA3381	8.74800571415782	5.76488394506669
BA3290	8.8879736022598	5.85694980213458
BA3207	7.93502206043898	5.47615849761807
BA3296	8.8879736022598	5.71553086944073
BA3305	8.82110029202306	5.93982972127244
BA3434	9.27569316532541	5.99685177199163
BA3189	9.08862153045619	5.83756838624294
BA3264	9.55435683089665	6.25445222164076
BA3329	9.48406046211483	6.6100656847185
BA3417	9.23491479941431	6.11971599118053
BA3367	8.60436299215519	5.50055254025843
BA3225	8.11666073243668	5.48685812816546
BA3183	9.04143859741613	6.0311101011047
BA3222	9.08494318011795	5.67963455085071
BA3139	8.88653621315296	6.01784200578308
BA3397	9.64527993925034	6.3811905938473
BA3311	8.07971165578759	5.53130217583918
BA3422	10.0888662099127	6.21316864027758
BA3228	8.68391306436784	5.94021025458643
BA3213	9.26335235036244	5.63359431703311
BA3270	8.8717935877338	5.79603390583248
BA3415	9.34744684153524	6.00921196587346
BA3324	8.8525926437112	6.08362235286883
BA3194	9.68211371581436	6.22157033382946
BA3335	9.96822468421139	6.04856537740908
BA3199	9.4917929010063	6.12904074966952
BA3326	9.27569316532541	5.56256719374486
BA3285	8.72329447406972	6.12385981288499
BA3297	9.09230819306279	6.04856537740908
BA3227	9.11460476788528	6.34322095252985
BA3394	8.65006116973985	5.78541513449237
BA3412	8.93752128537319	5.74090562795813
BA3293	9.44239146973819	6.20356343645269
BA3250	9.21888429779212	5.89003355654074
BA3177	9.47769688223901	5.72441309220803
BA3315	8.96117775713075	6.59785150913547
BA3182	8.91751782379931	5.74822587560422
BA3260	8.43758065182973	5.79243605583809
BA3369	9.24704173883127	5.70566190016674
BA3078	9.20475662343021	5.92875292821339
BA3386	9.71984209806913	6.05025616147561
BA3445	9.4000752436972	5.91835525147628
BA3452	8.57129520837751	6.06680993243889
BA3176	9.29229417829056	6.2751197185023
BA3258	8.64449262965366	5.67546263774049
