	KIT	GATA2
BA2908	7.7071077714624	8.34151708484093
BA2054	5.13193342655662	5.69876878834828
BA2872	6.41806054956223	6.13505858445244
BA2526	5.60348204059795	8.34681429629083
BA2041	6.14889515620208	7.08598210070988
BA2464	7.70197141870837	7.31579076602089
BA2902	5.85341733924409	7.50436087643108
BA2541	7.62080780455831	7.65276972214058
BA2143	7.12590219224429	6.08318959151969
BA2094	0.162179847700664	-1.9002011047749
BA2769	6.82369230677028	7.3370513303313
BA2843	7.68775219309565	5.51382815263466
BA2592	6.28328278970437	5.87139334737162
BA2497	-1.79323399416306	-0.200351841889843
BA2718	7.99739906746641	9.71984209806913
BA2575	5.99724316529864	5.35965803846691
BA2096	6.21496669116308	6.33465501524617
BA2593	5.69295647546023	6.50598160592548
BA2791	6.3688389446517	7.2245944685398
BA2620	7.19985683529985	6.6396645832219
BA2629	5.91637612602088	6.5105672693692
BA2870	2.62348222679061	1.06894896681523
BA2423	2.36769406332286	3.54497964521433
BA2682	7.64895583047878	7.53511002571526
BA2276	5.42161592263156	6.88553914900191
BA2348	2.91773529558035	4.47099076274074
BA2709	6.00841658197255	4.71407158331364
BA2789	8.25344779136567	8.85577669200061
BA2694	6.30006188044534	7.01613705435711
BA2538	5.37928711694374	6.04021038079235
BA2583	7.81538872947805	5.53534040119425
BA2415	4.50065722085035	3.41140290286834
BA2722	7.10612705087253	7.49794707202402
BA2806	7.51084212363206	7.96744532914178
BA2221	4.19332061557143	2.52007957747602
BA3025	7.20800173217813	9.53969913371194
BA2514	5.86940153677441	5.72754939375197
BA2520	4.68486735962429	2.91242066204713
BA2441	7.72277870826456	7.28268371584317
BA2153	8.99906762077278	5.7983454299058
BA2479	3.64055833212888	4.7941665840707
BA2281	4.88780360986739	7.82261702082019
BA2657	4.35206524028425	9.2429894144776
BA2932	7.52657913903788	7.63041516939983
BA2123	6.19874995357892	7.50105244518025
BA2844	7.31484141146978	4.95919380929034
BA2660	5.87260128091849	7.34370807957505
BA2836	7.15078589361001	6.93954050250455
BA3027	2.43277955517649	4.29639716866503
BA2714	7.35673455123978	7.06807720975175
BA2139	1.49445405603774	1.76917277909169
BA2251	7.64135506224067	10.3660086756332
BA2952	4.05764463767079	6.43493754543007
BA2440	5.83560892628546	5.98220791058853
BA2036	5.0083041453619	9.97467175015227
BA2828	7.44544500262934	7.70840071464408
BA2292	5.99724316529864	7.06020993945392
BA2410	7.51527675972318	7.93187727167438
BA2051	5.25714318052804	4.75937775414095
BA2532	4.7790741086654	7.83554388846121
BA2986	8.01965582601105	5.50315192004078
BA2494	6.43793151264448	9.8991027074875
BA2515	6.68127929274665	4.95086713745968
BA2748	7.62437772428186	7.63278489020753
BA2970	5.98303645552473	5.95193817538216
BA2622	4.83724303208421	4.99389750199927
BA2839	7.48490734822992	6.50494854074967
BA2052	5.78192253760815	4.39995076697618
BA3011	3.98080879790434	7.33163994376767
BA2868	6.52324588492183	9.1872873383188
BA2510	6.50804753914762	0.277265117709438
BA2065	8.25974759702626	8.15477520582082
BA2691	1.42234206716286	2.91665615356007
BA2374	7.01983909137586	6.50348265468803
BA2804	5.98220791058853	5.14161615451425
BA2670	5.55778136463102	5.72023465218825
BA2675	7.92045916247849	8.26396477173174
BA2589	5.29733962996603	9.2592593958878
BA2031	4.36276075031951	4.02452335153635
BA2198	6.53495824677914	6.44613094518311
BA2066	5.94221717949707	4.44555299237497
BA2344	5.28107931681894	7.58759859001841
BA2459	5.17241204196236	6.76898394569665
BA2229	7.33250978911574	6.60156923670466
BA2559	4.47062750328023	6.88867708372879
BA2093	8.6697155276332	9.38234175781362
BA2000	7.94314055717551	7.13121480456278
BA2425	5.65372634921578	9.81131500696184
BA2905	7.50539293842063	7.50647222464875
BA2304	-0.736047992509252	-0.0150693070758923
BA2976	6.62737493861003	6.37878971540536
BA2386	6.41227021268222	9.44987135785787
BA2035	5.79487700443781	9.13342062895717
BA2760	5.5985184260425	5.61668949030342
BA2201	5.93777047922961	6.36792449266188
BA2355	4.98897342757444	5.32233498083344
BA2113	8.53327685252825	6.40170617544637
BA2155	7.62437772428186	10.332335723606
BA2955	4.5391313162393	3.4170840126625
BA2502	5.85381815948029	5.81083073745061
BA2322	7.97894297933459	7.08974258985974
BA2376	3.16972930293428	3.41561286956515
BA2020	5.28216189346069	7.53405377993628
BA2226	5.88838394030345	7.24647814947882
BA2200	6.80486837491	8.3603866090308
BA2121	5.77488348222962	5.70530146482159
BA2944	6.94758145894243	8.14513423086413
BA2033	5.59251221721887	6.26705656087935
BA2867	8.57394218930808	6.47866220517702
BA2089	3.23189129338738	3.08537081267169
BA2224	8.09067732991193	7.33529770605395
BA2046	7.94314055717551	7.13433489569232
BA2972	8.02685700006077	6.63915578339387
BA2978	4.44482165400227	5.22173396238009
BA2829	7.62320575204897	7.55977224878375
BA2851	8.58992566833602	6.59041781660964
BA2587	8.15284092667829	5.15207050393233
BA2461	4.86570889780568	4.04229195612943
BA2695	4.77523727497609	6.21316864027758
BA2623	7.62925234894777	6.63383351459938
BA2024	6.07479305709891	5.51691886633525
BA2426	6.97110220501606	6.73745939965324
BA2271	-0.425828695317915	5.03254935299147
BA3004	6.43437499992686	8.19012213724112
BA2579	4.6788765540465	3.94179623964938
BA3010	4.41460197309359	5.94914872700359
BA2662	5.59027419096801	5.1312402648846
BA2674	9.2429894144776	6.6396645832219
BA2280	7.13433489569232	7.74536502725477
BA2512	2.98186111032531	2.27310977570549
BA2658	5.58159000678894	3.01238141071871
BA2394	6.89644993218602	10.3745587770136
BA2950	4.65477615366599	6.08318959151969
BA2981	4.87586349576247	5.21743147503023
BA2934	2.17173440950598	3.23073632692797
BA2539	4.04879675825088	4.34458492733121
BA2249	7.01472936087095	7.23036606098158
BA2034	8.61607464234973	7.78401208165605
BA2109	4.81867438751018	5.25385282871793
BA2242	4.90326139384486	8.1981158996604
BA2277	8.35358316301659	7.17358455839536
BA2727	7.28438406463884	8.29820901257083
BA2132	6.09600230844392	8.1336646480907
BA2618	6.99925381802676	5.7443340618491
BA2521	6.90558799283489	7.6685963483501
BA2846	7.00565090016862	6.97731252665637
BA2885	1.13209845200278	0.499201192837283
BA2639	8.95438322249582	7.23126576681474
BA2775	3.52621202722456	8.75396729152058
BA2402	6.7630173908565	7.41497012248878
BA2097	7.10771088589405	6.65845499115322
BA2786	2.25371361358042	4.91685437213902
BA2399	6.48220324595878	7.90654028957083
BA2850	6.27245301532753	7.30676049708217
BA2174	6.06843510757967	6.39165195051498
BA2004	7.08821062221174	7.10612705087253
BA3001	7.12590219224429	9.11460476788528
BA2311	4.39292391038912	4.44334512113552
BA2483	3.32807645348226	7.94314055717551
BA3040	7.90803356905227	6.93954050250455
BA2837	7.52987979374564	7.37675245327076
BA2724	4.5990180150559	5.71100608100859
BA2911	6.75946045637828	7.95452812467512
BA2256	7.01129464656936	7.39540604135448
BA2821	8.00107447892983	5.09181307158236
BA2233	6.24592732813786	7.00565090016862
BA2744	6.45401948854285	8.99906762077278
BA2880	4.97805997780333	4.91721018578494
BA2621	3.5362979263788	4.85056186804303
BA3002	2.97228864719493	7.08521741719084
BA2501	5.07976129224881	7.1646982323911
BA2993	6.26748667871903	7.77161485169371
BA2301	3.86710818348133	4.78361272995645
BA2852	4.67708963797245	5.70872171926613
BA2133	4.28927616177022	5.82429929461363
BA2866	6.35306835134338	6.19563315556883
BA2212	6.32036876736161	5.48915482766383
BA2685	5.48468121276611	7.281719536851
BA2273	7.37675245327076	7.99573716734119
BA2477	8.57659398663682	7.05292631391108
BA2659	7.88793681406652	6.8446685918264
BA2124	6.65845499115322	7.65513327960109
BA2363	6.91665453342353	7.42090370210596
BA2369	6.92764387831615	6.59569193185131
BA2534	6.74557828155057	9.27156918109996
BA2400	8.25764420926654	7.14383843051354
BA2762	7.60044547310861	7.08227901596389
BA2312	7.8894951557827	7.25176192852259
BA2813	6.33918453468976	7.19643196455649
BA2211	5.28073246291878	9.02190186898869
BA2171	6.40503611780804	7.29431703031285
BA2746	4.63527142594282	4.79767961716109
BA2798	7.01129464656936	7.96422079504262
BA2809	9.26335235036244	6.5550219238791
BA2288	6.31720357778214	4.72003247702049
BA2801	4.13824319852488	6.06971777989566
BA3030	7.15557221270197	5.4066422207313
BA2588	7.66735491479546	8.07245680901417
BA2296	7.55867055300222	6.47426873472503
BA2300	6.90492530830845	5.79874599985332
BA2903	2.6560583580885	5.63551782963557
BA2473	5.65139228908545	7.36910502551481
BA2545	5.62868512576849	4.92380795044112
BA2840	4.79032535890257	9.59577094815016
BA2528	6.79158437688518	6.5518017021576
BA2646	7.53867754134672	7.49256176412129
BA3407	4.94668602882429	4.81902834400603
BA2240	7.7729524118183	7.72809482559201
BA2926	7.01543819204674	6.5851771545889
BA2272	6.3423350524195	5.95076318092024
BA2306	5.04621645682115	5.04444275985059
BA2765	3.98649459567883	6.08707291217101
BA2904	7.79663560293131	10.1753003572988
BA2883	5.99890598903284	8.31787605128572
BA2726	-1.00974723907371	-0.238630282752338
BA2234	2.12152501264232	1.05164008757557
BA2022	6.15311168314809	7.70330320958059
BA2228	5.62043017440298	5.23174307005196
BA2037	9.4045391740165	8.24717893447311
BA2184	8.44966638628301	8.42083657982967
BA3009	5.96264354381231	7.23636521102564
BA2842	2.25911507046517	4.40802912825966
BA2442	6.41897137635364	7.74132890165977
BA2882	3.53291440511488	3.77959301841516
BA2758	2.4978306958102	4.26323917922153
BA2705	6.8576823032308	7.8210975174081
BA2663	3.17350672344865	4.20873434593167
BA2570	7.24138386390375	5.80572775335192
BA2764	5.17699814732324	5.04210102667198
BA2209	7.02415111976065	5.44603871114775
BA2989	7.32679901700122	8.20818067427413
BA2855	4.85724763111666	4.36015860511768
BA2261	7.74808252538179	7.86519796261888
BA2721	6.34190143280827	6.26118056372206
BA2930	2.84242237772409	5.53979697945933
BA2728	6.63655252284443	7.28525840993051
BA2715	6.53249965977741	6.91854859965898
BA2469	5.80492505261512	5.74011278993299
BA2269	3.10489818725874	4.62036406268975
BA2098	4.7941665840707	3.75076608161682
BA2778	3.17944274470636	2.42732071858121
BA2951	6.73467335194796	8.46922505155083
BA2163	5.72978046990601	7.42519569680361
BA2379	5.43621855884092	5.86210066626784
BA2817	3.81521123693014	1.83042814261167
BA3153	5.02619905861961	8.08335570616425
BA2820	6.19646958807837	5.64240286737973
BA2723	5.3277279235139	5.69915968973013
BA2704	7.27022547665066	8.11104544817006
BA2088	5.81570333041158	4.65333014368695
BA2116	6.54042498941119	6.94294359338222
BA2584	3.43900565903568	2.24349372699526
BA3079	6.59785150913547	6.6100656847185
BA2417	1.25696002199891	3.06113870744397
BA2361	5.51462217129908	4.6932849776624
BA2450	5.06562997256811	8.38100696139026
BA2492	3.30695131155452	3.31109043996003
BA2552	5.54506701473391	7.65148276489013
BA2472	4.23625755420962	5.32411225603459
BA2994	4.69471321352097	8.22036612888066
BA2047	5.53758769155616	7.77846043065093
BA2101	7.01271335596315	4.65120922776301
BA2082	8.0179995830141	3.90728684369565
BA2879	5.92036694036748	6.69192414230504
BA2577	8.44724078411408	7.03196402344294
BA2456	0.240701063558228	2.29791028651136
BA2175	5.41173058943586	6.38261014012489
BA2824	4.91302715387873	8.75098362594822
BA2507	7.49457772487061	6.80545390529169
BA2563	3.16152901437988	7.98067391429632
BA2244	8.04591780353771	5.8045076557668
BA2470	8.74800571415782	7.75780436658957
BA2984	5.55778136463102	8.00780085925266
BA2414	8.45696872743274	6.95751613947387
BA2697	3.02935460711532	4.59081785984696
BA2079	2.04428550060962	3.85600991616853
BA2999	8.99906762077278	6.90096747490557
BA2644	6.33046496181519	6.78194925141946
BA2011	4.6706843537504	6.37975842200095
BA2217	8.64449262965366	8.48656626341456
BA2454	7.15951987646114	10.5981160524102
BA2776	5.87139334737162	8.24717893447311
BA2218	3.9200316734717	8.42321613548815
BA2135	7.52987979374564	5.36438724591077
BA2914	4.80249649532499	7.92045916247849
BA2500	5.25002967084118	6.70193954968785
BA2830	7.40017541649469	6.92050118830241
BA2406	5.17988483740919	3.72560586066794
BA3108	9.03429954865997	8.20616122712402
BA2924	6.97518866229435	7.50647222464875
BA2303	3.81737153202812	5.34973720544744
BA2160	7.32489473499785	8.32893113987774
BA2038	5.26497574003642	4.95577043792796
BA2602	5.31033947454173	4.40656431480039
BA2964	5.53350703365187	4.68133985426918
BA2898	5.73858169391831	4.78153410225228
BA3003	5.15703871631077	5.33137556428865
BA2111	6.09048118374774	5.55851041668359
BA2827	5.60231976530737	4.82742292972687
BA2912	4.7189671068174	3.99833496825788
BA2437	5.57895756058083	5.35593989387114
BA2283	5.17806224044823	4.81337176305461
BA2057	5.10629601616429	4.51939484788158
BA2633	5.33399944565982	5.16960938829634
BA3034	5.34471469248409	5.28256921751163
BA2607	5.58195119803049	4.60223859726182
BA2761	5.04377519736749	4.68309897358403
BA2795	4.93540010442141	4.53769799161138
BA2182	5.4501485597404	4.89591757187592
BA2152	5.45636731851438	4.38228741422543
BA2381	8.43517613550052	7.06885426902192
BA2931	5.82897025310715	4.47827685062553
BA2040	4.10430197787171	3.26599227921617
BA2590	7.03196402344294	7.19738153999511
BA3195	7.83268389248944	7.02200264661639
BA2516	6.90032088066256	6.44710159988793
BA2353	8.40664550150058	6.91854859965898
BA3036	7.26503778677364	8.34456564828853
BA2971	8.84806156927188	8.50093062457148
BA3410	6.36512999451549	6.10703701818297
BA3118	6.67724465459247	5.98917879350321
BA3206	9.08862153045619	6.34190143280827
BA3202	4.94702787792631	4.49454936710229
BA3217	4.81514527019492	7.89401548128851
BA3405	5.70948396756837	6.63486341869675
BA3306	4.17828103107484	7.51299557490928
BA3371	6.16270217963845	5.36365751969834
BA3413	8.43037965011906	7.63278489020753
BA3411	7.23805703314362	5.03642055076695
BA3133	8.44966638628301	8.97142354261209
BA3164	5.95559861955689	8.5555137585582
BA3451	4.06401487195903	3.32501250452144
BA3286	7.00490622738367	5.84234806468241
BA3212	1.8338629705864	10.1019627568373
BA3103	7.43138197639579	5.06069232646451
BA3271	7.53974354156668	6.05279557201734
BA3152	5.91992653150053	3.24991105964122
BA3095	7.10160504306164	8.09989277486394
BA3192	8.52190108216259	6.97318609681243
BA3251	6.08621852980205	7.03918975972709
BA3362	5.42125052108752	0.433070764286167
BA3400	5.89003355654074	8.33337930026134
BA3135	6.26881149847343	7.08899874190146
BA3408	2.57836343869641	3.38554683036159
BA3187	6.4417602152858	5.11433165880832
BA3098	8.32449794408229	7.02978091514104
BA3435	9.3735473533766	7.93658206656699
BA3261	8.07426638068647	4.68906744298486
BA3203	6.97250726431014	6.52375465899181
BA3174	5.73207630464099	4.59438606664195
BA3317	8.78412431760784	8.17625565039323
BA3299	4.04672215210504	5.26710389157619
BA3221	-0.38969003685215	2.71814995189887
BA3347	1.22944543113974	1.4977254366136
BA3235	1.81606762523089	4.24655068383766
BA3126	3.2401351714745	2.64402051124596
BA3380	6.34190143280827	7.18812871773308
BA3089	8.79022656584331	8.04934885751887
BA3109	5.96945929693027	5.95395062623658
BA3114	5.7641069155357	7.18398636132438
BA3418	6.62357481456438	7.28800386009291
BA3245	6.97993778438247	6.84839040918598
BA3085	7.56321071069528	7.11517726354172
BA3128	7.00991256129177	7.30861526987379
BA3423	5.53058601108242	7.7605970351598
BA3173	7.1445927897216	6.07221564365928
BA3171	9.14481502348153	7.37675245327076
BA3277	6.44947039282618	7.2179085684236
BA3210	5.28864753312789	6.4915209071939
BA3157	8.42559982560594	6.68070832768596
BA3433	5.70146183160515	8.30037965468589
BA3322	4.93470537442066	4.34569920053779
BA3374	5.53239656043462	-0.177808519803868
BA3450	6.72640507458581	6.77720928573593
BA3167	8.40194775982719	0.719254707053097
BA3269	7.55189787670547	6.76898394569665
BA3110	3.17892025585561	2.87198103535148
BA3156	6.61592394796106	7.83704881770087
BA3226	7.7045927999637	8.14705635633251
BA3421	5.05080635120384	6.54456958822718
BA3232	7.12266775163133	8.15477520582082
BA3289	5.08151823941693	4.99494706061389
BA3430	2.4702039958371	3.64521772451027
BA3145	7.58759859001841	8.20818067427413
BA3399	5.58084969783205	6.40074858834192
BA3449	5.95439094102815	8.79635277497105
BA3384	7.56567805381962	7.68652733200955
BA3427	7.66369633945432	7.88494695067266
BA3163	1.17134115218982	2.07381903278467
BA3158	7.45963779857083	7.96744532914178
BA3436	8.47663077360064	10.4540502805812
BA3154	-0.227067223199409	0.601632895281666
BA3162	8.49657233882556	6.46633469347968
BA3352	6.99719018449603	7.01472936087095
BA3084	6.95213438220586	4.77031077404719
BA3149	5.90555861314736	3.28330883545606
BA3169	2.62283712368534	3.00426499817374
BA3180	7.79093203959201	7.02698040559294
BA3255	6.40926123688896	7.81832288003789
BA3438	3.9216388561837	1.59541816670198
BA3345	2.02417937472789	2.11388863910946
BA3403	4.68063578286025	1.97096633043764
BA3431	5.74901581721608	6.16270217963845
BA3181	4.39774491020096	5.21924696123963
BA3341	5.75832214709053	7.60395254604328
BA3191	6.79520689964912	7.06736498172321
BA3197	5.66936167999459	10.0139606390354
BA3448	8.51679913189176	7.76334677298606
BA3453	7.12738803665014	6.94358580230343
BA3406	6.73404028171299	7.62437772428186
BA3308	7.55977224878375	7.41702873174962
BA3186	8.10894763837049	9.9053830477262
BA3334	5.02586431491849	4.22175408993243
BA3447	5.94021025458643	4.59972375526065
BA3116	5.85542200416075	3.24833932522177
BA3280	6.01005588113279	7.63278489020753
BA3185	5.6098838682387	2.28340449654963
BA3094	5.75137733831877	-1.96011964564348
BA3318	7.574849932275	6.326824292765
BA3216	6.67285627660237	6.47279065497325
BA3332	6.47025472959033	7.36724009431295
BA3214	5.9785222997962	7.99246857024867
BA3099	7.20386734649371	7.75780436658957
BA3141	7.23894729675129	8.84307877151568
BA3373	7.56206988956539	8.43758065182973
BA3319	6.19521896796153	5.9785222997962
BA3328	4.62535414272787	9.1410080593907
BA3339	-0.08887661487244	1.3495851994097
BA3240	7.69023500088856	8.91751782379931
BA3142	5.56967790109069	8.68676863894814
BA3333	6.99516443206292	7.37577438257785
BA3381	6.39210318114874	5.08870565418655
BA3290	5.14045385048919	8.19012213724112
BA3207	3.08252840570975	3.02428518304635
BA3296	4.19910119394124	3.53193069811392
BA3305	3.81612780124423	6.50854787129231
BA3434	7.19312453230448	4.82292152807512
BA3189	7.06371663624663	6.86708630662577
BA3264	7.54625616208849	7.17999658780694
BA3329	8.05115312612603	9.23665444981222
BA3417	-1.04532144447794	0.207476070123517
BA3367	0.962688765366786	5.72023465218825
BA3225	2.72493519321927	3.92905779716509
BA3183	7.48057619109315	6.73692509275104
BA3222	4.25414001013237	0.578560653385863
BA3139	6.63599137571399	7.81101053195418
BA3397	7.35390839708449	3.03620367997927
BA3311	5.94099029232779	6.35019247071228
BA3422	5.54020534264446	9.65571538111022
BA3228	7.17116786854616	7.8210975174081
BA3213	7.8503248353151	5.6533576160666
BA3270	5.48358277984793	6.34737367069021
BA3415	9.88079564639631	5.82971849546372
BA3324	7.81101053195418	6.87212018212394
BA3194	6.63330728837913	8.2960419873451
BA3335	6.17773554711095	9.2389471182711
BA3199	7.59808663804993	7.05796014084047
BA3326	-0.0006124782671186	2.88584557978208
BA3285	7.78681257977187	9.61602995658446
BA3297	6.74447949059254	7.82688083190866
BA3227	7.40017541649469	9.60929418124753
BA3394	5.43546904513176	7.53511002571526
BA3412	4.96266025809675	0.439987090282692
BA3293	3.4550470720229	9.06845231152446
BA3250	7.12738803665014	5.42966375134891
BA3177	7.40108920011618	5.13976221148527
BA3315	5.33868120504246	3.90901162589946
BA3182	7.4382687261571	5.55510823651463
BA3260	4.43026354617328	4.66398706452937
BA3369	8.1073163967498	4.807111451034
BA3078	8.74983670146495	5.75415496254133
BA3386	6.99516443206292	8.70980864868103
BA3445	2.9652424467697	6.61275930528802
BA3452	7.80094268898657	7.32489473499785
BA3176	8.42321613548815	7.22042069105103
