ID_sample	TypeMutation	ExpressionGene
BA2494	mut3	0.032834019049366
BA2622	mut3	0.0551340840897679
BA2758	mut3	0.0298800011430302
BA2930	mut3	0.0372846971489811
BA2454	mut5	0.092615885870932
BA3138	mut5	0.028438028287442
BA3229	mut5	0.0717429060662002
BA3388	mut5	0.0334344130408574
BA2363	mut6	0.0427949233519573
BA2499	mut6	0.0533464621891964
BA2769	mut6	0.0255763992778413
BA3010	mut6	0.0457325294387091
BA3228	mut6	0.067259898117714
BA2100	mut11	0.0389995269128262
BA2357	mut11	0.0310044672702269
BA2496	mut11	0.0326483013792674
BA2953	mut11	0.0392911038520207
BA2760	mut14	0.0276723199387013
BA2971	mut14	0.0471677411336245
BA3175	mut14	0.0288273582403869
BA3242	mut14	0.053489577667594
BA3290	mut14	0.0231987042526205
BA3302	mut14	0.0606439581615869
BA2097	mut16	0.0397824931357253
BA2600	mut16	0.0410717094708462
BA2663	mut16	0.0134780639708531
BA2999	mut16	0.0893888382730888
BA2280	mut21	0.1037964251659088
BA2552	mut21	0.0558564804569967
BA2583	mut21	0.1002927655659194
BA2995	mut21	0.1037055040046584
BA2095	mut30	0.0983004265532999
BA2116	mut30	0.0309779887544015
BA2124	mut30	0.0603518110037768
BA2135	mut30	0.0417252907873371
BA2276	mut30	0.0382121699294571
BA2282	mut30	0.0140105113085917
BA2344	mut30	0.0346788443957673
BA2347	mut30	0.0177531901484174
BA2379	mut30	0.0288161130218841
BA2521	mut30	0.0681345315781789
BA2534	mut30	0.0462555608004441
BA2552	mut30	0.0558564804569967
BA2559	mut30	0.0437932221646156
BA2651	mut30	0.0320648845606555
BA2685	mut30	0.0277801175392449
BA2715	mut30	0.0920813583687718
BA2718	mut30	0.0295798084492596
BA2735	mut30	0.042930272565221
BA2860	mut30	0.0243949412740712
BA2893	mut30	0.0825218121050656
BA2905	mut30	0.0428137432584195
BA2999	mut30	0.0893888382730888
BA3029	mut30	0.0536023784246255
BA2891	mut30	0.0212693059299605
BA3126	mut30	0.0248678187103022
BA3145	mut30	0.0449430702865964
BA3169	mut30	0.0246847134307003
BA3177	mut30	0.0595930168225677
BA3375	mut30	0.0743234222664408
BA3385	mut30	0.0494896598400997
BA2006	NonMut	0.0053164590885564
BA2011	NonMut	0.0150726249353004
BA2019	NonMut	0.0357050467819262
BA2020	NonMut	0.0385397082629839
BA2022	NonMut	0.0673094470412134
BA2023	NonMut	0.0377168412680974
BA2024	NonMut	0.0327056305479223
BA2025	NonMut	0.0137173028799327
BA2031	NonMut	0.0445243568813366
BA2032	NonMut	0.0585728917790122
BA2033	NonMut	0.0257568215789059
BA2034	NonMut	0.0612407033810049
BA2035	NonMut	0.0829535593782825
BA2036	NonMut	0.1052453429677611
BA2037	NonMut	0.0496725461190812
BA2041	NonMut	0.037475262941005
BA2044	NonMut	0.0665522888289097
BA2046	NonMut	0.0617646194795678
BA2047	NonMut	0.0349074954403294
BA2050	NonMut	0.0551303805093131
BA2051	NonMut	0.0330178411101102
BA2052	NonMut	0.0416208415222506
BA2053	NonMut	0.0438885531862303
BA2054	NonMut	0.0344388304544558
BA2055	NonMut	0.0095123302195418
BA2063	NonMut	0.0104462820656997
BA2065	NonMut	0.0680510330342036
BA2066	NonMut	0.0392105254376078
BA2068	NonMut	0.0554596200913704
BA2069	NonMut	0.0273253969249655
BA2072	NonMut	0.0608805769887555
BA2079	NonMut	0.0130106506789256
BA2080	NonMut	0.0185350986336794
BA2082	NonMut	0.0193561436618409
BA2087	NonMut	0.0226294233198558
BA2088	NonMut	0.0143881988957469
BA2089	NonMut	0.0264306229021359
BA2093	NonMut	0.1200628574199964
BA2094	NonMut	0.0600713266901904
BA2096	NonMut	0.0212426677218089
BA2098	NonMut	0.0238862039511253
BA2101	NonMut	0.028474434542339
BA2104	NonMut	0.0345410100145343
BA2106	NonMut	0.0557320387401844
BA2109	NonMut	0.0201156184135574
BA2110	NonMut	0.0229578470227767
BA2113	NonMut	0.053800293299608
BA2121	NonMut	0.0471477818684517
BA2123	NonMut	0.040808867732134
BA2125	NonMut	0.0429497514365915
BA2132	NonMut	0.0404423196798821
BA2133	NonMut	0.010029681597004
BA2134	NonMut	0.0312711068334427
BA2139	NonMut	0.0194397577254033
BA2143	NonMut	0.0354698857293525
BA2148	NonMut	0.0461104797756742
BA2153	NonMut	0.0464806023622249
BA2155	NonMut	0.0217272742162222
BA2156	NonMut	0.0233451967350625
BA2162	NonMut	0.0282152193083682
BA2163	NonMut	0.0425197785910472
BA2168	NonMut	0.0530362116067083
BA2169	NonMut	0.0324511949928188
BA2171	NonMut	0.0737093017739588
BA2172	NonMut	0.0257703073345193
BA2174	NonMut	0.036317896193663
