	TP53	SRSF2
BA2000	8.06307340091042	8.232855850924276
BA2003	2.2260197873263383	9.4977144739766
BA2004	7.673631869747613	5.562522945896354
BA2006	7.428197079696779	4.6626359318395725
BA2011	1.1963063819805329	8.33948154257171
BA2019	6.224170045462047	9.757790556231546
BA2020	21.520381567447888	24.05614468586043
BA2022	9.45684986281421	13.76175498824985
BA2023	6.434672541888756	6.170959052505648
BA2024	6.510640280236593	13.562153332917909
BA2025	10.394921412662669	8.058465426519131
BA2031	8.495527625696191	5.276629236644825
BA2032	2.499893151699212	4.763443017170353
BA2033	1.7986397277922732	22.143794608866745
BA2034	10.402330525568503	10.006225712329805
BA2035	5.694807242052163	6.202410726195026
BA2036	7.951478653704009	8.19574270719942
BA2037	13.456446138821162	11.49048044339966
BA2041	4.012876279461654	12.869687030810905
BA2044	12.997143664324703	8.48685376064178
BA2046	2.618085774132732	9.108705272546237
BA2047	6.872806555198192	13.306666081934658
BA2050	5.023659216923838	9.513319286237095
BA2051	0.9779779714778264	8.14805311574689
BA2052	4.334996906915623	8.873809201356487
BA2053	2.357057989901253	7.462370487579332
BA2054	3.190998846688494	10.430588127973053
BA2055	8.735408391437288	4.345256847097649
BA2063	2.152309015331881	9.467873645094436
BA2065	9.459880976324264	6.373759297739962
BA2066	20.073948076003976	15.800296299117967
BA2068	3.486147991478991	18.355853161765303
BA2069	15.409996932172731	10.278331861243649
BA2072	6.954497290282092	5.902058256500613
BA2079	2.0472781137670544	7.640222263953134
BA2080	2.4647671501971486	9.191369278339211
BA2081	9.149696405407012	6.928636469183807
BA2082	1.7753601682942917	8.40840134006508
BA2087	4.855407453197315	5.677796869229128
BA2088	2.4632406685354358	11.410047337328768
BA2089	9.676104817049987	11.89864820678787
BA2093	2.2386160646417284	5.464961303565389
BA2094	12.051290934790956	12.051205054450586
BA2095	9.865156313761132	8.463544127567214
BA2096	6.77397549750367	15.000673563143634
BA2097	6.33159715116314	17.792688397965705
BA2098	22.683107122235867	6.655929889318163
BA2100	0.4942224100471776	3.718527822597228
BA2101	3.382179169574317	8.1501091842613
BA2104	4.151746644592918	1.8852928899651
BA2106	3.0315719050191947	7.204307756577358
BA2109	1.2120564008482917	6.833888850170134
BA2110	2.3221181476454724	3.806471086714524
BA2113	11.35363658872494	15.929650625391014
BA2116	0.5147534372218869	6.781050008997795
BA2121	10.948348696573852	11.980554744241596
BA2122	1.4582446731011915	5.858690587057699
BA2123	7.1946210352410045	11.59072875024918
BA2124	13.386270032709085	16.611280928331222
BA2125	9.790402798354815	7.921142108252018
BA2132	2.7211224761939943	13.946291139079216
BA2133	0.8131475906953063	7.478491218664673
BA2134	4.913494345748131	4.036120566317373
BA2135	3.617560816574061	20.82611375867676
BA2139	4.057071783339983	4.621744593017676
BA2143	6.514813997712446	8.73803235454996
BA2148	0.3308884751012781	3.778912883468327
BA2153	3.840478484261512	7.671001886855401
BA2155	3.973317728058916	9.35317182362659
BA2156	11.453174911166562	8.002415187656146
BA2162	3.729057553001509	8.849822115908271
BA2163	13.44292850019923	7.4857757015311535
BA2168	3.962430004021511	8.310485926369557
BA2169	2.463700853323531	8.737420101785885
BA2171	9.666398457499485	13.647857183453524
BA2172	7.090263077576619	6.624084898239265
BA2174	7.701079162073331	11.368590659871236
BA2175	0.1872753030153418	16.88810084545601
BA2184	17.996746811177232	21.24939692545412
BA2195	2.976163189395368	7.23243772301538
BA2198	8.39156345831227	6.568389703284435
BA2200	15.684640945538904	22.72786822849741
BA2201	4.41294067160597	4.323026570237881
BA2209	1.465524528992165	6.408519354938519
BA2211	12.411770235404097	16.55230428257159
BA2212	2.4205216520142714	10.236633063274152
BA2217	11.168413297451291	13.496358315863404
BA2218	1.038135953656088	12.93380471935965
BA2220	12.09187166983528	9.724200374077704
BA2221	3.7294796059077866	7.3819992501371905
BA2224	3.4475879150133317	8.450169624197642
BA2226	17.966876274753428	20.690926999003683
BA2227	8.633700414487945	22.4026748068776
BA2228	3.5815397430923976	12.36714192755575
BA2229	2.330314829985168	10.30418039139401
BA2233	1.7360063685079294	9.331255815320716
BA2234	7.468947578959061	10.042322926937322
BA2235	9.810041962650772	6.150150874326986
BA2236	8.041259177085172	6.349187771730446
BA2239	6.382578515078404	3.990381066613173
BA2240	6.585321450190121	11.81329733557186
BA2242	4.786006647623127	12.622925169745704
BA2244	7.660004573789163	8.685425007509856
BA2245	11.92861108727505	7.892885598424514
BA2248	1.91740617487652	7.032545897351294
BA2249	10.192757805463216	12.922706504656714
BA2251	17.372493996154333	8.235124274376565
BA2256	6.06297834540103	10.70430699737524
BA2260	4.670202188582755	6.82488810159893
BA2261	0.6409563579015518	4.481930297566593
BA2269	0.8857144743382452	2.974267049947534
BA2271	10.088486978018516	12.268896653926028
BA2272	6.287866561641059	8.740305014970993
BA2273	2.283128458890182	13.281240851317271
BA2275	9.24833161681508	15.467941519326764
BA2276	5.41916237255576	7.392346085673904
BA2277	11.29872493643386	12.43586729245932
BA2280	23.04153763181785	20.29568025661283
BA2281	7.825995509907861	6.894733065138713
BA2282	2.965141936513149	7.732555617772172
