#Boxplots d'expressions du gène EZH2 en fonction de la feature analysisDrug
#Résultat du test statistique Mann-Whitney : U = 15081.000, p-value = 0.01232
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2272       y        5.145789
BA2306       y        6.001735
BA2726       n        4.059636
BA2234       y        5.996055
BA2022       y        6.040210
BA2037       y        4.681340
BA2184       y        6.598388
BA3009       y        5.658639
BA2442       y        5.130881
BA2882       y        4.935048
BA2570       y        5.837568
BA2721       y        5.361817
BA2728       n        5.253853
BA2098       y        5.784593
BA2951       y        4.957133
BA2778       y        4.559525
BA3153       y        6.285071
BA2820       y        5.120635
BA2704       y        5.895604
BA2584       y        4.820799
BA3079       y        5.808912
BA2361       y        6.708095
BA2472       y        5.917986
BA2047       n        6.160926
BA2101       n        4.646267
BA2082       y        6.307407
BA2456       y        5.682300
BA2175       y        7.455713
BA2507       y        6.414178
BA2563       y        5.692956
BA2984       y        5.771444
BA2414       y        5.489155
BA2697       y        4.348336
BA2644       n        5.671271
BA2011       y        5.825045
BA2217       y        6.722381
BA2454       y        6.124323
BA2776       y        6.242272
BA2135       y        5.759491
BA2914       y        5.677729
BA2500       y        6.044435
BA3108       n        5.945200
BA2303       y        4.897317
BA2160       y        4.649451
BA2590       y        5.229271
BA3195       y        6.125940
BA3036       y        4.722146
BA2971       y        6.241009
BA3410       n        5.201166
BA3118       y        5.552482
BA3206       y        5.759875
BA3217       y        5.926374
BA3405       n        4.650153
BA3306       y        5.031150
BA3413       n        5.787316
BA3411       y        5.736999
BA3133       y        4.366083
BA3451       y        4.673186
BA3286       y        6.333243
BA3212       y        5.434393
BA3103       n        5.720614
BA3271       y        5.449007
BA3152       y        6.417013
BA3095       y        5.462608
BA3251       y        6.254911
BA3362       y        5.681929
BA3135       y        5.753024
BA3408       n        5.397803
BA3098       y        4.675317
BA3435       n        5.077316
BA3261       y        6.448481
BA3203       y        6.039384
BA3299       y        5.963052
BA3347       y        5.855020
BA3126       y        4.692932
BA3418       y        6.249128
BA3245       y        5.766476
BA3085       n        5.371962
BA3171       y        4.081952
BA3277       y        5.884446
BA3157       y        5.890481
BA3433       y        5.799887
BA3374       y        5.441736
BA3450       n        6.716102
BA3167       y        4.571219
BA3269       n        6.560150
BA3110       y        7.026980
BA3156       n        7.608767
BA3226       y        4.873783
BA3421       y        5.369020
BA3232       y        5.523908
BA3289       y        6.141495
BA3430       n        5.683792
BA3384       y        5.253853
BA3427       n        4.059248
BA3449       y        6.451980
BA3163       y        5.011833
BA3158       y        6.594181
BA3436       y        5.297687
BA3154       y        6.070587
BA3162       y        5.512762
BA3352       y        4.996304
BA3084       y        5.581590
BA3149       n        5.232486
BA3169       y        5.828970
BA3180       n        4.674264
BA3255       y        5.376759
BA3438       y        5.641287
BA3345       y        5.583069
BA3431       y        4.856884
BA3181       y        4.676015
BA3341       y        5.166728
BA3191       y        5.133333
BA3197       y        5.131591
BA3448       y        5.376018
BA3453       n        6.356274
BA3406       y        5.242559
BA3334       y        7.079949
BA3447       n        6.905588
BA3116       n        6.578211
BA3280       n        6.675027
BA3185       y        7.127388
BA3094       y        4.203320
BA3318       y        5.772579
BA3216       y        5.176296
BA3332       y        6.635379
BA3373       y        4.424072
BA3319       y        5.047314
BA3328       y        4.370512
BA3240       y        4.565502
BA3142       y        4.567287
BA3333       y        4.714413
BA3381       y        5.826204
BA3290       y        5.677729
BA3207       y        4.395175
BA3305       y        5.410638
BA3434       y        5.866167
BA3189       y        4.771745
BA3264       y        5.803401
BA3329       y        6.564284
BA3225       y        3.921218
BA3397       y        5.209040
BA3311       y        4.233952
BA3422       y        5.374231
BA3213       y        5.678499
BA3415       y        4.929433
BA3270       y        5.205457
BA3324       y        4.357586
BA3335       y        5.126298
BA3199       y        6.378790
BA3326       y        5.542827
BA3297       y        4.760732
BA3227       y        5.272498
BA3412       y        5.646538
BA3250       y        5.976912
BA3177       y        5.862524
BA3315       y        5.853818
BA3182       y        4.535543
BA3369       y        5.591016
BA3078       y        5.266737
BA3386       y        5.323759
BA3176       y        6.011722
BA3258       y        5.322335
BA3295       y        5.676593
BA3136       y        4.648028
BA3234       y        4.717895
BA3087       y        4.438580
BA3454       y        4.810254
BA3302       y        5.573386
BA3117       y        6.206979
BA3266       y        5.653358
BA3268       y        4.709804
BA3229       y        5.094266
BA3353       y        5.706432
BA3312       y        6.849006
BA3119       y        5.536120
BA3219       y        3.938851
BA3351       y        5.453042
BA3357       y        5.925550
BA3208       y        4.852302
BA3310       y        5.837165
BA3200       y        3.760644
BA3146       y        5.136921
BA3211       y        5.888796
BA3130       y        5.087933
BA3376       y        4.895918
BA3137       y        6.017047
BA3300       y        5.921163
BA3375       y        5.869010
BA3385       y        5.366196
BA3416       y        5.696461
BA3123       n        5.071641
