	WT1	GATA2
BA2392	-0.949108598338083	7.41600983782201
BA2611	-1.34397869390183	7.34547705030654
BA2506	-2.05373083819241	7.41107466475047
BA2430	-1.22174941388341	7.37299295258264
BA2448	-1.15439319370764	7.42721767032965
BA2730	-2.31036330948229	7.37967634115988
BA2845	-1.14118673133773	7.31758513982701
BA2326	-1.31682085580989	7.3445927403943
BA2341	-1.33055940349561	7.3614587281193
BA2612	-1.36720517947145	7.32489473499785
BA2973	-1.51804371313603	7.31665510949842
BA2390	-1.50372570372901	7.3634906067475
BA3218	-1.3568562659869	7.31484141146978
BA3105	-1.72584860763551	7.26503778677364
BA3402	-1.11055379864118	7.27805701193436
BA3276	-1.72584860763551	7.29968056370735
BA2409	2.42527027407431	4.08953411027778
BA3037	5.89603275873882	9.22687989289351
BA2496	-1.85443649196731	4.22136650202706
BA2172	4.30240606521426	7.72672331348077
BA2865	5.13442321095142	10.0543370402648
BA2923	-4.41297117108437	-0.905814060314707
BA2751	0.230814197880978	6.91069984449294
BA2480	5.43991302011835	8.44966638628301
BA2286	2.85220606273854	6.84098754890722
BA2922	5.65028439106862	6.95344802847081
BA2452	6.02615955253131	7.2808607611199
BA3379	4.06768255183074	6.11039522609915
BA2887	5.11638292117158	5.05929023106165
BA2712	-4.21691190609306	2.26275670492429
BA2068	5.2868395453686	8.95777690896205
BA2236	5.73442845067299	8.58457840504288
BA2104	-2.90198965929373	0.732935262992316
BA3124	3.08537081267169	5.77221027466017
BA3395	3.48569837262195	7.45571345371651
BA2921	1.83912500107504	7.41497012248878
BA2449	1.62272533517422	5.21327609576147
BA2003	5.76722856076773	7.37771038448057
BA2360	2.83094506139995	8.58992566833602
BA2802	3.47498947045849	7.40900238551148
BA2235	4.54878748959104	6.83214250556656
BA2858	-2.05373083819241	4.24617468927424
BA3038	3.84606667062873	6.41227021268222
BA3006	4.0102959705863	7.99915514777274
BA2245	-0.711977832459023	7.66369633945432
BA2667	3.12161168962479	6.50152491798344
BA2239	2.07076624330663	4.89696755761679
BA2782	2.60775035053937	5.97890641593254
BA2649	5.96386071356046	7.15798365655759
BA2488	6.0908744011171	8.16840116234166
BA2861	2.47226396684629	7.44839655086442
BA2909	2.23163840559511	7.51630069461518
BA2429	2.18540487795531	6.13853683580785
BA2653	4.87551304793432	8.67721676583393
BA2134	-1.26036729993896	5.66361114365051
BA2947	3.46604952680908	8.5971359914493
BA2032	6.35536228255588	9.91143332054624
BA2162	-3.00488579996363	9.31751716888528
BA2564	3.55179272966768	4.70523791699629
BA2597	6.14759404853347	9.36650856672567
BA3243	3.87740393249645	9.58909503454725
BA2106	5.57448750435834	7.01200936090574
BA2427	5.05220075930866	4.33903266779967
BA2841	1.39625212579059	5.94099029232779
BA2446	1.23682676475754	2.31812232252383
BA2645	6.46040057966304	9.64008823387741
BA2525	-2.45561174580429	5.24865361107735
BA2876	-1.03653723642118	5.79758031043752
BA2357	1.53598005102551	5.50571962151203
BA2546	-1.30656643508874	3.0112376490771
BA2742	0.69745683162882	3.66797907398221
BA2316	0.899094483682124	3.22495437973645
BA2421	1.33242763824809	2.45065051871032
BA2087	-2.74343030506397	2.55585093682386
BA2910	6.99719018449603	10.2053241381792
BA2148	6.9848366218031	8.16059641320183
BA2063	-0.311019673586418	3.02935460711532
BA2329	2.56729980684005	7.2245944685398
BA3178	-3.69977436376083	-0.106092733460167
BA2072	3.92905779716509	5.14543140849029
BA3029	6.97250726431014	8.92748837970555
BA2733	4.79905769578442	5.32125964978542
BA2995	-1.33761435343488	1.87147539953468
BA2069	-5.52091327378807	1.06756511195893
BA2100	2.94360662853157	6.69027313849037
BA2681	-2.3713037003904	7.58759859001841
BA2248	5.35117907046834	6.88553914900191
BA2832	4.42301685254278	8.69249597847146
BA2308	5.74861209266001	7.87732006412967
BA2413	5.71138116672011	7.29077391107671
BA2701	4.0672793038812	5.76256437697443
BA2634	3.4336264767336	6.61275930528802
BA2677	3.09979908032792	7.25790347094091
BA2937	1.39174765918177	8.40664550150058
BA2600	3.30695131155452	6.59949061589029
BA2019	3.40886684712213	9.64527993925034
BA2412	0.282808392042098	6.57041549701901
BA2334	5.38151536241943	7.64511152399424
BA2050	5.04032746317028	7.30591810989836
BA3230	-1.21505154279673	7.22951525991334
BA2953	2.61162716808333	5.74281190993701
BA2481	2.61955658601987	6.26652649814407
BA2731	-0.387302959250216	4.76216052725516
BA2294	4.4462798870641	7.90950778255697
BA2418	5.79950973684786	7.77713213848426
BA2816	1.00727712946517	1.63244056607344
BA2656	1.56426458726311	8.15865294170913
BA2814	-2.47214238978326	5.88643954120856
BA2631	3.92905779716509	8.0760787079227
BA2023	-4.79464204484053	-0.126036792393191
BA2375	3.92287499831834	7.68273154484305
BA2485	5.7175568767915	9.30657970599922
BA2455	-2.78034077718535	4.2507446186302
BA2025	1.76917277909169	2.32043052645812
BA2636	-3.29429542282984	9.22287720595147
BA2325	0.896118049614534	4.5269559134182
BA2169	5.97158629049038	7.0623479587219
BA2156	3.04704895342493	8.22650342209935
BA2511	3.55468554456962	7.6112304020112
BA2939	5.15740286046687	8.22855584188171
BA2168	5.643896541446	7.27636680044251
BA2505	3.83524914634314	7.27462693268534
BA2860	-1.19258977282178	8.5529001392332
BA2707	-1.26036729993896	6.27202284935672
BA2871	-0.399277296625941	3.03505636097059
BA2655	1.33464381417527	5.94796425199258
BA2227	5.05720665133944	7.50002964161751
BA2125	4.20135659440007	6.27380663380772
BA2523	5.39780333094655	6.52219766315803
BA2603	4.06201254185105	7.93187727167438
BA2808	4.89343215555138	8.47415784691615
BA2282	-1.41890702362989	2.39603844730184
BA2482	4.36127695713154	8.45696872743274
BA2812	-1.50022208785386	2.68530372380301
BA2822	3.80773072741873	6.10829331712153
BA2594	0.507602595468108	4.34871319583887
BA2747	5.04409921416931	8.01284698319857
BA2561	-5.29146950758079	0.106733079748621
BA2567	-3.85126035696575	3.87651804611081
BA2906	1.60231574737047	2.27825644198579
BA2956	4.14366264706437	3.23073632692797
BA2474	4.47099076274074	8.0044307958278
BA2737	-4.30318114320644	0.583388534420479
BA2110	2.0116554134637	4.92630002359127
BA2992	4.61150443110127	3.78491798790536
BA2220	4.86534712878217	9.160132157513
BA2772	4.92736106288858	8.79942491234482
BA2935	3.66845105159953	6.05993013058661
BA2260	3.58742662131399	4.49346190383121
BA2676	1.70326872127497	5.78078023650693
BA2948	2.96409346879	8.35358316301659
BA2524	5.84150393894181	4.83023871763674
BA2811	5.683055970914	8.47663077360064
BA2540	-3.54072073336428	4.68836796933157
BA2928	-4.04278359661597	4.17753260382741
BA2302	3.76902108983222	7.19225834495813
BA2595	5.98011491063707	5.88961440143981
BA2792	4.16205900590607	7.17761745050204
BA2651	4.95506412387923	6.92432887364054
BA2619	4.58691244592694	9.4917929010063
BA3013	4.09676624641316	5.87965665517008
BA2405	2.7380162918585	7.40510623344956
BA2735	4.27308792912525	8.43517613550052
BA2856	4.14600944932061	8.63894476137773
BA2377	-3.73132773416127	2.36843137715683
BA2499	3.56956667884493	7.8503248353151
BA2463	0.234841923860152	2.17929512084737
BA3023	5.08080248801388	7.81686981561798
BA2095	5.66319728629148	8.05288390011611
BA2901	1.87236961151542	6.08192723673296
BA2275	2.95951917174378	6.35757561884313
BA2387	5.85107379352105	7.77444024847
BA2962	2.81275421711373	6.61649602743193
BA2195	4.70980361858599	8.31347995218337
BA2688	4.16358431723126	7.560948520145
BA2787	-4.16221322156868	3.12103519528401
BA2420	3.94179623964938	6.08362235286883
BA2756	5.4113491881704	5.8081471591439
BA2122	-1.6782559541387	4.82431105237604
BA2053	5.6154952630376	7.02841397070837
BA2080	4.62926177132124	5.89999571306857
BA2081	3.53338878205588	5.76181699229763
BA2354	1.42234206716286	5.88722354181861
BA3273	0.919835106636856	1.71633530219167
BA2893	4.73904359343724	8.07971165578759
BA2044	3.57238938006016	4.90950444103544
BA2489	-1.97374829109098	5.30096102579671
BA2309	3.41508060163647	8.01457218763256
BA2720	4.01157335883524	7.5552619353094
BA2908	3.715145145311	8.34151708484093
BA2054	2.44926156327769	5.69876878834828
BA2872	-3.36366404396703	6.13505858445244
BA2526	5.67432622931416	8.34681429629083
BA2041	4.90986474335253	7.08598210070988
BA2464	5.40147695209821	7.31579076602089
BA2902	5.28073246291878	7.50436087643108
BA2541	4.01070643303874	7.65276972214058
BA2143	2.54544196723504	6.08318959151969
BA2094	-5.26179066275894	-1.9002011047749
BA2769	2.5287380218477	7.3370513303313
BA2843	4.08320598972476	5.51382815263466
BA2592	5.6144197194819	5.87139334737162
BA2497	-4.2593293039235	-0.200351841889843
BA2718	3.85471716317187	9.71984209806913
BA2575	3.18055040086097	5.35965803846691
BA2096	3.5589954761134	6.33465501524617
BA2593	3.05037898922433	6.50598160592548
BA2791	5.71798453197329	7.2245944685398
BA2620	1.51028957469975	6.6396645832219
BA2629	3.80689635661131	6.5105672693692
BA2870	2.10589181824348	1.06894896681523
BA2423	-3.2138968635892	3.54497964521433
BA2682	3.98571420800687	7.53511002571526
BA2276	-2.26970788857989	6.88553914900191
BA2348	1.35850244646445	4.47099076274074
BA2709	3.43199360390782	4.71407158331364
BA2789	5.19197507986882	8.85577669200061
BA2694	5.04514940290603	7.01613705435711
BA2538	2.14795123434684	6.04021038079235
BA2583	0.521473783310622	5.53534040119425
BA2415	-5.52091327378807	3.41140290286834
BA2722	4.37013695316732	7.49794707202402
BA2806	6.00261866586335	7.96744532914178
BA2221	-4.44520274654728	2.52007957747602
BA3025	5.54282665462534	9.53969913371194
BA2514	-0.467690122476436	5.72754939375197
BA2520	2.02174840979331	2.91242066204713
BA2441	-0.2940815573697	7.28268371584317
BA2153	2.22782247296683	5.7983454299058
BA2479	1.82959006870799	4.7941665840707
BA2281	5.49981147623839	7.82261702082019
BA2657	0.0966736139010029	9.2429894144776
