	DNMT3A	SF3B1
BA2000	0.3903477782106476	5.868488939678021
BA2003	0.2200672016907105	2.198908352987511
BA2004	1.7421872222743082	4.138880806726062
BA2006	0.3787236170572983	2.325123064804804
BA2011	0.5217608164496809	0.1380198320917367
BA2019	0.4474708417173635	2.591253168618399
BA2020	0.6765599205677996	3.566717303735739
BA2022	1.035164212553083	1.6333312272570373
BA2023	0.1201300703143848	0.695618182813505
BA2024	0.4794653993658658	2.2570122608614995
BA2025	0.2548711482159886	1.0662814523867092
BA2031	0.2223031448406812	4.244904914836965
BA2032	0.2822289193149458	0.544077751470832
BA2033	0.1425292972381716	0.5207126749297848
BA2034	0.5984234647814147	3.739892901838597
BA2035	0.8654681646619956	6.2327003775731
BA2036	0.4402468738806289	9.325854998547795
BA2037	0.783361127172473	5.232376171077262
BA2041	0.1026100021630555	0.8686250591145965
BA2044	0.3145954640236001	2.7103441419906
BA2046	0.1527200400277926	0.0966780257929719
BA2047	1.1000234462904164	2.5434799755482262
BA2050	0.2208361160071591	1.5773960837625316
BA2051	0.1202876109750209	1.9603346228298677
BA2052	0.4628891424904828	2.2125302187734275
BA2053	0.2357331583528511	0.5596398153343644
BA2054	0.1897970889603141	2.902457441292173
BA2055	0.1016623185336721	1.3580618091575545
BA2063	0.2337397032375142	1.0228629180029227
BA2065	0.4009166650099477	3.3052441831997457
BA2066	0.3777119351024847	1.1212745563173925
BA2068	0.2375133220008568	1.42080896899582
BA2069	0.1693877031808799	1.6861525559554815
BA2072	0.2069594922820808	0.7505739552112843
BA2079	0.2431485328158669	0.6569010874044472
BA2080	0.2891593639359263	0.7577356790613439
BA2081	0.2574487849552282	1.987437057210764
BA2082	0.3355754225575059	0.0575538570088242
BA2087	0.1543080697173639	1.0741895787999471
BA2088	0.0833651298577288	1.1964608794427185
BA2089	0.2758816049602879	2.2429851844755566
BA2093	0.4683773986052874	2.504220728960906
BA2094	0.4592247829364606	4.874152863123288
BA2095	0.3875435221016316	2.000770656654821
BA2096	0.1225796696216249	1.4035218689792446
BA2097	0.6727738141640198	5.529201492957189
BA2098	0.4725877035538304	3.7885589952267344
BA2100	0.1089824664887933	0.3885650929638804
BA2101	0.6971560439731584	1.4843159585840475
BA2104	0.053740668846797	1.4249106856380802
BA2106	0.2311583327849795	2.635120076761539
BA2109	0.1313450186921277	0.1013629278870352
BA2110	0.0840286651574152	1.195629336654395
BA2113	0.6525721360605183	1.3489537058579335
BA2116	0.2417840970771943	0.7321046849173004
BA2121	0.6760584898167601	0.9023855229683968
BA2122	0.0656029871370471	0.6417203906201293
BA2123	0.0959275918604528	3.840240130713588
BA2124	0.6896924988931303	5.547385135207057
BA2125	0.4016538372629313	3.133815191424848
BA2132	0.5098245010712235	2.629895091549692
BA2133	0.2320013726547507	1.889343444020188
BA2134	0.0978162703224511	1.3858377241602684
BA2135	0.5230946747168397	1.0282469461893704
BA2139	0.094658854443762	2.3384103077608533
BA2143	0.1901286905887505	0.7740416288409281
BA2148	0.1653780428761621	0.0754874236072144
BA2153	0.5962602133140623	5.116721417047205
BA2155	0.325684159573431	0.0402624383953675
BA2156	0.6192501045771407	2.5846917601475625
BA2162	0.5336746564791711	5.054337551568456
BA2163	2.3304985680705173	4.424902398189839
BA2168	0.4042478250562519	2.459866336385243
BA2169	0.8900870917871619	2.2605231584757783
BA2171	0.5006416354314442	3.878938050944237
BA2172	0.3534923133742886	0.1033096950979363
BA2174	0.4419089652347314	4.125021798269824
BA2175	0.177572143431386	1.6714606133319954
BA2184	2.4937520176121484	10.628341810860665
BA2195	0.2030012891780013	0.8517477544056531
BA2198	0.8296965103200213	9.032062076788913
BA2200	0.879303672917371	5.909373552547744
BA2201	0.0986654105296367	0.7405867057165145
BA2209	0.8738033339078843	1.939924439760896
BA2211	1.7814047286024255	3.478055240024269
BA2212	0.358849828842352	1.9117243822809795
BA2217	2.0109583228318337	1.8505187182282803
BA2218	0.3445802528520448	0.084710669215247
BA2220	0.2158140627418481	1.6409310910083468
BA2221	0.1123345902334619	2.243354454921604
BA2224	0.50439950982126	2.0797450735301943
BA2226	0.8732113967481294	3.1108793742900542
BA2227	1.1770681874430475	4.466729377559415
BA2228	0.1756566002668675	1.4107074971754248
BA2229	0.4751961882078786	2.299403410170904
BA2233	0.652611372360466	3.843300609317525
BA2234	0.1253648500016553	4.0845688398028654
BA2235	0.175866222457809	3.773219992974677
BA2236	0.3285167351903352	3.873751378073389
BA2239	0.1714125851037873	1.4644137048543158
BA2240	0.5717301014229117	5.302351818144493
BA2242	0.5819394119805501	5.217936721911253
BA2244	0.2843519009376707	2.109603304943121
BA2245	0.3750327072183909	3.715063303939503
BA2248	0.3118143728257943	0.5876281095038024
BA2249	0.4332410668101266	3.458310637890213
BA2251	1.0331853833965587	12.00484402870346
BA2256	0.5170178480586665	2.33433740710835
BA2260	0.1635494751200925	1.5779240094218403
BA2261	0.7411661772531666	0.0481531079451538
BA2269	0.0514481175701506	0.0224406991260923
BA2271	0.3975245005379642	3.761306094239691
BA2272	0.2766335588647716	2.964975913177955
BA2273	0.3883456318198185	3.045841981931842
BA2275	0.7906998485809084	2.7853284034421044
BA2276	0.1930645223276748	3.42152463196887
BA2277	0.8546168491637717	6.531068769093444
BA2280	1.3403744661128272	4.484736603606028
BA2281	0.3742486776379176	5.114091505593648
BA2282	0.1848252696301412	2.121523772811391
BA2286	0.2924677972517953	2.854157120894861
BA2288	0.8689960641896194	1.2115094864671292
BA2292	0.0383764464488665	3.7299817448043786
BA2294	0.8926650952809216	3.163226501282653
BA2296	0.7958449564827293	4.481140748242528
BA2300	0.8105652707227917	2.823341050544311
BA2301	0.1512653313907045	1.4422802647725668
BA2302	0.1781291916276537	2.4450587800572063
BA2304	0.1342898984526482	0.5735414547284834
BA2306	0.5401721990788467	1.4378042824058233
BA2308	0.918211471699353	2.7371780782548
BA2309	0.1763206638680505	5.374018728112393
BA2311	0.1760659011994245	3.3142836831548874
BA2312	0.6757120776156089	1.9396833890645215
BA2316	0.1292452424412816	0.4984972271262627
BA2322	0.7836452764609124	0.7196782721354701
BA2325	0.059416367332984	0.6144736710050318
BA2329	0.1829182068266463	1.1931826614417729
BA2334	0.5601448744652351	1.993478439709194
BA2339	0.1039325783070219	0.4699942900241933
BA2344	0.7171623628083545	2.2900026002819254
BA2347	0.0733246332693876	0.8088991835723007
BA2348	0.0563834165382755	0.883377560935554
BA2350	0.0687448652717671	0.9795546142839112
BA2354	0.5649239948038823	3.580583535197325
BA2355	0.2402441112801165	3.44088195176249
BA2357	0.0769123129206903	0.7466248340609561
BA2360	0.6835659009126082	2.6603320453574324
BA2361	0.9467138467155864	2.122537525413574
BA2363	0.2013801892904489	1.6522726311963882
BA2369	0.414873241135215	1.1059227199253063
BA2374	0.4334668550253931	2.4096833890645217
BA2375	0.512061926493074	2.100786539663423
BA2376	0.187392021027014	2.343366612380079
BA2377	0.1966266034983252	0.0567111603796107
BA2379	0.1859523035553871	0.7103568696863393
BA2385	0.152949964951423	0.9035211314723832
BA2386	0.3828690029882881	2.367782567770798
BA2387	0.1326860295492633	4.035369110779613
BA2394	1.28729052993089	7.593742353118285
BA2399	0.4459573066888792	3.685799556279377
BA2400	0.7696569294530675	10.516791943992056
BA2402	0.2305528668789867	6.407256444061246
BA2405	0.1687941960019158	0.2110564671748621
BA2406	0.550402929983847	1.4467520730025347
BA2409	0.204315745002997	1.3682634830700355
BA2410	0.304621398174643	4.5260095176401
BA2412	0.1317688752634919	1.3753158354127988
BA2413	0.4473235049280832	3.558757620270642
BA2414	1.599491958875364	2.306433272355962
BA2415	0.1148539006855739	3.756315385305518
BA2417	1.337533555314113	1.1675117582923902
BA2418	0.2762351313664459	1.5321366334104294
BA2420	0.2310167770745552	3.2029681153734444
BA2421	0.1248639661925869	1.154419886226261
BA2423	0.1345809588727959	3.8067645573970417
BA2425	0.4554703213617888	3.107183849055916
BA2426	0.4718236560602522	0.1050925076905999
BA2427	0.1490400221697363	0.1443236529855342
BA2429	0.329031989925242	4.061533740558772
BA2440	0.1622128696814486	4.515118540922507
BA2441	1.6139302908224038	7.48233802600586
BA2442	0.3804119201097979	3.410966293655464
BA2446	0.2001238359012414	1.5344025510134254
BA2449	0.2287970587036531	2.356064100751041
BA2450	1.4455575219911612	3.519331370196511
BA2452	0.3308325464918646	2.951904546843851
BA2454	2.200586435986676	3.5800363507248094
BA2455	0.345850794601501	0.5393154871879091
BA2456	0.1109490055855878	0.1207102191079664
BA2459	0.1343229897677482	0.0323815313075464
BA2461	0.3576983560536166	0.95278330527766
BA2463	0.4722574616693779	1.416645689538503
BA2464	0.3978457402927364	2.274301284478446
BA2469	0.0707174080469741	0.041105135024581
BA2470	0.829096922119146	1.5174264355913207
BA2472	0.1427092567573498	0.1222859747483732
BA2473	0.14440797310754	1.926382718921689
BA2474	0.6927629557403411	4.932402265134477
BA2477	0.681689466720368	6.768566446326989
BA2479	0.1776972071235237	2.963803300077096
BA2480	0.3190556321984708	2.962812060442108
BA2481	0.0963988557689032	0.1065127406211176
BA2482	0.3960059195757783	4.55675387495229
BA2483	1.2695197781603915	4.094619043491615
BA2485	0.4396756763186226	6.688179817858615
BA2488	0.2479588444473664	3.1325379968097127
BA2489	0.0987155128266856	0.4959159455066064
BA2492	0.0661047669468101	0.6517676062656149
BA2494	0.4360524146066351	5.546111050285802
BA2496	0.1166748542849611	0.936298316203406
BA2497	0.0989981411296462	0.5076979597670999
BA2499	0.2037565437747856	1.6321394161682796
BA2500	0.4721345142772626	2.640884225108383
BA2501	0.4816688295202621	3.3400008819669686
BA2502	0.1638465093407732	2.2903437922450776
BA2505	0.2124773452250946	3.3599098264806018
BA2507	0.7322819781538245	1.126609034687153
BA2510	0.1988790031605586	1.117650744121614
BA2511	0.1227612292575707	0.5547863739144583
BA2512	0.3319279693979129	2.4011947991320226
BA2514	0.1504328415425985	3.45310423481002
BA2515	0.0942200510207396	2.492897976189933
BA2520	0.4753243867453362	1.384062484318475
BA2521	0.4124049363037384	3.6303167173797672
BA2523	0.2414343473868867	3.255909992229567
BA2524	0.1617041942440691	1.182336976769294
BA2525	0.1242240092794612	0.927868361868006
BA2526	0.1721578891325065	1.5745202936037626
BA2528	0.5811953456406841	2.664848081189622
BA2532	0.1418639295741579	1.586789054789917
BA2534	1.2894096471898533	4.342877348807292
BA2538	0.3724935018034421	5.459500768679832
BA2539	0.2473384989090979	3.452706536135555
BA2540	0.0392767792214953	1.6834681450257822
BA2541	0.3937315952460676	2.4779100728231005
BA2545	0.323874393433841	2.715710302742765
BA2546	0.2799703549111725	1.1761256635660966
BA2552	0.9149504511235462	4.987072698408354
BA2559	0.14604252116698	0.7191279551595828
BA2561	0.267564448818346	1.0089444147921067
BA2563	0.7464626423826584	2.168817586421358
BA2564	0.2903125005311262	1.1562404789384766
BA2567	0.1688990342602005	2.944546980707733
BA2570	0.5441987125534858	0.8088462579510084
BA2575	0.113993415515483	0.5436999654816376
BA2577	1.0114167075149012	4.324663598029868
BA2579	1.02388725941294	3.419698922327602
BA2583	0.6173553319213095	4.572907145605144
BA2584	3.188228154668748	3.803381818707128
BA2587	0.7056228868811733	3.168909295779788
BA2588	0.5454191265941115	2.217265202905625
BA2589	1.1554841958513062	1.3964120671328928
BA2592	0.4516867213074516	5.069278178464495
BA2593	0.0482078021875235	0.0398129393678121
BA2594	0.318736959768664	1.55384779379004
BA2595	0.165925845479081	1.1049828092472718
BA2597	0.1956060277048242	1.0624154034010471
BA2600	0.3145612729561897	1.0177168916442754
BA2603	0.2955805106291863	3.448005834667688
BA2618	0.4605459480209012	6.639709954517876
BA2619	0.3964742673762612	1.608222981017942
BA2620	0.3429567901630611	7.257136306474398
BA2621	0.2521754146457712	2.302562167266556
BA2622	0.1820431796607657	5.740018604941144
BA2623	1.0283085416478084	3.1361912788673103
BA2629	0.4695763482228556	8.522674344341194
BA2631	0.3945279612030792	3.2329857166970037
BA2634	0.376498154243872	1.1973282787502224
BA2636	0.298505593504929	0.6665113492421927
BA2639	0.539061794585312	1.362958086800756
BA2644	0.6555710697629737	1.159654428614658
BA2645	0.5763828990678791	1.6553232028782536
BA2646	0.5716253213226956	2.292427173098183
BA2649	0.3679098787072297	2.054793558903989
BA2651	0.1820603245896505	0.9328784512660028
BA2653	0.2516713230269166	0.8253166337449686
BA2655	0.3170650738691498	7.299985941750644
BA2656	0.3431771918194494	1.3059148202384048
BA2657	0.4038453553346112	3.998831667480205
BA2658	0.6219957447398035	1.8268710853211807
BA2659	0.4637602320668896	2.2619259953681525
BA2660	0.2191428208101416	5.050824973655039
