#Boxplots d'expressions du gène RAD21 en fonction de la feature totalDrug
#Résultat du test statistique Mann-Whitney : U = 14343.000, p-value = 0.00170
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2272       y        7.674935
BA2306       y        7.733326
BA2726       n        7.925265
BA2234       y        7.331640
BA2022       y        7.455713
BA2037       y        7.531975
BA2184       y        7.449514
BA3009       y        7.202313
BA2442       y        8.259748
BA2882       y        7.291628
BA2570       y        8.672544
BA2721       y        7.471117
BA2728       n        7.734622
BA2098       y        7.311272
BA2951       y        7.396354
BA2778       y        7.143032
BA3153       y        7.565678
BA2820       y        7.157134
BA2704       y        7.735953
BA2584       y        7.257903
BA3079       y        7.722779
BA2361       y        8.283115
BA2472       y        7.370029
BA2047       n        7.139940
BA2101       n        7.507524
BA2082       y        7.447414
BA2456       y        7.895631
BA2175       y        8.563383
BA2507       y        7.120404
BA2563       y        7.274627
BA2984       y        7.326799
BA2414       y        7.337051
BA2697       y        7.027681
BA2644       n        6.985540
BA2011       y        7.129645
BA2217       y        7.085982
BA2454       y        7.328803
BA2776       y        7.212248
BA2135       y        7.755101
BA2914       y        7.093391
BA2500       y        7.020525
BA3108       n        8.811774
BA2303       y        7.333391
BA2160       y        7.398294
BA2590       y        7.484907
BA3195       y        7.444440
BA3036       y        7.527767
BA2971       y        7.314841
BA3410       n        8.056264
BA3118       y        7.965774
BA3206       y        7.539744
BA3217       y        7.990681
BA3405       n        7.112888
BA3306       y        7.633935
BA3413       n        7.257903
BA3411       y        7.650223
BA3133       y        7.901919
BA3451       y        7.371985
BA3286       y        7.324012
BA3212       y        8.354158
BA3103       n        7.666140
BA3271       y        7.566798
BA3152       y        7.712154
BA3095       y        8.016169
BA3251       y        7.606417
BA3362       y        7.177617
BA3135       y        7.571312
BA3408       n        7.852051
BA3098       y        7.380621
BA3435       n        8.116661
BA3261       y        7.683998
BA3203       y        8.611512
BA3299       y        7.244740
BA3347       y        7.126641
BA3126       y        7.497947
BA3418       y        8.018000
BA3245       y        7.521962
BA3085       n        7.636313
BA3171       y        8.335609
BA3277       y        7.584150
BA3157       y        7.616076
BA3433       y        7.651483
BA3374       y        7.790932
BA3450       n        7.757804
BA3167       y        7.116614
BA3269       n        7.602804
BA3110       y        7.352023
BA3156       n        8.992112
BA3226       y        7.596945
BA3421       y        7.277183
BA3232       y        7.564367
BA3289       y        7.245627
BA3430       n        7.436309
BA3384       y        7.364358
BA3427       n        7.841279
BA3449       y        8.437581
BA3163       y        7.386670
BA3158       y        8.021425
BA3436       y        7.305918
BA3154       y        7.196432
BA3162       y        7.556337
BA3352       y        7.423134
BA3084       y        7.617186
BA3149       n        7.037793
