	STAG2	SRSF2
BA2000	0.045373231419743	8.232855850924276
BA2003	0.0190274841437632	9.4977144739766
BA2004	0.0769230769230769	5.562522945896354
BA2006	0.0443974630021141	4.6626359318395725
BA2011	0.040169133192389	8.33948154257171
BA2019	0.0617986664498292	9.757790556231546
BA2020	0.0865181330297609	24.05614468586043
BA2022	0.0530167506911693	13.76175498824985
BA2023	0.0211416490486257	6.170959052505648
BA2024	0.0845665961945031	13.562153332917909
BA2025	0.0416327858188323	8.058465426519131
BA2031	0.0066677508537973	5.276629236644825
BA2032	0.0380549682875264	4.763443017170353
BA2033	0.066352252398764	22.143794608866745
BA2034	0.0110587087331273	10.006225712329805
BA2035	0.0483005366726296	6.202410726195026
BA2036	0.0395186209139697	8.19574270719942
BA2037	0.0796877541063587	11.49048044339966
BA2041	0.045373231419743	12.869687030810905
BA2044	0.0426085542364612	8.48685376064178
BA2046	0.0606602699625955	9.108705272546237
BA2047	0.0476500243942104	13.306666081934658
BA2050	0.0213042771182306	9.513319286237095
BA2051	0.0489510489510489	8.14805311574689
BA2052	0.0442348349325093	8.873809201356487
BA2053	0.0393559928443649	7.462370487579332
BA2054	0.0422832980972515	10.430588127973053
BA2055	0.0203285087006017	4.345256847097649
BA2063	0.0499268173686778	9.467873645094436
BA2065	0.0434216945844852	6.373759297739962
BA2066	0.0788746137583346	15.800296299117967
BA2068	0.0367539437306879	18.355853161765303
BA2069	0.0377297121483168	10.278331861243649
BA2072	0.0289477963896568	5.902058256500613
BA2079	0.0591966173361522	7.640222263953134
BA2080	0.0250447227191413	9.191369278339211
BA2081	0.028785168320052	6.928636469183807
BA2082	0.0456984875589526	8.40840134006508
BA2087	0.0258578630671653	5.677796869229128
BA2088	0.0616360383802244	11.410047337328768
BA2089	0.0291104244592616	11.89864820678787
BA2093	0.0352902911042445	5.464961303565389
BA2094	0.0351276630346397	12.051205054450586
BA2095	0.0396812489835745	8.463544127567214
BA2096	0.024394210440722	15.000673563143634
