	IDH2	EZH2
BA2756	8.77804587995587	5.94641278080618
BA2122	7.22786001580346	6.10323904488586
BA2053	8.13938594647296	6.18074633883084
BA2080	8.7420670822246	5.2381836725971
BA2081	8.62242404966029	5.75606111415072
BA2354	8.03197078783115	5.39929335398575
BA3273	8.71530617987172	4.80779826591488
BA2893	7.97069985635942	5.5906429058684
BA2044	8.60067902691643	6.22989744594561
BA2489	8.3311533449718	5.74090562795813
BA2309	8.77501554362266	6.2918184227424
BA2720	7.72941398094	5.96545215931813
BA2908	8.46065657230778	4.99070869170882
BA2054	7.90191887122195	6.33324319286844
BA2872	8.7420670822246	6.50297201387594
BA2526	7.97556074370465	6.27694818574979
BA2041	9.11460476788528	6.05361973784087
BA2464	8.03197078783115	5.16855006190863
BA2902	7.84883391972247	6.07479305709891
BA2541	8.09989277486394	4.74957774721697
BA2143	7.95296500400789	5.36725981004116
BA2094	8.51679913189176	6.11421817923463
BA2769	8.45696872743274	5.93410860815703
BA2843	9.00955709168753	6.7037023558772
BA2592	8.77804587995587	6.84098754890722
BA2497	8.52190108216259	5.51500276467509
BA2718	9.77539354132974	6.11633596300958
BA2575	8.0044307958278	5.07515720571569
BA2096	8.90103696609653	6.48606087387678
BA2593	7.29348678773891	7.19816924570359
BA2791	7.98067391429632	5.04444275985059
BA2620	7.72809482559201	4.01641654454627
BA2629	8.34906675857089	6.05448659537988
BA2870	8.60608533344799	6.19822146547957
BA2423	7.46260985261637	4.96476498398767
BA2682	8.11478606741055	5.36514025423526
BA2276	8.5872495962732	5.91874058491338
BA2348	7.57949702449786	6.01997355940229
BA2709	8.36722488709977	5.70069374807012
BA2789	8.77501554362266	5.41609656191544
BA2694	7.95452812467512	5.8741844767795
BA2538	8.78108213178214	6.33280116885594
BA2583	8.68676863894814	5.5372259675426
BA2415	7.4333053034535	5.72866766844001
BA2722	8.55813210635661	4.93504794352695
BA2806	8.20012237793382	5.60617377123055
BA2221	8.33560901482561	6.17728971570781
BA3025	9.00255657247606	5.32268742710505
BA2514	8.09800077099819	6.32267289165303
BA2520	8.96458579397726	5.76920600167318
BA2441	8.31347995218337	4.88184571425701
BA2153	7.85777881958234	4.96896518773792
BA2479	7.08297551023298	6.08966256500214
BA2281	8.48906113697349	5.8546289142141
BA2657	7.76200686781066	3.86667316749471
BA2932	8.48906113697349	5.51345714323729
BA2123	9.3735473533766	6.17166961813264
BA2844	8.96800104667789	6.7630173908565
BA2660	8.65565049707964	5.37049633306029
BA2836	8.06147774301482	6.25632117467534
BA3027	7.12040364606583	6.68810200399149
BA2714	7.85633367820174	4.88537399325768
BA2139	6.79931174111644	4.39445609206128
BA2251	9.4000752436972	5.5413102037989
BA2952	7.71347289714959	5.02619905861961
BA2440	7.89883083701412	5.57190904546529
BA2036	7.88793681406652	4.9227991604453
BA2828	8.0095286113404	4.99851357395831
BA2292	9.64008823387741	6.80787905159787
BA2410	8.30255392241405	5.35671343237345
BA2051	7.5032888272442	5.68759563054623
BA2532	7.76614073791854	5.50203062931775
BA2986	8.4424022836884	5.88005273032646
BA2494	8.41135949860071	6.64631169310032
BA2515	8.77804587995587	6.66067320636594
BA2748	8.85577669200061	6.2114515075537
BA2970	8.42798766039968	6.91665453342353
BA2622	7.29431703031285	4.78188212473359
BA2839	8.62516478231551	5.37675910366016
BA2052	8.74800571415782	7.07994856692804
BA3011	7.85205086731265	5.86019583665539
BA2868	8.84624370479657	5.83483518369012
BA2510	8.79942491234482	5.42161592263156
BA2065	8.24509615455004	5.33503178066884
BA2691	7.21224786715344	4.00036361734849
BA2374	9.14863087419242	6.77775850085893
BA2804	8.83362186336888	6.31492475633183
BA2670	6.96289154217268	5.76568700898176
BA2675	8.34456564828853	5.14967422759909
BA2589	7.41008797800013	6.21976021821158
BA2031	7.68134464101013	5.25385282871793
BA2198	8.64171611871059	5.31682531575163
BA2066	7.64377441186557	5.78265919367654
BA2344	8.97142354261209	5.28538104551213
BA2459	8.80432724529814	6.56890360423702
BA2229	7.46065818949753	5.41716478810556
BA2559	7.72417589543797	6.23708437608245
BA2093	8.51679913189176	5.62490937512472
BA2000	9.25517667754352	6.61592394796106
BA2425	8.29571260021178	5.15277462061388
BA2905	8.42798766039968	6.3544519231975
BA2304	7.59101188148724	4.6536793016403
BA2976	8.13938594647296	5.5962261554154
BA2386	8.05626383418968	4.31964800368711
BA2035	8.904319577833	5.57154615906059
BA2760	7.83268389248944	5.74318527568312
BA2201	7.88494695067266	5.29487332704559
BA2355	7.42415546195164	6.76715417447917
BA2113	9.00613487905274	6.80486837491
BA2155	9.23089240757758	6.57670086749662
BA2955	7.60765864505298	5.15277462061388
BA2502	7.56321071069528	5.59736566113199
BA2322	8.41608983118813	6.06255807626612
BA2376	6.9944372976249	4.52802366345833
BA2020	8.87824586229709	6.43335604753767
BA2226	7.35863482899504	5.36143895724277
BA2200	7.94145634611773	5.87927912302444
BA2121	8.45696872743274	6.6430484484285
BA2944	8.7420670822246	5.25458692670885
BA2033	6.87847286019697	6.44275689894875
BA2867	8.68391306436784	6.18590754539494
BA2089	7.5725144548201	5.44461485443026
BA2224	8.09804401257278	5.90157614057374
BA2046	9.16784487350203	6.24055068924258
BA2972	8.54249270039127	6.30740738637139
BA2978	7.48490734822992	5.7151540674209
BA2829	7.62925234894777	5.64918681238206
BA2851	7.99068122497693	5.31144747900552
BA2587	8.42083657982967	6.33191637769617
BA2461	7.51191595859432	5.81242563536261
BA2695	7.10693286579065	5.62679253065256
BA2623	8.50918028997297	5.9610279397687
BA2024	7.248181873002	5.81648610262315
BA2426	8.38795127420314	6.20271197742685
BA2271	8.0301567645062	4.87903527269784
BA3004	8.34007975821985	5.98180577093432
BA2579	7.81538872947805	5.14194854842965
BA3010	8.03884116383771	5.6681641248555
BA2662	8.43758065182973	6.61649602743193
BA2674	7.58991392876001	4.3981107984309
BA2280	7.90803356905227	4.650152754678
BA2512	7.00146186913291	4.78751391876221
BA2658	7.49358396361658	5.83841841477399
BA2394	7.93502206043898	6.13208464272519
BA2950	7.67625068419832	5.29014927757584
BA2981	8.20818067427413	7.023488210081
BA2934	6.47279065497325	4.57905905511671
BA2539	7.49256176412129	5.88684341274268
BA2249	7.74263536016322	5.70604900479139
BA2034	7.96905854853838	4.6742639798329
BA2109	7.73332620572976	5.55025760092161
BA2242	7.66613976188412	4.40909041856159
BA2277	7.81538872947805	4.76180081744306
BA2727	7.94145634611773	4.56478976898356
BA2132	8.60067902691643	5.81959741153124
BA2618	7.70961368830257	5.73442845067299
BA2521	8.13747585819058	5.16960938829634
BA2846	8.63341745058943	4.90254409754431
BA2885	7.45866975783138	5.00796743570823
BA2639	8.73910632748104	6.10408615184211
BA2775	8.11853831041796	5.09496926322148
BA2402	7.68775219309565	5.05998896160971
BA2097	7.9003747386446	4.69506440431895
BA2786	8.7332018546727	6.63111242241247
BA2399	8.31787605128572	5.74985586104485
BA2850	7.5552619353094	4.48983140690623
BA2174	8.11104544817006	5.73699919077019
BA2004	7.17275321082541	4.17864479441855
BA3001	8.23061160269424	6.48705929163371
BA2311	7.9609725092348	5.30744038497995
BA2483	8.00271116464237	4.22213876832889
BA3040	9.05581138653334	6.64464627075058
BA2837	8.37639721534742	4.43535157234795
BA2724	7.66369633945432	5.58914523241343
BA2911	7.8210975174081	4.74078679013041
BA2256	8.7420670822246	6.49504433110095
BA2821	8.41372261793503	5.84430678297576
BA2233	8.74800571415782	6.0921968661524
BA2744	8.3972661940189	4.70381184087467
BA2880	8.3311533449718	5.85654635479991
BA2621	7.28438406463884	4.79068369995582
BA3002	8.55997698305646	4.29867481796289
BA2501	8.34681429629083	5.76526823165432
BA2993	7.77713213848426	4.24082241554656
BA2301	7.75780436658957	6.68593691853273
BA2852	7.53734841909383	4.93401038600293
BA2133	6.96975356458038	5.89603275873882
BA2866	8.99906762077278	7.38257507273258
BA2212	8.64171611871059	6.30142372411484
BA2685	9.08862153045619	6.54875546973009
BA2273	8.71853926395486	6.08237851607355
BA2477	8.48407580140491	6.43241877433245
BA2659	8.15090969693391	5.41609656191544
BA2124	8.70296361717243	5.94717583892944
BA2363	7.80235955590607	5.01110132445605
BA2369	8.62242404966029	6.28051995140614
BA2534	8.74800571415782	4.38891609087157
BA2400	8.09804401257278	5.73663382994184
BA2762	8.16840116234166	5.66204443579784
BA2312	7.54970729199318	4.55739011915781
BA2813	8.04060780611373	5.51015899119849
BA2211	8.61335419813792	5.05115412774342
BA2171	8.29387857030758	5.4843036495526
BA2746	7.28712238553665	5.24069452394771
BA2798	8.39493145233583	5.17381001168529
BA2809	7.88191833711993	4.16439378818326
BA2288	8.17565360284926	6.60051001058414
BA2801	7.5932544466496	6.76656262392125
BA3030	8.02685700006077	5.85501990072082
BA2588	7.83407017601998	5.85341733924409
BA2296	8.64449262965366	5.96784634669034
BA2300	8.34232080533324	5.71478675399189
BA2903	7.15557221270197	6.08278210679629
BA2473	9.20081280674415	6.4243136710677
BA2545	8.10545619155905	6.02819468374248
BA2840	7.36527517561591	6.4137172012398
BA2528	7.81249915728454	5.5977589538239
BA2646	8.27244095196937	5.72754939375197
BA3407	8.23267071257109	6.25534556152395
BA2240	8.01121552663761	5.62755258680148
BA2926	8.34456564828853	6.57305438035027
BA2272	7.33250978911574	5.14578866134918
BA2306	8.34906675857089	6.00173500696481
BA2765	7.00642277827321	4.14520169098392
BA2904	8.01121552663761	5.683055970914
BA2883	8.52445890903765	4.80215496386561
BA2726	6.93827202821145	4.05963620965163
BA2234	8.2960419873451	5.99605530428902
BA2022	8.66407371953991	6.04021038079235
BA2228	8.79022656584331	6.04734642903678
BA2037	8.46185834013681	4.68133985426918
BA2184	9.1872873383188	6.59838838471777
BA3009	8.07064998624987	5.65863949770921
BA2842	7.21053357648558	6.03484592617001
BA2442	8.01616932095142	5.1308809152012
BA2882	7.51299557490928	4.93504794352695
BA2758	6.90161368403515	4.71192806102431
BA2705	7.53303259081949	4.81197374042518
BA2663	7.25790347094091	5.06034106840668
BA2570	9.21888429779212	5.83756838624294
BA2764	8.04060780611373	5.97812067314416
BA2209	8.22240857358487	6.42953951724595
BA2989	8.68676863894814	6.12432253652151
BA2855	7.77444024847	5.04276470874514
BA2261	7.99739906746641	5.35593989387114
BA2721	7.80956394588893	5.36181709207634
BA2930	6.82612058067876	4.11024891875859
BA2728	8.15671254170946	5.25385282871793
BA2715	8.06884590575294	5.40992505038772
BA2469	7.12664090320603	6.0456807736423
BA2269	6.99377561399407	5.95600036566632
BA2098	7.65632337592004	5.78459303638823
BA2778	6.68355614720783	4.55952538407096
BA2951	8.49908497066643	4.95713318056663
BA2163	8.23473317956582	5.19161041350932
BA2379	7.06166102601644	5.17065533146209
BA2817	6.97794904447586	4.73550312580456
BA3153	9.30065851731011	6.2850706491728
BA2820	7.60280427832536	5.12063498746829
BA2723	7.51299557490928	4.86184303118266
BA2704	9.01658796485945	5.89560402298733
BA2088	8.46430959418229	5.92753747485825
BA2116	7.1940059259717	5.61175957380568
BA2584	8.98864564355709	4.82079936789571
BA3079	7.71867822819813	5.80891216118178
BA2417	8.95099667095566	5.86132938817703
BA2361	8.13747585819058	6.70809549173072
BA2450	8.1017443875296	5.21007881246748
BA2492	7.47524977931761	4.90013515136005
BA2552	9.0307417478067	5.67470446988703
BA2472	7.93502206043898	5.91798611999628
BA2994	8.49406416345013	4.94068738942346
BA2047	8.45209623715645	6.16092602046833
BA2101	7.70330320958059	4.64626652070706
BA2082	8.94761722776196	6.30740738637139
BA2879	6.90877033903166	5.60504344827743
BA2577	9.16398396797258	6.61753222574519
BA2456	7.34929269675225	5.68229960670136
BA2175	8.4424022836884	7.45571345371651
BA2824	7.878761730409	4.15346615907927
BA2507	8.46922505155083	6.41417827633489
BA2563	8.5373170330564	5.69295647546023
BA2244	7.34929269675225	5.4417363654644
BA2470	8.26607857536642	6.57095981156775
BA2984	7.77015373984418	5.77144374108322
BA2414	8.95777690896205	5.48915482766383
BA2697	6.89968682755392	4.34833610549937
BA2079	6.39786567345431	4.32449447757761
BA2999	8.41846114844672	5.93293802015649
BA2644	7.66495366812555	5.67127118896803
BA2011	7.31127241928996	5.82504535283309
BA2217	9.00955709168753	6.72238123052722
BA2454	8.86216405394702	6.12432253652151
BA2776	8.91751782379931	6.24227196022735
BA2218	8.09619809378225	5.49138177082753
BA2135	7.95296500400789	5.7594907917192
BA2914	7.50002964161751	5.67772909120233
BA2500	8.32893113987774	6.0444352624309
BA2830	8.66407371953991	6.43146976668751
BA2406	7.8894951557827	5.67355536167547
BA3108	9.37793858616158	5.94520040841415
BA2924	7.61362919863888	5.41943459061555
BA2303	7.20465709297985	4.8973168898075
BA2160	8.32007964073217	4.64945091473465
BA2038	8.43998936441936	5.47320709939818
BA2602	7.83268389248944	5.25002967084118
BA2964	8.50160207030541	5.91398655787065
BA2898	7.92215119859177	6.16739291737488
BA3003	7.98220941306141	6.21273472230969
BA2111	8.24717893447311	6.43590316276273
BA2827	8.34681429629083	6.2220023406681
BA2912	7.99739906746641	6.08879387607679
BA2437	8.49908497066643	6.44658590502143
BA2283	7.86671215518685	6.15698094792798
BA2057	8.09619809378225	6.10020798817236
BA2633	8.50412364911741	6.57095981156775
BA3034	8.05288390011611	6.41227021268222
BA2607	8.40664550150058	6.10408615184211
BA2761	7.87281860469351	5.69370906216796
BA2795	7.96577419756633	5.94796425199258
BA2182	8.1336646480907	6.34190143280827
BA2152	8.22036612888066	6.37124794281337
BA2381	9.34313727945847	6.78255354390321
BA2931	8.21020338316209	5.80146381261149
BA2040	7.92364245319313	6.38171333036269
BA2590	9.28812805203208	5.22927128390671
BA3195	8.47910806756512	6.12593955851946
BA2516	8.32191640184945	5.6412866944169
BA2353	8.68676863894814	5.80413235131943
BA3036	8.0095286113404	4.72214637587513
BA2971	8.14502683997756	6.24100946664766
BA3410	7.98220941306141	5.20116609846323
BA3118	8.30691336971867	5.55248246165005
BA3206	8.09804401257278	5.75987481048265
BA3202	8.6279105840654	6.07775440645337
BA3217	8.27670009201677	5.92637395893393
BA3405	7.92364245319313	4.650152754678
BA3306	8.37180321609369	5.03114997890888
BA3371	8.62516478231551	6.41701283707656
BA3413	8.81487669872437	5.78731556681433
BA3411	7.98898804212453	5.73699919077019
BA3133	8.34232080533324	4.36608295505138
BA3164	8.30255392241405	5.40740251107271
BA3451	7.51413414557592	4.67318634632102
BA3286	8.7361512573159	6.33324319286844
BA3212	8.57865830342714	5.43439292364828
BA3103	8.7361512573159	5.72061360951374
BA3271	7.97894297933459	5.44900669366577
BA3152	7.94314055717551	6.41701283707656
BA3095	8.46430959418229	5.46260848821559
BA3192	8.43998936441936	5.71368801694621
BA3251	8.42798766039968	6.25491135905161
BA3362	8.88653621315296	5.68192875741287
BA3400	8.02508710399741	5.11186015453485
BA3135	8.83676787171411	5.75302384911337
BA3408	7.02274319881886	5.39780333094655
BA3187	8.53215993801742	5.48321215171909
BA3098	8.73025810259064	4.67531691808554
BA3435	7.96744532914178	5.07731571102635
BA3261	8.66407371953991	6.44848147466049
BA3203	8.15090969693391	6.03938413348279
BA3174	7.617186143553	5.50239845192536
BA3317	8.42559982560594	5.38434316295162
BA3299	7.92868137841977	5.96305194548373
BA3221	7.07556396699123	4.54056013941107
BA3347	7.68134464101013	5.85501990072082
BA3235	6.732801148639	4.22287672834749
BA3126	7.15557221270197	4.69293160792587
BA3380	8.41608983118813	4.97875034136153
BA3089	7.89883083701412	5.02586431491849
BA3109	7.04851156959908	5.75302384911337
BA3114	7.58991392876001	6.33324319286844
BA3418	8.19611264417946	6.24912819394912
BA3245	8.05457002396872	5.7664756489083
BA3085	8.11104544817006	5.37196237255135
BA3128	8.78717245605116	5.94349363207294
BA3423	8.29820901257083	6.09515830888203
BA3173	8.84307877151568	6.732801148639
BA3171	7.27205163282357	4.0819519400544
BA3277	8.56601564488201	5.88444565778855
BA3210	7.80094268898657	6.01784200578308
BA3157	8.51934782702254	5.89048099649459
BA3433	8.27244095196937	5.79988688207929
BA3322	8.17625565039323	5.41063794413204
BA3374	8.43758065182973	5.4417363654644
BA3450	8.52190108216259	6.71610247691018
BA3167	8.40900046313029	4.57121893124893
BA3269	7.24647814947882	6.56014980461976
BA3110	8.54953218061743	7.02698040559294
BA3156	7.51732737025111	7.60876718089275
BA3226	7.87430709609213	4.87378270256901
BA3421	7.45670028367566	5.36902005012398
BA3232	8.16840116234166	5.5239080872138
BA3289	6.86648111845466	6.14149524736616
BA3430	7.16953610700443	5.6837918460088
BA3145	8.21629115879124	5.01042178805716
BA3399	7.41107466475047	6.63809847581986
BA3449	8.19012213724112	6.45198017318936
BA3384	8.16059641320183	5.25385282871793
BA3427	7.3548407117676	4.05924814574432
BA3163	7.550843282623	5.01183343730558
BA3158	8.81487669872437	6.59418114772064
BA3436	8.18416035809344	5.29768689368079
BA3154	7.9003747386446	6.07058706634591
BA3162	8.3558471237735	5.51276153131016
BA3352	8.70008120144039	4.99630420821888
BA3084	8.8717935877338	5.58159000678894
BA3149	7.40108920011618	5.23248591034629
BA3169	8.25974759702626	5.82897025310715
BA3180	8.81487669872437	4.6742639798329
BA3255	8.01284698319857	5.37675910366016
BA3438	8.57394218930808	5.6412866944169
BA3345	7.574849932275	5.58306894890271
BA3403	7.99413751864958	4.15189910009998
BA3431	7.06807720975175	4.85688426869055
BA3181	7.3445927403943	4.67601516668643
BA3341	7.9003747386446	5.16672802617493
BA3191	7.47212920454885	5.13333297859029
BA3197	8.78412431760784	5.13159055958208
BA3448	8.37180321609369	5.37601760770264
BA3453	8.23473317956582	6.35627429889414
BA3406	7.99246857024867	5.24255862650171
BA3308	8.69824500910271	5.62530338833762
BA3186	8.55765692487222	6.67894286315779
BA3334	8.08518191159815	7.07994856692804
BA3447	8.22036612888066	6.90558799283489
BA3116	8.28956252610494	6.57821130696448
BA3280	7.69790613813162	6.67502657403681
BA3185	8.60337970015667	7.12738803665014
BA3094	7.97720455656684	4.20331989489853
BA3318	8.21629115879124	5.7725785925433
BA3216	7.72417589543797	5.17629556050641
BA3332	8.97829037472744	6.63537899034447
BA3214	8.59445024196475	5.96784634669034
BA3099	8.24926512843891	5.24967382044831
BA3141	8.30691336971867	5.29048759416866
BA3373	8.59260663428802	4.42407225307684
BA3319	7.78401208165605	5.04731382080461
BA3328	7.99915514777274	4.37051170514398
BA3339	7.35673455123978	5.11186015453485
BA3240	9.43158515365849	4.56550171421847
BA3142	7.7605970351598	4.56728703193523
BA3333	8.61968837224666	4.71441327883724
BA3381	8.58992566833602	5.82620355123692
BA3290	7.82549928808227	5.67772909120233
BA3207	6.40170617544637	4.39517517514659
BA3296	7.7045927999637	5.81764194891905
BA3305	8.25554427681065	5.41063794413204
BA3434	8.25554427681065	5.86616732804556
BA3189	8.30909856685695	4.77174514426462
BA3264	8.7361512573159	5.80340144842646
BA3329	9.25691151442812	6.56428369493048
BA3417	8.12986534537924	5.44569104780308
BA3367	7.43931413643912	5.51875648132132
BA3225	7.00991256129177	3.92121831220639
BA3183	8.19411260375688	5.55285643961997
BA3222	8.79635277497105	4.90882466152865
BA3139	10.1620355969132	6.03732004077161
BA3397	9.07395764638915	5.20903956129855
BA3311	6.91793209354363	4.23395182475299
BA3422	8.37409825216549	5.37423056792449
BA3228	8.40429460371975	4.66327617789941
BA3213	8.42083657982967	5.67849879072138
BA3270	7.35764711965898	5.20545697822648
BA3415	9.74736666094391	4.92943275175156
BA3324	8.53215993801742	4.35758642020142
BA3194	8.85577669200061	4.77701262518198
BA3335	7.63878607715114	5.12629796090127
BA3199	9.50125973784097	6.37878971540536
BA3326	7.66495366812555	5.54282665462534
BA3285	9.89455064759087	5.64878460317562
BA3297	8.18217944661747	4.76073211339353
BA3227	8.58457840504288	5.27249782330272
BA3394	7.31937809888862	4.27458283678045
BA3412	8.90103696609653	5.64653817010519
BA3293	8.31751248525734	4.23128250270976
BA3250	8.3926007250059	5.97691207859612
BA3177	8.9076089453561	5.8625242189267
BA3315	7.91895915389096	5.85381815948029
BA3182	8.45453034732936	4.53554304554111
BA3260	7.54625616208849	5.79562998630529
BA3369	8.32893113987774	5.59101551435814
BA3078	8.65749029731641	5.26673694417636
BA3386	8.57129520837751	5.32375937310038
BA3445	8.04765964150367	6.89968682755392
BA3452	8.40429460371975	5.24575571846811
BA3176	8.16644533071452	6.01172249264152
BA3258	7.69023500088856	5.32233498083344
BA3295	8.38100696139026	5.6765932151773
