	IDH2	EZH2
BA2392	9.29647098090766	7.01271335596315
BA2611	9.30906602396076	7.0420285397911
BA2506	9.29647098090766	6.97592290315855
BA2430	9.27569316532541	7.02554920178684
BA2448	9.29229417829056	7.02415111976065
BA2730	9.23491479941431	7.05061628699762
BA2845	9.2109276242084	7.08068398565122
BA2326	9.23089240757758	7.1045805500083
BA2341	9.25517667754352	7.1045805500083
BA2612	9.2109276242084	7.15481965297646
BA2973	9.22287720595147	7.08068398565122
BA2390	9.25517667754352	7.10235206017353
BA3218	9.21490111990201	7.11362489243587
BA3105	9.2429894144776	6.97176870633362
BA3402	9.22687989289351	7.04058248557274
BA3276	9.28397254525379	6.95344802847081
BA2409	6.82851443258156	4.1237457502688
BA3037	8.03722226484621	5.40039592941304
BA2496	8.28311530497155	5.43115262897872
BA2172	9.30485684547982	4.70731608736247
BA2865	7.78959302181462	4.86463645708681
BA2923	7.82688083190866	4.64449742091882
BA2751	8.18796359837961	5.48988184269187
BA2480	8.39960495989321	4.58334363014916
BA2286	8.48158973981744	5.1185297033232
BA2922	8.46430959418229	5.35265544520885
BA2452	9.09230819306279	6.33280116885594
BA3379	8.50160207030541	5.72556301998601
BA2887	8.79635277497105	5.34725969274235
BA2712	8.63894476137773	6.12302701419306
BA2068	8.32228693534529	5.53387100376444
BA2236	8.19211577067672	4.38671805486927
BA2104	7.5725144548201	4.46918025920294
BA3124	7.54733361982974	4.744989372778
BA3395	8.40664550150058	5.94563203594008
BA2921	8.8525926437112	4.00781378331485
BA2449	9.26335235036244	6.11039522609915
BA2003	7.84883391972247	6.45401948854285
BA2360	9.07761127342397	6.21410531502083
BA2802	8.34007975821985	5.7010856278578
BA2235	7.79956921933088	4.73764209982809
BA2858	8.67537853618004	6.37454386361439
BA3038	7.93502206043898	5.72213373131707
BA3006	8.15090969693391	5.49550080381286
BA2245	8.58992566833602	3.99343352661343
BA2667	8.40664550150058	5.57784205345213
BA2239	7.47952389617521	5.13014241250355
BA2782	7.29077391107671	5.10491139366288
BA2649	8.78108213178214	6.15187477635529
BA2488	7.92699657991781	5.35633645133756
BA2861	8.59798330037588	5.57675252591336
BA2909	7.35673455123978	5.0766039980492
BA2429	7.43426786956565	4.59759061851511
BA2653	8.88978486658959	5.31794680182615
BA2134	7.41497012248878	3.92781584362597
BA2947	8.22627943224245	5.99970534098919
BA2032	7.75510135803604	4.94979323861825
BA2162	7.46474071975909	4.18094171508708
BA2564	8.24301678047805	5.72519608896332
BA2597	7.85205086731265	6.6886775034689
BA3243	7.96905854853838	4.17562396984582
BA2106	8.44481942009045	5.74166284605219
BA2427	7.99413751864958	5.24140893715519
BA2841	9.26745559419095	6.27332825884915
BA2446	8.52190108216259	6.07906325231323
BA2645	9.14481502348153	5.80732189831465
BA2525	6.8791208631907	4.68941736509374
BA2876	7.46260985261637	5.38913307968471
BA2357	8.73910632748104	6.42718608083043
BA2546	8.06706072393759	5.14264325331446
BA2742	7.80094268898657	5.12241133726936
BA2316	8.04414638908848	5.5361204470046
BA2421	8.03197078783115	5.89048099649459
BA2087	8.4934060566155	4.72808220076467
BA2910	8.50664971851981	5.67127118896803
BA2148	7.08821062221174	6.00556371466788
BA2063	6.611693175134	4.91721018578494
BA2329	8.0095286113404	5.45162820453411
BA3178	8.03550248502968	5.29947262046614
BA2072	8.53215993801742	5.80146381261149
BA3029	7.69921272259806	6.37215716750202
BA2733	8.22650342209935	6.3144421792923
BA2995	8.41846114844672	6.36512999451549
BA2069	8.65565049707964	6.08966256500214
BA2100	7.63755645913212	6.38261014012489
BA2681	8.51679913189176	5.93982972127244
BA2248	8.30473182450184	5.76488394506669
BA2832	8.3695120975799	5.63859875243939
BA2308	8.26607857536642	4.88883896739495
BA2413	8.32449794408229	4.74815204997173
BA2701	7.60395254604328	4.43461919303822
BA2634	7.81249915728454	4.56835874883418
BA2677	8.27670009201677	5.82076176816399
BA2937	8.23061160269424	5.59736566113199
BA2600	8.16254296358662	5.31182798555781
BA2019	8.7332018546727	6.5257979218845
BA2412	7.24218373520164	3.29806393451797
BA2334	8.12230223339654	5.72791281354614
BA2050	8.72731998420373	6.29737759041703
BA3230	8.51934782702254	5.70986425222156
BA2953	9.03786515454843	6.83843057067482
BA2481	8.41135949860071	6.14672505812723
BA2731	7.72809482559201	5.32164044187742
BA2294	8.69249597847146	6.04816746430603
BA2418	7.83704881770087	5.55739491408236
BA2816	8.27244095196937	6.26033254809805
BA2656	8.50412364911741	6.05692203263316
BA2814	8.7332018546727	5.66513415407858
BA2631	8.03722226484621	5.76722856076773
BA2023	7.84567146798846	5.54245080282141
BA2375	7.84127876561754	5.19664711091347
BA2485	8.52886682883828	5.47580004129115
BA2455	7.18644077892568	5.39458251066191
BA2025	8.672544374331	5.85025846641857
BA2636	8.25554427681065	5.25038320893089
BA2325	7.05796014084047	4.00819948287575
BA2169	8.85577669200061	5.15035146596143
BA2156	8.78108213178214	5.70032456019922
BA2511	7.46784096415085	6.19966591698805
BA2939	7.72545959564587	5.17241204196236
BA2168	8.29820901257083	4.87937557014674
BA2505	8.14705635633251	3.99791458399155
BA2860	8.42321613548815	5.39605181278963
BA2707	8.66689198102969	5.88526249443146
BA2871	7.80682500789732	5.2861234484291
BA2655	8.7420670822246	6.481688319913
BA2227	8.0301567645062	5.75911087985136
BA2125	8.3695120975799	6.15101372135618
BA2523	8.58992566833602	6.88034277223335
BA2603	7.97230357086309	5.88798351527577
BA2808	8.20213208675208	5.22713590568466
BA2282	7.09119041085949	4.56764021310081
BA2482	8.43037965011906	5.79487700443781
BA2812	8.25764420926654	6.26604717378172
BA2822	9.45324250904435	5.53979697945933
BA2594	8.40194775982719	5.49867482524586
BA2747	8.55813210635661	5.29307989811682
BA2561	8.07789379739417	6.07987511764245
BA2567	6.56478809528508	6.01332316435917
BA2906	8.95099667095566	6.24365480544028
BA2956	7.83985748399556	6.8005248227196
BA2474	7.82988769642495	5.35194416070465
BA2737	8.0301567645062	5.69526819057696
BA2110	7.17595663951225	5.29986206219824
BA2992	8.37180321609369	6.42763769743183
BA2220	8.79022656584331	6.42189529871828
BA2772	8.22445433533228	5.69607421457276
BA2935	8.03369173116136	5.69757983119209
BA2260	8.23267071257109	5.42712462599135
BA2676	8.5555137585582	6.59838838471777
BA2948	7.3014086607396	6.00556371466788
BA2524	8.30037965468589	5.34548008260551
BA2811	8.49156043324924	5.69720265968762
BA2540	7.64636707538027	5.05115412774342
BA2928	9.16398396797258	6.18727628290146
BA2302	8.06706072393759	5.46808531788419
BA2595	8.86857724833819	5.81283987747723
BA2792	8.38795127420314	5.58383676402354
BA2651	7.83268389248944	5.40885224287312
BA2619	8.57129520837751	5.43042530271375
BA3013	9.13342062895717	6.31585760088979
BA2405	8.57394218930808	5.44826154156483
BA2735	8.01965582601105	6.21454243325922
BA2856	6.83661488155882	5.97608438156721
BA2377	8.70296361717243	5.04731382080461
BA2499	8.30909856685695	5.43510067241067
BA2463	8.46370355203629	6.56428369493048
BA3023	8.57129520837751	5.34865531492155
BA2095	9.33883912107995	6.41555515164963
BA2901	7.69288267465993	5.38585461790311
BA2275	8.24717893447311	5.50978975058831
BA2387	7.88494695067266	3.41659896255636
BA2962	8.59529250724368	5.73284131564851
BA2195	8.20012237793382	6.2114515075537
BA2688	7.81385914418798	6.10538403903875
BA2787	6.53792906948021	5.12205431291829
BA2420	8.65006116973985	5.64011484889975
