	NF1	NPM1
BA2000	142.75490360837196	529.0740751552895
BA2003	153.6363602362335	718.8454548403314
BA2004	186.3131826561012	320.416765868189
BA2006	0.0	9.731263616557731
BA2011	72.85716052294515	349.1494593922488
BA2019	204.9947885795207	584.7298493866805
BA2020	274.7370236131756	1238.4508547008545
BA2022	126.77737922849806	917.8624004605978
BA2023	57.57670274404444	432.430363504652
BA2024	129.19307576825068	373.1442557723393
BA2025	135.04261049402936	723.6161514674798
BA2031	47.7445319683995	804.2156041021317
BA2032	215.03490271417868	797.0029006308893
BA2033	92.53923653042108	258.23198424669016
BA2034	153.47329527828623	811.2764224741454
BA2035	124.98326638084282	900.7865531930996
BA2036	238.32690231687388	779.9021105326607
BA2037	298.2964495900539	1905.212257740152
BA2041	135.22863046072317	846.7808362661304
BA2044	82.04710015020497	586.7526892532584
BA2046	144.0633694963439	1116.3443179422306
BA2047	123.2929360773152	678.6308819474854
BA2050	95.22651628154628	743.1948731463913
BA2051	90.68870047977845	485.30915140801295
BA2052	110.66973675190388	1123.444664742103
BA2053	129.04169527931813	858.0353314195818
BA2054	115.25580563960666	798.0997645653246
BA2055	1.861283467889972	43.69121161009207
BA2063	56.62966505689601	584.475008784876
BA2065	201.62135608839577	1203.8952158917054
BA2066	124.09319568255268	820.948611719295
BA2068	78.65829945488635	591.6639941722485
BA2069	57.54297490294547	669.1056490806965
BA2072	86.57166007727321	444.2673762143402
BA2079	61.12137145648837	148.75517388648316
BA2080	157.83351245834615	829.9345694329564
BA2081	109.72745843655122	597.5572717148619
BA2082	81.44008518006407	1006.1029619898692
BA2087	39.44265347415752	646.277790211756
BA2088	122.118312008315	648.9600212458845
BA2089	166.7588903652543	804.2096484968401
BA2093	120.06260334565768	718.9785651729675
BA2094	80.35342502132465	774.4474723884591
BA2095	125.72932620776494	743.3756410256409
BA2096	38.14635019971428	844.926645204539
BA2097	274.9535971649002	1871.544588786714
BA2098	26.433437712180453	447.058323196938
BA2100	66.13538217435533	460.46480967904114
BA2101	72.0511876030681	481.9798980413782
BA2104	88.2053799306977	158.77373403179857
BA2106	153.3726439647684	1087.2221949215304
BA2109	115.04825583911432	353.25556042102534
BA2110	74.36471936282452	228.4360225865918
BA2113	223.4154468177113	619.5860880001297
BA2116	171.4319149038356	204.49241959811215
BA2121	72.40096351612218	830.565918465539
BA2122	54.47294224439686	309.8565362180163
BA2123	190.53116384213277	1944.6786659963132
BA2124	184.66017011723795	1306.525201781843
BA2125	25.534304216960667	407.5005611508458
BA2132	170.7127216635003	579.7304751401525
BA2133	80.18133477228218	285.45101823469946
BA2134	49.273239517076505	394.3391348654157
BA2135	15.131785600875178	1086.0343934651337
BA2139	41.481996912376765	173.99071803521517
BA2143	96.97194172507986	307.85163506814365
BA2148	89.68429975044664	255.70209620655535
BA2153	146.4827052853341	1332.816741811144
BA2155	71.92339924235235	622.2423014753186
BA2156	168.64129625232474	1074.5038515599235
BA2162	147.29495642603302	778.2497983533087
BA2163	217.2043669052266	223.2537483038432
BA2168	130.512102414608	601.0720984230471
BA2169	178.1356567294738	516.0195797315341
BA2171	234.8583259532597	1061.4786451829148
BA2172	185.11095536230036	1287.0055436621851
BA2174	238.4854486070038	696.0172286284242
BA2175	31.956107621459708	260.5439360028544
BA2184	330.1887594161088	2463.2686174497367
BA2195	94.9760301511449	670.5622004357298
BA2198	126.84489183593952	1049.075510739173
BA2200	253.9343726061422	1261.8336568870727
BA2201	76.38543599082593	528.392967233764
BA2209	207.73969039082704	570.0690307443629
BA2211	193.69321339903547	923.4013369229688
BA2212	150.1149855232797	1007.770093849506
BA2217	173.74162856094	796.1217281067376
BA2218	85.42607037036069	980.2861304378382
BA2220	105.89447496974996	1088.5479229850198
BA2221	87.92724303286738	462.6346118706649
BA2224	99.58333873414824	450.7727293122928
BA2226	286.37231184395824	1561.7267752207028
BA2227	327.7142740138492	1484.8600612508585
BA2228	148.83302195542166	1002.7951329084158
BA2229	230.9272500432621	739.9451921049645
BA2233	198.79246681895413	705.738534250204
BA2234	133.53026760274443	490.6901268806392
BA2235	137.30408373585547	814.7086737810646
BA2236	236.6977944710083	605.2559180330528
BA2239	93.44595003721206	412.5526305973175
BA2240	349.65596137257995	745.4724319780298
BA2242	288.5091193991156	509.9414329889662
BA2244	189.13614877568463	629.1368278218373
BA2245	206.20598869395417	758.2510606724079
BA2248	103.99306477060202	679.4893308357255
BA2249	131.64751962240132	658.7512101504512
BA2251	168.5185793587882	755.9943601096353
BA2256	177.37594734399633	1283.454827897522
BA2260	91.46311349201132	602.2486722673628
BA2261	95.638364990932	260.3798915540851
BA2269	127.34637686870389	156.37701984571055
BA2271	178.74582923309202	614.6193313222725
BA2272	155.30969220772613	591.9207587970398
BA2273	82.10327672445598	644.2525895111285
BA2275	179.28463600626125	364.4297515366776
BA2276	77.65718078840119	697.587447898928
BA2277	203.6065735095337	943.3400328148904
BA2280	384.3268511749896	1004.94611384118
BA2281	148.70915295462936	863.6605245517009
BA2282	67.04868900711168	324.393978170259
BA2286	201.80223865128715	1328.999781594469
BA2288	132.16680416497255	455.5463179206064
BA2292	106.58922238443596	1298.6812646977733
BA2294	154.65930575825166	848.8785684166138
BA2296	124.91800887503584	1325.403998605232
BA2300	127.68776719943128	939.0940160128016
BA2301	102.8235989089254	488.0176138114469
BA2302	143.47247258145103	946.291846283592
BA2304	58.26545447919322	211.8367791671397
BA2306	191.29686259218525	903.1965430837348
BA2308	211.6825983608057	864.6272963665753
BA2309	67.00275595385449	701.0796877449628
BA2311	104.19731581066932	410.7591668153338
BA2312	156.40969992181428	595.3337787941205
BA2316	78.52938685382075	413.38349335322766
BA2322	67.9089880251087	859.3419127783453
BA2325	84.63892612993457	220.1254937100288
BA2329	58.569892419639714	512.6317147537262
BA2334	105.09829684011098	464.9170461733081
BA2339	75.60546526741308	243.77804321618365
BA2344	141.96156499550946	1340.8550906328896
BA2347	66.77803076811274	364.3800229217686
BA2348	55.136801578737725	163.93391881152792
BA2350	91.19479049601118	205.14012688063923
BA2354	113.2548155663928	1408.9573387502232
BA2355	120.526364356186	862.0305989393275
BA2357	114.73993656372434	794.657434437795
BA2360	169.86331229535077	1030.7379387707658
BA2361	101.58710933354486	513.4423628342984
BA2363	35.095611280938215	344.86871827308266
BA2369	189.42521296233164	937.0679262827268
BA2374	90.40492261621532	771.0671237505202
BA2375	178.2945435585226	710.0841410013136
BA2376	49.77597347964191	218.30598398719843
BA2377	209.4103095988851	1622.4409367110504
BA2379	124.56604347639134	327.67647896765544
BA2385	47.80464009196283	629.0617584888932
BA2386	231.55889311260623	1106.665981716646
BA2387	153.3348976809124	736.6278426507079
BA2394	95.31685868127607	657.7855652324344
BA2399	148.13163782499456	864.3984968401477
BA2400	205.685906014256	2254.040086605362
BA2402	180.8329650691468	1134.154095914627
BA2405	79.99933475446306	820.4803562064473
BA2406	34.71633495236259	456.6730382696226
BA2409	129.54548333633426	385.228020780962
BA2410	225.8440833603437	1751.5486011774435
BA2412	36.32016613028614	147.4767876546814
BA2413	222.15236454691257	925.7269136162876
BA2414	198.15717400889827	1176.179727209329
BA2415	34.29848221862546	353.0132654329998
BA2417	114.89562170147244	669.4242768019808
BA2418	135.68566336616163	446.6115652216221
BA2420	92.4940177792892	676.1388948355741
BA2421	91.31185986416747	652.40884920828
BA2423	84.67758172475536	454.8711856068592
BA2425	162.79491087118302	501.2239867659224
BA2426	55.81249060280109	663.0178800607644
BA2427	49.06504183977397	540.9455429593949
BA2429	151.06596918946528	601.2368535007055
BA2440	135.89464622431606	864.9314706693265
BA2441	303.9044042244336	426.286356952486
BA2442	213.18153533200555	879.8042389053774
BA2446	68.07249241660844	510.3299158814339
BA2449	171.94192740645337	1681.7064353946707
BA2450	203.05409982012395	610.9593803553956
BA2452	193.1247259182125	1163.743883834206
BA2454	131.56553160502267	746.6038066894803
BA2455	82.35449417281512	391.66645988420186
BA2456	61.180971099669165	398.93355741524624
BA2459	87.45011280306524	1217.259273315061
BA2461	85.85159772017813	437.2737507906388
BA2463	41.31280183229365	360.23872832838674
BA2464	107.24054284277707	1016.4529736129356
BA2469	251.0946035683642	388.68277623704574
BA2470	124.4127267962813	458.3478089167842
BA2472	96.75468631074348	448.142230926007
BA2473	135.90179155823498	896.6319358622964
BA2474	90.10814805826662	576.5140768852344
BA2477	251.96199370434655	1492.919436200176
BA2479	58.5148987250125	400.1256540002271
BA2480	185.00097066910075	479.7529076587901
BA2481	45.24202580176599	352.03703244187113
BA2482	179.89138144862451	806.8147480497577
BA2483	170.9383763555678	686.6408121009639
BA2485	174.4791578442435	623.2291195662164
BA2488	125.0322329857764	455.1400430864378
BA2489	60.39576113585825	833.1166755866947
BA2492	63.18416194926038	305.4961462776453
BA2494	95.09040528581576	745.3470444974241
BA2496	45.25937170899411	350.98358687836867
BA2497	42.28054193054178	459.7626223800796
BA2499	101.23626725514532	1217.775132313747
BA2500	199.5066088787393	514.9298856073997
BA2501	120.03527020920772	830.2044278477865
BA2502	129.68288700469952	476.4838112305855
BA2505	175.77268062103064	918.0959413873074
BA2507	148.35611675642977	550.1468014942398
BA2510	37.039426921791566	820.2867797077474
BA2511	43.14309877006726	310.93955302551126
BA2512	84.18061058654125	297.93169204820055
BA2514	136.22047089526455	723.5138127983478
BA2515	63.079763869883294	612.5478235131935
BA2520	91.07509546057814	564.1537758748386
BA2521	188.9495712148245	806.8959630116178
BA2523	231.1519510714657	876.4798096520109
BA2524	89.18268298048588	932.2471493753278
BA2525	33.4185441002891	452.6349581299297
BA2526	193.6457426221941	991.6935678489758
BA2528	156.4198357593167	1096.7780299712938
BA2532	136.4370444751564	503.9772779859117
BA2534	252.0719388356896	849.6433997199651
BA2538	163.56922986240653	629.4073879455286
BA2539	89.42632790129001	540.738273406964
BA2540	102.9294284547094	590.9540621266428
BA2541	65.6930492624528	728.8260535093553
BA2545	93.36255824417232	648.3802061877964
BA2546	68.15655886655676	415.89057639598445
BA2552	371.11845971912896	1513.8748690377722
BA2559	139.1365522105781	918.4328148905
BA2561	39.73792927932083	739.2354252150267
BA2563	174.09947387656885	885.8825870243328
BA2564	85.07499451835139	629.3532304016176
BA2567	30.7649353050662	277.4422268714489
BA2570	289.1494765836638	1043.7081028992793
BA2575	49.55685552128676	262.3730990879947
BA2577	118.70210933626588	1035.3017753558552
BA2579	141.5662109630884	450.1977121479968
BA2583	175.38868962690978	1189.1920127907792
BA2584	57.36722309793788	417.45356017234576
BA2587	156.35443522543525	700.5979416359871
BA2588	190.10730529365503	1028.234218578526
BA2589	160.10103382389008	619.5497034766485
BA2592	206.67516523469448	1867.4451383144929
BA2593	0.131948509740975	30.216245262924573
BA2594	115.70215184308827	471.76923698622
BA2595	39.45864383623836	728.5423506706239
BA2597	97.936434541528	291.1802821431854
BA2600	183.1853616101156	1026.358264270693
BA2603	132.7224555535752	997.7895295090742
BA2618	125.13469547601136	1059.6245403482594
BA2619	65.80756208405029	338.8937511150036
BA2620	136.00222939519455	1013.7357555263628
BA2621	163.23017498489295	568.0501856987626
BA2622	121.40379419765218	924.7093827881304
BA2623	201.24225278348143	1685.5629243095086
BA2629	40.404138271266014	581.1126569789759
BA2631	109.59519540707544	1104.972238981063
BA2634	178.5576422875698	300.3963011617661
BA2636	119.06478603350848	796.1060126394092
BA2639	180.8138917906739	844.8043216183632
BA2644	91.2566416483229	469.5073738897269
BA2645	76.16513839589086	504.72606810576457
BA2646	159.00708462304976	960.7262432626762
BA2649	103.47973972281912	1080.6947366429338
BA2651	69.82136680760968	611.5752231358493
BA2653	97.22040551437576	479.9423668888565
BA2655	274.1036597231043	3006.760720792315
BA2656	91.65100885209748	515.111804440552
BA2657	109.05733959704034	670.4658708920568
BA2658	130.20636621989172	822.1004835736335
BA2659	84.44632986861905	665.0327259605249
BA2660	89.78421103698174	633.3081399309104
BA2662	62.0646160314211	563.9060399401005
BA2663	135.66967309315947	384.0622309800679
BA2667	131.0534229598689	699.1675473166935
BA2670	162.34339961552118	556.247398865805
BA2674	147.0979160005437	788.029841818172
BA2675	171.949167646683	888.7174232472146
BA2676	91.48180314484172	594.9186609686609
BA2677	161.03891322846772	723.0592208761088
BA2681	70.04019857231029	852.3623939733047
BA2682	109.11172435395687	1025.8745054790595
BA2685	163.1492191604278	1397.4403485298174
BA2688	25.648700935483525	543.2713361661179
BA2691	110.47005559851227	699.9592746665802
BA2694	78.54970935159275	604.8506779221202
BA2695	60.81625844565557	228.327273120442
BA2697	87.08814851074648	162.9009241689507
BA2701	152.1665461230095	404.0787105964525
BA2704	201.20381554401783	772.0218738005265
BA2705	341.2926798773445	822.3340004432984
BA2707	86.74408613423792	1183.7208571876502
BA2709	89.34929908737492	642.9937530071306
BA2712	121.8668429618196	275.18527411516027
BA2714	192.9030108214692	1089.2757767181863
BA2715	155.77432060481345	186.5656405931548
BA2718	139.00641014037672	751.0675140693169
BA2720	43.36677119694078	334.11912913497355
BA2721	265.52723888228604	903.5602547884332
BA2722	167.37349745602896	346.3585867432167
BA2723	160.4939192604911	563.9445790557744
BA2724	109.31239860907291	491.9553020105202
BA2726	67.6526031910199	143.37951907534452
BA2727	94.5353950808028	1173.7689255961552
BA2728	183.55938591740525	465.0237751179877
BA2731	107.27800255164831	365.5634246419825
BA2733	56.24385956314274	514.8910059088427
BA2735	147.8262491538163	800.4159438741033
BA2737	78.27415765988898	264.6952388675349
BA2742	129.95283163495762	575.0250498710651
BA2744	33.77381747949175	387.18518572579296
BA2746	83.86915751314284	423.7452704930883
BA2747	62.27748732776638	772.1544821788654
BA2748	199.25488871332868	1670.3396787168135
BA2751	119.3254783695873	717.8080804640579
BA2756	85.26857123717195	1070.2849670499577
BA2758	57.32248577768649	372.488942949664
BA2760	145.6582421432596	688.8624991215123
BA2762	191.9918527694903	748.467100774691
BA2764	112.03677400504952	507.4000873081517
BA2765	151.23552413719125	346.5598906891127
BA2769	139.97004102912095	937.997915686815
BA2772	119.91695093878694	919.4501013639534
BA2775	142.37797575702365	895.8461730377292
BA2776	210.7570629268887	789.1117452440033
BA2778	104.64943656261444	252.16897073690248
BA2782	95.5382653865288	411.25405969390783
BA2786	100.28994245785098	1017.1961446558222
BA2787	41.04953227327876	108.40598669023716
BA2789	180.57875038543253	1618.122396838526
BA2791	88.89145755618246	811.8649440200674
BA2792	43.79211018690363	604.6067765181617
BA2798	216.74514018367236	1647.6899241527326
BA2801	95.49222064689803	552.9479270395778
BA2802	181.44247096762143	234.14630062115836
BA2804	159.40234247738303	665.881343626505
BA2806	220.58941345398543	840.0548949328835
BA2808	48.49155366434125	469.8686963784686
BA2809	192.4826987219994	930.8864275017974
BA2811	103.90778382500056	663.6167872221953
BA2812	63.29461370691892	749.312202327857
BA2813	135.21858205685575	957.5760624293832
BA2814	42.45775692519901	293.71596549841337
BA2816	108.00098695013564	752.8378244322266
BA2817	166.47145168901284	351.95401752650326
BA2820	138.81448881402198	865.4545735415754
BA2821	351.9780878770896	2371.325536958649
BA2822	26.705595800531245	215.4960941089973
BA2824	205.53801514045847	576.7209758510517
BA2828	102.89567819352284	479.1570122231413
BA2829	242.33983194955127	784.2386521026938
BA2830	98.5229049066421	1141.5309943938978
BA2832	133.52973932243407	407.43550035950415
BA2836	152.18203301703952	607.1262448844991
BA2837	284.90182762062886	1417.0200884434282
BA2839	94.94255129550952	1032.6478402720338
BA2840	30.61186595745973	734.1717773020431
BA2841	55.33534050785352	1036.7043470269275
BA2842	90.91663503687948	228.7911197067744
BA2843	89.31518458610059	615.9127578023213
BA2844	166.41325673111845	1037.040134178844
BA2846	184.4292886686244	987.7766660179371
BA2850	120.0296485527902	693.2482176162441
BA2851	192.33548881236496	920.4008279407708
BA2852	63.33031704535766	502.9553566119032
BA2855	71.99266493479804	366.4419649469934
BA2856	182.44398582682192	277.78051406391074
BA2858	83.47971274712972	740.5258261837957
BA2860	62.6038407485975	556.5620209539564
BA2861	110.33834810966074	720.9004749239097
BA2865	31.00540326828447	936.7973710245058
BA2866	197.19219437101748	1145.7009011931214
BA2867	157.50388934653276	600.1219905718008
BA2868	122.76092055850206	1262.2588502894955
BA2870	110.29051242164029	1655.2631343356202
BA2871	97.75384815513968	758.5105856403769
BA2872	185.24782943911865	632.8420968552848
BA2876	39.54924914309381	487.8495185887976
BA2879	99.75597906454227	328.9332649464527
BA2880	101.5909856776464	580.266846418744
BA2882	112.198336489372	348.9782486471291
BA2883	203.20276533728472	980.8921592954798
BA2885	187.98064074137977	584.675805911005
BA2887	392.3699241261624	833.5378119982483
BA2889	0.1338236807905606	11.11113165420566
BA2893	186.1761368733409	979.5526408688648
BA2901	41.17385408187821	502.84667742476097
BA2902	145.85444383485867	677.532784346162
BA2903	133.66038215570987	92.12239819004525
BA2904	241.73197871780164	904.2007906388362
BA2905	109.43006937813156	901.6889989025664
BA2906	152.91529910720683	540.124421955162
BA2908	173.5960498164805	1627.852852246495
BA2909	77.32406557089642	293.81904452986055
BA2910	271.8085988903684	884.2278867102398
BA2911	269.4633451313588	1306.9618098466296
BA2914	166.5248167599512	485.5022989344621
BA2915	6.823141893971271	193.79876254885744
BA2921	101.46207330874968	517.9687209761212
BA2922	171.04246058528	1084.8573244241177
