	NPM1	BCR
BA2392	9.6874475749889	6.80486837491
BA2611	9.60929418124753	6.76656262392125
BA2506	9.61949185438657	6.82247572050957
BA2430	9.61949185438657	6.74612605168156
BA2448	9.61438474364243	6.79874731374986
BA2730	9.62461563502098	6.78074983432615
BA2845	9.57909169555586	6.73983231150721
BA2326	9.58408544068247	6.73222274372854
BA2341	9.58909503454725	6.82066158800154
BA2612	9.55927298456459	6.80545390529169
BA2973	9.56915130536806	6.8005248227196
BA2390	9.55927298456459	6.76594892950594
BA3218	9.56420444046175	6.78255354390321
BA3105	9.53000194332933	6.81394894542996
BA3402	9.53484314535953	6.8194770973329
BA3276	9.51556606369543	6.81689630084604
BA2409	7.88494695067266	5.42306900546803
BA3037	9.1755941413251	7.27805701193436
BA2496	8.3156761580726	5.68416732949988
BA2172	9.2592593958878	6.60315866621686
BA2865	9.53484314535953	6.96567270429015
BA2923	6.98208266015901	4.11388068222175
BA2751	9.13897207935234	5.89878476046271
BA2480	8.38563253120242	5.90555861314736
BA2286	9.51078302100883	6.17423728477739
BA2922	9.78674968596522	6.68477667416407
BA2452	9.33027676031699	7.02480711295981
BA3379	9.31328611186612	6.38599164256093
BA2887	9.06304565250042	7.48163507084779
BA2712	7.82549928808227	6.06255807626612
BA2068	8.67821802831458	6.70920078860468
BA2236	8.75995195431454	6.07438042977308
BA2104	6.91599118004167	3.87784828668195
BA3124	8.84307877151568	5.65220301363234
BA3395	8.58457840504288	6.21057314626397
BA2921	9.00605305286098	7.50002964161751
BA2449	9.52036350053221	7.45571345371651
BA2003	9.04501990946176	7.07919944865791
BA2360	9.4000752436972	7.20152351501227
BA2802	7.15633759792086	6.56428369493048
BA2235	8.83362186336888	5.98665414736016
BA2858	8.91420804405317	5.76371292639746
BA3038	7.73462168625585	6.21539686316165
BA3006	9.15245565249128	6.64807496201704
BA2245	9.0307417478067	6.43542748974206
BA2667	9.13720994130471	6.14672505812723
BA2239	8.17428733914348	4.3012753942892
BA2782	7.59101188148724	4.47865593290759
BA2649	9.2429894144776	6.94358580230343
BA2488	7.91111348596979	6.22462023570249
BA2861	9.11460476788528	6.63486341869675
BA2909	7.83704881770087	6.2290430058542
BA2429	8.66493693752935	5.58458887284863
BA2653	8.41556616709075	6.86648111845466
BA2134	8.30037965468589	5.22280034919153
BA2947	9.91920628125652	7.38666974161584
BA2032	9.3735473533766	7.08368088883067
BA2162	8.85577669200061	6.60421812247539
BA2564	8.74800571415782	6.04647904010288
BA2597	8.13547459853116	6.67173082981131
BA3243	8.84307877151568	6.59519386649706
BA2106	9.54945587390153	7.05872015868136
BA2427	8.91090509269608	6.34412105865143
BA2841	9.13342062895717	7.68895709467278
BA2446	8.33784249776874	4.93436696034119
BA2645	8.42798766039968	7.19482368325309
BA2525	8.34456564828853	6.32546109149907
BA2876	8.61151153389318	6.53448056780642
BA2357	8.95777690896205	5.74049978130943
BA2546	8.0301567645062	5.4066422207313
BA2742	7.87584460904621	5.02690678584107
BA2316	8.22855584188171	4.88919299667384
BA2421	8.28526081080175	5.15458212031302
BA2087	9.10147698629206	5.04276470874514
BA2910	9.22287720595147	7.23310611857777
BA2148	7.95609226155088	6.20186257831003
BA2063	8.34232080533324	5.34047969998426
BA2329	8.3972661940189	5.77965565034493
BA3178	8.76897254396233	5.20510498388662
BA2072	8.41135949860071	5.86417764609005
BA3029	8.78717245605116	6.94490055523594
BA2733	8.96458579397726	6.44032365945441
BA2995	8.45209623715645	6.66675437475145
BA2069	8.46185834013681	4.10909622714922
BA2100	8.70690950167434	5.77608779190297
BA2681	9.52517542791568	6.63008743018599
BA2248	9.19906475607931	7.46894970580743
BA2832	8.18813169577028	6.60368263326756
BA2308	9.48708042008341	7.3634906067475
BA2413	9.4045391740165	7.44143176676429
BA2701	8.7361512573159	6.34278372708773
BA2634	8.22240857358487	6.35757561884313
BA2677	8.79635277497105	6.15961763122212
BA2937	8.25344779136567	5.99112678530118
BA2600	9.2429894144776	6.67668520784891
BA2019	8.12986534537924	4.59152669861806
BA2412	6.82309107200081	5.12528697437419
BA2334	8.94087956106744	6.69408720379773
BA2050	9.34744684153524	6.72296106322052
BA3230	8.78108213178214	6.47131885810123
BA2953	9.69817061599593	5.97648507555777
BA2481	8.58191208164573	6.05650405294687
BA2731	8.46185834013681	5.93534312096623
BA2294	9.25517667754352	6.63170598568284
BA2418	9.1410080593907	7.26585264294213
BA2816	9.14863087419242	5.7010856278578
BA2656	8.93082572022568	7.39139112472357
BA2814	7.63755645913212	4.52767124512185
BA2631	9.3561004357089	6.24819820835326
BA2023	8.3311533449718	4.93822271361129
BA2375	8.84941498844258	5.4501485597404
BA2485	8.78899864293157	6.8090279726606
BA2455	8.3156761580726	4.80010053030745
BA2025	8.56338303703764	5.38508153742644
BA2636	9.10713869224013	6.42335019674645
BA2325	7.29687122589928	4.59403374647175
BA2169	8.51934782702254	7.24904224136933
BA2156	9.48238177689826	7.39043320737024
BA2511	8.46430959418229	5.71669470584693
