	TET2	SF3B1
BA2000	0.028263131178761	5.868488939678021
BA2003	0.0079191790617992	2.198908352987511
BA2004	0.7244940286632385	4.138880806726062
BA2006	0.059511206192584	2.325123064804804
BA2011	0.0313306468759776	0.1380198320917367
BA2019	0.0025961394413747	2.591253168618399
BA2020	0.0568115752787959	3.566717303735739
BA2022	0.030981547586396	1.6333312272570373
BA2023	0.0170835491820827	0.695618182813505
BA2024	0.0975079632841343	2.2570122608614995
BA2025	0.0394396832570768	1.0662814523867092
BA2031	1.0172927979789022	4.244904914836965
BA2032	0.0122300678664827	0.544077751470832
BA2033	0.020857299328902	0.5207126749297848
BA2034	0.0264212569798121	3.739892901838597
BA2035	0.0170044551392658	6.2327003775731
BA2036	4.373150755195296	9.325854998547795
BA2037	0.7007473991839456	5.232376171077262
BA2041	0.0123535568000879	0.8686250591145965
BA2044	0.6883536893787766	2.7103441419906
BA2046	0.0163444335314689	0.0966780257929719
BA2047	0.6962248376477528	2.5434799755482262
BA2050	0.0077896302914691	1.5773960837625316
BA2051	1.026975363180506	1.9603346228298677
BA2052	0.6709428563193215	2.2125302187734275
BA2053	0.0113924666955325	0.5596398153343644
BA2054	0.7002498075474897	2.902457441292173
BA2055	0.0136431427493605	1.3580618091575545
BA2063	0.0184211659241785	1.0228629180029227
BA2065	1.688565362110286	3.3052441831997457
BA2066	0.7536605234149721	1.1212745563173925
BA2068	0.0222447648148385	1.42080896899582
BA2069	0.0263774680726963	1.6861525559554815
BA2072	1.6946341832017218	0.7505739552112843
BA2079	3.099641210241082	0.6569010874044472
BA2080	0.0162885249509034	0.7577356790613439
BA2081	0.0185482907598186	1.987437057210764
BA2082	0.0223281007433628	0.0575538570088242
BA2087	0.0104247107705799	1.0741895787999471
BA2088	0.0188876943106406	1.1964608794427185
BA2089	0.7508192240574042	2.2429851844755566
BA2093	0.0142355840041177	2.504220728960906
BA2094	4.354351244682559	4.874152863123288
BA2095	0.0092130068967792	2.000770656654821
BA2096	0.0178323605714563	1.4035218689792446
BA2097	0.0232855549458832	5.529201492957189
BA2098	0.0253215283498395	3.7885589952267344
BA2100	0.0157909333144477	0.3885650929638804
BA2101	0.0250787923683364	1.4843159585840475
BA2104	1.0276347788046305	1.4249106856380802
BA2106	0.0060766988791778	2.635120076761539
BA2109	0.0206985052595957	0.1013629278870352
BA2110	0.0341263393754121	1.195629336654395
BA2113	0.0499519718418884	1.3489537058579335
BA2116	0.0629716100864981	0.7321046849173004
BA2121	0.0598298482158444	0.9023855229683968
BA2122	0.0072926446386859	0.6417203906201293
BA2123	0.0098845421943532	3.840240130713588
BA2124	1.7389321956437784	5.547385135207057
BA2125	0.0242831621534847	3.133815191424848
BA2132	0.0290258801926016	2.629895091549692
BA2133	1.0200263639783491	1.889343444020188
BA2134	0.0211030652287675	1.3858377241602684
BA2135	0.0118967241523856	1.0282469461893704
BA2139	0.6961013487141474	2.3384103077608533
BA2143	0.0149509082088076	0.7740416288409281
BA2148	0.0131072160588413	0.0754874236072144
BA2153	1.017501440792049	5.116721417047205
BA2155	0.0028072061892116	0.0402624383953675
BA2156	0.0131053981078238	2.5846917601475625
BA2162	0.0267144476888283	5.054337551568456
BA2163	0.68366809188757	4.424902398189839
BA2168	0.6757123957227248	2.459866336385243
BA2169	0.0091308829355999	2.2605231584757783
BA2171	0.0399049996761939	3.878938050944237
BA2172	0.0108048733101552	0.1033096950979363
BA2174	1.0451374315640245	4.125021798269824
BA2175	0.0076667473415364	1.6714606133319954
BA2184	0.7194209968283868	10.628341810860665
BA2195	0.014786660286449	0.8517477544056531
BA2198	0.0188840584086057	9.032062076788913
BA2200	0.0444652902827778	5.909373552547744
BA2201	0.6911596836006432	0.7405867057165145
BA2209	0.6842228040719363	1.939924439760896
BA2211	0.0349201516392464	3.478055240024269
BA2212	0.0144898336753979	1.9117243822809795
BA2217	0.0224406819708633	1.8505187182282803
BA2218	0.0101053046809498	0.084710669215247
BA2220	0.011095034100809	1.6409310910083468
BA2221	3.356947384123934	2.243354454921604
BA2224	1.3610922070552414	2.0797450735301943
BA2226	0.1097703063679557	3.1108793742900542
BA2227	0.0423362852115375	4.466729377559415
BA2228	0.7049396469244037	1.4107074971754248
BA2229	0.0184661667986393	2.299403410170904
BA2233	0.0276456865107349	3.843300609317525
BA2234	3.0682855599518355	4.0845688398028654
BA2235	0.0280520644309241	3.773219992974677
BA2236	0.7017972790700774	3.873751378073389
BA2239	2.7018356141241413	1.4644137048543158
BA2240	1.0384749572504866	5.302351818144493
BA2242	0.0458527557687142	5.217936721911253
BA2244	0.0723859879923544	2.109603304943121
BA2245	0.6800658614671792	3.715063303939503
BA2248	0.0081655509453371	0.5876281095038024
BA2249	0.7085339995570523	3.458310637890213
BA2251	4.016916877325035	12.00484402870346
BA2256	0.0084641955074056	2.33433740710835
BA2260	0.0228184205757487	1.5779240094218403
BA2261	0.014202096819434	0.0481531079451538
BA2269	0.0182599479201823	0.0224406991260923
BA2271	2.733193688348077	3.761306094239691
BA2272	1.0435875361067466	2.964975913177955
