	CBL	SMC1A
BA2000	9.042644126724811	0.7462069123289923
BA2003	5.172451118714257	0.0732785815434064
BA2004	26.397456558513632	0.3863072303795603
BA2006	0.2775597215944521	0.0262961258180623
BA2011	10.39739286954303	0.0723773414240564
BA2019	2.9332356620568487	0.523339371811861
BA2020	16.031971744555168	0.7269029971477832
BA2022	10.982335116201115	0.443322630006295
BA2023	13.595149393206244	0.2495570895047683
BA2024	50.44893489241544	0.287155169944375
BA2025	20.959384514847557	0.7480948467765653
BA2031	12.937146078398	0.5121456086847467
BA2032	7.8221525310228035	0.1039793903154649
BA2033	9.017506283315631	0.1632966835095074
BA2034	14.57752442768244	0.3037435369718935
BA2035	11.145404232541518	0.2139238826754796
BA2036	9.584737243464286	0.4182774010351495
BA2037	13.16194562731469	0.4109814903870589
BA2041	2.305962484274798	0.3631849950003453
BA2044	14.096762304979828	0.4350917369616048
BA2046	9.624383645759767	0.101481482767567
BA2047	12.796346075945406	0.4789123837285003
BA2050	7.079443114097531	0.3102335430687024
BA2051	10.511669162830255	0.1054519895597969
BA2052	5.107642536585612	0.1795116800701992
BA2053	7.222321545137492	0.079902067313681
BA2054	12.01114379043066	0.4074334016411099
BA2055	0.4425617081459523	0.0326916807866485
BA2063	8.313044935404431	0.1168140629305023
BA2065	10.41259137029753	0.390159335102721
BA2066	57.12784580418294	0.922025420781572
BA2068	4.4915824176669705	0.155245402509188
BA2069	12.825323808366926	0.5229027636462918
BA2072	13.935004160509502	0.4090721059199481
BA2079	27.303743679678167	0.1799575021313978
BA2080	6.229220735606777	0.1230857485084649
BA2081	11.492191287247948	0.4536414243684186
BA2082	6.753891254870901	0.1162295533206854
BA2087	14.601526983731487	0.1188928086940584
BA2088	4.571627996343174	0.2833929198271572
BA2089	49.12873542436498	0.7049345073865925
BA2093	12.572726267444608	0.2085745418008944
BA2094	17.223595244356925	0.3974949642017643
BA2095	10.848311736218765	0.4427808684462046
BA2096	2.236285493649243	0.4238488908780826
BA2097	15.477626241643684	0.2734491493902399
BA2098	8.127967125444737	0.4418320681385367
BA2100	6.2617054658574105	0.0518182790007006
BA2101	11.171287645063163	0.1482072923351178
BA2104	15.91701751949816	0.1650236484634113
BA2106	5.606799514979807	0.2404122878180016
BA2109	9.560472490372206	0.1385070484148851
BA2110	9.469838089526323	0.2190038677505027
BA2113	51.876008412786405	1.0902259540283143
BA2116	17.851135269293863	0.1669632966647874
BA2121	36.703474433044384	0.45416991707132
BA2122	5.099888076141857	0.0944624458861666
BA2123	1.6290154359927176	0.3289941917044279
BA2124	8.591976551839926	0.2576586418409293
BA2125	11.843062855263057	0.5549049624963852
BA2132	12.13857476454282	0.3380670016794452
BA2133	8.10824388184725	0.1189663302955098
BA2134	10.322625018296296	0.2258618878717793
BA2135	10.12687274165399	0.1666776882535282
BA2139	13.92488578888143	0.2703667211430057
BA2143	7.0025989574377885	0.3534699019272844
BA2148	7.2649826557373585	0.0623963321637688
BA2153	5.859573208439487	0.1839683970834274
BA2155	2.0953240513147824	0.1287229446308692
BA2156	9.262239071661751	0.2915874160324228
BA2162	18.13269371853933	0.2856224090238819
BA2163	14.329210049306177	0.2476288848697591
BA2168	5.035563911257235	0.1133917410225406
BA2169	4.404739883363696	0.099865340034379
BA2171	12.808219940150677	0.6436778720960448
BA2172	8.270086228035286	0.1984505562456519
BA2174	16.522066588998133	0.5673116238211867
BA2175	6.5571459031259325	0.4777821913841399
BA2184	21.75453105008697	0.6443998756645007
BA2195	4.847973456487028	0.1729249365321939
BA2198	12.830357523429388	0.3557294189419911
BA2200	21.739746461925463	0.4409612405890968
BA2201	11.551350422887088	0.2371180788800523
BA2209	18.762925296853616	0.1240002416844831
BA2211	9.188724044788971	0.4491274919108555
BA2212	7.092477897553184	0.1901517308897795
BA2217	19.063932079304085	0.3171809747929061
BA2218	4.552843749662363	0.0622631388267454
BA2220	4.609687172399805	0.3710972985476872
BA2221	10.09014872547281	0.2464402599609664
BA2224	16.84275651668578	0.1971415824224655
BA2226	54.83713788505628	0.7868952677610815
BA2227	15.90399328444532	0.2980568937860058
BA2228	10.976485565302552	0.3839072162974903
