	SRSF2	TP53
BA2000	8.232855850924276	8.06307340091042
BA2003	9.4977144739766	2.2260197873263383
BA2004	5.562522945896354	7.673631869747613
BA2006	4.6626359318395725	7.428197079696779
BA2011	8.33948154257171	1.1963063819805329
BA2019	9.757790556231546	6.224170045462047
BA2020	24.05614468586043	21.520381567447888
BA2022	13.76175498824985	9.45684986281421
BA2023	6.170959052505648	6.434672541888756
BA2024	13.562153332917909	6.510640280236593
BA2025	8.058465426519131	10.394921412662669
BA2031	5.276629236644825	8.495527625696191
BA2032	4.763443017170353	2.499893151699212
BA2033	22.143794608866745	1.7986397277922732
BA2034	10.006225712329805	10.402330525568503
BA2035	6.202410726195026	5.694807242052163
BA2036	8.19574270719942	7.951478653704009
BA2037	11.49048044339966	13.456446138821162
BA2041	12.869687030810905	4.012876279461654
BA2044	8.48685376064178	12.997143664324703
BA2046	9.108705272546237	2.618085774132732
BA2047	13.306666081934658	6.872806555198192
BA2050	9.513319286237095	5.023659216923838
BA2051	8.14805311574689	0.9779779714778264
BA2052	8.873809201356487	4.334996906915623
BA2053	7.462370487579332	2.357057989901253
BA2054	10.430588127973053	3.190998846688494
BA2055	4.345256847097649	8.735408391437288
BA2063	9.467873645094436	2.152309015331881
BA2065	6.373759297739962	9.459880976324264
BA2066	15.800296299117967	20.073948076003976
BA2068	18.355853161765303	3.486147991478991
BA2069	10.278331861243649	15.409996932172731
BA2072	5.902058256500613	6.954497290282092
BA2079	7.640222263953134	2.0472781137670544
BA2080	9.191369278339211	2.4647671501971486
BA2081	6.928636469183807	9.149696405407012
BA2082	8.40840134006508	1.7753601682942917
BA2087	5.677796869229128	4.855407453197315
BA2088	11.410047337328768	2.4632406685354358
BA2089	11.89864820678787	9.676104817049987
BA2093	5.464961303565389	2.2386160646417284
BA2094	12.051205054450586	12.051290934790956
BA2095	8.463544127567214	9.865156313761132
BA2096	15.000673563143634	6.77397549750367
BA2097	17.792688397965705	6.33159715116314
BA2098	6.655929889318163	22.683107122235867
BA2100	3.718527822597228	0.4942224100471776
BA2101	8.1501091842613	3.382179169574317
BA2104	1.8852928899651	4.151746644592918
BA2106	7.204307756577358	3.0315719050191947
BA2109	6.833888850170134	1.2120564008482917
BA2110	3.806471086714524	2.3221181476454724
BA2113	15.929650625391014	11.35363658872494
BA2116	6.781050008997795	0.5147534372218869
BA2121	11.980554744241596	10.948348696573852
BA2122	5.858690587057699	1.4582446731011915
BA2123	11.59072875024918	7.1946210352410045
BA2124	16.611280928331222	13.386270032709085
BA2125	7.921142108252018	9.790402798354815
BA2132	13.946291139079216	2.7211224761939943
BA2133	7.478491218664673	0.8131475906953063
BA2134	4.036120566317373	4.913494345748131
BA2135	20.82611375867676	3.617560816574061
BA2139	4.621744593017676	4.057071783339983
BA2143	8.73803235454996	6.514813997712446
BA2148	3.778912883468327	0.3308884751012781
BA2153	7.671001886855401	3.840478484261512
BA2155	9.35317182362659	3.973317728058916
BA2156	8.002415187656146	11.453174911166562
BA2162	8.849822115908271	3.729057553001509
BA2163	7.4857757015311535	13.44292850019923
