	PTPN11	DNMT3A
BA2000	18.33296095742878	0.3903477782106476
BA2003	7.823075791431777	0.2200672016907105
BA2004	23.47420820016641	1.7421872222743082
BA2006	1.599279212987121	0.3787236170572983
BA2011	9.225160864995647	0.5217608164496809
BA2019	25.598812631833862	0.4474708417173635
BA2020	31.59595324254756	0.6765599205677996
BA2022	27.51591386957487	1.035164212553083
BA2023	11.535227276580512	0.1201300703143848
BA2024	13.850349536088828	0.4794653993658658
BA2025	25.182250566504557	0.2548711482159886
BA2031	17.168571781077897	0.2223031448406812
BA2032	15.901849480276256	0.2822289193149458
BA2033	18.392220963768025	0.1425292972381716
BA2034	16.75767370192132	0.5984234647814147
BA2035	26.829544816139027	0.8654681646619956
BA2036	21.002511009591736	0.4402468738806289
BA2037	41.28393670453848	0.783361127172473
BA2041	20.85594645881212	0.1026100021630555
BA2044	18.514651646389066	0.3145954640236001
BA2046	17.74777341783675	0.1527200400277926
BA2047	23.775755698786437	1.1000234462904164
BA2050	14.032474625170588	0.2208361160071591
BA2051	23.501722762533824	0.1202876109750209
BA2052	19.346997032607323	0.4628891424904828
BA2053	13.034239391027915	0.2357331583528511
BA2054	15.071847659067448	0.1897970889603141
BA2055	1.0119939151741806	0.1016623185336721
BA2063	14.18531242809262	0.2337397032375142
BA2065	23.213042788974004	0.4009166650099477
BA2066	27.549712577286414	0.3777119351024847
BA2068	15.169594363553628	0.2375133220008568
BA2069	19.64144687919452	0.1693877031808799
BA2072	12.509935270285276	0.2069594922820808
BA2079	8.072035025066661	0.2431485328158669
BA2080	14.96790543407779	0.2891593639359263
BA2081	15.613771421052876	0.2574487849552282
BA2082	16.516465158266154	0.3355754225575059
BA2087	14.418054675323518	0.1543080697173639
BA2088	24.432406247519264	0.0833651298577288
BA2089	26.42817527039773	0.2758816049602879
BA2093	24.761557552881506	0.4683773986052874
BA2094	22.84219653932653	0.4592247829364606
BA2095	22.24726061747656	0.3875435221016316
BA2096	9.782062235194408	0.1225796696216249
BA2097	29.00078867269143	0.6727738141640198
BA2098	4.89760845693884	0.4725877035538304
BA2100	12.578431475402214	0.1089824664887933
BA2101	12.241955188427031	0.6971560439731584
BA2104	9.678008579946416	0.053740668846797
BA2106	11.404555741858657	0.2311583327849795
BA2109	10.752236348741445	0.1313450186921277
BA2110	9.173325205003731	0.0840286651574152
BA2113	24.25003415351566	0.6525721360605183
BA2116	34.54667256955986	0.2417840970771943
BA2121	24.484211565819702	0.6760584898167601
BA2122	8.187921438696502	0.0656029871370471
BA2123	32.82053187434948	0.0959275918604528
BA2124	17.461741457522745	0.6896924988931303
BA2125	26.753085869426155	0.4016538372629313
BA2132	20.169400258241318	0.5098245010712235
BA2133	9.257241245749476	0.2320013726547507
BA2134	11.564212451003634	0.0978162703224511
BA2135	16.330691859452898	0.5230946747168397
BA2139	11.507169535521824	0.094658854443762
BA2143	20.26836326082831	0.1901286905887505
BA2148	15.675843108585529	0.1653780428761621
BA2153	24.095696669288905	0.5962602133140623
BA2155	13.399294045807633	0.325684159573431
BA2156	16.931888260327074	0.6192501045771407
BA2162	23.524442921627767	0.5336746564791711
BA2163	32.49912164853597	2.3304985680705173
BA2168	13.863873737481438	0.4042478250562519
BA2169	30.814991909118284	0.8900870917871619
BA2171	23.18947927011344	0.5006416354314442
BA2172	16.795517788395873	0.3534923133742886
BA2174	23.163838646228943	0.4419089652347314
BA2175	22.39949600661436	0.177572143431386
BA2184	39.81395373361203	2.4937520176121484
BA2195	14.438988301694582	0.2030012891780013
BA2198	24.498350035075635	0.8296965103200213
BA2200	27.20417627027473	0.879303672917371
BA2201	10.05949923649511	0.0986654105296367
BA2209	22.20851929911572	0.8738033339078843
BA2211	21.02631899069189	1.7814047286024255
BA2212	16.10636029935567	0.358849828842352
BA2217	17.405562540348775	2.0109583228318337
BA2218	6.878393864241168	0.3445802528520448
BA2220	20.14637088171025	0.2158140627418481
BA2221	13.92990006687362	0.1123345902334619
BA2224	15.825637213283208	0.50439950982126
BA2226	35.989485894319195	0.8732113967481294
BA2227	20.910382367639677	1.1770681874430475
BA2228	31.927487025931413	0.1756566002668675
BA2229	23.056486557637434	0.4751961882078786
BA2233	11.761458404505191	0.652611372360466
BA2234	24.054342043995	0.1253648500016553
BA2235	17.067020253453286	0.175866222457809
BA2236	17.314869257465272	0.3285167351903352
BA2239	12.77104820432132	0.1714125851037873
BA2240	33.17334597209446	0.5717301014229117
BA2242	15.237455455980948	0.5819394119805501
BA2244	16.925820528737685	0.2843519009376707
BA2245	27.47398546311995	0.3750327072183909
BA2248	18.155268511562515	0.3118143728257943
BA2249	19.97463299408348	0.4332410668101266
BA2251	24.14242187116462	1.0331853833965587
BA2256	21.401582298666927	0.5170178480586665
BA2260	15.232493343082629	0.1635494751200925
BA2261	13.631458148123675	0.7411661772531666
BA2269	7.328556613973234	0.0514481175701506
BA2271	23.98460277768552	0.3975245005379642
BA2272	13.50913898194892	0.2766335588647716
BA2273	21.07546663553913	0.3883456318198185
BA2275	31.218741695811683	0.7906998485809084
BA2276	9.934136281708742	0.1930645223276748
BA2277	29.221652377436328	0.8546168491637717
BA2280	36.38874163228378	1.3403744661128272
BA2281	24.831129720843258	0.3742486776379176
BA2282	10.789451974244848	0.1848252696301412
BA2286	19.38545941760825	0.2924677972517953
BA2288	12.094613771990195	0.8689960641896194
BA2292	17.152450737298953	0.0383764464488665
BA2294	18.795163976802144	0.8926650952809216
BA2296	22.58795543731145	0.7958449564827293
BA2300	43.71814488147894	0.8105652707227917
BA2301	17.314482693030055	0.1512653313907045
BA2302	15.142153148377648	0.1781291916276537
BA2304	12.000004837689753	0.1342898984526482
BA2306	21.901854935746787	0.5401721990788467
BA2308	20.691473643918133	0.918211471699353
BA2309	15.600943225492763	0.1763206638680505
BA2311	16.07649015451271	0.1760659011994245
BA2312	14.384739574554802	0.6757120776156089
BA2316	11.94031516572484	0.1292452424412816
BA2322	19.00203463588738	0.7836452764609124
BA2325	13.13339354976582	0.059416367332984
BA2329	14.170386468930648	0.1829182068266463
BA2334	12.738862324221753	0.5601448744652351
BA2339	10.111131706915842	0.1039325783070219
BA2344	17.66258635942158	0.7171623628083545
BA2347	10.673249895339008	0.0733246332693876
BA2348	6.14653811673649	0.0563834165382755
BA2350	9.248559385393913	0.0687448652717671
BA2354	27.095243432620222	0.5649239948038823
BA2355	28.38735945750639	0.2402441112801165
BA2357	12.19949693229595	0.0769123129206903
BA2360	17.5735034231662	0.6835659009126082
BA2361	15.736424512490592	0.9467138467155864
BA2363	7.3033212222808	0.2013801892904489
BA2369	17.51039441139099	0.414873241135215
BA2374	22.40617777937685	0.4334668550253931
BA2375	20.87206313122356	0.512061926493074
BA2376	14.73696075905255	0.187392021027014
BA2377	56.988741119585946	0.1966266034983252
BA2379	14.2605358780457	0.1859523035553871
BA2385	15.9001120635316	0.152949964951423
BA2386	18.71535873465833	0.3828690029882881
BA2387	18.12250880428911	0.1326860295492633
BA2394	24.469601260335928	1.28729052993089
BA2399	16.904555001239643	0.4459573066888792
BA2400	33.63200594550555	0.7696569294530675
BA2402	21.70324629391715	0.2305528668789867
BA2405	9.100792336674967	0.1687941960019158
BA2406	17.82816007822995	0.550402929983847
BA2409	16.29375622363415	0.204315745002997
BA2410	23.596659384354837	0.304621398174643
BA2412	12.137813809796492	0.1317688752634919
BA2413	21.05224232672534	0.4473235049280832
BA2414	23.349309244236707	1.599491958875364
BA2415	8.984070955203252	0.1148539006855739
BA2417	12.270477073849374	1.337533555314113
BA2418	10.111819360859618	0.2762351313664459
BA2420	17.04322984051619	0.2310167770745552
BA2421	17.112086130843036	0.1248639661925869
BA2423	14.830693302761253	0.1345809588727959
BA2425	26.81439645289756	0.4554703213617888
BA2426	14.6887218048444	0.4718236560602522
BA2427	13.203350202140005	0.1490400221697363
BA2429	13.885097753812143	0.329031989925242
BA2440	29.80936471999719	0.1622128696814486
BA2441	41.50471871701896	1.6139302908224038
BA2442	21.30032633561693	0.3804119201097979
BA2446	17.23831681496286	0.2001238359012414
BA2449	27.270894277896847	0.2287970587036531
BA2450	17.891294519534323	1.4455575219911612
BA2452	25.78173682741561	0.3308325464918646
BA2454	35.41917436013228	2.200586435986676
BA2455	12.375452361398644	0.345850794601501
BA2456	14.09237807271488	0.1109490055855878
BA2459	13.594127000583486	0.1343229897677482
BA2461	17.820350143922077	0.3576983560536166
BA2463	8.57460656098495	0.4722574616693779
BA2464	18.745323554263607	0.3978457402927364
BA2469	16.132452295663036	0.0707174080469741
BA2470	18.268118383788824	0.829096922119146
BA2472	12.66426899861456	0.1427092567573498
BA2473	17.639401643995793	0.14440797310754
BA2474	12.088986615383838	0.6927629557403411
BA2477	27.90380716097536	0.681689466720368
BA2479	9.06853194700168	0.1776972071235237
BA2480	15.24397502944484	0.3190556321984708
BA2481	7.960993949896547	0.0963988557689032
BA2482	19.0233231637945	0.3960059195757783
BA2483	23.22264853955544	1.2695197781603915
BA2485	17.055978788879546	0.4396756763186226
BA2488	18.77808934875976	0.2479588444473664
BA2489	14.508873336495364	0.0987155128266856
BA2492	23.63457575454264	0.0661047669468101
BA2494	27.91420931790605	0.4360524146066351
BA2496	11.399676017741184	0.1166748542849611
BA2497	15.612483715841416	0.0989981411296462
BA2499	21.457586308448946	0.2037565437747856
BA2500	23.138866635530075	0.4721345142772626
BA2501	27.833890878616558	0.4816688295202621
BA2502	15.548455223976305	0.1638465093407732
BA2505	22.69831014365209	0.2124773452250946
BA2507	13.273383072831717	0.7322819781538245
BA2510	16.669318455579262	0.1988790031605586
BA2511	7.663551368635486	0.1227612292575707
BA2512	18.55404802224241	0.3319279693979129
BA2514	14.1127716506682	0.1504328415425985
BA2515	13.656362083325709	0.0942200510207396
BA2520	10.18459988094212	0.4753243867453362
BA2521	22.854875728416364	0.4124049363037384
BA2523	17.466454904239125	0.2414343473868867
BA2524	15.143161519049126	0.1617041942440691
BA2525	10.739344125649188	0.1242240092794612
BA2526	16.511510597344866	0.1721578891325065
BA2528	14.604392734699395	0.5811953456406841
BA2532	27.09788474706269	0.1418639295741579
BA2534	26.77316300242771	1.2894096471898533
BA2538	19.34789198139	0.3724935018034421
BA2539	15.054660968382327	0.2473384989090979
BA2540	12.01969277063214	0.0392767792214953
BA2541	16.52564398579619	0.3937315952460676
BA2545	20.94124669628399	0.323874393433841
BA2546	18.99909180138973	0.2799703549111725
BA2552	16.970131640737755	0.9149504511235462
BA2559	14.081354688308627	0.14604252116698
BA2561	8.225056123389484	0.267564448818346
BA2563	17.33397336920926	0.7464626423826584
BA2564	13.974435996557515	0.2903125005311262
BA2567	6.532230302726126	0.1688990342602005
BA2570	22.38622147123564	0.5441987125534858
BA2575	10.361376185477951	0.113993415515483
BA2577	20.382387269777333	1.0114167075149012
BA2579	18.172941762715816	1.02388725941294
BA2583	25.543482158502837	0.6173553319213095
BA2584	21.881435806884262	3.188228154668748
BA2587	21.078892020464146	0.7056228868811733
BA2588	15.34775428213297	0.5454191265941115
BA2589	17.98440359990241	1.1554841958513062
BA2592	19.84405027987057	0.4516867213074516
BA2593	0.8090165245861867	0.0482078021875235
BA2594	21.525920477694164	0.318736959768664
BA2595	13.4174683952318	0.165925845479081
BA2597	19.51682683095491	0.1956060277048242
BA2600	12.611281705199705	0.3145612729561897
BA2603	19.616353351392544	0.2955805106291863
BA2618	21.562852645082295	0.4605459480209012
BA2619	16.276085827293198	0.3964742673762612
BA2620	23.94293881406372	0.3429567901630611
BA2621	14.867078915259968	0.2521754146457712
BA2622	17.89404725424126	0.1820431796607657
BA2623	32.422525972432204	1.0283085416478084
BA2629	12.182439062832351	0.4695763482228556
BA2631	17.90739322912705	0.3945279612030792
BA2634	18.21284933426878	0.376498154243872
BA2636	18.568704808257376	0.298505593504929
BA2639	21.352582026728825	0.539061794585312
BA2644	13.954630838917565	0.6555710697629737
BA2645	21.812898951451057	0.5763828990678791
BA2646	24.75015114655788	0.5716253213226956
BA2649	23.86929555054728	0.3679098787072297
BA2651	15.009905620802682	0.1820603245896505
BA2653	35.09770771441234	0.2516713230269166
BA2655	47.73960715416454	0.3170650738691498
BA2656	12.23115155921837	0.3431771918194494
BA2657	19.747502000537104	0.4038453553346112
BA2658	20.77431422918143	0.6219957447398035
BA2659	20.045090782808657	0.4637602320668896
BA2660	16.149795869705212	0.2191428208101416
BA2662	12.045959777225177	0.3877015943012521
BA2663	12.517918211428482	0.5880826526291726
BA2667	14.667596859550976	0.4348011249922904
BA2670	17.34966639725265	0.209885389528405
BA2674	17.279843318133707	0.807604059291578
