	NF1	DNMT3A
BA2000	142.75490360837196	0.3903477782106476
BA2003	153.6363602362335	0.2200672016907105
BA2004	186.3131826561012	1.7421872222743082
BA2006	0.0	0.3787236170572983
BA2011	72.85716052294515	0.5217608164496809
BA2019	204.9947885795207	0.4474708417173635
BA2020	274.7370236131756	0.6765599205677996
BA2022	126.77737922849806	1.035164212553083
BA2023	57.57670274404444	0.1201300703143848
BA2024	129.19307576825068	0.4794653993658658
BA2025	135.04261049402936	0.2548711482159886
BA2031	47.7445319683995	0.2223031448406812
BA2032	215.03490271417868	0.2822289193149458
BA2033	92.53923653042108	0.1425292972381716
BA2034	153.47329527828623	0.5984234647814147
BA2035	124.98326638084282	0.8654681646619956
BA2036	238.32690231687388	0.4402468738806289
BA2037	298.2964495900539	0.783361127172473
BA2041	135.22863046072317	0.1026100021630555
BA2044	82.04710015020497	0.3145954640236001
BA2046	144.0633694963439	0.1527200400277926
BA2047	123.2929360773152	1.1000234462904164
BA2050	95.22651628154628	0.2208361160071591
BA2051	90.68870047977845	0.1202876109750209
BA2052	110.66973675190388	0.4628891424904828
BA2053	129.04169527931813	0.2357331583528511
BA2054	115.25580563960666	0.1897970889603141
BA2055	1.861283467889972	0.1016623185336721
BA2063	56.62966505689601	0.2337397032375142
BA2065	201.62135608839577	0.4009166650099477
BA2066	124.09319568255268	0.3777119351024847
BA2068	78.65829945488635	0.2375133220008568
BA2069	57.54297490294547	0.1693877031808799
BA2072	86.57166007727321	0.2069594922820808
BA2079	61.12137145648837	0.2431485328158669
BA2080	157.83351245834615	0.2891593639359263
BA2081	109.72745843655122	0.2574487849552282
BA2082	81.44008518006407	0.3355754225575059
BA2087	39.44265347415752	0.1543080697173639
BA2088	122.118312008315	0.0833651298577288
BA2089	166.7588903652543	0.2758816049602879
BA2093	120.06260334565768	0.4683773986052874
BA2094	80.35342502132465	0.4592247829364606
BA2095	125.72932620776494	0.3875435221016316
BA2096	38.14635019971428	0.1225796696216249
BA2097	274.9535971649002	0.6727738141640198
BA2098	26.433437712180453	0.4725877035538304
BA2100	66.13538217435533	0.1089824664887933
BA2101	72.0511876030681	0.6971560439731584
BA2104	88.2053799306977	0.053740668846797
BA2106	153.3726439647684	0.2311583327849795
BA2109	115.04825583911432	0.1313450186921277
BA2110	74.36471936282452	0.0840286651574152
BA2113	223.4154468177113	0.6525721360605183
BA2116	171.4319149038356	0.2417840970771943
BA2121	72.40096351612218	0.6760584898167601
BA2122	54.47294224439686	0.0656029871370471
BA2123	190.53116384213277	0.0959275918604528
BA2124	184.66017011723795	0.6896924988931303
BA2125	25.534304216960667	0.4016538372629313
BA2132	170.7127216635003	0.5098245010712235
BA2133	80.18133477228218	0.2320013726547507
BA2134	49.273239517076505	0.0978162703224511
BA2135	15.131785600875178	0.5230946747168397
BA2139	41.481996912376765	0.094658854443762
BA2143	96.97194172507986	0.1901286905887505
BA2148	89.68429975044664	0.1653780428761621
BA2153	146.4827052853341	0.5962602133140623
BA2155	71.92339924235235	0.325684159573431
BA2156	168.64129625232474	0.6192501045771407
BA2162	147.29495642603302	0.5336746564791711
BA2163	217.2043669052266	2.3304985680705173
BA2168	130.512102414608	0.4042478250562519
BA2169	178.1356567294738	0.8900870917871619
BA2171	234.8583259532597	0.5006416354314442
BA2172	185.11095536230036	0.3534923133742886
BA2174	238.4854486070038	0.4419089652347314
BA2175	31.956107621459708	0.177572143431386
BA2184	330.1887594161088	2.4937520176121484
BA2195	94.9760301511449	0.2030012891780013
BA2198	126.84489183593952	0.8296965103200213
BA2200	253.9343726061422	0.879303672917371
BA2201	76.38543599082593	0.0986654105296367
BA2209	207.73969039082704	0.8738033339078843
BA2211	193.69321339903547	1.7814047286024255
BA2212	150.1149855232797	0.358849828842352
BA2217	173.74162856094	2.0109583228318337
BA2218	85.42607037036069	0.3445802528520448
BA2220	105.89447496974996	0.2158140627418481
BA2221	87.92724303286738	0.1123345902334619
BA2224	99.58333873414824	0.50439950982126
BA2226	286.37231184395824	0.8732113967481294
BA2227	327.7142740138492	1.1770681874430475
BA2228	148.83302195542166	0.1756566002668675
BA2229	230.9272500432621	0.4751961882078786
BA2233	198.79246681895413	0.652611372360466
BA2234	133.53026760274443	0.1253648500016553
BA2235	137.30408373585547	0.175866222457809
BA2236	236.6977944710083	0.3285167351903352
BA2239	93.44595003721206	0.1714125851037873
BA2240	349.65596137257995	0.5717301014229117
BA2242	288.5091193991156	0.5819394119805501
BA2244	189.13614877568463	0.2843519009376707
BA2245	206.20598869395417	0.3750327072183909
BA2248	103.99306477060202	0.3118143728257943
BA2249	131.64751962240132	0.4332410668101266
BA2251	168.5185793587882	1.0331853833965587
BA2256	177.37594734399633	0.5170178480586665
