	ID_sample	TypeMutation	ExpressionGene
0	BA2386	mut2	10.040753132835
1	BA2879	mut2	6.04021038079235
2	BA2906	mut2	10.7149459001776
3	BA3001	mut2	10.0272952150123
4	BA3139	mut2	12.5256596633099
5	BA3400	mut2	7.92364245319313
6	BA2101	mut4	7.02200264661639
7	BA2233	mut4	9.73079295605488
8	BA2455	mut4	9.95541459791256
9	BA2952	mut4	9.4917929010063
10	BA2956	mut4	8.44966638628301
11	BA3139	mut4	12.5256596633099
12	BA3285	mut4	12.2211956145486
13	BA3310	mut4	10.4909547063744
14	BA3438	mut4	10.1459017836458
15	BA3447	mut4	9.08494318011795
16	BA2066	mut5	9.88079564639631
17	BA2094	mut5	10.639379239193
18	BA2427	mut5	7.550843282623
19	BA2456	mut5	8.16449260027971
20	BA2561	mut5	9.87474271994728
21	BA2631	mut5	9.22687989289351
22	BA2682	mut5	9.37793858616158
23	BA2879	mut5	6.04021038079235
24	BA2930	mut5	7.56206988956539
25	BA2952	mut5	9.4917929010063
26	BA3136	mut5	10.7487601826414
27	BA3333	mut5	10.4270272319076
28	BA3400	mut5	7.92364245319313
29	BA3447	mut5	9.08494318011795
30	BA2031	mut7	9.82717700787936
31	BA2054	mut7	7.60989112051761
32	BA2249	mut7	9.50601427714714
33	BA2455	mut7	9.95541459791256
34	BA2691	mut7	7.01613705435711
35	BA2906	mut7	10.7149459001776
36	BA3362	mut7	10.4284775273914
37	BA2031	mut8	9.82717700787936
38	BA2249	mut8	9.50601427714714
39	BA2376	mut8	6.56326897910348
40	BA2592	mut8	7.58177680428358
41	BA3139	mut8	12.5256596633099
42	BA2050	mut9	8.60608533344799
43	BA2104	mut9	9.13342062895717
44	BA2249	mut9	9.50601427714714
45	BA2334	mut9	8.56865303112435
46	BA2928	mut9	9.62975620855742
47	BA3139	mut9	12.5256596633099
48	BA3216	mut9	9.88687313292775
49	BA3277	mut9	8.79942491234482
50	BA3285	mut9	12.2211956145486
51	BA3369	mut9	8.70112769787832
52	BA3379	mut9	9.83892848550566
53	BA3381	mut9	7.33890799019329
54	BA2031	mut10	9.82717700787936
55	BA2032	mut10	8.68962960513866
56	BA2050	mut10	8.60608533344799
57	BA2106	mut10	10.1170993958946
58	BA2123	mut10	6.10872354813756
59	BA2226	mut10	7.88494695067266
60	BA2236	mut10	9.04860912314158
61	BA2249	mut10	9.50601427714714
62	BA2308	mut10	9.4270458724936
63	BA2413	mut10	9.47302564786274
64	BA2499	mut10	7.49358396361658
65	BA2502	mut10	9.62461563502098
66	BA2512	mut10	7.84734534450722
67	BA2670	mut10	7.94936162159169
68	BA2701	mut10	8.18416035809344
69	BA2746	mut10	8.24509615455004
70	BA2791	mut10	8.4424022836884
71	BA2828	mut10	7.5932544466496
72	BA2851	mut10	9.1410080593907
73	BA2870	mut10	10.8192493812712
74	BA2906	mut10	10.7149459001776
75	BA2939	mut10	10.3575120670964
76	BA3084	mut10	9.87474271994728
