	PTPN11	TP53
BA2000	18.33296095742878	8.06307340091042
BA2003	7.823075791431777	2.2260197873263383
BA2004	23.47420820016641	7.673631869747613
BA2006	1.599279212987121	7.428197079696779
BA2011	9.225160864995647	1.1963063819805329
BA2019	25.598812631833862	6.224170045462047
BA2020	31.59595324254756	21.520381567447888
BA2022	27.51591386957487	9.45684986281421
BA2023	11.535227276580512	6.434672541888756
BA2024	13.850349536088828	6.510640280236593
BA2025	25.182250566504557	10.394921412662669
BA2031	17.168571781077897	8.495527625696191
BA2032	15.901849480276256	2.499893151699212
BA2033	18.392220963768025	1.7986397277922732
BA2034	16.75767370192132	10.402330525568503
BA2035	26.829544816139027	5.694807242052163
BA2036	21.002511009591736	7.951478653704009
BA2037	41.28393670453848	13.456446138821162
BA2041	20.85594645881212	4.012876279461654
BA2044	18.514651646389066	12.997143664324703
BA2046	17.74777341783675	2.618085774132732
BA2047	23.775755698786437	6.872806555198192
BA2050	14.032474625170588	5.023659216923838
BA2051	23.501722762533824	0.9779779714778264
BA2052	19.346997032607323	4.334996906915623
BA2053	13.034239391027915	2.357057989901253
BA2054	15.071847659067448	3.190998846688494
BA2055	1.0119939151741806	8.735408391437288
BA2063	14.18531242809262	2.152309015331881
BA2065	23.213042788974004	9.459880976324264
BA2066	27.549712577286414	20.073948076003976
BA2068	15.169594363553628	3.486147991478991
BA2069	19.64144687919452	15.409996932172731
BA2072	12.509935270285276	6.954497290282092
BA2079	8.072035025066661	2.0472781137670544
BA2080	14.96790543407779	2.4647671501971486
BA2081	15.613771421052876	9.149696405407012
BA2082	16.516465158266154	1.7753601682942917
BA2087	14.418054675323518	4.855407453197315
BA2088	24.432406247519264	2.4632406685354358
BA2089	26.42817527039773	9.676104817049987
BA2093	24.761557552881506	2.2386160646417284
BA2094	22.84219653932653	12.051290934790956
BA2095	22.24726061747656	9.865156313761132
BA2096	9.782062235194408	6.77397549750367
BA2097	29.00078867269143	6.33159715116314
BA2098	4.89760845693884	22.683107122235867
BA2100	12.578431475402214	0.4942224100471776
BA2101	12.241955188427031	3.382179169574317
BA2104	9.678008579946416	4.151746644592918
BA2106	11.404555741858657	3.0315719050191947
BA2109	10.752236348741445	1.2120564008482917
BA2110	9.173325205003731	2.3221181476454724
BA2113	24.25003415351566	11.35363658872494
BA2116	34.54667256955986	0.5147534372218869
BA2121	24.484211565819702	10.948348696573852
BA2122	8.187921438696502	1.4582446731011915
BA2123	32.82053187434948	7.1946210352410045
BA2124	17.461741457522745	13.386270032709085
