	GATA2	KIT
BA2392	7.41600983782201	8.48407580140491
BA2611	7.34547705030654	8.46430959418229
BA2506	7.41107466475047	8.46185834013681
BA2430	7.37299295258264	8.48906113697349
BA2448	7.42721767032965	8.46676516104844
BA2730	7.37967634115988	8.46922505155083
BA2845	7.31758513982701	8.53990253916599
BA2326	7.3445927403943	8.52702131941912
BA2341	7.3614587281193	8.54768703664719
BA2612	7.32489473499785	8.50160207030541
BA2973	7.31665510949842	8.53215993801742
BA2390	7.3634906067475	8.49657233882556
BA3218	7.31484141146978	8.48906113697349
BA3105	7.26503778677364	8.45209623715645
BA3402	7.27805701193436	8.44966638628301
BA3276	7.29968056370735	8.40194775982719
BA2409	4.08953411027778	6.89778124838191
BA3037	9.22687989289351	5.49725940478877
BA2496	4.22136650202706	5.51241676925768
BA2172	7.72672331348077	4.37272792121348
BA2865	10.0543370402648	8.38563253120242
BA2923	-0.905814060314707	-1.83754692529431
BA2751	6.91069984449294	2.3627073872351
BA2480	8.44966638628301	5.00103650264355
BA2286	6.84098754890722	8.5872495962732
BA2922	6.95344802847081	9.77539354132974
BA2452	7.2808607611199	9.0271917203024
BA3379	6.11039522609915	8.66689198102969
BA2887	5.05929023106165	8.0301567645062
BA2712	2.26275670492429	0.402949581289092
BA2068	8.95777690896205	6.7421473941764
BA2236	8.58457840504288	8.09435501163422
BA2104	0.732935262992316	0.598455727053896
BA3124	5.77221027466017	6.29048213777498
BA3395	7.45571345371651	6.84399982384708
BA2921	7.41497012248878	9.60422004710875
BA2449	5.21327609576147	6.87788091401863
BA2003	7.37771038448057	5.06527754778608
BA2360	8.58992566833602	7.94635895319707
BA2802	7.40900238551148	9.09230819306279
BA2235	6.83214250556656	8.0044307958278
BA2858	4.24617468927424	6.02698748997862
BA3038	6.41227021268222	7.71347289714959
BA3006	7.99915514777274	5.2871864159011
BA2245	7.66369633945432	9.85077214115986
BA2667	6.50152491798344	8.75396729152058
BA2239	4.89696755761679	5.0610421966443
BA2782	5.97890641593254	5.3063518272781
BA2649	7.15798365655759	6.45042558800672
BA2488	8.16840116234166	7.52428329559334
BA2861	7.44839655086442	7.79956921933088
BA2909	7.51630069461518	6.47866220517702
BA2429	6.13853683580785	6.57560815980456
BA2653	8.67721676583393	0.779913057719338
BA2134	5.66361114365051	6.16187946786899
BA2947	8.5971359914493	6.64131489127646
BA2032	9.91143332054624	6.53646349390772
BA2162	9.31751716888528	8.27031665707811
BA2564	4.70523791699629	6.76240903317338
BA2597	9.36650856672567	5.54658259376352
BA3243	9.58909503454725	7.38062061343463
BA2106	7.01200936090574	7.77713213848426
BA2427	4.33903266779967	5.71100608100859
BA2841	5.94099029232779	6.71667600372627
BA2446	2.31812232252383	2.69090003434147
BA2645	9.64008823387741	10.0958725482412
BA2525	5.24865361107735	4.05402094746754
BA2876	5.79758031043752	6.00881830211778
BA2357	5.50571962151203	5.46954197713849
BA2546	3.0112376490771	6.5518017021576
BA2742	3.66797907398221	3.1321279031107
BA2316	3.22495437973645	3.27431420538309
BA2421	2.45065051871032	1.76094876809065
BA2087	2.55585093682386	8.58375614592974
BA2910	10.2053241381792	7.45571345371651
BA2148	8.16059641320183	7.71472395965624
BA2063	3.02935460711532	2.4375086335962
BA2329	7.2245944685398	6.61117532741348
BA3178	-0.106092733460167	6.71780036034788
BA2072	5.14543140849029	7.31397253852267
BA3029	8.92748837970555	6.52375465899181
BA2733	5.32125964978542	7.2371970090631
BA2995	1.87147539953468	5.70643173596218
BA2069	1.06756511195893	4.07958610816328
BA2100	6.69027313849037	5.76256437697443
BA2681	7.58759859001841	6.69356109841864
BA2248	6.88553914900191	5.93163668749835
BA2832	8.69249597847146	7.30411511402805
BA2308	7.87732006412967	7.60989112051761
BA2413	7.29077391107671	7.69420627031986
BA2701	5.76256437697443	6.3314194986068
BA2634	6.61275930528802	6.86903485569995
BA2677	7.25790347094091	6.69580577134555
BA2937	8.40664550150058	7.32489473499785
BA2600	6.59949061589029	5.59027419096801
BA2019	9.64527993925034	-0.780448523359928
BA2412	6.57041549701901	5.79950973684786
BA2334	7.64511152399424	4.93436696034119
BA2050	7.30591810989836	6.1180523945273
BA3230	7.22951525991334	6.93827202821145
BA2953	5.74281190993701	6.81086164089737
BA2481	6.26652649814407	5.46628439479905
BA2731	4.76216052725516	6.4137172012398
BA2294	7.90950778255697	8.904319577833
BA2418	7.77713213848426	5.42857060288721
BA2816	1.63244056607344	5.36072833704901
BA2656	8.15865294170913	3.65263152336696
BA2814	5.88643954120856	4.23701647161103
BA2631	8.0760787079227	7.37396310701658
BA2023	-0.126036792393191	-0.425828695317915
