	PTPN11	SMC1A
BA2000	18.33296095742878	0.7462069123289923
BA2003	7.823075791431777	0.0732785815434064
BA2004	23.47420820016641	0.3863072303795603
BA2006	1.599279212987121	0.0262961258180623
BA2011	9.225160864995647	0.0723773414240564
BA2019	25.598812631833862	0.523339371811861
BA2020	31.59595324254756	0.7269029971477832
BA2022	27.51591386957487	0.443322630006295
BA2023	11.535227276580512	0.2495570895047683
BA2024	13.850349536088828	0.287155169944375
BA2025	25.182250566504557	0.7480948467765653
BA2031	17.168571781077897	0.5121456086847467
BA2032	15.901849480276256	0.1039793903154649
BA2033	18.392220963768025	0.1632966835095074
BA2034	16.75767370192132	0.3037435369718935
BA2035	26.829544816139027	0.2139238826754796
BA2036	21.002511009591736	0.4182774010351495
BA2037	41.28393670453848	0.4109814903870589
BA2041	20.85594645881212	0.3631849950003453
BA2044	18.514651646389066	0.4350917369616048
BA2046	17.74777341783675	0.101481482767567
BA2047	23.775755698786437	0.4789123837285003
BA2050	14.032474625170588	0.3102335430687024
BA2051	23.501722762533824	0.1054519895597969
BA2052	19.346997032607323	0.1795116800701992
BA2053	13.034239391027915	0.079902067313681
BA2054	15.071847659067448	0.4074334016411099
BA2055	1.0119939151741806	0.0326916807866485
BA2063	14.18531242809262	0.1168140629305023
BA2065	23.213042788974004	0.390159335102721
BA2066	27.549712577286414	0.922025420781572
BA2068	15.169594363553628	0.155245402509188
BA2069	19.64144687919452	0.5229027636462918
BA2072	12.509935270285276	0.4090721059199481
BA2079	8.072035025066661	0.1799575021313978
BA2080	14.96790543407779	0.1230857485084649
BA2081	15.613771421052876	0.4536414243684186
BA2082	16.516465158266154	0.1162295533206854
BA2087	14.418054675323518	0.1188928086940584
BA2088	24.432406247519264	0.2833929198271572
BA2089	26.42817527039773	0.7049345073865925
BA2093	24.761557552881506	0.2085745418008944
BA2094	22.84219653932653	0.3974949642017643
BA2095	22.24726061747656	0.4427808684462046
BA2096	9.782062235194408	0.4238488908780826
BA2097	29.00078867269143	0.2734491493902399
BA2098	4.89760845693884	0.4418320681385367
BA2100	12.578431475402214	0.0518182790007006
BA2101	12.241955188427031	0.1482072923351178
BA2104	9.678008579946416	0.1650236484634113
BA2106	11.404555741858657	0.2404122878180016
BA2109	10.752236348741445	0.1385070484148851
BA2110	9.173325205003731	0.2190038677505027
BA2113	24.25003415351566	1.0902259540283143
BA2116	34.54667256955986	0.1669632966647874
BA2121	24.484211565819702	0.45416991707132
BA2122	8.187921438696502	0.0944624458861666
BA2123	32.82053187434948	0.3289941917044279
BA2124	17.461741457522745	0.2576586418409293
BA2125	26.753085869426155	0.5549049624963852
BA2132	20.169400258241318	0.3380670016794452
BA2133	9.257241245749476	0.1189663302955098
BA2134	11.564212451003634	0.2258618878717793
BA2135	16.330691859452898	0.1666776882535282
BA2139	11.507169535521824	0.2703667211430057
BA2143	20.26836326082831	0.3534699019272844
BA2148	15.675843108585529	0.0623963321637688
BA2153	24.095696669288905	0.1839683970834274
BA2155	13.399294045807633	0.1287229446308692
BA2156	16.931888260327074	0.2915874160324228
BA2162	23.524442921627767	0.2856224090238819
BA2163	32.49912164853597	0.2476288848697591
BA2168	13.863873737481438	0.1133917410225406
BA2169	30.814991909118284	0.099865340034379
BA2171	23.18947927011344	0.6436778720960448
BA2172	16.795517788395873	0.1984505562456519
BA2174	23.163838646228943	0.5673116238211867
BA2175	22.39949600661436	0.4777821913841399
BA2184	39.81395373361203	0.6443998756645007
BA2195	14.438988301694582	0.1729249365321939
BA2198	24.498350035075635	0.3557294189419911
BA2200	27.20417627027473	0.4409612405890968
BA2201	10.05949923649511	0.2371180788800523
BA2209	22.20851929911572	0.1240002416844831
BA2211	21.02631899069189	0.4491274919108555
BA2212	16.10636029935567	0.1901517308897795
BA2217	17.405562540348775	0.3171809747929061
BA2218	6.878393864241168	0.0622631388267454
BA2220	20.14637088171025	0.3710972985476872
BA2221	13.92990006687362	0.2464402599609664
BA2224	15.825637213283208	0.1971415824224655
BA2226	35.989485894319195	0.7868952677610815
BA2227	20.910382367639677	0.2980568937860058
BA2228	31.927487025931413	0.3839072162974903
BA2229	23.056486557637434	0.1760641667933917
BA2233	11.761458404505191	0.1546722445549899
BA2234	24.054342043995	0.9598569615118624
BA2235	17.067020253453286	0.3506127985317646
BA2236	17.314869257465272	0.2547194116470408
BA2239	12.77104820432132	0.2535090743265992
BA2240	33.17334597209446	0.4908167731068273
BA2242	15.237455455980948	0.2420015861239549
BA2244	16.925820528737685	0.3580150598976017
BA2245	27.47398546311995	0.2985101118313956
BA2248	18.155268511562515	0.0954803811134522
BA2249	19.97463299408348	0.3795539904703852
BA2251	24.14242187116462	0.1798147056189224
BA2256	21.401582298666927	0.4246689381506453
BA2260	15.232493343082629	0.1780099913415867
BA2261	13.631458148123675	0.163637993041259
BA2269	7.328556613973234	0.0381257500274562
BA2271	23.98460277768552	0.4199710669654803
BA2272	13.50913898194892	0.2600698008492104
BA2273	21.07546663553913	0.1657232849119111
BA2275	31.218741695811683	0.6891442021703473
BA2276	9.934136281708742	0.2036555884723128
BA2277	29.221652377436328	0.4281794974115492
BA2280	36.38874163228378	0.5649937171690479
BA2281	24.831129720843258	0.2568893475089915
BA2282	10.789451974244848	0.2248100876554353
BA2286	19.38545941760825	0.2828993825110299
BA2288	12.094613771990195	0.1126104562125291
BA2292	17.152450737298953	0.397235682464465
BA2294	18.795163976802144	0.2616251015647491
BA2296	22.58795543731145	0.3631820988029091
BA2300	43.71814488147894	0.6125499806379009
BA2301	17.314482693030055	0.1954328451951469
BA2302	15.142153148377648	0.1006929967279396
BA2304	12.000004837689753	0.3779940917641564
BA2306	21.901854935746787	0.2708628105721385
BA2308	20.691473643918133	0.1147444737003561
BA2309	15.600943225492763	0.3259388177248745
BA2311	16.07649015451271	0.3702552667702572
BA2312	14.384739574554802	0.1776912291549271
BA2316	11.94031516572484	0.2466830138254239
BA2322	19.00203463588738	0.4965962069120556
BA2325	13.13339354976582	0.2786110659952907
BA2329	14.170386468930648	0.2418367021205663
BA2334	12.738862324221753	0.1157587700932795
BA2339	10.111131706915842	0.1333731385406656
BA2344	17.66258635942158	0.3579604799758853
BA2347	10.673249895339008	0.072188004292406
BA2348	6.14653811673649	0.1092625283621437
BA2350	9.248559385393913	0.1186669020621158
BA2354	27.095243432620222	0.3239181940245378
BA2355	28.38735945750639	0.1556839884206953
BA2357	12.19949693229595	0.1962496472241806
BA2360	17.5735034231662	0.3260919528996724
BA2361	15.736424512490592	0.2176691980457763
BA2363	7.3033212222808	0.0848651731019468
