#Boxplots d'expressions du gène STAG2 en fonction de la feature centerID
#Résultat du test statistique ANOVA : F = 2.923, p-value = 0.00534
#Tableau des résultats :
Sample Feature  ExpressionGene
BA2409       1        7.016137
BA2496       1        7.001462
BA3037       1        7.137564
BA2865       1        7.257903
BA2751       1        7.451671
BA2286       1        7.445445
BA2488       1        7.663696
BA3379       1        7.481635
BA2887       1        7.179997
BA2712       2        6.619251
BA2068       2        6.919182
BA2104       1        6.528892
BA3124       1        6.900321
BA2449       1        7.507524
BA2235       1        7.304963
BA3038       1        6.973186
BA3006       3        6.757163
BA2667       1        7.370029
BA2239       1        7.004906
BA2782       3        6.902968
BA2649       1        7.134335
BA2861       1        7.128891
BA2134       1        6.886764
BA2909       1        7.153278
BA2653       1        6.918549
BA2947       1        6.830873
BA2162       1        7.139172
BA2564       1        6.792869
BA2597       4        7.119658
BA3243       2        7.321216
BA2446       1        6.961567
BA2525       4        6.928331
BA2876       4        6.931529
BA2357       2        6.501525
BA2546       1        7.081484
BA2742       1        7.161327
BA2316       1        7.021254
BA2087       2        7.012009
BA2148       2        6.985540
BA3178       3        6.776057
BA2072       1        6.869653
BA2733       2        7.002886
BA2995       2        6.989581
BA2069       1        6.888021
BA2681       3        7.405106
BA2832       2        7.259767
BA2600       4        6.593112
BA3230       1        7.261503
BA2731       2        6.385992
BA2294       4        7.163923
BA2816       4        6.531455
BA2814       3        6.746126
BA2631       1        7.203088
BA2023       1        6.442273
BA2375       1        7.069561
BA2485       1        6.892453
BA2455       4        6.602650
BA2636       4        7.097800
BA2325       1        6.603159
BA2156       1        7.488154
BA2511       4        6.736925
BA2505       4        6.621369
BA2871       3        6.799900
BA2227       1        5.736271
BA2812       3        6.349686
BA2125       1        7.352990
BA2603       1        7.366237
BA2808       4        6.853359
BA2482       1        7.196432
BA2594       1        7.185564
BA2747       4        6.545538
BA2561       3        6.301878
BA2567       3        7.154055
BA2906       1        7.541912
BA2956       2        6.967716
BA2474       1        7.177617
BA2737       2        6.982756
BA2110       1        7.097104
BA2992       4        7.295991
BA2220       1        7.188129
BA2063       2        7.079199
BA2772       2        7.194824
BA2935       4        6.813949
BA2260       3        6.584055
BA2948       3        7.084401
BA3296       1        7.422024
BA2524       4        6.945568
BA2811       1        7.222942
BA2540       4        6.941609
BA2928       1        6.904925
BA2302       4        7.071808
BA2651       4        7.571312
BA2619       1        8.198116
BA3013       4        6.870848
BA2405       3        6.412270
BA2856       3        7.340820
BA2377       2        7.135966
BA2499       2        5.941398
BA3023       4        7.409002
BA2095       1        7.150786
BA2275       1        7.391391
BA2901       2        7.114403
BA2387       1        7.131215
BA2962       1        6.946889
BA2195       4        7.059425
BA2688       2        7.382575
BA2420       1        7.475250
BA2053       2        7.085982
BA2081       1        6.977949
BA2354       1        7.297771
BA3273       2        6.879121
BA2893       3        6.802992
BA2044       1        7.071036
BA2489       2        6.498974
BA2908       1        7.865198
BA2054       3        6.921747
BA2872       1        7.268510
BA2041       2        7.373963
BA2464       1        7.420904
BA2902       4        6.354893
BA2541       1        7.187317
BA2843       4        6.360391
BA2497       1        6.922396
BA2718       1        6.992443
BA2575       1        6.939541
BA2593       3        6.313924
BA2791       2        7.417029
BA2620       1        7.306760
BA2629       1        7.193125
BA2870       1        4.926989
BA2682       4        6.275582
BA2276       2        7.143838
BA2709       2        6.688678
BA2789       1        7.103074
BA2538       2        6.404086
BA2583       5        6.710959
BA2806       2        6.685372
BA2441       1        7.208867
BA2514       2        6.894419
BA2520       5        6.203141
BA2479       5        6.886147
BA2281       1        7.085217
BA2932       1        7.394446
BA2123       2        7.411075
BA2844       2        6.676685
BA2660       1        7.245627
BA2836       2        6.398322
BA2714       1        7.261503
BA2440       5        6.997190
BA2036       3        7.103074
BA2828       1        6.690273
BA2952       1        6.801167
BA2410       2        6.668885
BA2139       3        6.852068
BA2051       5        7.048512
BA2532       2        7.445445
BA2494       5        6.886764
BA2748       1        7.188129
BA2622       1        7.252717
BA2970       2        6.879121
BA2839       2        7.353908
BA2868       3        6.748989
BA3011       1        7.146123
BA2052       2        7.186441
BA2510       5        6.513025
BA2691       1        6.894419
BA2374       1        7.028414
BA2804       5        6.766563
BA2675       1        7.228677
BA2031       1        4.569068
BA2198       3        7.275551
BA2066       1        6.788651
BA2344       3        6.773604
BA2459       2        7.065207
BA2229       5        7.233904
BA2559       5        7.379676
BA2093       1        6.991755
BA2000       3        7.047048
BA2425       1        6.830873
BA2905       5        6.228075
BA2304       3        6.693007
BA2976       1        6.981380
BA2386       2        7.137564
BA2035       1        7.362524
BA2760       5        7.125056
BA2201       1        7.121157
BA2355       5        7.403056
BA2113       1        6.001347
BA2955       1        6.956154
BA2322       1        6.611175
BA2020       3        7.019176
BA2226       1        7.058720
BA2376       1        6.820081
BA2121       1        6.777209
BA2944       3        6.867724
BA2033       5        7.058720
BA2867       2        6.949458
BA2089       1        5.044801
BA2224       1        7.120404
BA2046       2        7.020525
BA2972       1        6.540966
BA2978       1        6.981380
BA2851       1        7.207129
BA2587       1        6.975923
BA2024       1        7.199030
BA2426       5        6.416519
BA2271       1        7.256113
BA3004       1        6.760655
BA3010       6        5.233931
BA2662       1        6.685937
BA2658       1        6.975189
BA2512       3        6.743909
BA2109       1        7.140704
BA2242       1        6.597852
BA2132       6        6.786834
BA2846       1        6.565325
BA2521       1        7.092649
BA2885       1        6.795815
BA2639       1        7.289892
BA2775       3        6.751945
BA2402       1        7.117386
BA2097       4        6.911374
BA2399       2        6.708662
BA2174       1        7.116614
BA3001       1        7.399206
BA2911       1        7.046351
BA2311       2        6.585177
BA3040       4        6.919842
BA2724       2        6.517089
BA2821       1        7.080684
BA2233       4        6.206135
BA2744       1        6.963530
BA2501       3        7.112888
BA2301       5        6.956856
BA2880       5        7.129645
BA2621       6        6.575090
BA2866       4        6.537929
BA2212       2        6.077754
BA2477       1        7.250085
BA2685       6        7.121157
BA2273       6        6.764769
BA2124       3        6.769580
BA2400       1        6.690273
BA2762       2        6.514024
BA2312       3        7.001462
BA2813       5        6.544084
BA2211       1        6.852068
BA2171       1        7.082976
BA2746       5        6.613288
BA2798       6        6.820081
BA2588       1        7.063021
BA2296       1        7.215425
BA2300       3        7.352990
BA2545       1        7.200736
BA2840       1        6.689216
BA2528       1        5.794042
BA2646       1        7.428253
BA2926       3        6.986216
BA2272       1        6.964196
BA2306       6        6.963530
BA2726       1        6.421395
BA2234       1        6.868388
BA2022       3        7.007829
BA2037       1        7.349293
BA2184       1        7.051324
BA3009       1        7.167958
BA2442       3        6.921747
BA2882       1        6.806035
BA2570       2        7.763347
BA2721       1        7.297771
BA2728       1        7.405106
BA2098       1        6.372157
BA2951       3        7.029781
BA2778       1        6.783746
BA3153       5        6.501039
BA2820       1        7.034043
BA2704       1        6.962201
BA2584       3        6.575608
BA3079       3        6.776057
BA2361       5        6.701940
BA2472       2        6.850858
BA2047       1        6.791003
BA2101       1        6.754234
BA2082       2        7.034743
BA2456       2        7.034043
BA2175       2        7.268510
BA2507       5        6.518633
BA2563       3        6.579740
BA2984       1        6.539386
BA2414       5        6.891802
