	NF1	RUNX1
BA2006	0.0	0.0434516639435853
BA2593	0.131948509740975	0.0586617116890534
BA2889	0.1338236807905606	0.0032607530191513
BA3008	0.1640866873065015	0.018241639960469
BA2055	1.861283467889972	0.0589301162250986
BA3049	5.969525693002183	0.0703686777679904
BA2915	6.823141893971271	0.0218014132414214
BA2135	15.131785600875178	0.3643324954167157
BA2125	25.534304216960667	0.3106537800341222
BA2688	25.648700935483525	0.1010376832524803
BA3076	26.082152629232723	0.0600950815996389
BA2098	26.433437712180453	0.190269033493088
BA2822	26.705595800531245	0.2804174568518855
BA2947	28.704400954899704	0.2272981186082784
BA2840	30.61186595745973	0.3417398377554638
BA2567	30.7649353050662	0.0471607532425318
BA2865	31.00540326828447	0.3781820537351896
BA3187	31.623910732206127	0.3640025341232009
BA2175	31.956107621459708	0.3571108076129757
BA3178	32.73882697518744	0.109821525551975
BA3395	32.835911513872546	0.5549256020025314
BA2525	33.4185441002891	0.0640943635013068
BA2744	33.77381747949175	0.1577588875420493
BA2415	34.29848221862546	0.0660210386235638
BA2406	34.71633495236259	0.1598458318360428
BA2363	35.095611280938215	0.1514118803869611
BA2956	35.637509346040545	0.1737723118793595
BA2412	36.32016613028614	0.1319074320498716
BA2510	37.039426921791566	0.0203342702977387
BA2096	38.14635019971428	0.1373108299661647
BA2955	39.289600749030285	0.201015698103048
BA2087	39.44265347415752	0.1262338198212069
BA2595	39.45864383623836	0.2987560633460224
BA2876	39.54924914309381	0.1042099068954033
BA2561	39.73792927932083	0.4547598816780865
BA2629	40.404138271266014	0.3504910996646456
BA2787	41.04953227327876	0.0771819098017011
BA2901	41.17385408187821	0.1850517608980293
BA2463	41.31280183229365	0.3650729854586957
BA2139	41.481996912376765	0.1190683935976216
BA2497	42.28054193054178	0.1879824611145878
BA2814	42.45775692519901	0.1404256277107412
BA2511	43.14309877006726	0.1145245322603514
BA2720	43.36677119694078	0.06199850693479
BA2792	43.79211018690363	0.1792834471163342
BA2481	45.24202580176599	0.1736094095413613
BA2496	45.25937170899411	0.1783692775590445
