	KIT	IDH2
BA2392	8.48407580140491	9.29647098090766
BA2611	8.46430959418229	9.30906602396076
BA2506	8.46185834013681	9.29647098090766
BA2430	8.48906113697349	9.27569316532541
BA2448	8.46676516104844	9.29229417829056
BA2730	8.46922505155083	9.23491479941431
BA2845	8.53990253916599	9.2109276242084
BA2326	8.52702131941912	9.23089240757758
BA2341	8.54768703664719	9.25517667754352
BA2612	8.50160207030541	9.2109276242084
BA2973	8.53215993801742	9.22287720595147
BA2390	8.49657233882556	9.25517667754352
BA3218	8.48906113697349	9.21490111990201
BA3105	8.45209623715645	9.2429894144776
BA3402	8.44966638628301	9.22687989289351
BA3276	8.40194775982719	9.28397254525379
BA2409	6.89778124838191	6.82851443258156
BA3037	5.49725940478877	8.03722226484621
BA2496	5.51241676925768	8.28311530497155
BA2172	4.37272792121348	9.30485684547982
BA2865	8.38563253120242	7.78959302181462
BA2923	-1.83754692529431	7.82688083190866
BA2751	2.3627073872351	8.18796359837961
BA2480	5.00103650264355	8.39960495989321
BA2286	8.5872495962732	8.48158973981744
BA2922	9.77539354132974	8.46430959418229
BA2452	9.0271917203024	9.09230819306279
BA3379	8.66689198102969	8.50160207030541
BA2887	8.0301567645062	8.79635277497105
BA2712	0.402949581289092	8.63894476137773
BA2068	6.7421473941764	8.32228693534529
BA2236	8.09435501163422	8.19211577067672
BA2104	0.598455727053896	7.5725144548201
BA3124	6.29048213777498	7.54733361982974
BA3395	6.84399982384708	8.40664550150058
BA2921	9.60422004710875	8.8525926437112
BA2449	6.87788091401863	9.26335235036244
BA2003	5.06527754778608	7.84883391972247
BA2360	7.94635895319707	9.07761127342397
BA2802	9.09230819306279	8.34007975821985
BA2235	8.0044307958278	7.79956921933088
BA2858	6.02698748997862	8.67537853618004
BA3038	7.71347289714959	7.93502206043898
BA3006	5.2871864159011	8.15090969693391
BA2245	9.85077214115986	8.58992566833602
BA2667	8.75396729152058	8.40664550150058
BA2239	5.0610421966443	7.47952389617521
BA2782	5.3063518272781	7.29077391107671
BA2649	6.45042558800672	8.78108213178214
BA2488	7.52428329559334	7.92699657991781
BA2861	7.79956921933088	8.59798330037588
BA2909	6.47866220517702	7.35673455123978
BA2429	6.57560815980456	7.43426786956565
BA2653	0.779913057719338	8.88978486658959
BA2134	6.16187946786899	7.41497012248878
BA2947	6.64131489127646	8.22627943224245
BA2032	6.53646349390772	7.75510135803604
BA2162	8.27031665707811	7.46474071975909
BA2564	6.76240903317338	8.24301678047805
BA2597	5.54658259376352	7.85205086731265
BA3243	7.38062061343463	7.96905854853838
BA2106	7.77713213848426	8.44481942009045
BA2427	5.71100608100859	7.99413751864958
BA2841	6.71667600372627	9.26745559419095
BA2446	2.69090003434147	8.52190108216259
BA2645	10.0958725482412	9.14481502348153
BA2525	4.05402094746754	6.8791208631907
BA2876	6.00881830211778	7.46260985261637
BA2357	5.46954197713849	8.73910632748104
BA2546	6.5518017021576	8.06706072393759
BA2742	3.1321279031107	7.80094268898657
BA2316	3.27431420538309	8.04414638908848
BA2421	1.76094876809065	8.03197078783115
BA2087	8.58375614592974	8.4934060566155
BA2910	7.45571345371651	8.50664971851981
BA2148	7.71472395965624	7.08821062221174
BA2063	2.4375086335962	6.611693175134
BA2329	6.61117532741348	8.0095286113404
BA3178	6.71780036034788	8.03550248502968
BA2072	7.31397253852267	8.53215993801742
BA3029	6.52375465899181	7.69921272259806
BA2733	7.2371970090631	8.22650342209935
BA2995	5.70643173596218	8.41846114844672
BA2069	4.07958610816328	8.65565049707964
BA2100	5.76256437697443	7.63755645913212
BA2681	6.69356109841864	8.51679913189176
BA2248	5.93163668749835	8.30473182450184
BA2832	7.30411511402805	8.3695120975799
BA2308	7.60989112051761	8.26607857536642
BA2413	7.69420627031986	8.32449794408229
BA2701	6.3314194986068	7.60395254604328
BA2634	6.86903485569995	7.81249915728454
BA2677	6.69580577134555	8.27670009201677
BA2937	7.32489473499785	8.23061160269424
BA2600	5.59027419096801	8.16254296358662
BA2019	-0.780448523359928	8.7332018546727
BA2412	5.79950973684786	7.24218373520164
BA2334	4.93436696034119	8.12230223339654
BA2050	6.1180523945273	8.72731998420373
BA3230	6.93827202821145	8.51934782702254
BA2953	6.81086164089737	9.03786515454843
BA2481	5.46628439479905	8.41135949860071
BA2731	6.4137172012398	7.72809482559201
BA2294	8.904319577833	8.69249597847146
BA2418	5.42857060288721	7.83704881770087
BA2816	5.36072833704901	8.27244095196937
BA2656	3.65263152336696	8.50412364911741
BA2814	4.23701647161103	8.7332018546727
BA2631	7.37396310701658	8.03722226484621
BA2023	-0.425828695317915	7.84567146798846
BA2375	7.47830743039593	7.84127876561754
BA2485	7.17116786854616	8.52886682883828
BA2455	0.213349457050806	7.18644077892568
BA2025	5.99479766689368	8.672544374331
BA2636	6.64186594668035	8.25554427681065
BA2325	4.27232629182903	7.05796014084047
