	SMC1A	TP53
BA2735	4.31814348968572	4.91685437213902
BA2908	4.37967727663567	7.22867709025789
BA3214	4.40728719351658	5.28038295813947
BA2645	4.46192339880986	4.47755440955033
BA2856	4.67353963648755	4.89451135230491
BA2705	4.69364567233787	5.01042178805716
BA3145	4.76145184642672	5.06527754778608
BA3153	4.79136581218229	4.74113609559812
BA3249	4.838289154604	5.51912136607038
BA2003	4.86847515739846	5.09857876696561
BA2526	4.92805421347384	5.85300580466056
BA3433	4.99665147897099	4.88780360986739
BA2852	4.99811985636614	4.49309800823268
BA2694	5.01358911563759	5.24967382044831
BA3418	5.03714178615516	5.61064071002875
BA3190	5.04068213537324	4.91158461915654
BA3109	5.04621645682115	4.1393823864995
BA2379	5.09007782361131	4.70101175635619
BA2567	5.09892293720879	4.61468245344628
BA2269	5.10142924510394	4.41901213347142
BA3325	5.11604418341834	4.95195453348281
BA2902	5.12420512973416	5.4000323249
BA3273	5.1308809152012	2.90245258168608
BA3452	5.13692147172974	4.62499001767521
BA2701	5.13768843009096	4.6377523259586
BA3431	5.16389532747044	4.44371751516999
BA2469	5.1670870054947	3.65217826413879
BA2589	5.17241204196236	5.1329891862807
BA2209	5.17629556050641	4.57620385088589
BA2924	5.18127720949108	5.05963791860408
BA2032	5.18440522570466	5.6834289695156
BA2843	5.19161041350932	4.89378286978426
BA2995	5.19699117865598	5.64653817010519
BA2876	5.19768575459355	4.87307091837154
BA3185	5.22210266268897	4.91193698649749
BA3399	5.22996636193318	4.65440830398242
BA2421	5.2450731397095	5.73053658482108
BA2100	5.25074673390293	4.13049769125671
BA2169	5.25497927017155	5.15597615770657
BA2148	5.27359380468175	4.5255236296775
BA2463	5.27794535688906	5.50353774574014
BA3142	5.28293318880112	6.02819468374248
BA2063	5.28503368668829	5.23357427325263
BA3203	5.28574757840294	1.68790567529799
BA2971	5.28753823686253	4.61929846930604
BA2921	5.29014927757584	5.26066257347525
BA2538	5.29082273845723	5.06527754778608
BA3289	5.3034642652041	5.33938509366527
BA2053	5.31902852847325	5.62530338833762
BA2011	5.31976332499236	4.74322903691124
BA2051	5.32198845078755	3.74222249554182
BA3037	5.33503178066884	4.29267969728308
BA2603	5.33721885584615	6.97110220501606
BA3422	5.34118303710199	5.38079659978033
BA2248	5.34794466566604	5.35925920402751
BA2903	5.35378122072143	3.22599710926517
BA3269	5.3588856376779	4.06243283557816
BA2839	5.37601760770264	4.57050598081279
BA3128	5.38767549004293	5.38876952657644
BA2842	5.4113491881704	4.35426803475998
BA2218	5.41354619085544	5.08617132532278
BA3400	5.41572672514552	5.36867301215282
BA2413	5.4219819546052	5.4113491881704
BA3283	5.43005944446936	4.76674888665219
BA3180	5.43621855884092	5.2381836725971
BA3306	5.43769371500229	5.91637612602088
BA3260	5.45930289861008	4.89661464748925
BA2302	5.46037170982955	4.46338478207428
BA3335	5.46037170982955	4.798374704262
BA2505	5.46628439479905	6.06427837502978
BA2423	5.48023322260474	5.05998896160971
BA2905	5.48539345466374	5.49361387353109
BA2879	5.490635893289	4.0915518275327
BA2520	5.4921500734543	5.86536301251181
BA2836	5.49584884893938	4.58619939617121
BA3445	5.49981147623839	5.31432060422587
BA2656	5.52135062216325	6.23081198982986
BA2723	5.5268548517384	3.80561258862819
BA3149	5.52840068494334	4.70453081211341
BA3341	5.54913879758469	3.94932461697197
BA3174	5.56667961076671	4.44043021773744
BA2593	5.57639860004421	6.6263105848456
BA3011	5.58529928737232	5.49620333322403
BA2670	5.58529928737232	5.49867482524586
BA3277	5.58646194769947	4.94911331401403
BA3029	5.60042800463674	4.51543236159046
BA2634	5.60693430911561	5.89802625126527
BA3162	5.60693430911561	5.2256777958467
BA3280	5.61064071002875	4.92485987316059
BA3380	5.6154952630376	5.39458251066191
BA2855	5.62868512576849	4.90535576746464
BA2308	5.6518040676881	6.1346163312472
BA2456	5.6533576160666	5.43733644220612
BA2883	5.65372634921578	4.43894159347348
BA2046	5.65751126924784	5.08690717420201
BA3390	5.6705066725732	5.34118303710199
BA2808	5.67583098043324	0.227105256821812
