	SRSF2	DNMT3A
BA2392	9.83892848550566	6.55027156269161
BA2611	9.86270964606403	6.42139457326444
BA2506	9.83892848550566	6.38837422038712
BA2430	9.85672905613112	6.42233932973963
BA2448	9.85672905613112	6.36982886713941
BA2730	9.83304132704525	6.4369045674542
BA2845	9.8991027074875	6.55451548155805
BA2326	9.87474271994728	6.59041781660964
BA2341	9.93012293296997	6.54307132156237
BA2612	9.90525526471174	6.57247167015578
BA2973	9.93012293296997	6.54150806703429
BA2390	9.92386690563917	6.56633757408764
BA3218	9.89297540900361	6.52170608095191
BA3105	9.95541459791256	6.40170617544637
BA3402	10.0007468429699	6.40737616847402
BA3276	9.98114720830101	6.46333894051768
BA2409	8.41135949860071	4.92558404139259
BA3037	8.23061160269424	4.90640898586377
BA2496	8.84307877151568	5.03856627298611
BA2172	8.71271331389775	5.90037022570554
BA2865	9.22287720595147	6.44802101478473
BA2923	7.64511152399424	5.58458887284863
BA2751	9.50293364970638	5.98996157877142
BA2480	8.73025810259064	5.89765135115317
BA2286	8.92083445647999	5.42089748568897
BA2922	9.3217592552912	6.6639864599992
BA2452	9.82133532639013	5.90353378741165
BA3379	9.46372381175102	6.22675882110798
BA2887	9.13342062895717	6.29652207810065
BA2712	9.39118419839355	4.84562521936661
BA2068	10.6289390647318	5.85144934754927
BA2236	9.22287720595147	5.92513526908082
BA2104	7.64511152399424	4.27532548252001
BA3124	9.38234175781362	6.23033780733241
BA3395	9.09970659968869	4.90361056525495
BA2921	9.54945587390153	5.99605530428902
BA2449	8.60608533344799	5.3715755453953
BA2003	9.75293118746352	5.33364015180298
BA2360	9.42251934116338	6.90753952267277
BA2802	9.53969913371194	6.43335604753767
BA2235	8.93082572022568	4.92771047103252
BA2858	9.30906602396076	4.35648958622004
BA3038	8.60879594020241	5.29082273845723
BA3006	9.64008823387741	5.99970534098919
BA2245	9.49651930986164	6.01005588113279
BA2667	8.95438322249582	6.36134230536283
BA2239	8.66407371953991	5.21813047946163
BA2782	8.89122942781574	5.27325382286629
BA2649	9.61438474364243	5.99890598903284
BA2488	8.90103696609653	5.55888193371954
BA2861	9.17948259034573	6.61117532741348
BA2909	8.79205235357759	6.01784200578308
BA2429	8.99222936727265	5.69757983119209
BA2653	9.26099325755712	5.46484401503758
BA2134	8.46430959418229	4.6827458552578
BA2947	9.415200229547	6.7903869995291
BA2032	8.73910632748104	6.13853683580785
BA2162	9.18338030789918	6.25945312566298
BA2564	8.9076089453561	5.50870400018428
BA2597	9.50768698561149	5.76760186750385
BA3243	9.04501990946176	5.43042530271375
BA2106	9.17171491689544	5.67317843136018
BA2427	9.16398396797258	5.48059363504872
BA2841	9.67679810675791	5.45711106423954
BA2446	9.47302564786274	4.90083067720818
BA2645	9.12586826213153	6.82793872143045
