	NPM1	JAK2
BA2392	9.6874475749889	5.49361387353109
BA2611	9.60929418124753	5.38803577864658
BA2506	9.61949185438657	5.45268870343212
BA2430	9.61949185438657	5.33137556428865
BA2448	9.61438474364243	5.40295228642976
BA2730	9.62461563502098	5.32810180055979
BA2845	9.57909169555586	5.53865932247819
BA2326	9.58408544068247	5.57154615906059
BA2341	9.58909503454725	5.50315192004078
BA2612	9.55927298456459	5.55285643961997
BA2973	9.56915130536806	5.56556160430555
BA2390	9.55927298456459	5.55851041668359
BA3218	9.56420444046175	5.53130217583918
BA3105	9.53000194332933	5.4227029621497
BA3402	9.53484314535953	5.41320005218039
BA3276	9.51556606369543	5.38841032189554
BA2409	7.88494695067266	6.77486042127373
BA3037	9.1755941413251	5.10315757075363
BA2496	8.3156761580726	6.85394237356265
BA2172	9.2592593958878	5.3789226513503
BA2865	9.53484314535953	5.63859875243939
BA2923	6.98208266015901	6.61867340597626
BA2751	9.13897207935234	6.87847286019697
BA2480	8.38563253120242	5.85615861273504
BA2286	9.51078302100883	5.89203625853857
BA2922	9.78674968596522	5.28398914288075
BA2452	9.33027676031699	4.76109238764645
BA3379	9.31328611186612	5.99561264597437
BA2887	9.06304565250042	5.77451233227095
BA2712	7.82549928808227	6.63861770845571
BA2068	8.67821802831458	5.80651617633479
BA2236	8.75995195431454	6.413222743052
BA2104	6.91599118004167	7.62437772428186
BA3124	8.84307877151568	5.53130217583918
BA3395	8.58457840504288	6.78550767222755
BA2921	9.00605305286098	6.13119942059496
BA2449	9.52036350053221	5.1308809152012
BA2003	9.04501990946176	5.81122081776697
BA2360	9.4000752436972	6.19646958807837
BA2802	7.15633759792086	6.27289277243206
BA2235	8.83362186336888	6.50297201387594
BA2858	8.91420804405317	6.30978800081562
BA3038	7.73462168625585	7.61949698331246
BA3006	9.15245565249128	6.23620830247888
BA2245	9.0307417478067	6.33826437905032
BA2667	9.13720994130471	7.12738803665014
BA2239	8.17428733914348	7.66988409314176
BA2782	7.59101188148724	7.34547705030654
BA2649	9.2429894144776	5.21007881246748
BA2488	7.91111348596979	6.41031606152443
BA2861	9.11460476788528	6.39121229400113
BA2909	7.83704881770087	6.7928687930301
BA2429	8.66493693752935	6.23033780733241
BA2653	8.41556616709075	5.9361114629243
BA2134	8.30037965468589	7.35957852119331
BA2947	9.91920628125652	5.76994542170869
BA2032	9.3735473533766	4.86639351070548
BA2162	8.85577669200061	6.83661488155882
BA2564	8.74800571415782	7.02768073602554
BA2597	8.13547459853116	6.04401665671066
BA3243	8.84307877151568	7.08297551023298
BA2106	9.54945587390153	5.75339715282444
BA2427	8.91090509269608	6.1281715906941
BA2841	9.13342062895717	5.4943411471575
BA2446	8.33784249776874	6.57407550686427
BA2645	8.42798766039968	6.01784200578308
BA2525	8.34456564828853	4.84004894658634
BA2876	8.61151153389318	5.68494283424888
BA2357	8.95777690896205	6.01704720263967
BA2546	8.0301567645062	6.43542748974206
BA2742	7.87584460904621	6.59148541753236
BA2316	8.22855584188171	6.52270916866473
BA2421	8.28526081080175	6.39453514704598
BA2087	9.10147698629206	6.63486341869675
BA2910	9.22287720595147	5.74782936628199
BA2148	7.95609226155088	5.13585150348145
BA2063	8.34232080533324	4.89696755761679
