	NPM1	JAK2
BA2329	8.3972661940189	6.65295694076347
BA3178	8.76897254396233	6.732801148639
BA2072	8.41135949860071	7.19225834495813
BA3029	8.78717245605116	5.07445877032658
BA2733	8.96458579397726	6.66177361256097
BA2995	8.45209623715645	6.83029032072815
BA2069	8.46185834013681	6.76957967246072
BA2100	8.70690950167434	5.66204443579784
BA2681	9.52517542791568	6.27064006981264
BA2248	9.19906475607931	5.21778173093654
BA2832	8.18813169577028	6.1188645712048
BA2308	9.48708042008341	5.84234806468241
BA2413	9.4045391740165	5.70836568128015
BA2701	8.7361512573159	6.81329812446179
BA2634	8.22240857358487	7.09119041085949
BA2677	8.79635277497105	6.46380824438958
BA2937	8.25344779136567	6.60315866621686
BA2600	9.2429894144776	6.44128835620157
BA2019	8.12986534537924	6.81569990825769
BA2412	6.82309107200081	7.23470845982278
BA2334	8.94087956106744	6.41176296562855
BA2050	9.34744684153524	5.67279352334088
BA3230	8.78108213178214	6.45599883472476
BA2953	9.69817061599593	6.09980072152953
BA2481	8.58191208164573	6.43793151264448
BA2731	8.46185834013681	6.80425051325387
BA2294	9.25517667754352	6.26561634633026
BA2418	9.1410080593907	5.60693430911561
BA2816	9.14863087419242	6.84098754890722
BA2656	8.93082572022568	5.45378533976882
BA2814	7.63755645913212	6.51402356062823
BA2631	9.3561004357089	6.45945806358587
BA2023	8.3311533449718	7.27555120012057
BA2375	8.84941498844258	7.5032888272442
BA2485	8.78899864293157	5.88045550111629
BA2455	8.3156761580726	6.77486042127373
BA2025	8.56338303703764	6.47813803224063
BA2636	9.10713869224013	6.38888273500531
BA2325	7.29687122589928	6.63537899034447
BA2169	8.51934782702254	5.67695923349879
BA2156	9.48238177689826	5.69217660010952
BA2511	8.46430959418229	6.6963494054774
BA2939	9.41350421836705	6.03732004077161
BA2168	9.20300948929151	5.08188769059011
BA2505	9.09230819306279	6.97318609681243
BA2860	8.97485330936457	6.35352478320916
BA2707	9.12210512882866	6.50698545533974
BA2871	8.66689198102969	6.50103892537921
BA2655	9.36916799017741	5.63974092739285
BA2227	9.42251934116338	5.4168131671987
BA2125	7.76334677298606	6.48317228455133
BA2523	9.33455230246716	5.76686556527581
BA2603	8.99558616821901	6.41510646424492
BA2808	8.70112769787832	5.90396043152694
BA2282	7.26503778677364	6.91733301258099
BA2482	9.04501990946176	6.87718695252014
BA2812	8.81487669872437	5.97648507555777
BA2822	7.14998539597838	5.15597615770657
BA2594	8.42798766039968	6.59148541753236
BA2747	9.35176787188011	5.96305194548373
BA2561	9.09970659968869	6.18119276601149
BA2567	7.54085820588458	6.12432253652151
BA2906	8.80250309714617	6.56840033593867
BA2956	8.11104544817006	6.33555481831586
BA2474	9.08127310626888	6.35117266997331
BA2737	8.02685700006077	7.32309525533159
BA2110	7.71347289714959	7.58290428004672
BA2992	9.18338030789918	6.84776495812423
BA2220	9.00955709168753	5.64166399423883
BA2772	9.42251934116338	6.12385981288499
BA2935	8.55029123602985	6.90423057855148
BA2260	8.75098362594822	7.13121480456278
BA2676	8.7361512573159	6.02203823110219
BA2948	7.55189787670547	6.70639038824238
BA2524	9.2592593958878	6.14846279197281
BA2811	8.83676787171411	6.01912446509313
BA2540	8.86857724833819	6.43146976668751
BA2928	8.7214605815193	6.55763968463611
BA2302	9.38234175781362	5.77571318535643
BA2595	9.09230819306279	5.85542200416075
BA2792	8.66689198102969	6.19732726364109
BA2651	9.17948259034573	5.6655125977295
BA2619	7.88191833711993	6.34099882607851
BA3013	9.54457000922792	5.72866766844001
BA2405	9.64008823387741	5.87733009897837
BA2735	9.08494318011795	5.32629384115804
BA2856	7.56206988956539	5.75062167266173
BA2377	8.74389874448259	6.52938873500607
BA2499	9.66095938066438	6.15698094792798
BA2463	8.4179334910987	6.95017040445475
BA3023	9.17948259034573	5.26887133584046
BA2095	9.13342062895717	5.38803577864658
BA2901	8.51425498508966	6.20050527440426
BA2275	6.9401836518602	6.57560815980456
BA2387	8.68106286594684	6.4243136710677
BA2962	9.73079295605488	5.68039540990515
BA2195	8.69249597847146	6.38023120196824
BA2688	8.77262692606308	6.01664395833904
BA2787	6.35352478320916	7.63278489020753
BA2420	9.09970659968869	6.73527749858946
BA2756	9.56420444046175	5.20013137153335
BA2122	7.70840071464408	5.88327701539732
BA2053	9.16784487350203	5.5722787954592
BA2080	8.92748837970555	5.35965803846691
BA2081	9.00255657247606	6.6568137663596
BA2354	9.30238239860393	6.27784077147234
BA3273	7.24904224136933	5.09286972713313
BA2893	9.50601427714714	5.37965871348939
BA2044	8.43758065182973	6.82550917357801
BA2489	9.15628939970288	5.84150393894181
BA2309	9.05942450247106	6.96912043899967
BA2720	7.7605970351598	6.78739149461742
BA2908	9.83621907237271	5.76994542170869
BA2054	8.54508752883457	7.01917646703683
BA2872	8.00271116464237	6.80425051325387
BA2526	9.09600320401444	6.3282334089858
BA2041	9.02011485988608	5.25419658542836
BA2464	9.07395764638915	5.36035690673449
BA2902	8.82734862624236	5.75832214709053
BA2541	9.18338030789918	6.21584775215817
BA2143	7.22867709025789	6.34278372708773
BA2094	7.79956921933088	6.21976021821158
BA2769	8.904319577833	6.75309739437635
BA2843	8.88148184246882	5.89603275873882
BA2592	9.57909169555586	5.60348204059795
BA2497	8.09067732991193	6.22284672145603
BA2718	8.61151153389318	6.26203648745747
BA2575	7.3614587281193	7.37577438257785
BA2096	9.4000752436972	5.67695923349879
BA2593	10.3090915070605	6.19690129645258
BA2791	9.14481502348153	5.75793531082724
BA2620	8.61695773628636	6.92625028034322
BA2629	9.4000752436972	6.02456199069166
BA2870	9.26745559419095	5.45598777768521
BA2423	7.73861349646242	7.36910502551481
BA2682	9.14863087419242	6.23969161748368
BA2276	8.91090509269608	6.02937141783307
BA2348	7.52987979374564	6.82851443258156
BA2709	8.81177412986094	6.86903485569995
BA2789	9.36480042798147	5.99072677808467
BA2694	8.92748837970555	6.26338772089894
BA2538	8.40429460371975	5.79321150053106
BA2583	9.44070228005406	6.64247138255774
BA2415	7.67493502317828	7.09047728148948
BA2722	7.0623479587219	6.31022816211408
BA2806	9.01306871894599	5.72213373131707
BA2221	7.99413751864958	6.72582978047913
BA3025	9.2389471182711	5.87851415939896
BA2514	8.62153057515291	6.08490728340658
BA2520	9.08127310626888	5.56477795201106
BA2441	7.40108920011618	5.93816710389573
BA2153	9.57909169555586	6.22989744594561
BA2479	8.22832881693221	5.30597429477844
BA2281	9.01658796485945	5.42125052108752
BA2657	8.33560901482561	6.24956354515351
BA2932	9.12210512882866	5.53058601108242
BA2123	9.57909169555586	5.56596083132182
BA2844	9.22687989289351	6.23969161748368
BA2660	9.06304565250042	6.65069612456278
BA2836	8.74800571415782	6.24592732813786
BA3027	7.63041516939983	6.4243136710677
BA2714	8.89122942781574	6.71155130794723
BA2139	6.80299244523417	7.48490734822992
BA2251	8.32671267592458	6.21013178100069
BA2952	8.16254296358662	6.74039110508618
BA2440	8.39493145233583	6.35211013226828
BA2036	8.75695672842528	6.2787278602742
BA2828	8.09804401257278	6.99030175438279
BA2292	8.98173476670244	5.80891216118178
BA2410	9.34313727945847	5.65448355973944
BA2051	7.46363654414575	6.42575430557831
BA2532	7.45571345371651	5.66778894823137
BA2986	8.95099667095566	5.47397012091034
BA2494	8.39027400222105	5.70182427600488
BA2515	8.66407371953991	5.65599688789121
BA2748	9.33883912107995	6.1036718931718
BA2970	8.8589671548512	5.71100608100859
BA2622	8.65006116973985	6.79404595569359
BA2839	8.72438748273975	5.66361114365051
BA2052	9.10713869224013	6.08362235286883
BA3011	8.50277388292747	4.84562521936661
BA2868	9.00255657247606	6.22503632366675
BA2510	9.01658796485945	6.05237874936092
BA2065	9.20696376307392	6.06468755944282
BA2691	8.11104544817006	6.88299295533337
BA2374	8.21222936163239	5.79758031043752
BA2804	8.8879736022598	5.92833030401015
BA2670	7.93824432889201	6.12302701419306
BA2675	9.08494318011795	5.83602224066433
BA2589	8.38563253120242	5.43221485285193
BA2031	8.87824586229709	6.62521439483861
BA2198	9.39118419839355	6.20481541845022
BA2066	8.28097335559112	7.10006965724524
BA2344	9.57411368730524	6.01664395833904
BA2459	9.38404554334867	5.03358349696303
BA2229	8.53473617000875	5.68079307995248
BA2559	8.68391306436784	5.76218019652153
BA2093	9.23491479941431	5.28216189346069
BA2000	8.08701091285537	6.36792449266188
BA2425	8.47600328572046	6.80239867331755
BA2905	9.22687989289351	5.6590072041356
BA2304	7.16215175411855	6.82970946742006
BA2976	8.65285322774346	7.05796014084047
BA2386	9.09970659968869	5.84508987578304
BA2035	9.33455230246716	5.57338620444232
BA2760	8.29820901257083	6.54928934120065
BA2201	8.89776108628452	6.97450183109637
BA2355	8.59260663428802	5.39854887648757
BA2113	8.50026123971081	6.46286097671524
BA2155	8.99906762077278	5.6571193282783
BA2955	8.07971165578759	7.87120844454502
BA2502	8.05457002396872	7.16215175411855
BA2322	8.93082572022568	6.59785150913547
BA2376	6.97993778438247	7.550843282623
BA2020	9.15245565249128	6.2445717796939
BA2226	8.81487669872437	6.67894286315779
BA2200	9.30065851731011	5.67963455085071
BA2121	8.92748837970555	6.05279557201734
BA2944	9.90525526471174	6.18463805749781
BA2033	7.17761745050204	6.93558317816731
BA2867	8.66126072825912	5.83331901871842
BA2089	7.65513327960109	6.75887216800442
BA2224	8.38331776349613	6.32729837510952
BA2046	9.3217592552912	5.39854887648757
BA2972	9.160132157513	6.19690129645258
BA2978	7.85205086731265	7.11517726354172
BA2829	8.79635277497105	5.8395569214379
BA2851	8.5529001392332	5.91798611999628
BA2587	8.72438748273975	6.99925381802676
BA2461	7.94314055717551	6.78009238710876
BA2695	7.68652733200955	6.28139967131455
BA2623	9.57411368730524	6.6601420957489
BA2024	7.58759859001841	7.14221254704718
BA2426	8.88148184246882	6.82550917357801
BA2271	7.95452812467512	5.98054442725547
BA3004	8.57129520837751	5.66014078206684
BA2579	7.85633367820174	6.50248754607679
BA3010	9.00605305286098	6.71501245136813
BA2662	8.34232080533324	6.6897450758778
BA2674	9.15245565249128	6.4369045674542
BA2280	8.50160207030541	5.94221717949707
BA2512	6.81629782268832	7.0168789681798
BA2658	9.070312190258	6.92174677642902
BA2394	8.21222936163239	7.33890799019329
BA2950	9.49651930986164	6.31205444786469
BA2981	8.63894476137773	5.69992958447881
BA2934	7.22625304922136	6.09808877325888
BA2539	7.8925772722697	6.90423057855148
BA2249	8.63894476137773	6.62086223855277
BA2034	8.94268168369866	6.09980072152953
BA2109	7.61245153291675	6.45249909303564
BA2242	8.12041880838799	6.29606229973496
BA2277	8.68676863894814	7.01759724929549
BA2727	9.83304132704525	5.64425897367774
BA2132	8.672544374331	6.48655837104488
BA2618	8.61151153389318	6.74612605168156
BA2521	8.672544374331	6.436391484782
BA2846	9.1755941413251	6.18549348202673
BA2885	8.02142525655183	6.87847286019697
BA2639	9.04860912314158	6.60634523087502
BA2775	8.84941498844258	6.26652649814407
BA2402	9.26335235036244	6.19966591698805
BA2097	9.44070228005406	6.00680494194609
BA2786	9.34313727945847	6.03523832777957
BA2399	9.44070228005406	5.37564857832482
BA2850	8.91090509269608	5.77107077621508
BA2174	8.34232080533324	7.42825345365406
BA2004	7.48933909555342	6.67837784799198
BA3001	9.69817061599593	5.92959760650397
BA2311	7.93028682049466	7.71215406681609
BA2483	8.48343527695382	6.50103892537921
BA3040	9.00605305286098	6.21630928183059
BA2837	9.37793858616158	6.25896920678185
BA2724	8.5607551950315	6.42672024198766
BA2911	9.35176787188011	6.14800492227439
BA2256	9.43613726309062	5.26850269480577
BA2821	9.69817061599593	5.98627491229184
BA2233	9.19906475607931	5.92432462638165
BA2744	9.34313727945847	5.77808284388984
BA2880	8.34906675857089	6.60743103833352
BA2621	8.28097335559112	7.31665510949842
BA3002	8.42744390017979	6.6897450758778
BA2501	8.48407580140491	5.83716487793583
BA2993	8.84624370479657	5.98835302463094
BA2301	8.06147774301482	6.76898394569665
BA2852	8.29820901257083	5.6765932151773
BA2133	7.83554388846121	6.49504433110095
BA2866	9.19906475607931	6.10747462593212
BA2212	9.33455230246716	5.90436368867117
BA2685	9.39562360946183	5.4219819546052
BA2273	8.83362186336888	5.97440821051446
BA2477	9.29229417829056	6.12637853560869
BA2659	8.45453034732936	6.76359470107912
BA2124	9.49819442110274	5.76568700898176
BA2363	8.84941498844258	7.22705513643141
BA2369	8.79328666582968	6.55763968463611
BA2534	9.0271917203024	5.81482124558208
BA2400	9.46836798648192	6.44802101478473
BA2762	8.96117775713075	5.94139776988852
BA2312	8.79635277497105	6.76594892950594
BA2813	9.54457000922792	5.32629384115804
BA2211	9.17734760232419	5.4113491881704
BA2171	9.17171491689544	5.69370906216796
BA2746	7.89401548128851	7.10612705087253
BA2798	9.67679810675791	6.39121229400113
BA2809	9.1872873383188	6.49897356885038
BA2288	8.55505298542423	5.77182174756257
BA2801	8.32449794408229	6.84596201012783
BA3030	8.66873090783595	6.50904089235684
BA2588	9.44070228005406	6.30142372411484
BA2296	9.28397254525379	6.14630933784289
BA2300	8.69249597847146	5.65258967329686
BA2903	6.47376016789819	7.65022254150033
BA2473	9.13518361120238	5.28216189346069
BA2545	8.25764420926654	6.72757025712009
BA2840	8.5971359914493	6.34783039381028
BA2528	9.14863087419242	6.11717160296269
BA2646	8.84941498844258	5.68685508446053
BA3407	8.40429460371975	5.35378122072143
BA2240	8.25554427681065	6.00800870736247
BA2926	9.48238177689826	6.21887740590051
BA2272	8.26607857536642	7.55754763062472
BA2306	8.87501645157825	6.53495824677914
BA2765	7.08068398565122	7.09710413510838
BA2904	8.52958832512444	7.33618294917006
BA2883	9.05581138653334	6.42479012495369
BA2726	6.49846429425474	6.16739291737488
BA2234	7.19816924570359	6.55863333147361
BA2022	8.91751782379931	5.46734103839207
BA2228	8.48906113697349	5.616270357549
BA2037	9.49651930986164	5.95316910567884
BA2184	9.2592593958878	5.98343537244457
BA3009	9.06304565250042	5.97812067314416
BA2842	7.37484847247432	5.97321758321267
BA2442	8.86536741111737	6.0158165147387
BA2882	7.69790613813162	7.49256176412129
BA2758	8.01121552663761	6.92369940347749
BA2705	8.4594113881339	6.33191637769617
BA2663	7.58640399756741	7.21542521128511
BA2570	9.070312190258	5.69757983119209
BA2764	7.86519796261888	5.95600036566632
BA2209	8.23267071257109	6.03612422779332
BA2989	8.87824586229709	5.34151860321391
BA2855	7.70582137825133	5.55474564087748
BA2261	7.49565796423242	6.389795387917
BA2721	8.41608983118813	6.68298551627202
BA2930	7.75371580805874	7.03196402344294
BA2728	7.74132890165977	7.20712924024302
BA2715	7.71215406681609	5.88248029384315
BA2469	7.96260346447077	5.83678289113702
BA2269	7.15633759792086	6.33826437905032
BA2098	8.09251475928632	6.22462023570249
BA2778	6.98621603600523	6.91326402535282
BA2951	9.78674968596522	6.3764431266369
BA2163	7.09568366825665	6.20697852343694
BA2379	7.31397253852267	6.10703701818297
BA2817	7.86671215518685	5.77331420543403
BA3153	7.92699657991781	5.82076176816399
BA2820	8.20414503388581	6.92174677642902
BA2723	8.22445433533228	5.35814543619648
BA2704	9.23491479941431	5.33791952921801
BA2088	8.3972661940189	5.7725785925433
BA2116	6.78491577385659	6.69408720379773
BA2584	7.87430709609213	7.16876088952225
BA3079	8.24717893447311	6.94421494122577
BA2417	8.47910806756512	6.33280116885594
BA2361	8.09067732991193	6.49454808629482
BA2450	8.75995195431454	5.88961440143981
BA2492	7.35202275514424	5.94641278080618
BA2552	9.4270458724936	5.43258320293738
BA2472	8.04060780611373	5.63243748418652
BA2994	9.04501990946176	5.70032456019922
BA2047	8.54249270039127	6.04647904010288
BA2101	8.5117153749805	6.49406704275497
BA2082	8.97829037472744	6.34457703412125
BA2879	7.48057619109315	6.04401665671066
BA2577	9.4000752436972	5.91437229465113
BA2456	8.22445433533228	5.88085174617523
BA2175	6.84399982384708	6.57670086749662
BA2824	8.58457840504288	5.46520959762875
BA2507	9.15245565249128	6.0921968661524
BA2563	9.21888429779212	5.31682531575163
BA2244	8.44966638628301	7.27898774790875
BA2470	8.66407371953991	5.95983280142242
BA2984	8.74503353869987	6.17686048502122
BA2414	9.11835064360706	5.87965665517008
BA2697	7.00782899353321	7.51191595859432
BA2079	6.63915578339387	7.24647814947882
BA2999	8.59529250724368	6.44128835620157
BA2644	8.30909856685695	7.44741351807287
BA2011	8.00619097456886	6.90096747490557
BA2217	9.35176787188011	5.80299550783759
BA2454	9.13720994130471	6.4417602152858
BA2776	9.1872873383188	4.99354110892251
BA2218	9.47302564786274	5.25497927017155
BA2135	9.53000194332933	6.1167480511433
BA2914	7.96905854853838	6.78194925141946
BA2500	7.68775219309565	5.93735639042332
BA2830	9.79819104218496	6.11847233502019
BA2406	8.13176351189552	6.45648309857568
BA3108	9.44528028465592	5.57935496877716
BA2924	8.76595984417136	5.77728199716427
BA2303	7.93352218493006	7.25611345915688
BA2160	8.82110029202306	6.50152491798344
BA2038	8.40194775982719	4.74673296350921
BA2602	8.32893113987774	5.04444275985059
BA2964	7.878761730409	5.48241842021019
BA2898	7.94635895319707	6.59418114772064
BA3003	7.88191833711993	6.22945844028102
BA2111	8.01457218763256	6.20697852343694
BA2827	8.18020169656618	6.5851771545889
BA2912	8.18217944661747	5.9785222997962
BA2437	8.21832699326225	6.14502031934272
BA2283	7.92868137841977	6.52630500155159
BA2057	7.89563066633541	6.27158031478995
BA2633	8.3603866090308	6.13853683580785
BA3034	7.97720455656684	6.28908084563445
BA2607	8.18813169577028	6.24819820835326
BA2761	8.40194775982719	6.11161537904966
BA2795	8.00271116464237	6.49248354368901
BA2182	8.19411260375688	6.29410623448101
BA2152	7.89401548128851	6.41274177487418
BA2381	9.55927298456459	5.57747658361311
BA2931	8.34456564828853	6.31115381839613
BA2040	7.72277870826456	6.68810200399149
BA2590	9.34744684153524	5.23746872667208
BA3195	9.4045391740165	6.54096638153352
BA2516	9.40177461105289	5.98386136715206
BA2353	9.62461563502098	6.25534556152395
BA3036	9.44070228005406	6.03732004077161
BA2971	8.05801802157941	6.98137959105818
BA3410	7.99739906746641	6.71325528813671
BA3118	8.8525926437112	6.58253832351054
BA3206	9.09600320401444	6.10662293034719
BA3202	8.84307877151568	6.08794135772437
BA3217	9.33455230246716	6.0072209431505
BA3405	7.61245153291675	7.62806217739621
BA3306	9.27982760161886	5.22065849428954
BA3371	8.91420804405317	5.53534040119425
BA3413	9.33027676031699	5.96585962161822
BA3411	8.88148184246882	6.13165710493441
BA3133	7.55977224878375	6.17121351437265
BA3164	8.77804587995587	5.25926318349682
BA3451	7.44242521067177	7.19903013947942
BA3286	8.50412364911741	6.68698956921182
BA3212	7.50105244518025	6.05912302323741
BA3103	8.7420670822246	5.70986425222156
BA3271	8.92748837970555	6.70809549173072
BA3152	7.13359161213086	7.00853195755675
BA3095	8.61695773628636	5.50942414006277
BA3192	9.4000752436972	4.88537399325768
BA3251	8.7420670822246	6.09345357181028
BA3362	7.81686981561798	6.12385981288499
BA3400	8.15477520582082	5.63782453216305
BA3135	9.25517667754352	5.72328663310628
BA3408	8.42321613548815	6.15187477635529
BA3187	8.65006116973985	6.65737778697747
BA3098	8.77804587995587	7.34547705030654
BA3435	9.4000752436972	6.32729837510952
BA3261	9.06667487040862	6.16141096550525
BA3203	7.19738153999511	6.56532526138634
BA3174	7.89563066633541	6.33002794213348
BA3317	9.90525526471174	5.33173488154361
BA3299	8.268195867683	6.01623506432676
BA3221	7.54085820588458	7.01200936090574
BA3347	7.9003747386446	6.29137386576201
BA3235	6.9965338713589	7.62320575204897
BA3126	7.65148276489013	6.51657057172327
BA3380	9.05220627117217	5.98180577093432
BA3089	9.4917929010063	6.16824009925269
BA3109	7.91267481802265	6.4204445396971
BA3114	8.27456876079558	6.5272776299756
BA3418	9.1755941413251	5.87139334737162
BA3245	6.72876764999848	5.67089201714434
BA3085	9.2109276242084	6.00513768153823
BA3128	9.4045391740165	5.55924075077695
BA3423	9.59916222255831	5.35265544520885
BA3173	9.26335235036244	5.83602224066433
BA3171	7.55754763062472	7.23310611857777
BA3277	8.79022656584331	5.73207630464099
BA3210	8.24301678047805	5.60803848500502
BA3157	10.1099887487995	5.50353774574014
BA3433	8.7214605815193	5.53426887614694
BA3322	8.25554427681065	5.72941496772039
BA3374	8.92415796681604	6.98137959105818
BA3450	8.63894476137773	5.63398998851589
BA3167	9.04501990946176	6.40549948389557
BA3269	7.80392510487274	6.22719727634407
BA3110	9.20870997646767	5.83640380634386
BA3156	9.73079295605488	5.73627139725326
BA3226	9.55927298456459	5.81122081776697
BA3421	8.25344779136567	6.33963983784712
BA3232	9.03786515454843	6.1188645712048
BA3289	7.61833712147791	5.80028394350004
BA3430	7.74666982029682	6.15059869214172
BA3145	8.61695773628636	6.08192723673296
BA3399	7.84567146798846	6.24592732813786
BA3449	9.45447558148811	6.13249003882685
BA3384	8.824221356442	6.26972531039322
BA3427	7.21134659078952	6.65242333740906
BA3163	7.08148396341999	6.801788717217
BA3158	9.2592593958878	6.37031994316104
BA3436	9.67679810675791	6.37595873118392
BA3154	7.76749698582267	4.79068369995582
BA3162	8.60337970015667	6.4338606092369
BA3352	9.67313133431446	5.15632938242022
BA3084	8.78717245605116	5.90720734250747
BA3149	7.8210975174081	5.79160717030847
BA3169	8.24301678047805	6.55863333147361
BA3180	9.11460476788528	5.58682786591739
BA3255	8.64449262965366	6.19299832162761
BA3438	9.3735473533766	5.77488348222962
BA3345	7.67751428719864	7.42928783450574
BA3403	8.41372261793503	6.95411223232461
BA3431	7.86519796261888	6.43046914091516
BA3181	8.39960495989321	6.95085389521077
BA3341	7.99413751864958	5.52461336373262
BA3191	8.36494157515656	7.17275321082541
BA3197	8.97829037472744	5.90799934087277
BA3448	9.08494318011795	5.93982972127244
BA3453	8.80867768640892	5.51950702685712
BA3406	8.79635277497105	6.50649211862862
BA3308	9.38675693832204	6.3129901827468
BA3186	8.48399844841995	6.61224021519215
BA3334	8.7214605815193	6.14235074085009
BA3447	9.60422004710875	6.52120608932454
BA3116	8.70401585675217	5.69566002369261
BA3280	9.25110414260315	5.52576079897821
BA3185	8.5373170330564	6.70422977407013
BA3094	8.59798330037588	7.2588778562729
BA3318	8.47663077360064	5.46337307822737
BA3216	8.8879736022598	6.2171644897831
BA3332	9.36916799017741	5.91677233397116
BA3214	9.51245452204643	5.21114894759575
BA3099	8.8717935877338	6.0506842235686
BA3141	9.43158515365849	5.41282200225543
BA3373	8.78108213178214	5.43585497001994
BA3319	7.51413414557592	7.67493502317828
BA3328	8.07971165578759	6.41128456721012
BA3339	8.07425460403884	5.94431286144935
BA3240	8.97485330936457	6.67612658139253
BA3142	8.62516478231551	6.22807535432375
BA3333	8.98864564355709	6.1058059803294
BA3381	8.18217944661747	6.79813530726845
BA3290	8.25344779136567	6.64358377452482
BA3207	7.11965805588277	7.25008508374438
BA3296	7.05061628699762	6.64131489127646
BA3305	8.59260663428802	6.39359148087619
BA3434	9.18338030789918	6.57613558769718
BA3189	8.87824586229709	6.38261014012489
BA3264	8.69536777456055	6.10872354813756
BA3329	9.45616130594571	5.74548824228958
BA3417	8.57925061313916	6.45750445904916
BA3367	7.38257507273258	6.55131094202148
BA3225	6.41555515164963	7.32583087724775
BA3183	8.88148184246882	5.89960125866496
BA3222	8.70401585675217	7.08368088883067
BA3139	7.46894970580743	6.23394092312001
BA3397	6.732801148639	6.04113685727626
BA3311	7.04704814373678	7.11661408634118
BA3422	9.02011485988608	5.37638785070633
BA3228	8.92415796681604	6.41993290039897
BA3213	8.62516478231551	6.97450183109637
BA3270	8.31787605128572	6.92174677642902
BA3415	7.56784611916855	6.40025463094879
BA3324	8.5607551950315	6.11161537904966
BA3194	8.68106286594684	6.47764595644109
BA3335	8.19211577067672	5.66090400314826
BA3199	9.4000752436972	5.74510782456024
BA3326	8.22036612888066	6.47182200391892
BA3285	7.61362919863888	6.26972531039322
BA3297	8.05288390011611	6.7037023558772
BA3227	8.79022656584331	5.38984631837511
BA3394	9.39118419839355	6.33780634376445
BA3412	7.81249915728454	6.54307132156237
BA3293	8.85123237146193	4.64271832053246
BA3250	7.96260346447077	7.54733361982974
BA3177	8.77199110438686	6.75483486169623
BA3315	8.34906675857089	5.49981147623839
BA3182	7.94936162159169	7.41795204933222
BA3260	7.42825345365406	6.46333894051768
BA3369	8.66407371953991	7.43037850226792
BA3078	8.96297616127633	7.10612705087253
BA3386	8.89776108628452	5.62490937512472
BA3445	8.25135474465914	6.16524477136675
BA3452	8.77199110438686	6.89180239315318
BA3176	9.21490111990201	5.99436956978052
BA3258	7.18983138735934	7.53867754134672
BA3295	8.05972702484149	7.05570452227078
