	EZH2	IDH2
BA2392	7.01271335596315	9.29647098090766
BA2611	7.0420285397911	9.30906602396076
BA2506	6.97592290315855	9.29647098090766
BA2430	7.02554920178684	9.27569316532541
BA2448	7.02415111976065	9.29229417829056
BA2730	7.05061628699762	9.23491479941431
BA2845	7.08068398565122	9.2109276242084
BA2326	7.1045805500083	9.23089240757758
BA2341	7.1045805500083	9.25517667754352
BA2612	7.15481965297646	9.2109276242084
BA2973	7.08068398565122	9.22287720595147
BA2390	7.10235206017353	9.25517667754352
BA3218	7.11362489243587	9.21490111990201
BA3105	6.97176870633362	9.2429894144776
BA3402	7.04058248557274	9.22687989289351
BA3276	6.95344802847081	9.28397254525379
BA2409	4.1237457502688	6.82851443258156
BA3037	5.40039592941304	8.03722226484621
BA2496	5.43115262897872	8.28311530497155
BA2172	4.70731608736247	9.30485684547982
BA2865	4.86463645708681	7.78959302181462
BA2923	4.64449742091882	7.82688083190866
BA2751	5.48988184269187	8.18796359837961
BA2480	4.58334363014916	8.39960495989321
BA2286	5.1185297033232	8.48158973981744
BA2922	5.35265544520885	8.46430959418229
BA2452	6.33280116885594	9.09230819306279
BA3379	5.72556301998601	8.50160207030541
BA2887	5.34725969274235	8.79635277497105
BA2712	6.12302701419306	8.63894476137773
BA2068	5.53387100376444	8.32228693534529
BA2236	4.38671805486927	8.19211577067672
BA2104	4.46918025920294	7.5725144548201
BA3124	4.744989372778	7.54733361982974
BA3395	5.94563203594008	8.40664550150058
BA2921	4.00781378331485	8.8525926437112
BA2449	6.11039522609915	9.26335235036244
BA2003	6.45401948854285	7.84883391972247
BA2360	6.21410531502083	9.07761127342397
BA2802	5.7010856278578	8.34007975821985
BA2235	4.73764209982809	7.79956921933088
BA2858	6.37454386361439	8.67537853618004
BA3038	5.72213373131707	7.93502206043898
BA3006	5.49550080381286	8.15090969693391
BA2245	3.99343352661343	8.58992566833602
BA2667	5.57784205345213	8.40664550150058
BA2239	5.13014241250355	7.47952389617521
BA2782	5.10491139366288	7.29077391107671
BA2649	6.15187477635529	8.78108213178214
BA2488	5.35633645133756	7.92699657991781
BA2861	5.57675252591336	8.59798330037588
BA2909	5.0766039980492	7.35673455123978
BA2429	4.59759061851511	7.43426786956565
BA2653	5.31794680182615	8.88978486658959
BA2134	3.92781584362597	7.41497012248878
BA2947	5.99970534098919	8.22627943224245
BA2032	4.94979323861825	7.75510135803604
BA2162	4.18094171508708	7.46474071975909
BA2564	5.72519608896332	8.24301678047805
BA2597	6.6886775034689	7.85205086731265
BA3243	4.17562396984582	7.96905854853838
BA2106	5.74166284605219	8.44481942009045
BA2427	5.24140893715519	7.99413751864958
BA2841	6.27332825884915	9.26745559419095
BA2446	6.07906325231323	8.52190108216259
BA2645	5.80732189831465	9.14481502348153
BA2525	4.68941736509374	6.8791208631907
BA2876	5.38913307968471	7.46260985261637
BA2357	6.42718608083043	8.73910632748104
BA2546	5.14264325331446	8.06706072393759
BA2742	5.12241133726936	7.80094268898657
BA2316	5.5361204470046	8.04414638908848
BA2421	5.89048099649459	8.03197078783115
BA2087	4.72808220076467	8.4934060566155
BA2910	5.67127118896803	8.50664971851981
BA2148	6.00556371466788	7.08821062221174
BA2063	4.91721018578494	6.611693175134
BA2329	5.45162820453411	8.0095286113404
BA3178	5.29947262046614	8.03550248502968
BA2072	5.80146381261149	8.53215993801742
BA3029	6.37215716750202	7.69921272259806
BA2733	6.3144421792923	8.22650342209935
BA2995	6.36512999451549	8.41846114844672
BA2069	6.08966256500214	8.65565049707964
BA2100	6.38261014012489	7.63755645913212
BA2681	5.93982972127244	8.51679913189176
BA2248	5.76488394506669	8.30473182450184
BA2832	5.63859875243939	8.3695120975799
BA2308	4.88883896739495	8.26607857536642
BA2413	4.74815204997173	8.32449794408229
BA2701	4.43461919303822	7.60395254604328
BA2634	4.56835874883418	7.81249915728454
BA2677	5.82076176816399	8.27670009201677
BA2937	5.59736566113199	8.23061160269424
BA2600	5.31182798555781	8.16254296358662
BA2019	6.5257979218845	8.7332018546727
BA2412	3.29806393451797	7.24218373520164
BA2334	5.72791281354614	8.12230223339654
BA2050	6.29737759041703	8.72731998420373
BA3230	5.70986425222156	8.51934782702254
BA2953	6.83843057067482	9.03786515454843
BA2481	6.14672505812723	8.41135949860071
BA2731	5.32164044187742	7.72809482559201
BA2294	6.04816746430603	8.69249597847146
BA2418	5.55739491408236	7.83704881770087
BA2816	6.26033254809805	8.27244095196937
BA2656	6.05692203263316	8.50412364911741
BA2814	5.66513415407858	8.7332018546727
BA2631	5.76722856076773	8.03722226484621
BA2023	5.54245080282141	7.84567146798846
BA2375	5.19664711091347	7.84127876561754
BA2485	5.47580004129115	8.52886682883828
BA2455	5.39458251066191	7.18644077892568
BA2025	5.85025846641857	8.672544374331
BA2636	5.25038320893089	8.25554427681065
BA2325	4.00819948287575	7.05796014084047
BA2169	5.15035146596143	8.85577669200061
BA2156	5.70032456019922	8.78108213178214
BA2511	6.19966591698805	7.46784096415085
BA2939	5.17241204196236	7.72545959564587
BA2168	4.87937557014674	8.29820901257083
BA2505	3.99791458399155	8.14705635633251
BA2860	5.39605181278963	8.42321613548815
BA2707	5.88526249443146	8.66689198102969
BA2871	5.2861234484291	7.80682500789732
BA2655	6.481688319913	8.7420670822246
BA2227	5.75911087985136	8.0301567645062
BA2125	6.15101372135618	8.3695120975799
BA2523	6.88034277223335	8.58992566833602
BA2603	5.88798351527577	7.97230357086309
BA2808	5.22713590568466	8.20213208675208
BA2282	4.56764021310081	7.09119041085949
BA2482	5.79487700443781	8.43037965011906
BA2812	6.26604717378172	8.25764420926654
BA2822	5.53979697945933	9.45324250904435
BA2594	5.49867482524586	8.40194775982719
BA2747	5.29307989811682	8.55813210635661
BA2561	6.07987511764245	8.07789379739417
BA2567	6.01332316435917	6.56478809528508
BA2906	6.24365480544028	8.95099667095566
BA2956	6.8005248227196	7.83985748399556
BA2474	5.35194416070465	7.82988769642495
BA2737	5.69526819057696	8.0301567645062
BA2110	5.29986206219824	7.17595663951225
BA2992	6.42763769743183	8.37180321609369
BA2220	6.42189529871828	8.79022656584331
BA2772	5.69607421457276	8.22445433533228
BA2935	5.69757983119209	8.03369173116136
BA2260	5.42712462599135	8.23267071257109
BA2676	6.59838838471777	8.5555137585582
BA2948	6.00556371466788	7.3014086607396
BA2524	5.34548008260551	8.30037965468589
BA2811	5.69720265968762	8.49156043324924
BA2540	5.05115412774342	7.64636707538027
BA2928	6.18727628290146	9.16398396797258
BA2302	5.46808531788419	8.06706072393759
BA2595	5.81283987747723	8.86857724833819
BA2792	5.58383676402354	8.38795127420314
BA2651	5.40885224287312	7.83268389248944
BA2619	5.43042530271375	8.57129520837751
BA3013	6.31585760088979	9.13342062895717
BA2405	5.44826154156483	8.57394218930808
BA2735	6.21454243325922	8.01965582601105
BA2856	5.97608438156721	6.83661488155882
BA2377	5.04731382080461	8.70296361717243
BA2499	5.43510067241067	8.30909856685695
BA2463	6.56428369493048	8.46370355203629
BA3023	5.34865531492155	8.57129520837751
BA2095	6.41555515164963	9.33883912107995
BA2901	5.38585461790311	7.69288267465993
BA2275	5.50978975058831	8.24717893447311
BA2387	3.41659896255636	7.88494695067266
BA2962	5.73284131564851	8.59529250724368
BA2195	6.2114515075537	8.20012237793382
BA2688	6.10538403903875	7.81385914418798
BA2787	5.12205431291829	6.53792906948021
BA2420	5.64011484889975	8.65006116973985
BA2756	5.94641278080618	8.77804587995587
BA2122	6.10323904488586	7.22786001580346
BA2053	6.18074633883084	8.13938594647296
BA2080	5.2381836725971	8.7420670822246
BA2081	5.75606111415072	8.62242404966029
BA2354	5.39929335398575	8.03197078783115
BA3273	4.80779826591488	8.71530617987172
BA2893	5.5906429058684	7.97069985635942
BA2044	6.22989744594561	8.60067902691643
BA2489	5.74090562795813	8.3311533449718
BA2309	6.2918184227424	8.77501554362266
BA2720	5.96545215931813	7.72941398094
BA2908	4.99070869170882	8.46065657230778
BA2054	6.33324319286844	7.90191887122195
BA2872	6.50297201387594	8.7420670822246
BA2526	6.27694818574979	7.97556074370465
BA2041	6.05361973784087	9.11460476788528
BA2464	5.16855006190863	8.03197078783115
BA2902	6.07479305709891	7.84883391972247
BA2541	4.74957774721697	8.09989277486394
BA2143	5.36725981004116	7.95296500400789
BA2094	6.11421817923463	8.51679913189176
BA2769	5.93410860815703	8.45696872743274
BA2843	6.7037023558772	9.00955709168753
BA2592	6.84098754890722	8.77804587995587
BA2497	5.51500276467509	8.52190108216259
BA2718	6.11633596300958	9.77539354132974
BA2575	5.07515720571569	8.0044307958278
BA2096	6.48606087387678	8.90103696609653
BA2593	7.19816924570359	7.29348678773891
BA2791	5.04444275985059	7.98067391429632
BA2620	4.01641654454627	7.72809482559201
BA2629	6.05448659537988	8.34906675857089
BA2870	6.19822146547957	8.60608533344799
BA2423	4.96476498398767	7.46260985261637
BA2682	5.36514025423526	8.11478606741055
BA2276	5.91874058491338	8.5872495962732
BA2348	6.01997355940229	7.57949702449786
BA2709	5.70069374807012	8.36722488709977
BA2789	5.41609656191544	8.77501554362266
BA2694	5.8741844767795	7.95452812467512
BA2538	6.33280116885594	8.78108213178214
BA2583	5.5372259675426	8.68676863894814
BA2415	5.72866766844001	7.4333053034535
BA2722	4.93504794352695	8.55813210635661
BA2806	5.60617377123055	8.20012237793382
BA2221	6.17728971570781	8.33560901482561
BA3025	5.32268742710505	9.00255657247606
BA2514	6.32267289165303	8.09800077099819
BA2520	5.76920600167318	8.96458579397726
BA2441	4.88184571425701	8.31347995218337
BA2153	4.96896518773792	7.85777881958234
BA2479	6.08966256500214	7.08297551023298
BA2281	5.8546289142141	8.48906113697349
BA2657	3.86667316749471	7.76200686781066
BA2932	5.51345714323729	8.48906113697349
BA2123	6.17166961813264	9.3735473533766
BA2844	6.7630173908565	8.96800104667789
BA2660	5.37049633306029	8.65565049707964
BA2836	6.25632117467534	8.06147774301482
BA3027	6.68810200399149	7.12040364606583
BA2714	4.88537399325768	7.85633367820174
BA2139	4.39445609206128	6.79931174111644
BA2251	5.5413102037989	9.4000752436972
BA2952	5.02619905861961	7.71347289714959
BA2440	5.57190904546529	7.89883083701412
BA2036	4.9227991604453	7.88793681406652
BA2828	4.99851357395831	8.0095286113404
BA2292	6.80787905159787	9.64008823387741
BA2410	5.35671343237345	8.30255392241405
BA2051	5.68759563054623	7.5032888272442
BA2532	5.50203062931775	7.76614073791854
BA2986	5.88005273032646	8.4424022836884
BA2494	6.64631169310032	8.41135949860071
BA2515	6.66067320636594	8.77804587995587
BA2748	6.2114515075537	8.85577669200061
BA2970	6.91665453342353	8.42798766039968
BA2622	4.78188212473359	7.29431703031285
BA2839	5.37675910366016	8.62516478231551
BA2052	7.07994856692804	8.74800571415782
BA3011	5.86019583665539	7.85205086731265
BA2868	5.83483518369012	8.84624370479657
BA2510	5.42161592263156	8.79942491234482
BA2065	5.33503178066884	8.24509615455004
BA2691	4.00036361734849	7.21224786715344
BA2374	6.77775850085893	9.14863087419242
BA2804	6.31492475633183	8.83362186336888
BA2670	5.76568700898176	6.96289154217268
BA2675	5.14967422759909	8.34456564828853
BA2589	6.21976021821158	7.41008797800013
BA2031	5.25385282871793	7.68134464101013
BA2198	5.31682531575163	8.64171611871059
BA2066	5.78265919367654	7.64377441186557
BA2344	5.28538104551213	8.97142354261209
BA2459	6.56890360423702	8.80432724529814
BA2229	5.41716478810556	7.46065818949753
BA2559	6.23708437608245	7.72417589543797
BA2093	5.62490937512472	8.51679913189176
BA2000	6.61592394796106	9.25517667754352
BA2425	5.15277462061388	8.29571260021178
BA2905	6.3544519231975	8.42798766039968
BA2304	4.6536793016403	7.59101188148724
BA2976	5.5962261554154	8.13938594647296
BA2386	4.31964800368711	8.05626383418968
BA2035	5.57154615906059	8.904319577833
BA2760	5.74318527568312	7.83268389248944
BA2201	5.29487332704559	7.88494695067266
BA2355	6.76715417447917	7.42415546195164
BA2113	6.80486837491	9.00613487905274
BA2155	6.57670086749662	9.23089240757758
BA2955	5.15277462061388	7.60765864505298
BA2502	5.59736566113199	7.56321071069528
BA2322	6.06255807626612	8.41608983118813
BA2376	4.52802366345833	6.9944372976249
BA2020	6.43335604753767	8.87824586229709
BA2226	5.36143895724277	7.35863482899504
BA2200	5.87927912302444	7.94145634611773
BA2121	6.6430484484285	8.45696872743274
BA2944	5.25458692670885	8.7420670822246
BA2033	6.44275689894875	6.87847286019697
BA2867	6.18590754539494	8.68391306436784
BA2089	5.44461485443026	7.5725144548201
BA2224	5.90157614057374	8.09804401257278
BA2046	6.24055068924258	9.16784487350203
BA2972	6.30740738637139	8.54249270039127
BA2978	5.7151540674209	7.48490734822992
BA2829	5.64918681238206	7.62925234894777
BA2851	5.31144747900552	7.99068122497693
BA2587	6.33191637769617	8.42083657982967
BA2461	5.81242563536261	7.51191595859432
BA2695	5.62679253065256	7.10693286579065
BA2623	5.9610279397687	8.50918028997297
BA2024	5.81648610262315	7.248181873002
BA2426	6.20271197742685	8.38795127420314
BA2271	4.87903527269784	8.0301567645062
BA3004	5.98180577093432	8.34007975821985
BA2579	5.14194854842965	7.81538872947805
BA3010	5.6681641248555	8.03884116383771
BA2662	6.61649602743193	8.43758065182973
BA2674	4.3981107984309	7.58991392876001
BA2280	4.650152754678	7.90803356905227
BA2512	4.78751391876221	7.00146186913291
BA2658	5.83841841477399	7.49358396361658
BA2394	6.13208464272519	7.93502206043898
BA2950	5.29014927757584	7.67625068419832
BA2981	7.023488210081	8.20818067427413
BA2934	4.57905905511671	6.47279065497325
BA2539	5.88684341274268	7.49256176412129
BA2249	5.70604900479139	7.74263536016322
BA2034	4.6742639798329	7.96905854853838
BA2109	5.55025760092161	7.73332620572976
BA2242	4.40909041856159	7.66613976188412
BA2277	4.76180081744306	7.81538872947805
BA2727	4.56478976898356	7.94145634611773
BA2132	5.81959741153124	8.60067902691643
BA2618	5.73442845067299	7.70961368830257
BA2521	5.16960938829634	8.13747585819058
BA2846	4.90254409754431	8.63341745058943
BA2885	5.00796743570823	7.45866975783138
BA2639	6.10408615184211	8.73910632748104
BA2775	5.09496926322148	8.11853831041796
BA2402	5.05998896160971	7.68775219309565
BA2097	4.69506440431895	7.9003747386446
BA2786	6.63111242241247	8.7332018546727
BA2399	5.74985586104485	8.31787605128572
BA2850	4.48983140690623	7.5552619353094
BA2174	5.73699919077019	8.11104544817006
BA2004	4.17864479441855	7.17275321082541
BA3001	6.48705929163371	8.23061160269424
BA2311	5.30744038497995	7.9609725092348
BA2483	4.22213876832889	8.00271116464237
BA3040	6.64464627075058	9.05581138653334
BA2837	4.43535157234795	8.37639721534742
BA2724	5.58914523241343	7.66369633945432
BA2911	4.74078679013041	7.8210975174081
BA2256	6.49504433110095	8.7420670822246
BA2821	5.84430678297576	8.41372261793503
BA2233	6.0921968661524	8.74800571415782
BA2744	4.70381184087467	8.3972661940189
BA2880	5.85654635479991	8.3311533449718
BA2621	4.79068369995582	7.28438406463884
BA3002	4.29867481796289	8.55997698305646
BA2501	5.76526823165432	8.34681429629083
BA2993	4.24082241554656	7.77713213848426
BA2301	6.68593691853273	7.75780436658957
BA2852	4.93401038600293	7.53734841909383
BA2133	5.89603275873882	6.96975356458038
BA2866	7.38257507273258	8.99906762077278
BA2212	6.30142372411484	8.64171611871059
BA2685	6.54875546973009	9.08862153045619
BA2273	6.08237851607355	8.71853926395486
BA2477	6.43241877433245	8.48407580140491
BA2659	5.41609656191544	8.15090969693391
BA2124	5.94717583892944	8.70296361717243
BA2363	5.01110132445605	7.80235955590607
BA2369	6.28051995140614	8.62242404966029
BA2534	4.38891609087157	8.74800571415782
BA2400	5.73663382994184	8.09804401257278
BA2762	5.66204443579784	8.16840116234166
BA2312	4.55739011915781	7.54970729199318
BA2813	5.51015899119849	8.04060780611373
BA2211	5.05115412774342	8.61335419813792
BA2171	5.4843036495526	8.29387857030758
BA2746	5.24069452394771	7.28712238553665
BA2798	5.17381001168529	8.39493145233583
BA2809	4.16439378818326	7.88191833711993
BA2288	6.60051001058414	8.17565360284926
BA2801	6.76656262392125	7.5932544466496
BA3030	5.85501990072082	8.02685700006077
BA2588	5.85341733924409	7.83407017601998
BA2296	5.96784634669034	8.64449262965366
BA2300	5.71478675399189	8.34232080533324
BA2903	6.08278210679629	7.15557221270197
BA2473	6.4243136710677	9.20081280674415
BA2545	6.02819468374248	8.10545619155905
BA2840	6.4137172012398	7.36527517561591
BA2528	5.5977589538239	7.81249915728454
BA2646	5.72754939375197	8.27244095196937
BA3407	6.25534556152395	8.23267071257109
BA2240	5.62755258680148	8.01121552663761
BA2926	6.57305438035027	8.34456564828853
BA2272	5.14578866134918	7.33250978911574
BA2306	6.00173500696481	8.34906675857089
BA2765	4.14520169098392	7.00642277827321
BA2904	5.683055970914	8.01121552663761
BA2883	4.80215496386561	8.52445890903765
BA2726	4.05963620965163	6.93827202821145
BA2234	5.99605530428902	8.2960419873451
BA2022	6.04021038079235	8.66407371953991
BA2228	6.04734642903678	8.79022656584331
BA2037	4.68133985426918	8.46185834013681
BA2184	6.59838838471777	9.1872873383188
BA3009	5.65863949770921	8.07064998624987
BA2842	6.03484592617001	7.21053357648558
BA2442	5.1308809152012	8.01616932095142
BA2882	4.93504794352695	7.51299557490928
BA2758	4.71192806102431	6.90161368403515
BA2705	4.81197374042518	7.53303259081949
BA2663	5.06034106840668	7.25790347094091
BA2570	5.83756838624294	9.21888429779212
BA2764	5.97812067314416	8.04060780611373
BA2209	6.42953951724595	8.22240857358487
BA2989	6.12432253652151	8.68676863894814
BA2855	5.04276470874514	7.77444024847
BA2261	5.35593989387114	7.99739906746641
BA2721	5.36181709207634	7.80956394588893
BA2930	4.11024891875859	6.82612058067876
BA2728	5.25385282871793	8.15671254170946
BA2715	5.40992505038772	8.06884590575294
BA2469	6.0456807736423	7.12664090320603
BA2269	5.95600036566632	6.99377561399407
BA2098	5.78459303638823	7.65632337592004
BA2778	4.55952538407096	6.68355614720783
BA2951	4.95713318056663	8.49908497066643
BA2163	5.19161041350932	8.23473317956582
BA2379	5.17065533146209	7.06166102601644
BA2817	4.73550312580456	6.97794904447586
BA3153	6.2850706491728	9.30065851731011
BA2820	5.12063498746829	7.60280427832536
BA2723	4.86184303118266	7.51299557490928
BA2704	5.89560402298733	9.01658796485945
BA2088	5.92753747485825	8.46430959418229
BA2116	5.61175957380568	7.1940059259717
BA2584	4.82079936789571	8.98864564355709
BA3079	5.80891216118178	7.71867822819813
BA2417	5.86132938817703	8.95099667095566
BA2361	6.70809549173072	8.13747585819058
BA2450	5.21007881246748	8.1017443875296
BA2492	4.90013515136005	7.47524977931761
BA2552	5.67470446988703	9.0307417478067
BA2472	5.91798611999628	7.93502206043898
BA2994	4.94068738942346	8.49406416345013
BA2047	6.16092602046833	8.45209623715645
BA2101	4.64626652070706	7.70330320958059
BA2082	6.30740738637139	8.94761722776196
BA2879	5.60504344827743	6.90877033903166
BA2577	6.61753222574519	9.16398396797258
BA2456	5.68229960670136	7.34929269675225
BA2175	7.45571345371651	8.4424022836884
BA2824	4.15346615907927	7.878761730409
BA2507	6.41417827633489	8.46922505155083
BA2563	5.69295647546023	8.5373170330564
BA2244	5.4417363654644	7.34929269675225
BA2470	6.57095981156775	8.26607857536642
BA2984	5.77144374108322	7.77015373984418
BA2414	5.48915482766383	8.95777690896205
BA2697	4.34833610549937	6.89968682755392
BA2079	4.32449447757761	6.39786567345431
BA2999	5.93293802015649	8.41846114844672
BA2644	5.67127118896803	7.66495366812555
BA2011	5.82504535283309	7.31127241928996
BA2217	6.72238123052722	9.00955709168753
BA2454	6.12432253652151	8.86216405394702
BA2776	6.24227196022735	8.91751782379931
BA2218	5.49138177082753	8.09619809378225
BA2135	5.7594907917192	7.95296500400789
BA2914	5.67772909120233	7.50002964161751
BA2500	6.0444352624309	8.32893113987774
BA2830	6.43146976668751	8.66407371953991
BA2406	5.67355536167547	7.8894951557827
BA3108	5.94520040841415	9.37793858616158
BA2924	5.41943459061555	7.61362919863888
BA2303	4.8973168898075	7.20465709297985
BA2160	4.64945091473465	8.32007964073217
BA2038	5.47320709939818	8.43998936441936
BA2602	5.25002967084118	7.83268389248944
BA2964	5.91398655787065	8.50160207030541
BA2898	6.16739291737488	7.92215119859177
BA3003	6.21273472230969	7.98220941306141
BA2111	6.43590316276273	8.24717893447311
BA2827	6.2220023406681	8.34681429629083
BA2912	6.08879387607679	7.99739906746641
BA2437	6.44658590502143	8.49908497066643
BA2283	6.15698094792798	7.86671215518685
BA2057	6.10020798817236	8.09619809378225
BA2633	6.57095981156775	8.50412364911741
BA3034	6.41227021268222	8.05288390011611
BA2607	6.10408615184211	8.40664550150058
BA2761	5.69370906216796	7.87281860469351
BA2795	5.94796425199258	7.96577419756633
BA2182	6.34190143280827	8.1336646480907
BA2152	6.37124794281337	8.22036612888066
BA2381	6.78255354390321	9.34313727945847
BA2931	5.80146381261149	8.21020338316209
BA2040	6.38171333036269	7.92364245319313
BA2590	5.22927128390671	9.28812805203208
BA3195	6.12593955851946	8.47910806756512
BA2516	5.6412866944169	8.32191640184945
BA2353	5.80413235131943	8.68676863894814
BA3036	4.72214637587513	8.0095286113404
BA2971	6.24100946664766	8.14502683997756
BA3410	5.20116609846323	7.98220941306141
BA3118	5.55248246165005	8.30691336971867
BA3206	5.75987481048265	8.09804401257278
BA3202	6.07775440645337	8.6279105840654
BA3217	5.92637395893393	8.27670009201677
BA3405	4.650152754678	7.92364245319313
BA3306	5.03114997890888	8.37180321609369
BA3371	6.41701283707656	8.62516478231551
BA3413	5.78731556681433	8.81487669872437
BA3411	5.73699919077019	7.98898804212453
BA3133	4.36608295505138	8.34232080533324
BA3164	5.40740251107271	8.30255392241405
BA3451	4.67318634632102	7.51413414557592
BA3286	6.33324319286844	8.7361512573159
BA3212	5.43439292364828	8.57865830342714
BA3103	5.72061360951374	8.7361512573159
BA3271	5.44900669366577	7.97894297933459
BA3152	6.41701283707656	7.94314055717551
BA3095	5.46260848821559	8.46430959418229
BA3192	5.71368801694621	8.43998936441936
BA3251	6.25491135905161	8.42798766039968
BA3362	5.68192875741287	8.88653621315296
BA3400	5.11186015453485	8.02508710399741
BA3135	5.75302384911337	8.83676787171411
BA3408	5.39780333094655	7.02274319881886
BA3187	5.48321215171909	8.53215993801742
BA3098	4.67531691808554	8.73025810259064
BA3435	5.07731571102635	7.96744532914178
BA3261	6.44848147466049	8.66407371953991
BA3203	6.03938413348279	8.15090969693391
BA3174	5.50239845192536	7.617186143553
BA3317	5.38434316295162	8.42559982560594
