#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature centerID, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.000000 avec le test ANOVA
 Abundance   TotalKmers  NormalizedExpression centerID
312.551724 1.183531e+10             26.408420        1
245.517241 7.673257e+09             31.996483        1
128.931034 8.965946e+09             14.380082        5
149.896552 7.501582e+09             19.981993        1
474.827586 1.233472e+10             38.495221        5
425.827586 8.634398e+09             49.317578        1
318.724138 9.269706e+09             34.383413        1
193.413793 1.270211e+10             15.226905        1
111.241379 7.852002e+09             14.167263        1
320.482759 8.830584e+09             36.292364        1
493.206897 9.220262e+09             53.491634        1
212.724138 1.213128e+10             17.535174        5
 66.275862 8.260289e+09              8.023432        5
143.413793 9.361311e+09             15.319841        5
203.275862 1.137375e+10             17.872372        1
 79.103448 1.226937e+10              6.447228        1
410.965517 7.759275e+09             52.964421        1
244.965517 8.628494e+09             28.390298        1
360.241379 1.260141e+10             28.587390        1
130.310345 8.115899e+09             16.056181        1
160.655172 7.421624e+09             21.646903        1
237.344828 1.462151e+10             16.232583        1
158.344828 8.929424e+09             17.732927        2
 44.827586 9.354307e+09              4.792187        5
469.034483 1.108694e+10             42.305134        1
 73.931034 8.840811e+09              8.362472        5
371.896552 8.951200e+09             41.547116        1
198.965517 1.153613e+10             17.247170        1
143.413793 8.578251e+09             16.718303        1
265.827586 1.140540e+10             23.307160        1
315.862069 1.195007e+10             26.431826        1
559.482759 1.239749e+10             45.128715        1
 14.965517 9.623216e+09              1.555147        5
121.034483 1.296097e+10              9.338380        1
176.206897 1.031085e+10             17.089470        1
 58.793103 8.901402e+09              6.604926        5
 25.482759 8.063055e+09              3.160435        5
421.275862 9.427317e+09             44.686717        1
 36.344828 6.844100e+09              5.310388        5
167.103448 1.293326e+10             12.920443        1
254.620690 1.251246e+10             20.349370        1
126.379310 1.150666e+10             10.983146        1
199.241379 1.150527e+10             17.317395        1
