	SRSF2	SMC1A
BA2000	8.232855850924276	0.7462069123289923
BA2003	9.4977144739766	0.0732785815434064
BA2004	5.562522945896354	0.3863072303795603
BA2006	4.6626359318395725	0.0262961258180623
BA2011	8.33948154257171	0.0723773414240564
BA2019	9.757790556231546	0.523339371811861
BA2020	24.05614468586043	0.7269029971477832
BA2022	13.76175498824985	0.443322630006295
BA2023	6.170959052505648	0.2495570895047683
BA2024	13.562153332917909	0.287155169944375
BA2025	8.058465426519131	0.7480948467765653
BA2031	5.276629236644825	0.5121456086847467
BA2032	4.763443017170353	0.1039793903154649
BA2033	22.143794608866745	0.1632966835095074
BA2034	10.006225712329805	0.3037435369718935
BA2035	6.202410726195026	0.2139238826754796
BA2036	8.19574270719942	0.4182774010351495
BA2037	11.49048044339966	0.4109814903870589
BA2041	12.869687030810905	0.3631849950003453
BA2044	8.48685376064178	0.4350917369616048
BA2046	9.108705272546237	0.101481482767567
BA2047	13.306666081934658	0.4789123837285003
BA2050	9.513319286237095	0.3102335430687024
BA2051	8.14805311574689	0.1054519895597969
BA2052	8.873809201356487	0.1795116800701992
BA2053	7.462370487579332	0.079902067313681
BA2054	10.430588127973053	0.4074334016411099
BA2055	4.345256847097649	0.0326916807866485
BA2063	9.467873645094436	0.1168140629305023
BA2065	6.373759297739962	0.390159335102721
BA2066	15.800296299117967	0.922025420781572
BA2068	18.355853161765303	0.155245402509188
BA2069	10.278331861243649	0.5229027636462918
BA2072	5.902058256500613	0.4090721059199481
BA2079	7.640222263953134	0.1799575021313978
BA2080	9.191369278339211	0.1230857485084649
BA2081	6.928636469183807	0.4536414243684186
BA2082	8.40840134006508	0.1162295533206854
BA2087	5.677796869229128	0.1188928086940584
BA2088	11.410047337328768	0.2833929198271572
BA2089	11.89864820678787	0.7049345073865925
BA2093	5.464961303565389	0.2085745418008944
BA2094	12.051205054450586	0.3974949642017643
BA2095	8.463544127567214	0.4427808684462046
BA2096	15.000673563143634	0.4238488908780826
BA2097	17.792688397965705	0.2734491493902399
BA2098	6.655929889318163	0.4418320681385367
BA2100	3.718527822597228	0.0518182790007006
BA2101	8.1501091842613	0.1482072923351178
BA2104	1.8852928899651	0.1650236484634113
BA2106	7.204307756577358	0.2404122878180016
BA2109	6.833888850170134	0.1385070484148851
BA2110	3.806471086714524	0.2190038677505027
BA2113	15.929650625391014	1.0902259540283143
BA2116	6.781050008997795	0.1669632966647874
BA2121	11.980554744241596	0.45416991707132
BA2122	5.858690587057699	0.0944624458861666
BA2123	11.59072875024918	0.3289941917044279
BA2124	16.611280928331222	0.2576586418409293
BA2125	7.921142108252018	0.5549049624963852
BA2132	13.946291139079216	0.3380670016794452
BA2133	7.478491218664673	0.1189663302955098
BA2134	4.036120566317373	0.2258618878717793
BA2135	20.82611375867676	0.1666776882535282
BA2139	4.621744593017676	0.2703667211430057
BA2143	8.73803235454996	0.3534699019272844
BA2148	3.778912883468327	0.0623963321637688
BA2153	7.671001886855401	0.1839683970834274
BA2155	9.35317182362659	0.1287229446308692
BA2156	8.002415187656146	0.2915874160324228
BA2162	8.849822115908271	0.2856224090238819
BA2163	7.4857757015311535	0.2476288848697591
BA2168	8.310485926369557	0.1133917410225406
BA2169	8.737420101785885	0.099865340034379
BA2171	13.647857183453524	0.6436778720960448
BA2172	6.624084898239265	0.1984505562456519
BA2174	11.368590659871236	0.5673116238211867
BA2175	16.88810084545601	0.4777821913841399
BA2184	21.24939692545412	0.6443998756645007
BA2195	7.23243772301538	0.1729249365321939
BA2198	6.568389703284435	0.3557294189419911
BA2200	22.72786822849741	0.4409612405890968
BA2201	4.323026570237881	0.2371180788800523
BA2209	6.408519354938519	0.1240002416844831
BA2211	16.55230428257159	0.4491274919108555
BA2212	10.236633063274152	0.1901517308897795
BA2217	13.496358315863404	0.3171809747929061
BA2218	12.93380471935965	0.0622631388267454
BA2220	9.724200374077704	0.3710972985476872
BA2221	7.3819992501371905	0.2464402599609664
BA2224	8.450169624197642	0.1971415824224655
BA2226	20.690926999003683	0.7868952677610815
BA2227	22.4026748068776	0.2980568937860058
