	PTPN11	NPM1
BA2000	18.33296095742878	529.0740751552895
BA2003	7.823075791431777	718.8454548403314
BA2004	23.47420820016641	320.416765868189
BA2006	1.599279212987121	9.731263616557731
BA2011	9.225160864995647	349.1494593922488
BA2019	25.598812631833862	584.7298493866805
BA2020	31.59595324254756	1238.4508547008545
BA2022	27.51591386957487	917.8624004605978
BA2023	11.535227276580512	432.430363504652
BA2024	13.850349536088828	373.1442557723393
BA2025	25.182250566504557	723.6161514674798
BA2031	17.168571781077897	804.2156041021317
BA2032	15.901849480276256	797.0029006308893
BA2033	18.392220963768025	258.23198424669016
BA2034	16.75767370192132	811.2764224741454
BA2035	26.829544816139027	900.7865531930996
BA2036	21.002511009591736	779.9021105326607
BA2037	41.28393670453848	1905.212257740152
BA2041	20.85594645881212	846.7808362661304
BA2044	18.514651646389066	586.7526892532584
BA2046	17.74777341783675	1116.3443179422306
BA2047	23.775755698786437	678.6308819474854
BA2050	14.032474625170588	743.1948731463913
BA2051	23.501722762533824	485.30915140801295
BA2052	19.346997032607323	1123.444664742103
BA2053	13.034239391027915	858.0353314195818
BA2054	15.071847659067448	798.0997645653246
BA2055	1.0119939151741806	43.69121161009207
BA2063	14.18531242809262	584.475008784876
BA2065	23.213042788974004	1203.8952158917054
BA2066	27.549712577286414	820.948611719295
BA2068	15.169594363553628	591.6639941722485
BA2069	19.64144687919452	669.1056490806965
BA2072	12.509935270285276	444.2673762143402
BA2079	8.072035025066661	148.75517388648316
BA2080	14.96790543407779	829.9345694329564
BA2081	15.613771421052876	597.5572717148619
BA2082	16.516465158266154	1006.1029619898692
BA2087	14.418054675323518	646.277790211756
BA2088	24.432406247519264	648.9600212458845
BA2089	26.42817527039773	804.2096484968401
BA2093	24.761557552881506	718.9785651729675
BA2094	22.84219653932653	774.4474723884591
BA2095	22.24726061747656	743.3756410256409
BA2096	9.782062235194408	844.926645204539
BA2097	29.00078867269143	1871.544588786714
BA2098	4.89760845693884	447.058323196938
BA2100	12.578431475402214	460.46480967904114
BA2101	12.241955188427031	481.9798980413782
BA2104	9.678008579946416	158.77373403179857
BA2106	11.404555741858657	1087.2221949215304
BA2109	10.752236348741445	353.25556042102534
BA2110	9.173325205003731	228.4360225865918
BA2113	24.25003415351566	619.5860880001297
BA2116	34.54667256955986	204.49241959811215
BA2121	24.484211565819702	830.565918465539
BA2122	8.187921438696502	309.8565362180163
BA2123	32.82053187434948	1944.6786659963132
BA2124	17.461741457522745	1306.525201781843
BA2125	26.753085869426155	407.5005611508458
BA2132	20.169400258241318	579.7304751401525
BA2133	9.257241245749476	285.45101823469946
BA2134	11.564212451003634	394.3391348654157
BA2135	16.330691859452898	1086.0343934651337
BA2139	11.507169535521824	173.99071803521517
BA2143	20.26836326082831	307.85163506814365
BA2148	15.675843108585529	255.70209620655535
BA2153	24.095696669288905	1332.816741811144
BA2155	13.399294045807633	622.2423014753186
BA2156	16.931888260327074	1074.5038515599235
BA2162	23.524442921627767	778.2497983533087
BA2163	32.49912164853597	223.2537483038432
BA2168	13.863873737481438	601.0720984230471
BA2169	30.814991909118284	516.0195797315341
BA2171	23.18947927011344	1061.4786451829148
BA2172	16.795517788395873	1287.0055436621851
BA2174	23.163838646228943	696.0172286284242
BA2175	22.39949600661436	260.5439360028544
BA2184	39.81395373361203	2463.2686174497367
BA2195	14.438988301694582	670.5622004357298
BA2198	24.498350035075635	1049.075510739173
BA2200	27.20417627027473	1261.8336568870727
BA2201	10.05949923649511	528.392967233764
BA2209	22.20851929911572	570.0690307443629
BA2211	21.02631899069189	923.4013369229688
BA2212	16.10636029935567	1007.770093849506
BA2217	17.405562540348775	796.1217281067376
BA2218	6.878393864241168	980.2861304378382
BA2220	20.14637088171025	1088.5479229850198
BA2221	13.92990006687362	462.6346118706649
BA2224	15.825637213283208	450.7727293122928
BA2226	35.989485894319195	1561.7267752207028
BA2227	20.910382367639677	1484.8600612508585
BA2228	31.927487025931413	1002.7951329084158
BA2229	23.056486557637434	739.9451921049645
BA2233	11.761458404505191	705.738534250204
BA2234	24.054342043995	490.6901268806392
BA2235	17.067020253453286	814.7086737810646
BA2236	17.314869257465272	605.2559180330528
BA2239	12.77104820432132	412.5526305973175
BA2240	33.17334597209446	745.4724319780298
BA2242	15.237455455980948	509.9414329889662
BA2244	16.925820528737685	629.1368278218373
BA2245	27.47398546311995	758.2510606724079
BA2248	18.155268511562515	679.4893308357255
BA2249	19.97463299408348	658.7512101504512
BA2251	24.14242187116462	755.9943601096353
BA2256	21.401582298666927	1283.454827897522
BA2260	15.232493343082629	602.2486722673628
BA2261	13.631458148123675	260.3798915540851
BA2269	7.328556613973234	156.37701984571055
BA2271	23.98460277768552	614.6193313222725
BA2272	13.50913898194892	591.9207587970398
BA2273	21.07546663553913	644.2525895111285
BA2275	31.218741695811683	364.4297515366776
BA2276	9.934136281708742	697.587447898928
BA2277	29.221652377436328	943.3400328148904
BA2280	36.38874163228378	1004.94611384118
BA2281	24.831129720843258	863.6605245517009
BA2282	10.789451974244848	324.393978170259
BA2286	19.38545941760825	1328.999781594469
BA2288	12.094613771990195	455.5463179206064
BA2292	17.152450737298953	1298.6812646977733
BA2294	18.795163976802144	848.8785684166138
BA2296	22.58795543731145	1325.403998605232
BA2300	43.71814488147894	939.0940160128016
BA2301	17.314482693030055	488.0176138114469
BA2302	15.142153148377648	946.291846283592
BA2304	12.000004837689753	211.8367791671397
BA2306	21.901854935746787	903.1965430837348
BA2308	20.691473643918133	864.6272963665753
BA2309	15.600943225492763	701.0796877449628
BA2311	16.07649015451271	410.7591668153338
BA2312	14.384739574554802	595.3337787941205
BA2316	11.94031516572484	413.38349335322766
BA2322	19.00203463588738	859.3419127783453
BA2325	13.13339354976582	220.1254937100288
BA2329	14.170386468930648	512.6317147537262
BA2334	12.738862324221753	464.9170461733081
BA2339	10.111131706915842	243.77804321618365
BA2344	17.66258635942158	1340.8550906328896
BA2347	10.673249895339008	364.3800229217686
BA2348	6.14653811673649	163.93391881152792
BA2350	9.248559385393913	205.14012688063923
BA2354	27.095243432620222	1408.9573387502232
BA2355	28.38735945750639	862.0305989393275
BA2357	12.19949693229595	794.657434437795
BA2360	17.5735034231662	1030.7379387707658
BA2361	15.736424512490592	513.4423628342984
BA2363	7.3033212222808	344.86871827308266
BA2369	17.51039441139099	937.0679262827268
BA2374	22.40617777937685	771.0671237505202
BA2375	20.87206313122356	710.0841410013136
BA2376	14.73696075905255	218.30598398719843
BA2377	56.988741119585946	1622.4409367110504
BA2379	14.2605358780457	327.67647896765544
BA2385	15.9001120635316	629.0617584888932
BA2386	18.71535873465833	1106.665981716646
BA2387	18.12250880428911	736.6278426507079
BA2394	24.469601260335928	657.7855652324344
BA2399	16.904555001239643	864.3984968401477
BA2400	33.63200594550555	2254.040086605362
BA2402	21.70324629391715	1134.154095914627
BA2405	9.100792336674967	820.4803562064473
BA2406	17.82816007822995	456.6730382696226
BA2409	16.29375622363415	385.228020780962
BA2410	23.596659384354837	1751.5486011774435
BA2412	12.137813809796492	147.4767876546814
BA2413	21.05224232672534	925.7269136162876
BA2414	23.349309244236707	1176.179727209329
BA2415	8.984070955203252	353.0132654329998
BA2417	12.270477073849374	669.4242768019808
BA2418	10.111819360859618	446.6115652216221
BA2420	17.04322984051619	676.1388948355741
BA2421	17.112086130843036	652.40884920828
BA2423	14.830693302761253	454.8711856068592
BA2425	26.81439645289756	501.2239867659224
BA2426	14.6887218048444	663.0178800607644
BA2427	13.203350202140005	540.9455429593949
BA2429	13.885097753812143	601.2368535007055
BA2440	29.80936471999719	864.9314706693265
BA2441	41.50471871701896	426.286356952486
BA2442	21.30032633561693	879.8042389053774
BA2446	17.23831681496286	510.3299158814339
BA2449	27.270894277896847	1681.7064353946707
BA2450	17.891294519534323	610.9593803553956
BA2452	25.78173682741561	1163.743883834206
BA2454	35.41917436013228	746.6038066894803
BA2455	12.375452361398644	391.66645988420186
BA2456	14.09237807271488	398.93355741524624
BA2459	13.594127000583486	1217.259273315061
BA2461	17.820350143922077	437.2737507906388
BA2463	8.57460656098495	360.23872832838674
BA2464	18.745323554263607	1016.4529736129356
BA2469	16.132452295663036	388.68277623704574
BA2470	18.268118383788824	458.3478089167842
BA2472	12.66426899861456	448.142230926007
BA2473	17.639401643995793	896.6319358622964
BA2474	12.088986615383838	576.5140768852344
BA2477	27.90380716097536	1492.919436200176
BA2479	9.06853194700168	400.1256540002271
BA2480	15.24397502944484	479.7529076587901
BA2481	7.960993949896547	352.03703244187113
BA2482	19.0233231637945	806.8147480497577
BA2483	23.22264853955544	686.6408121009639
BA2485	17.055978788879546	623.2291195662164
BA2488	18.77808934875976	455.1400430864378
BA2489	14.508873336495364	833.1166755866947
BA2492	23.63457575454264	305.4961462776453
BA2494	27.91420931790605	745.3470444974241
BA2496	11.399676017741184	350.98358687836867
BA2497	15.612483715841416	459.7626223800796
BA2499	21.457586308448946	1217.775132313747
BA2500	23.138866635530075	514.9298856073997
BA2501	27.833890878616558	830.2044278477865
BA2502	15.548455223976305	476.4838112305855
BA2505	22.69831014365209	918.0959413873074
BA2507	13.273383072831717	550.1468014942398
BA2510	16.669318455579262	820.2867797077474
BA2511	7.663551368635486	310.93955302551126
BA2512	18.55404802224241	297.93169204820055
BA2514	14.1127716506682	723.5138127983478
BA2515	13.656362083325709	612.5478235131935
BA2520	10.18459988094212	564.1537758748386
BA2521	22.854875728416364	806.8959630116178
BA2523	17.466454904239125	876.4798096520109
BA2524	15.143161519049126	932.2471493753278
BA2525	10.739344125649188	452.6349581299297
BA2526	16.511510597344866	991.6935678489758
BA2528	14.604392734699395	1096.7780299712938
BA2532	27.09788474706269	503.9772779859117
BA2534	26.77316300242771	849.6433997199651
BA2538	19.34789198139	629.4073879455286
BA2539	15.054660968382327	540.738273406964
