	IDH1	ASXL1
BA2392	5.74395799798389	6.54408446340443
BA2611	5.75871811902643	6.53249965977741
BA2506	5.75871811902643	6.5242368874556
BA2430	5.80931856446972	6.58462737788517
BA2448	5.79121445090041	6.52324588492183
BA2730	5.8227080060065	6.54408446340443
BA2845	5.67963455085071	6.42575430557831
BA2326	5.67432622931416	6.42858727965842
BA2341	5.64918681238206	6.42763769743183
BA2612	5.59924503664906	6.45455803457724
BA2973	5.63166253168885	6.40360502181603
BA2390	5.6571193282783	6.40264148496757
BA3218	5.60116902965989	6.44565569212713
BA3105	5.68416732949988	6.54096638153352
BA3402	5.71798453197329	6.52120608932454
BA3276	5.7151540674209	6.53695474326822
BA2409	7.52082148621471	5.50426621763009
BA3037	5.44138513248386	6.49002795768883
BA2496	6.59256890621003	5.62715965117615
BA2172	4.82328175599878	5.7983454299058
BA2865	6.97794904447586	6.1921407741856
BA2923	8.2618544484033	4.94273522337111
BA2751	7.15246698865564	6.05776567233175
BA2480	7.35298985161002	6.00011677121632
BA2286	6.15608719552673	6.04154865344481
BA2922	6.60792383481337	6.58783674116998
BA2452	6.40688318423783	6.28373604828764
BA3379	5.94263228316548	6.15698094792798
BA2887	5.85144934754927	6.0444352624309
BA2712	7.45375064871774	5.75681040063766
BA2068	4.80607814010981	6.08966256500214
BA2236	6.90558799283489	6.00513768153823
BA2104	7.73732673360922	5.3920043604829
BA3124	4.22136650202706	6.7478553015081
BA3395	7.16547841878937	6.06345159600226
BA2921	4.79871964465787	5.84190332625174
BA2449	4.22750729569156	6.06168577538942
BA2003	5.20261254311813	6.17121351437265
BA2360	6.61867340597626	6.04734642903678
BA2802	4.3579546600223	6.2850706491728
BA2235	7.1956195388029	5.74011278993299
BA2858	5.32198845078755	5.98876336939614
BA3038	7.20973552997534	5.48611835069995
BA3006	6.49699294257919	6.04816746430603
BA2245	5.4241733124076	6.25762029146855
BA2667	6.49799553338119	6.03566200297907
BA2239	7.14764743423536	5.69838933100617
BA2782	6.64358377452482	5.67546263774049
BA2649	6.23214914518013	6.31810358288684
BA2488	6.35757561884313	6.19690129645258
BA2861	7.03549223810054	5.9027386298111
BA2909	6.34548467937847	6.02245886806957
BA2429	5.11958001435747	6.42530173541054
BA2653	4.90152753707883	6.90161368403515
BA2134	6.53396722315737	5.5372259675426
BA2947	4.83268199793827	6.61700352029779
BA2032	5.82000063861969	6.05692203263316
BA2162	5.33028268437174	5.92314727428924
BA2564	6.85832315809809	5.6860968528657
BA2597	2.84361014461716	6.08666258593702
BA3243	5.4843036495526	6.03404286985942
BA2106	5.19270680337974	5.94392026663398
BA2427	3.18975730461156	6.46136172333021
BA2841	3.95599802451469	6.45648309857568
BA2446	6.55661288461065	5.8769475456825
BA2645	4.05123232495892	6.38738832095137
BA2525	3.65728472785622	7.40609048790591
BA2876	3.20185478187358	6.59838838471777
BA2357	3.69392175101973	6.53695474326822
BA2546	7.33073792117204	5.70452449404762
BA2742	9.09600320401444	5.61064071002875
BA2316	9.05942450247106	5.7725785925433
BA2421	5.60042800463674	5.83800900717186
BA2087	4.8688411127684	5.72480376191034
BA2910	6.13375733254388	6.00800870736247
BA2148	4.42623541625347	6.33368252669389
BA2063	2.864896220199	6.97794904447586
BA2329	6.84399982384708	5.78856545869923
BA3178	6.28908084563445	5.51345714323729
BA2072	6.78074983432615	5.70757619671164
BA3029	5.19342572013905	6.00261866586335
BA2733	4.2236378258506	6.0688553647905
BA2995	4.54341837856977	6.95960331595656
BA2069	6.95150045701844	6.00392077224602
