	JAK2	CBL
BA2889	0.0	0.0
BA3008	0.0014240483175615	0.2507311265969802
BA2148	0.0027034754896531	7.2649826557373585
BA2459	0.0030114629881484	4.004268561676521
BA3029	0.0042081121781578	2.988168896702679
BA2168	0.004288700549101	5.035563911257235
BA2744	0.0043052561455174	2.3420454361233363
BA2032	0.0043383673383503	7.8221525310228035
BA3011	0.0044355113057099	3.171706262798601
BA2715	0.004662910433262	7.7205940285306225
BA2651	0.0050349307062841	5.365742435202348
BA2656	0.0050824078843945	8.10829536151017
BA2218	0.0051155190772273	4.552843749662363
BA2525	0.0054378725610001	5.361211502893784
BA2756	0.0054544281574165	3.6884191341199744
BA3289	0.0055040949466658	7.767063908022992
BA2155	0.0057955268487447	2.0953240513147824
BA3037	0.0059401479942147	9.799569491926407
BA3023	0.0059567035906311	3.1367347077030523
BA2813	0.0059732591870475	3.574804812737076
BA2515	0.0062150242998771	2.8864758435326974
BA2041	0.0064258678310128	2.305962484274798
BA2063	0.0064899006055396	8.313044935404431
BA2418	0.0066367113621485	5.992298772735698
BA3430	0.0068641104897006	11.504183425757294
BA2050	0.0068784764749781	7.079443114097531
BA2589	0.0069446988606438	6.003245642037248
BA2593	0.0070396532168645	0.1857220620101992
BA2100	0.0070727644096973	6.2617054658574105
BA3154	0.0070727644096973	19.75649068926584
BA2172	0.0071224311989466	8.270086228035286
BA2479	0.0072008299587509	3.467453156120669
BA2122	0.0072030195698898	5.099888076141857
BA2053	0.0072361307627227	7.222321545137492
BA3352	0.0073476407153598	7.590738795591744
BA2856	0.0073973075046091	7.466729743408637
BA2427	0.0075110070683851	4.494091920117016
BA2248	0.0076534386027162	5.721270967997303
BA3447	0.0076556282138551	1.4179375458320345
BA2385	0.0076721838102715	8.830908118297671
BA3051	0.0078664717449908	2.746862061722891
BA2452	0.0079139489231011	7.686755575274143
BA2901	0.0079161385342401	6.988902669631012
BA2953	0.0079945372940443	2.256583583218568
BA2791	0.0081413480506532	4.157377331472257
BA2735	0.0081557140359307	8.737294850346899
BA3013	0.0082881588072622	6.725324193393431
BA3192	0.0083025247925396	5.744921944302876
BA2269	0.0083047144036786	4.822699159862164
BA3273	0.0083190803889561	3.948544435364721
BA3453	0.0083356359853725	5.49851196033265
BA2842	0.0084018583710382	8.099561711753601
BA3076	0.0084018583710382	5.495792229828594
BA3306	0.0084162243563157	6.22554661360439
BA2855	0.0084327799527321	12.29547234158537
BA3421	0.0084824467419814	6.881832646826726
BA2649	0.0084968127272589	9.023797798632572
BA2256	0.0084968127272589	7.267699813104082
BA2357	0.0084990023383978	6.345009569140849
BA2893	0.0085133683236753	7.3308542565429375
BA2970	0.0085133683236753	4.689016781804959
BA2473	0.0085155579348143	3.089640912983751
BA3075	0.0085299239200917	8.593853919845841
BA2956	0.0085939566946185	2.687429921082983
BA2464	0.0085939566946185	8.87192071158626
BA2915	0.0086226886651735	0.8295160483568763
BA2772	0.0086601790802842	4.086426052783343
BA3280	0.008724211854811	5.525899026383214
BA2489	0.0087551334365049	3.2150456148346267
BA2288	0.0087573230476439	3.721850123395836
