#Résultats bruts de l'abondance de mutation du gène TP53 selon la feature specificDxAtAcquisition_MDSMPN, normalisée par le gène de ménage TBP.
#Test d'hypothèse de différence significative entre les moyennes des groupes
#p-value = 0.006101 avec le test Mann-Whitney U
 Abundance   TotalKmers  NormalizedExpression specificDxAtAcquisition_MDSMPN
 83.517241 6.551782e+09             12.747256                          False
170.137931 9.651607e+09             17.627939                          False
162.551724 8.560410e+09             18.988779                          False
 18.000000 9.835948e+09              1.830022                          False
157.655172 6.065394e+09             25.992569                          False
374.000000 9.789722e+09             38.203334                          False
 28.862069 7.430744e+09              3.884142                          False
 34.206897 8.141680e+09              4.201454                          False
612.931034 1.098682e+10             55.787868                          False
375.689655 8.693196e+09             43.216518                          False
 79.275862 6.204715e+09             12.776712                          False
212.206897 1.086433e+10             19.532437                          False
367.275862 7.145132e+09             51.402252                          False
315.206897 6.572317e+09             47.959780                          False
 44.896552 9.682106e+09              4.637064                          False
189.482759 7.328424e+09             25.855868                          False
105.448276 7.970342e+09             13.230081                          False
 95.896552 6.907665e+09             13.882630                          False
145.965517 6.829888e+09             21.371583                          False
 23.517241 8.350758e+09              2.816180                          False
191.827586 9.483174e+09             20.228205                          False
138.862069 5.742223e+09             24.182632                          False
 22.448276 1.192939e+10              1.881763                          False
 46.758621 8.977505e+09              5.208420                          False
 40.620690 7.030049e+09              5.778151                          False
 23.517241 8.531157e+09              2.756630                          False
 44.586207 8.812339e+09              5.059520                          False
233.241379 7.670495e+09             30.407604                          False
642.586207 1.182556e+10             54.338770                          False
 59.241379 7.467501e+09              7.933227                          False
209.517241 6.916062e+09             30.294297                          False
183.103448 5.751399e+09             31.836332                          False
 49.689655 8.714912e+09              5.701682                          False
230.241379 5.850998e+09             39.350790                          False
 83.413793 9.492673e+09              8.787176                          False
 66.379310 5.578305e+09             11.899549                          False
182.758621 1.143744e+10             15.978983                          False
 67.448276 5.986453e+09             11.266818                          False
289.137931 1.056111e+10             27.377607                          False
321.655172 5.860219e+09             54.887911                          False
 89.586207 6.463916e+09             13.859431                          False
225.206897 1.458903e+10             15.436727                          False
 50.896552 7.965646e+09              6.389507                          False
 70.379310 8.340798e+09              8.437959                          False
 55.586207 5.411534e+09             10.271802                          False
 73.758621 7.171245e+09             10.285330                          False
 22.068966 8.011331e+09              2.754719                          False
 37.413793 6.152350e+09              6.081220                          False
404.655172 8.617071e+09             46.959710                          False
 10.689655 7.978464e+09              1.339814                          False
181.793103 8.579946e+09             21.188140                          False
161.000000 7.958003e+09             20.231207                          False
440.172414 9.070957e+09             48.525464                          False
255.275862 7.232959e+09             35.293422                          False
115.206897 5.670167e+09             20.318077                          False
 91.517241 8.731695e+09             10.481040                          False
149.517241 6.124994e+09             24.411003                          False
130.724138 7.278233e+09             17.960972                          False
134.758621 4.603824e+09             29.271021                          False
205.241379 7.132607e+09             28.775086                          False
107.965517 7.355166e+09             14.678870                          False
543.551724 8.560410e+09             63.495995                          False
 47.896552 6.355437e+09              7.536311                          False
 44.068966 7.470523e+09              5.899047                          False
155.965517 9.344986e+09             16.689754                          False
101.206897 6.643900e+09             15.233057                          False
282.275862 1.003396e+10             28.132044                          False
717.275862 1.428796e+10             50.201420                          False
 25.655172 6.109573e+09              4.199176                          False
183.827586 6.639299e+09             27.687801                          False
648.482759 9.984314e+09             64.950154                          False
107.965517 4.588512e+09             23.529526                          False
 19.241379 8.754688e+09              2.197837                          False
437.724138 8.749191e+09             50.030243                          False
103.482759 9.008421e+09             11.487336                          False
348.448276 7.588827e+09             45.915960                          False
320.862069 5.350324e+09             59.970591                          False
 81.896552 7.660982e+09             10.690085                          False
273.827586 1.419232e+10             19.294064                          False
302.137931 1.234512e+10             24.474280                          False
128.068966 9.885019e+09             12.955864                          False
 47.034483 9.053483e+09              5.195181                          False
 39.275862 7.814987e+09              5.025711                          False
377.862069 9.414387e+09             40.136663                          False
251.137931 6.590222e+09             38.107661                          False
294.413793 7.068893e+09             41.649208                          False
189.793103 6.142994e+09             30.895863                          False
350.206897 9.554830e+09             36.652343                          False
402.517241 7.619020e+09             52.830583                          False
379.000000 6.544644e+09             57.909952                          False
 54.965517 6.592623e+09              8.337428                          False
212.103448 7.192489e+09             29.489576                          False
205.482759 7.202073e+09             28.531058                          False
 84.827586 8.596962e+09              9.867158                          False
 63.068966 6.968782e+09              9.050213                          False
 21.827586 5.372527e+09              4.062815                          False
250.413793 8.745010e+09             28.635049                          False
 96.206897 7.974097e+09             12.064926                          False
232.000000 1.207313e+10             19.216222                          False
110.137931 6.675530e+09             16.498754                          False
245.275862 1.015272e+10             24.158644                          False
368.620690 1.192839e+10             30.902816                          False
199.758621 6.443114e+09             31.003427                          False
134.413793 8.722326e+09             15.410316                          False
269.793103 8.101218e+09             33.302784                          False
212.620690 7.001288e+09             30.368796                          False
141.758621 7.267595e+09             19.505574                          False
221.862069 8.933638e+09             24.834459                          False
 65.275862 9.470333e+09              6.892668                          False
 45.965517 9.250500e+09              4.968976                          False
 12.827586 7.196731e+09              1.782419                          False
149.655172 6.171712e+09             24.248568                          False
146.896552 8.486195e+09             17.310062                          False
 90.413793 8.472738e+09             10.671143                          False
209.620690 6.827333e+09             30.703159                           True
132.068966 7.871317e+09             16.778510                          False
 79.206897 8.495132e+09              9.323799                          False
 86.034483 5.633341e+09             15.272374                          False
133.931034 8.510533e+09             15.737092                          False
110.724138 5.835413e+09             18.974515                          False
198.551724 6.245514e+09             31.791094                          False
 86.068966 6.648606e+09             12.945415                          False
187.103448 7.031968e+09             26.607552                          False
 24.034483 7.859985e+09              3.057828                          False
 14.862069 5.449456e+09              2.727257                          False
231.344828 8.873211e+09             26.072279                          False
483.758621 7.191314e+09             67.269849                          False
 28.137931 9.429462e+09              2.984044                          False
 64.931034 3.538080e+09             18.352052                          False
 80.344828 9.854434e+09              8.153165                          False
500.965517 9.177622e+09             54.585549                          False
210.379310 7.726760e+09             27.227363                          False
313.482759 1.422772e+10             22.033242                          False
 38.241379 8.546911e+09              4.474292                          False
 19.241379 8.002611e+09              2.404388                           True
 35.034483 9.399235e+09              3.727376                          False
325.758621 6.832622e+09             47.676953                          False
205.034483 1.180402e+10             17.369882                          False
109.000000 6.861597e+09             15.885516                          False
236.344828 1.369088e+10             17.262937                          False
141.448276 8.054348e+09             17.561728                          False
 39.551724 4.867079e+09              8.126379                          False
309.931034 6.550759e+09             47.312235                          False
 65.310345 9.689788e+09              6.740121                          False
 40.172414 8.512059e+09              4.719471                          False
898.931034 1.074916e+10             83.628049                          False
 98.758621 6.353539e+09             15.543877                          False
 96.793103 8.466130e+09             11.432980                          False
 90.103448 6.463080e+09             13.941256                          False
284.413793 5.989376e+09             47.486378                          False
 86.482759 7.207653e+09             11.998741                          False
 22.448276 8.405521e+09              2.670658                          False
142.310345 7.188095e+09             19.798061                          False
 48.931034 6.490190e+09              7.539230                          False
 23.517241 5.938861e+09              3.959891                          False
184.482759 7.857823e+09             23.477591                          False
645.620690 9.789722e+09             65.948830                          False
251.758621 8.496488e+09             29.630905                          False
246.275862 7.182719e+09             34.287276                          False
 52.379310 9.170928e+09              5.711451                          False
479.758621 7.426742e+09             64.598799                          False
179.758621 6.601048e+09             27.231831                          False
645.448276 8.712778e+09             74.080656                          False
107.206897 6.313854e+09             16.979630                          False
 42.620690 7.091594e+09              6.010029                          False
 30.068966 6.033397e+09              4.983754                          False
 80.551724 1.026081e+10              7.850427                          False
 32.068966 8.738938e+09              3.669664                          False
225.448276 7.183179e+09             31.385587                          False
 59.758621 7.895416e+09              7.568774                          False
135.172414 7.145735e+09             18.916517                          False
475.482759 9.272545e+09             51.278558                          False
 19.517241 6.517612e+09              2.994539                          False
122.034483 7.301011e+09             16.714737                          False
 41.689655 5.689568e+09              7.327385                           True
190.413793 7.219227e+09             26.375927                          False
362.241379 9.142983e+09             39.619605                          False
174.620690 6.779597e+09             25.756796                          False
 11.758621 5.952865e+09              1.975288                          False
 38.482759 9.136029e+09              4.212198                          False
134.275862 5.463356e+09             24.577544                          False
132.551724 5.429623e+09             24.412694                          False
 38.482759 6.764061e+09              5.689298                          False
314.068966 1.047339e+10             29.987330                          False
322.413793 1.019550e+10             31.623162                          False
 40.551724 6.960387e+09              5.826073                          False
158.724138 7.820031e+09             20.297123                          False
 37.413793 5.476180e+09              6.832097                          False
176.827586 1.227116e+10             14.410014                          False
 14.965517 8.352852e+09              1.791666                          False
 23.517241 5.791858e+09              4.060397                          False
 44.896552 4.687717e+09              9.577488                          False
413.241379 9.825842e+09             42.056587                          False
 98.793103 6.586311e+09             14.999763                          False
 21.379310 6.278038e+09              3.405413                          False
 29.137931 6.807601e+09              4.280206                          False
 84.482759 8.776193e+09              9.626356                          False
170.689655 9.666895e+09             17.657134                          False
158.206897 9.360787e+09             16.901025                          False
 25.275862 7.400454e+09              3.415447                          False
189.931034 1.027704e+10             18.481099                          False
 37.413793 6.464380e+09              5.787684                          False
285.034483 5.575294e+09             51.124562                          False
136.931034 9.607272e+09             14.252852                          False
111.793103 6.058733e+09             18.451565                          False
230.413793 1.213015e+10             18.995135                          False
 89.793103 8.033235e+09             11.177701                          False
141.103448 7.004248e+09             20.145410                          False
499.965517 8.254983e+09             60.565303                          False
158.103448 7.863224e+09             20.106694                          False
112.344828 4.761447e+09             23.594682                          False
476.482759 7.761540e+09             61.390234                          False
111.137931 9.299576e+09             11.950860                          False
123.344828 6.892596e+09             17.895263                          False
174.103448 8.690531e+09             20.033696                          False
346.206897 8.954781e+09             38.661681                          False
236.344828 8.178035e+09             28.899953                          False
 25.655172 7.967963e+09              3.219791                          False
 78.034483 1.142118e+10              6.832437                          False
 32.068966 6.261959e+09              5.121236                          False
 69.724138 8.864826e+09              7.865257                          False
144.551724 7.420922e+09             19.478944                          False
103.931034 1.058903e+10              9.814975                          False
 84.448276 4.643957e+09             18.184553                          False
188.137931 8.137579e+09             23.119645                          False
 72.103448 9.451593e+09              7.628709                          False
420.862069 1.011317e+10             41.615258                          False
235.724138 6.586923e+09             35.786686                          False
232.241379 6.979146e+09             33.276475                          False
 38.689655 6.971020e+09              5.550071                          False
 55.551724 7.175056e+09              7.742340                          False
421.344828 8.405221e+09             50.128943                          False
 17.172414 6.891861e+09              2.491695                          False
132.379310 9.795604e+09             13.514155                          False
137.655172 6.648353e+09             20.705154                          False
 21.103448 5.190688e+09              4.065636                          False
 73.758621 6.701910e+09             11.005611                          False
529.448276 1.782699e+10             29.699247                          False
109.275862 5.823718e+09             18.763934                          False
282.344828 8.385407e+09             33.670976                          False
266.793103 9.291569e+09             28.713460                          False
 94.275862 7.283525e+09             12.943714                          False
138.448276 4.572093e+09             30.281158                          False
176.413793 8.914914e+09             19.788613                          False
 20.310345 1.126676e+10              1.802678                           True
248.724138 7.201539e+09             34.537637                          False
 76.758621 9.577118e+09              8.014793                          False
244.758621 8.732492e+09             28.028496                          False
292.206897 6.302852e+09             46.361061                          False
 82.310345 6.401509e+09             12.857961                           True
220.275862 8.897694e+09             24.756513                          False
 62.482759 8.167692e+09              7.649990                          False
200.517241 9.534414e+09             21.030894                          False
 56.655172 5.843420e+09              9.695550                          False
 64.965517 9.576597e+09              6.783779                          False
 35.241379 6.543111e+09              5.386028                          False
 24.517241 5.760585e+09              4.256033                          False
121.862069 6.970849e+09             17.481667                          False
 12.827586 5.697277e+09              2.251529                          False
161.413793 7.309448e+09             22.082898                          False
 18.172414 1.061768e+10              1.711524                          False
 60.931034 1.079015e+10              5.646912                          False
 58.275862 6.503777e+09              8.960311                          False
 21.379310 5.872176e+09              3.640782                          False
185.482759 7.654277e+09             24.232563                          False
 66.896552 7.276187e+09              9.193902                          False
225.551724 1.077170e+10             20.939290                          False
 28.862069 6.077615e+09              4.748914                          False
157.655172 7.451200e+09             21.158361                          False
304.275862 8.107873e+09             37.528444                          False
337.103448 8.251345e+09             40.854365                          False
 29.689655 5.277299e+09              5.625918                          False
 17.103448 5.270370e+09              3.245208                          False
 38.482759 6.751816e+09              5.699616                          False
 17.689655 6.739097e+09              2.624930                          False
168.068966 8.138126e+09             20.652048                          False
 92.241379 3.358283e+09             27.466826                          False
175.793103 8.656098e+09             20.308585                          False
133.827586 6.486987e+09             20.630162                          False
374.275862 7.990536e+09             46.839894                          False
256.275862 6.623305e+09             38.693049                          False
 24.517241 5.589964e+09              4.385939                          False
 88.724138 8.651741e+09             10.255062                          False
 95.000000 8.378561e+09             11.338462                          False
101.689655 8.512017e+09             11.946600                          False
154.931034 1.003814e+10             15.434237                          False
106.482759 9.064199e+09             11.747619                          False
 32.310345 8.954176e+09              3.608411                          False
 37.000000 5.068153e+09              7.300491                          False
170.793103 1.000280e+10             17.074534                          False
545.068966 8.038761e+09             67.805096                          False
 58.896552 8.457004e+09              6.964234                          False
100.551724 8.864156e+09             11.343632                          False
 18.172414 7.270150e+09              2.499593                          False
140.206897 8.577040e+09             16.346770                          False
 66.655172 6.259413e+09             10.648789                          False
 65.655172 5.867656e+09             11.189336                           True
 95.551724 8.592370e+09             11.120532                          False
 24.586207 9.639814e+09              2.550486                           True
121.965517 7.467696e+09             16.332417                          False
117.896552 5.709512e+09             20.649146                          False
114.413793 7.345463e+09             15.576118                          False
302.724138 9.806173e+09             30.870773                          False
212.379310 5.682211e+09             37.376175                          False
163.413793 7.495806e+09             21.800696                          False
156.620690 5.990584e+09             26.144478                          False
276.275862 6.421663e+09             43.022479                          False
127.206897 7.449994e+09             17.074765                          False
 39.758621 7.811765e+09              5.089582                          False
 87.827586 9.500869e+09              9.244163                          False
590.931034 1.279018e+10             46.201944                          False
122.068966 5.816476e+09             20.986757                          False
842.931034 7.884426e+09            106.910901                          False
 42.758621 7.312465e+09              5.847361                          False
215.827586 9.108396e+09             23.695455                          False
157.724138 7.045066e+09             22.387888                          False
207.000000 7.839564e+09             26.404529                          False
194.517241 9.180253e+09             21.188658                          False
 48.103448 8.100468e+09              5.938354                          False
 58.793103 1.092589e+10              5.381080                          False
 18.172414 7.704811e+09              2.358580                          False
 10.689655 6.993952e+09              1.528414                          False
121.413793 8.292092e+09             14.642119                          False
 81.448276 7.137673e+09             11.411041                          False
 88.724138 9.025790e+09              9.830069                          False
182.827586 1.031387e+10             17.726381                          False
 24.586207 7.758259e+09              3.169036                          False
 27.793103 7.832962e+09              3.548224                          False
 14.482759 6.912981e+09              2.095009                          False
114.551724 6.765093e+09             16.932763                          False
 56.655172 4.948445e+09             11.449086                           True
266.000000 5.743500e+09             46.313225                          False
