	SMC1A	IDH1
BA2392	7.41008797800013	5.74395799798389
BA2611	7.26424108951115	5.75871811902643
BA2506	7.24218373520164	5.75871811902643
BA2430	7.28899814708616	5.80931856446972
BA2448	7.24904224136933	5.79121445090041
BA2730	7.26503778677364	5.8227080060065
BA2845	7.45866975783138	5.67963455085071
BA2326	7.45571345371651	5.67432622931416
BA2341	7.43138197639579	5.64918681238206
BA2612	7.4434295432297	5.59924503664906
BA2973	7.45275636284168	5.63166253168885
BA2390	7.4372988989966	5.6571193282783
BA3218	7.46577618872004	5.60116902965989
BA3105	7.31397253852267	5.68416732949988
BA3402	7.37577438257785	5.71798453197329
BA3276	7.30861526987379	5.7151540674209
BA2409	6.96567270429015	7.52082148621471
BA3037	5.33503178066884	5.44138513248386
BA2496	6.81145766315316	6.59256890621003
BA2172	6.50494854074967	4.82328175599878
BA2865	6.64807496201704	6.97794904447586
BA2923	6.42763769743183	8.2618544484033
BA2751	6.40025463094879	7.15246698865564
BA2480	6.21273472230969	7.35298985161002
BA2286	6.46184745649843	6.15608719552673
BA2922	6.18950223686314	6.60792383481337
BA2452	7.41889646736553	6.40688318423783
BA3379	6.56326897910348	5.94263228316548
BA2887	6.58253832351054	5.85144934754927
BA2712	7.2245944685398	7.45375064871774
BA2068	5.81442547259646	4.80607814010981
BA2236	6.50698545533974	6.90558799283489
BA2104	6.25534556152395	7.73732673360922
BA3124	6.56890360423702	4.22136650202706
BA3395	6.89778124838191	7.16547841878937
BA2921	5.29014927757584	4.79871964465787
BA2449	6.36648969189247	4.22750729569156
BA2003	4.86847515739846	5.20261254311813
BA2360	6.7037023558772	6.61867340597626
BA2802	6.32360812377741	4.3579546600223
BA2235	6.73692509275104	7.1956195388029
BA2858	6.92303478434711	5.32198845078755
BA3038	6.9468889159387	7.20973552997534
BA3006	6.80545390529169	6.49699294257919
BA2245	6.44802101478473	5.4241733124076
BA2667	6.59519386649706	6.49799553338119
BA2239	6.80299244523417	7.14764743423536
BA2782	6.54150806703429	6.64358377452482
BA2649	7.36252362510307	6.23214914518013
BA2488	6.93219471408877	6.35757561884313
BA2861	7.08148396341999	7.03549223810054
BA2909	6.31585760088979	6.34548467937847
BA2429	6.32408741401117	5.11958001435747
BA2653	6.60368263326756	4.90152753707883
BA2134	6.47866220517702	6.53396722315737
BA2947	5.84353133766961	4.83268199793827
BA2032	5.18440522570466	5.82000063861969
BA2162	6.13597197195766	5.33028268437174
BA2564	7.52082148621471	6.85832315809809
BA2597	5.7195036401558	2.84361014461716
BA3243	6.31947287697639	5.4843036495526
BA2106	6.56065461359229	5.19270680337974
BA2427	5.74782936628199	3.18975730461156
BA2841	5.77409344818299	3.95599802451469
BA2446	8.05115312612603	6.55661288461065
BA2645	4.46192339880986	4.05123232495892
BA2525	5.89440299333517	3.65728472785622
BA2876	5.19768575459355	3.20185478187358
BA2357	6.3764431266369	3.69392175101973
BA2546	6.78550767222755	7.33073792117204
BA2742	7.02125424605895	9.09600320401444
BA2316	6.92693139302054	9.05942450247106
BA2421	5.2450731397095	5.60042800463674
BA2087	6.11251658212347	4.8688411127684
BA2910	6.07138778077856	6.13375733254388
BA2148	5.27359380468175	4.42623541625347
BA2063	5.28503368668829	2.864896220199
BA2329	6.72991592484699	6.84399982384708
BA3178	6.81145766315316	6.28908084563445
BA2072	7.58759859001841	6.78074983432615
BA3029	5.60042800463674	5.19342572013905
BA2733	6.2918184227424	4.2236378258506
BA2995	5.19699117865598	4.54341837856977
BA2069	7.56321071069528	6.95150045701844
BA2100	5.25074673390293	5.17381001168529
BA2681	7.17358455839536	5.34829013725005
BA2248	5.34794466566604	5.78304332339911
BA2832	6.63058753997147	5.24140893715519
BA2308	5.6518040676881	5.41063794413204
BA2413	5.4219819546052	5.39458251066191
BA2701	5.13768843009096	5.81524050486287
BA2634	5.60693430911561	4.90500171115938
BA2677	6.55763968463611	6.37500681410956
BA2937	6.91395412230233	6.43542748974206
BA2600	5.82897025310715	5.22500574588553
BA2019	7.46894970580743	5.31326361994662
BA2412	6.35951832125277	6.05611661620259
BA2334	5.70604900479139	5.71913182250031
BA2050	7.20465709297985	6.1842076331656
BA3230	7.5725144548201	5.34936654533728
BA2953	6.41176296562855	4.87201227243281
BA2481	6.30887529708536	4.1174274886939
BA2731	5.87139334737162	6.19120375825818
BA2294	6.57670086749662	5.51205399141146
BA2418	5.84314923613757	5.86536301251181
BA2816	6.13767903859115	4.97525881373139
BA2656	5.52135062216325	4.6932849776624
BA2814	7.1173855294893	7.64895583047878
BA2631	6.4446944698136	6.47620808782314
BA2023	6.67173082981131	7.42928783450574
BA2375	6.77605663940291	5.84864920436747
BA2485	6.66119005251722	6.60051001058414
BA2455	6.22761949631351	6.61484329859941
BA2025	7.95104961478815	6.18727628290146
BA2636	5.89560402298733	2.95707573664305
BA2325	6.81689630084604	7.31937809888862
BA2169	5.25497927017155	4.2685172238636
BA2156	6.68070832768596	6.53347844553203
BA2511	5.96784634669034	3.63778681479032
BA2939	5.9321118772701	5.88920214405522
BA2168	5.68986590376939	6.03566200297907
BA2505	5.46628439479905	4.82328175599878
BA2860	6.68646890696546	5.15668163101419
BA2707	6.05573645247968	5.24611528011748
BA2871	6.78865136154736	5.56596083132182
BA2655	6.83087293035871	4.94485331976651
BA2227	6.2886543814572	4.77735183811143
BA2125	8.0095286113404	6.43000064848533
BA2523	7.40804987020109	6.26118056372206
BA2603	5.33721885584615	6.25896920678185
BA2808	5.67583098043324	5.30025672574144
BA2282	6.14149524736616	5.83716487793583
BA2482	6.60051001058414	6.93954050250455
BA2812	6.77246010495607	5.82934773365488
BA2822	6.39165195051498	7.20386734649371
BA2594	6.9766278154768	6.94945791531145
BA2747	5.84631034661227	5.23068767781653
BA2561	6.23708437608245	7.35863482899504
BA2567	5.09892293720879	3.40936163024976
BA2906	7.26669441560471	6.56583781452914
BA2956	5.92432462638165	4.93680420181051
BA2474	6.74612605168156	6.41993290039897
BA2737	6.13249003882685	7.00490622738367
BA2110	6.81086164089737	6.60579006500373
BA2992	7.32966927637023	5.29873886453286
BA2220	7.47316503302079	5.88005273032646
BA2772	5.98876336939614	4.20752353675978
BA2935	6.15353258469632	5.76293182295601
BA2260	6.44032365945441	6.30695343234241
BA2676	7.27636680044251	6.47376016789819
BA2948	5.69487870461564	4.45829690708788
BA2524	6.33002794213348	4.71338041148762
BA2811	6.88492067829042	5.95983280142242
BA2540	6.72876764999848	5.10108468850577
BA2928	8.17232215906216	6.62899851308068
BA2302	5.46037170982955	4.35980493218316
BA2595	6.29225118298982	4.7899749730526
BA2792	6.54766219361137	5.62043017440298
BA2651	5.71138116672011	4.51902825678144
BA2619	7.15798365655759	6.57921927462639
BA3013	7.38666974161584	6.23486418682469
BA2405	5.91007221868397	4.63387310843381
BA2735	4.31814348968572	6.01046707595227
BA2856	4.67353963648755	4.64521147205465
BA2377	6.59203093136997	4.72354417544082
BA2499	5.81007696621955	3.58175052756526
BA2463	5.27794535688906	7.01129464656936
BA3023	6.33918453468976	3.85081185407147
BA2095	7.57365573963701	6.09645228197541
BA2901	5.85734049093177	5.0241682886734
BA2275	7.29599106177635	6.14149524736616
BA2387	6.69693008803166	6.07906325231323
BA2962	7.10380554442151	7.45670028367566
BA2195	6.33092888167036	4.08320598972476
BA2688	5.8446879817315	3.23858596558685
BA2787	5.81801473613502	5.66936167999459
BA2420	6.64464627075058	5.91360220597683
BA2756	6.57356389506373	4.39589281624757
BA2122	5.80146381261149	3.22968112507528
BA2053	5.31902852847325	5.25892746258291
BA2080	5.77766563717379	4.29267969728308
BA2081	7.59694470359064	7.18078818168097
BA2354	6.55285609284704	6.26203648745747
BA3273	5.1308809152012	4.10948809536277
BA2893	6.54408446340443	5.61817308697624
BA2044	7.08521741719084	6.28823715765654
BA2489	5.6864679763228	3.22332800972844
BA2309	6.77720928573593	5.45489161608543
BA2720	6.44613094518311	3.85948948082755
BA2908	4.37967727663567	6.09727224274201
BA2054	7.12738803665014	6.44947039282618
BA2872	7.39635430321553	5.47433300541024
BA2526	4.92805421347384	3.54989691248403
BA2041	7.25176192852259	3.74848704611698
BA2464	6.62245620960063	6.04982213026608
BA2902	5.12420512973416	5.08617132532278
BA2541	6.73345379130114	6.29556241973791
BA2143	6.82734034498185	5.1308809152012
BA2094	6.70082648857542	7.53511002571526
BA2769	6.47715255483626	4.72632902528561
BA2843	5.19161041350932	4.576912820314
BA2592	6.54504027868998	4.04795438154792
BA2497	7.3370513303313	7.27462693268534
BA2718	6.54875546973009	6.75597489483719
BA2575	7.22543117773692	7.35298985161002
BA2096	7.2179085684236	5.90476239808708
BA2593	5.57639860004421	7.86375133258917
BA2791	5.72556301998601	3.89144729146833
BA2620	6.33600766569699	7.07695814218809
BA2629	6.22989744594561	6.1725191860544
BA2870	7.4363086679988	7.69160326863138
BA2423	5.48023322260474	5.07164095305392
BA2682	6.45300101587846	5.90076617867574
BA2276	6.34783039381028	4.91022290966011
BA2348	6.02737188880326	4.81265842584299
BA2709	6.66836924971821	6.54150806703429
BA2789	7.18983138735934	5.91554817043997
BA2694	5.01358911563759	4.4543011664344
BA2538	5.29082273845723	4.37307759807115
BA2583	6.42718608083043	5.2008194787507
BA2415	6.38261014012489	6.07987511764245
BA2722	7.95296500400789	4.94450171912077
BA2806	6.0311101011047	6.08879387607679
BA2221	6.54875546973009	5.57935496877716
BA3025	6.61536224183286	5.87927912302444
BA2514	6.43983576769468	4.5993645555515
BA2520	5.4921500734543	4.59723676314568
BA2441	6.65187762334033	5.83369852515391
BA2153	6.39210318114874	4.98513676810276
BA2479	5.87220344290798	2.61422648503115
BA2281	6.63383351459938	5.98958134739074
BA2657	6.48756519390035	6.58623483162294
BA2932	6.58836102643898	7.48594354331146
BA2123	7.07994856692804	4.52334899104318
BA2844	6.48803668934059	5.43657703696705
BA2660	7.15078589361001	6.80545390529169
BA2836	5.49584884893938	4.62427313618414
BA3027	5.86417764609005	4.19644815920318
BA2714	6.88430660085161	7.14998539597838
BA2139	6.85394237356265	7.28622892412638
BA2251	6.02737188880326	6.17773554711095
BA2952	7.62205873798526	7.21378004978512
BA2440	6.42479012495369	5.27576605306409
BA2036	7.30676049708217	6.68593691853273
BA2828	6.08148760261427	6.34322095252985
BA2292	7.34837532536667	5.09390910729551
BA2410	5.98054442725547	4.9819516092596
BA2051	5.32198845078755	4.798374704262
BA2532	5.70335455446958	5.86821930876448
BA2986	7.12738803665014	6.7892246921242
BA2494	5.72754939375197	3.75076608161682
BA2515	6.00134650129498	4.05242084925905
BA2748	7.36816809987369	6.45455803457724
BA2970	6.29268793995786	4.23547754378357
BA2622	6.44517490297706	5.88961440143981
BA2839	5.37601760770264	5.32846021235263
BA2052	5.98054442725547	4.36867112545861
BA3011	5.58529928737232	4.83233699169056
BA2868	6.03024497150621	6.88867708372879
BA2510	6.01912446509313	4.67922683289374
BA2065	7.09779989974783	6.91069984449294
BA2691	6.31632447129761	6.43193622663115
BA2374	7.93352218493006	7.58991392876001
BA2804	7.40804987020109	5.2695794873648
BA2670	5.58529928737232	4.93263432505861
BA2675	6.75309739437635	7.41008797800013
BA2589	5.17241204196236	3.43461282312155
BA2031	7.72809482559201	6.82612058067876
BA2198	7.08148396341999	6.5550219238791
BA2066	7.84734534450722	6.1842076331656
BA2344	7.20973552997534	5.95439094102815
BA2459	6.15651021097325	5.73516831539579
BA2229	5.68416732949988	4.10073895515048
BA2559	6.38837422038712	5.07408997846094
BA2093	6.59203093136997	5.34151860321391
BA2000	8.37409825216549	7.95765939482996
BA2425	7.19312453230448	4.80920574953976
BA2905	5.48539345466374	3.14612847066654
BA2304	7.33529770605395	7.6112304020112
BA2976	6.8194770973329	6.03067265261494
BA2386	5.69028030333394	4.25981249131916
BA2035	6.5150208040986	5.46628439479905
BA2760	6.10277314052035	5.35302745757832
BA2201	7.166329054571	7.15481965297646
BA2355	5.94059984274879	2.57374882661096
BA2113	8.50529098735433	6.24956354515351
BA2155	6.38261014012489	4.31592922692549
BA2955	7.05721925341645	6.58727608652663
BA2502	7.40200052886874	6.82247572050957
BA2322	7.30496309649231	5.6147813580075
BA2376	6.63486341869675	6.97110220501606
BA2020	7.64778904816974	5.92833030401015
BA2226	7.31937809888862	6.57772759538865
BA2200	7.04133576078419	6.44374763893835
BA2121	7.34277993266588	5.63513768849615
BA2944	6.73692509275104	4.64167507429005
BA2033	5.96505632745959	5.27249782330272
BA2867	5.96987848742324	3.686686945389
BA2089	7.30225620212896	6.66232694076894
BA2224	6.68593691853273	4.84073982458941
BA2046	5.65751126924784	4.41752853740495
BA2972	6.52375465899181	5.58233779466511
BA2978	7.3212161814573	5.90476239808708
BA2829	6.41465436154636	6.5851771545889
BA2851	7.07626127790368	6.52531304614774
BA2587	7.27555120012057	6.46680230521735
BA2461	6.66730094916762	4.97525881373139
BA2695	5.80106125250132	4.76744564892536
BA2623	6.92959860586943	5.17806224044823
BA2024	6.50054440194885	5.21467303087656
BA2426	6.72876764999848	5.06916581711999
BA2271	6.77720928573593	5.61291824722341
BA3004	6.90423057855148	5.9059700222253
BA2579	6.47866220517702	5.11604418341834
BA3010	6.83087293035871	5.43991302011835
BA2662	8.29820901257083	6.72757025712009
BA2674	6.29091935991155	4.64236314712384
BA2280	6.98419090856441	6.60421812247539
BA2512	7.29162764738793	7.07626127790368
BA2658	6.51105136156458	6.0515207109664
BA2394	6.02778423402097	6.19874995357892
BA2950	6.64862107605335	5.51054741525892
BA2981	6.75887216800442	4.82920315142492
BA2934	5.92917652580144	3.15379592329678
BA2539	6.95150045701844	5.69683059962592
BA2249	6.71723697861596	7.28989199463087
BA2034	6.50002459426286	5.90196356256727
BA2109	6.03322281740518	5.04550512990365
BA2242	5.91282831503143	4.49812951936181
BA2277	6.81203867711984	6.49454808629482
BA2727	6.26972531039322	5.04344198379719
BA2132	6.54307132156237	4.47573564141147
BA2618	6.70309367478267	6.51917819512762
BA2521	7.21378004978512	7.60876718089275
BA2846	6.6322579586067	5.10282218386209
BA2885	7.39540604135448	8.3695120975799
BA2639	7.79956921933088	6.32360812377741
BA2775	6.43590316276273	6.51657057172327
BA2402	6.84098754890722	4.97105541814246
BA2097	5.98386136715206	4.20135659440007
BA2786	8.56601564488201	6.43335604753767
BA2399	6.53092260630466	6.07775440645337
BA2850	5.73663382994184	5.43546904513176
BA2174	7.34370807957505	6.13208464272519
