	SF3B1	RUNX1
BA2000	5.868488939678021	0.3158646553683877
BA2003	2.198908352987511	0.4013244329079319
BA2004	4.138880806726062	0.3087657605500394
BA2006	2.325123064804804	0.0434516639435853
BA2011	0.1380198320917367	0.1227164865716172
BA2019	2.591253168618399	0.2985802352609417
BA2020	3.566717303735739	0.4234286826082905
BA2022	1.6333312272570373	0.5851342050113773
BA2023	0.695618182813505	0.2340222673641931
BA2024	2.2570122608614995	0.355324854052362
BA2025	1.0662814523867092	0.0980119356459087
BA2031	4.244904914836965	0.2926282036740446
BA2032	0.544077751470832	0.3819240898337823
BA2033	0.5207126749297848	0.2493802875679197
BA2034	3.739892901838597	0.4487978343101674
BA2035	6.2327003775731	0.5157778625167798
BA2036	9.325854998547795	0.8388414173535819
BA2037	5.232376171077262	0.4592527844731488
BA2041	0.8686250591145965	0.2588665449447568
BA2044	2.7103441419906	0.4545446668656925
BA2046	0.0966780257929719	0.5157814038241734
BA2047	2.5434799755482262	0.3310338573537499
BA2050	1.5773960837625316	0.3165709499854057
BA2051	1.9603346228298677	0.3938825853566675
BA2052	2.2125302187734275	0.3736513203619646
BA2053	0.5596398153343644	0.3085386934826425
BA2054	2.902457441292173	0.2938030708808976
BA2055	1.3580618091575545	0.0589301162250986
BA2063	1.0228629180029227	0.0920561794793435
BA2065	3.3052441831997457	0.5219851276879832
BA2066	1.1212745563173925	0.4636862910150136
BA2068	1.42080896899582	0.4141447851298147
BA2069	1.6861525559554815	0.1889841436797342
BA2072	0.7505739552112843	0.3501484859597172
BA2079	0.6569010874044472	0.1133866749489385
BA2080	0.7577356790613439	0.1281109492294557
BA2081	1.987437057210764	0.5058095747966009
BA2082	0.0575538570088242	0.1837415500653363
BA2087	1.0741895787999471	0.1262338198212069
BA2088	1.1964608794427185	0.1123074663292034
BA2089	2.2429851844755566	0.3022986007009235
BA2093	2.504220728960906	0.7187506601942814
BA2094	4.874152863123288	0.6344199058410083
BA2095	2.000770656654821	0.5760620116676848
BA2096	1.4035218689792446	0.1373108299661647
BA2097	5.529201492957189	0.5803880630099275
BA2098	3.7885589952267344	0.190269033493088
BA2100	0.3885650929638804	0.2614480767212281
BA2101	1.4843159585840475	0.2374995044039177
BA2104	1.4249106856380802	0.1869198487063524
BA2106	2.635120076761539	0.3996681074992766
BA2109	0.1013629278870352	0.1611528749668292
BA2110	1.195629336654395	0.1412447000291279
BA2113	1.3489537058579335	0.4636009687036643
BA2116	0.7321046849173004	0.247156774264995
BA2121	0.9023855229683968	0.4045254318806516
BA2122	0.6417203906201293	0.2333023284722314
BA2123	3.840240130713588	0.3247570771477333
BA2124	5.547385135207057	0.547448699385894
BA2125	3.133815191424848	0.3106537800341222
BA2132	2.629895091549692	0.4028966828390375
BA2133	1.889343444020188	0.0821775067247399
BA2134	1.3858377241602684	0.1773124117797484
BA2135	1.0282469461893704	0.3643324954167157
BA2139	2.3384103077608533	0.1190683935976216
BA2143	0.7740416288409281	0.2887462269645254
BA2148	0.0754874236072144	0.2213584146383362
BA2153	5.116721417047205	0.3382966437468907
BA2155	0.0402624383953675	0.1000285399730431
BA2156	2.5846917601475625	0.1665121141157881
BA2162	5.054337551568456	0.2075276098890612
BA2163	4.424902398189839	0.3639867216910707
BA2168	2.459866336385243	0.3370682973422069
BA2169	2.2605231584757783	0.2424274050615774
BA2171	3.878938050944237	0.6888123828281181
BA2172	0.1033096950979363	0.1712153320146594
BA2174	4.125021798269824	0.3644123896008013
BA2175	1.6714606133319954	0.3571108076129757
BA2184	10.628341810860665	0.3727416907983689
BA2195	0.8517477544056531	0.3198556517342838
BA2198	9.032062076788913	0.6672047141790376
BA2200	5.909373552547744	0.9493042047686716
BA2201	0.7405867057165145	0.1959922000558477
BA2209	1.939924439760896	0.1473016906235394
BA2211	3.478055240024269	0.8197705252423492
BA2212	1.9117243822809795	0.2594329568361865
BA2217	1.8505187182282803	0.1748507630117328
BA2218	0.084710669215247	0.2459561395673188
BA2220	1.6409310910083468	0.2055369775121894
BA2221	2.243354454921604	0.1162426874308127
BA2224	2.0797450735301943	0.292817153389424
BA2226	3.1108793742900542	0.7427213369908078
BA2227	4.466729377559415	0.683119927528023
BA2228	1.4107074971754248	0.2628742396944147
BA2229	2.299403410170904	0.4056640287149609
BA2233	3.843300609317525	0.5315421413584168
BA2234	4.0845688398028654	0.1814084487686583
BA2235	3.773219992974677	0.2933684989286715
BA2236	3.873751378073389	0.6132881705814938
BA2239	1.4644137048543158	0.1773165344831579
BA2240	5.302351818144493	0.6015005177609613
BA2242	5.217936721911253	0.7518530096416304
BA2244	2.109603304943121	0.3542834319275956
BA2245	3.715063303939503	0.6503321853810318
BA2248	0.5876281095038024	0.3228620481798537
BA2249	3.458310637890213	0.4867737648170668
BA2251	12.00484402870346	0.1512000511284227
BA2256	2.33433740710835	0.4205528268447001
BA2260	1.5779240094218403	0.3086467051717796
BA2261	0.0481531079451538	0.1680111780593647
BA2269	0.0224406991260923	0.1338224546828064
BA2271	3.761306094239691	0.6406549134468797
BA2272	2.964975913177955	0.2135859516736474
BA2273	3.045841981931842	0.3332695562783719
BA2275	2.7853284034421044	0.5899890040908593
BA2276	3.42152463196887	0.2550864966643531
BA2277	6.531068769093444	0.6086944074788341
BA2280	4.484736603606028	1.238123750065648
BA2281	5.114091505593648	0.4929589762080263
BA2282	2.121523772811391	0.1222042420164395
BA2286	2.854157120894861	0.3573625729541775
BA2288	1.2115094864671292	0.1726257409376905
BA2292	3.7299817448043786	0.1420894825776016
BA2294	3.163226501282653	0.3557053911785621
BA2296	4.481140748242528	0.2148106637106862
BA2300	2.823341050544311	0.3860761946544425
BA2301	1.4422802647725668	0.204491862129929
BA2302	2.4450587800572063	0.2845922240557846
BA2304	0.5735414547284834	0.0979748767280979
BA2306	1.4378042824058233	0.3022602526166719
BA2308	2.7371780782548	0.3212370824381028
BA2309	5.374018728112393	0.19795321803015
BA2311	3.3142836831548874	0.1134252444489589
BA2312	1.9396833890645215	0.2645746766899385
BA2316	0.4984972271262627	0.2056545504439652
BA2322	0.7196782721354701	0.6991153640871128
BA2325	0.6144736710050318	0.1303379514061994
BA2329	1.1931826614417729	0.1811279137633033
BA2334	1.993478439709194	0.3301006832772097
BA2339	0.4699942900241933	0.1031892287671385
BA2344	2.2900026002819254	0.2438605199065537
BA2347	0.8088991835723007	0.1395398032978155
BA2348	0.883377560935554	0.0744092462461175
BA2350	0.9795546142839112	0.0794989986228869
BA2354	3.580583535197325	0.2584898433297769
BA2355	3.44088195176249	0.3663460851955715
BA2357	0.7466248340609561	0.1991905147710996
BA2360	2.6603320453574324	0.1401737238210114
BA2361	2.122537525413574	0.1847962633398329
BA2363	1.6522726311963882	0.1514118803869611
BA2369	1.1059227199253063	0.3214652451660544
BA2374	2.4096833890645217	0.2763952595404794
BA2375	2.100786539663423	0.8939738305449055
BA2376	2.343366612380079	0.1810705720249024
BA2377	0.0567111603796107	0.809008592228186
BA2379	0.7103568696863393	0.2462887562455963
BA2385	0.9035211314723832	0.2109104617600196
BA2386	2.367782567770798	0.7200270107145469
BA2387	4.035369110779613	0.4697411325404799
BA2394	7.593742353118285	1.0817958322477088
BA2399	3.685799556279377	0.5539786331310428
BA2400	10.516791943992056	0.6441740758930947
BA2402	6.407256444061246	0.428971316748376
BA2405	0.2110564671748621	0.3199243679362045
BA2406	1.4467520730025347	0.1598458318360428
BA2409	1.3682634830700355	0.2002801422064991
BA2410	4.5260095176401	0.642834333785354
BA2412	1.3753158354127988	0.1319074320498716
BA2413	3.558757620270642	0.3395163963397635
BA2414	2.306433272355962	0.5780566755810961
BA2415	3.756315385305518	0.0660210386235638
BA2417	1.1675117582923902	0.4135092125257881
BA2418	1.5321366334104294	0.4063909106741089
BA2420	3.2029681153734444	0.4980493811600571
BA2421	1.154419886226261	0.285935182963567
BA2423	3.8067645573970417	0.1793007232492775
BA2425	3.107183849055916	0.3507812970068016
BA2426	0.1050925076905999	0.3259230855422613
BA2427	0.1443236529855342	0.2495991035998299
BA2429	4.061533740558772	0.2412482642104379
BA2440	4.515118540922507	0.2436715897263885
BA2441	7.48233802600586	0.3859472321425475
BA2442	3.410966293655464	0.4327592238494117
BA2446	1.5344025510134254	0.116030994744769
BA2449	2.356064100751041	0.2952747735876687
BA2450	3.519331370196511	0.5093440493546546
BA2452	2.951904546843851	0.5587110693065258
BA2454	3.5800363507248094	0.8069416065588251
BA2455	0.5393154871879091	0.0926719200180257
BA2456	0.1207102191079664	0.1630962001947069
BA2459	0.0323815313075464	0.2749501276757286
BA2461	0.95278330527766	0.2305325169346563
BA2463	1.416645689538503	0.3650729854586957
BA2464	2.274301284478446	0.4145564919398896
BA2469	0.041105135024581	0.165106039804428
BA2470	1.5174264355913207	0.5059183032191825
BA2472	0.1222859747483732	0.3303852067534709
BA2473	1.926382718921689	0.209053338665106
BA2474	4.932402265134477	0.2993789260071053
BA2477	6.768566446326989	0.5055873220543777
BA2479	2.963803300077096	0.0876788581211672
BA2480	2.962812060442108	0.7474430900341659
BA2481	0.1065127406211176	0.1736094095413613
BA2482	4.55675387495229	0.5853367159024542
BA2483	4.094619043491615	0.653393236048947
BA2485	6.688179817858615	0.5450485108625669
BA2488	3.1325379968097127	0.4807689442551831
BA2489	0.4959159455066064	0.1428096536050674
BA2492	0.6517676062656149	0.1357258357893974
BA2494	5.546111050285802	0.2999725410280351
BA2496	0.936298316203406	0.1783692775590445
BA2497	0.5076979597670999	0.1879824611145878
BA2499	1.6321394161682796	0.3608387211811307
BA2500	2.640884225108383	0.7589955005186041
BA2501	3.3400008819669686	0.5796172546422546
BA2502	2.2903437922450776	0.2554461126304059
BA2505	3.3599098264806018	0.2094139462086697
BA2507	1.126609034687153	0.6190335341667839
BA2510	1.117650744121614	0.0203342702977387
BA2511	0.5547863739144583	0.1145245322603514
BA2512	2.4011947991320226	0.3620629952148811
BA2514	3.45310423481002	0.210449138711381
BA2515	2.492897976189933	0.0936308517200861
BA2520	1.384062484318475	0.2933916238066273
BA2521	3.6303167173797672	0.6694791447565787
BA2523	3.255909992229567	0.3790836752965296
BA2524	1.182336976769294	0.3316526158399516
BA2525	0.927868361868006	0.0640943635013068
BA2526	1.5745202936037626	0.3500031698747818
BA2528	2.664848081189622	0.5746468103555873
BA2532	1.586789054789917	0.2354003859086909
BA2534	4.342877348807292	0.4329884438925064
BA2538	5.459500768679832	0.4240097802137525
BA2539	3.452706536135555	0.1664976799858344
BA2540	1.6834681450257822	0.1007360871003794
BA2541	2.4779100728231005	0.1408974760836314
BA2545	2.715710302742765	0.2141247465641089
BA2546	1.1761256635660966	0.1240671559688523
BA2552	4.987072698408354	0.6775473724682192
BA2559	0.7191279551595828	0.3518012511866175
BA2561	1.0089444147921067	0.4547598816780865
BA2563	2.168817586421358	0.6558685636737558
BA2564	1.1562404789384766	0.3000487558800237
BA2567	2.944546980707733	0.0471607532425318
BA2570	0.8088462579510084	0.2334481743272767
BA2575	0.5436999654816376	0.1530648906147879
BA2577	4.324663598029868	0.1754975129098834
BA2579	3.419698922327602	0.1920321862150997
BA2583	4.572907145605144	0.6912775488681344
BA2584	3.803381818707128	0.2007765556534774
BA2587	3.168909295779788	0.743689427436652
BA2588	2.217265202905625	0.3521388625898267
BA2589	1.3964120671328928	0.3209519148239628
BA2592	5.069278178464495	0.4067550358409438
BA2593	0.0398129393678121	0.0586617116890534
BA2594	1.55384779379004	0.1497056780886039
BA2595	1.1049828092472718	0.2987560633460224
BA2597	1.0624154034010471	0.3399906111151607
