	PTPN11	NF1
BA2000	18.33296095742878	142.75490360837196
BA2003	7.823075791431777	153.6363602362335
BA2004	23.47420820016641	186.3131826561012
BA2006	1.599279212987121	0.0
BA2011	9.225160864995647	72.85716052294515
BA2019	25.598812631833862	204.9947885795207
BA2020	31.59595324254756	274.7370236131756
BA2022	27.51591386957487	126.77737922849806
BA2023	11.535227276580512	57.57670274404444
BA2024	13.850349536088828	129.19307576825068
BA2025	25.182250566504557	135.04261049402936
BA2031	17.168571781077897	47.7445319683995
BA2032	15.901849480276256	215.03490271417868
BA2033	18.392220963768025	92.53923653042108
BA2034	16.75767370192132	153.47329527828623
BA2035	26.829544816139027	124.98326638084282
BA2036	21.002511009591736	238.32690231687388
BA2037	41.28393670453848	298.2964495900539
BA2041	20.85594645881212	135.22863046072317
BA2044	18.514651646389066	82.04710015020497
BA2046	17.74777341783675	144.0633694963439
BA2047	23.775755698786437	123.2929360773152
BA2050	14.032474625170588	95.22651628154628
BA2051	23.501722762533824	90.68870047977845
BA2052	19.346997032607323	110.66973675190388
BA2053	13.034239391027915	129.04169527931813
BA2054	15.071847659067448	115.25580563960666
BA2055	1.0119939151741806	1.861283467889972
BA2063	14.18531242809262	56.62966505689601
BA2065	23.213042788974004	201.62135608839577
BA2066	27.549712577286414	124.09319568255268
BA2068	15.169594363553628	78.65829945488635
BA2069	19.64144687919452	57.54297490294547
BA2072	12.509935270285276	86.57166007727321
BA2079	8.072035025066661	61.12137145648837
BA2080	14.96790543407779	157.83351245834615
BA2081	15.613771421052876	109.72745843655122
BA2082	16.516465158266154	81.44008518006407
BA2087	14.418054675323518	39.44265347415752
BA2088	24.432406247519264	122.118312008315
BA2089	26.42817527039773	166.7588903652543
BA2093	24.761557552881506	120.06260334565768
BA2094	22.84219653932653	80.35342502132465
BA2095	22.24726061747656	125.72932620776494
BA2096	9.782062235194408	38.14635019971428
BA2097	29.00078867269143	274.9535971649002
BA2098	4.89760845693884	26.433437712180453
BA2100	12.578431475402214	66.13538217435533
BA2101	12.241955188427031	72.0511876030681
BA2104	9.678008579946416	88.2053799306977
BA2106	11.404555741858657	153.3726439647684
BA2109	10.752236348741445	115.04825583911432
BA2110	9.173325205003731	74.36471936282452
BA2113	24.25003415351566	223.4154468177113
BA2116	34.54667256955986	171.4319149038356
BA2121	24.484211565819702	72.40096351612218
BA2122	8.187921438696502	54.47294224439686
BA2123	32.82053187434948	190.53116384213277
BA2124	17.461741457522745	184.66017011723795
BA2125	26.753085869426155	25.534304216960667
BA2132	20.169400258241318	170.7127216635003
BA2133	9.257241245749476	80.18133477228218
BA2134	11.564212451003634	49.273239517076505
BA2135	16.330691859452898	15.131785600875178
BA2139	11.507169535521824	41.481996912376765
BA2143	20.26836326082831	96.97194172507986
BA2148	15.675843108585529	89.68429975044664
BA2153	24.095696669288905	146.4827052853341
BA2155	13.399294045807633	71.92339924235235
BA2156	16.931888260327074	168.64129625232474
BA2162	23.524442921627767	147.29495642603302
BA2163	32.49912164853597	217.2043669052266
BA2168	13.863873737481438	130.512102414608
BA2169	30.814991909118284	178.1356567294738
BA2171	23.18947927011344	234.8583259532597
BA2172	16.795517788395873	185.11095536230036
BA2174	23.163838646228943	238.4854486070038
BA2175	22.39949600661436	31.956107621459708
BA2184	39.81395373361203	330.1887594161088
BA2195	14.438988301694582	94.9760301511449
BA2198	24.498350035075635	126.84489183593952
BA2200	27.20417627027473	253.9343726061422
BA2201	10.05949923649511	76.38543599082593
BA2209	22.20851929911572	207.73969039082704
BA2211	21.02631899069189	193.69321339903547
BA2212	16.10636029935567	150.1149855232797
BA2217	17.405562540348775	173.74162856094
BA2218	6.878393864241168	85.42607037036069
BA2220	20.14637088171025	105.89447496974996
BA2221	13.92990006687362	87.92724303286738
BA2224	15.825637213283208	99.58333873414824
BA2226	35.989485894319195	286.37231184395824
BA2227	20.910382367639677	327.7142740138492
BA2228	31.927487025931413	148.83302195542166
BA2229	23.056486557637434	230.9272500432621
BA2233	11.761458404505191	198.79246681895413
BA2234	24.054342043995	133.53026760274443
BA2235	17.067020253453286	137.30408373585547
BA2236	17.314869257465272	236.6977944710083
BA2239	12.77104820432132	93.44595003721206
