	KRAS	RAD21
BA2000	3.3836971111243868	9.381081344897805
BA2003	4.014852183319062	10.804738111151956
BA2004	7.518035805741788	13.335979114927524
BA2006	1.4759602284637354	2.270388898058533
BA2011	2.9764702068721984	4.533384234237969
BA2019	5.160280820392373	12.845973706067053
BA2020	4.544994361851094	10.474535979065164
BA2022	5.324298133885895	8.710936477994075
BA2023	1.835144329336911	10.766220668380647
BA2024	3.245164654062419	6.96521768918246
BA2025	4.368893180026906	10.505514139483594
BA2031	3.2522855283888856	8.497243158696646
BA2032	5.730829491703615	6.366887987848954
BA2033	5.173527870541233	10.68218662349429
BA2034	3.914876856324424	6.3724050702506645
BA2035	3.1099427952431493	9.09435826239406
BA2036	6.121214630742673	11.528528001706562
BA2037	4.675090272102132	12.161082044759937
BA2041	4.757182979338932	15.208390411040217
BA2044	3.010011912928463	11.425941509678632
BA2046	4.929163679288072	6.153405994615816
BA2047	4.291588003374781	7.212823003588878
BA2050	2.1958664129994023	7.305722580287018
BA2051	13.932897428776403	10.076275553605024
BA2052	11.076830685833263	13.286222314454694
BA2053	7.179162326710417	7.685499593258364
BA2054	1.88397156875176	11.47302251367756
BA2055	0.5163086932955492	0.8900090654720321
BA2063	11.878742352338724	10.446657944155708
BA2065	4.709459162983161	11.84997670061323
BA2066	4.58843490487509	8.783252326731535
BA2068	1.0796480997351472	8.054864759728023
BA2069	3.374270053532277	11.861180142963963
BA2072	3.1008031822093227	5.724137968839168
BA2079	2.7983494448591	5.054760892054986
BA2080	5.886285419771656	10.124380642568726
BA2081	2.38418961424661	4.620438733254882
BA2082	3.4924032820084148	8.105587557245181
BA2087	3.917030623224554	6.064210598186296
BA2088	7.004680788752677	11.119498790097158
BA2089	7.291872349620021	13.153433288445951
BA2093	1.7578389225148163	13.89440940587197
BA2094	7.903188528932866	14.301152628574505
BA2095	2.454555562270261	9.161177992328549
BA2096	2.1072502216250624	9.584242645222831
BA2097	9.091340105799269	16.873178231003937
BA2098	2.230917639934675	6.2107357582394345
BA2100	5.275330529503402	6.090356050041996
BA2101	3.4638826169083035	6.636690901812592
BA2104	2.996660859475001	5.107654904717963
BA2106	3.161484912907255	5.7185547695433705
BA2109	9.540899316685143	7.887808449114563
BA2110	2.2987931685922325	4.875980173627301
BA2113	2.6364578427557768	9.1025554010968
BA2116	6.107357577068696	17.398189447644924
BA2121	2.2078984581122234	5.12776073278341
BA2122	3.0534412888688838	11.690318294638107
BA2123	4.506886381838011	17.55701446978709
BA2124	3.484952671872221	12.868529500425566
BA2125	5.652914133071268	12.876343621232197
BA2132	5.0471863509910735	9.340554458045636
BA2133	10.65905362132722	6.955488449442417
BA2134	2.3488564434363868	6.682310630032674
BA2135	2.354831741553748	6.849923340263783
BA2139	2.5445168327484797	6.787244348233263
BA2143	1.959566124342219	13.400617340713
BA2148	3.447503945046714	5.204481045400393
BA2153	3.28774314707458	9.114530887927913
BA2155	2.437405193862981	5.233148408171361
BA2156	2.2730237889538194	8.392648810880598
BA2162	5.712025100440885	9.1097160557551
BA2163	6.421326448173804	14.314580633635316
BA2168	2.5309999180927623	6.647345389277667
BA2169	8.12047461860416	8.745864067224826
BA2171	4.2769316901618994	10.679439120860676
BA2172	2.0611136117329	13.50883390157314
BA2174	4.468216769572149	12.234477537030015
BA2175	5.319868359290954	21.02068584637091
BA2184	4.673610193914149	18.03765970365849
BA2195	5.838200788758842	9.349963706871057
BA2198	4.103025938075901	10.951500923300072
BA2200	3.906002268152742	8.66317838616753
BA2201	2.44182533811413	5.432057146746553
BA2209	11.81900292593489	10.51849185881264
BA2211	5.353146364806439	9.646568993096242
BA2212	2.6751209524724606	12.173442452420591
BA2217	2.075613723782153	4.573645652451456
BA2218	2.8138905589044483	4.492958654425742
BA2220	7.379396044865156	11.27168233076358
BA2221	3.4063344135082656	9.893553288678971
BA2224	3.1364189861786773	9.397529949966035
BA2226	4.532593424972631	10.908716981211048
BA2227	2.636795016303624	8.563166687493254
BA2228	7.840004887881429	13.65711061030867
BA2229	10.085359778713071	10.125749233382871
BA2233	3.2547013461580097	6.323547682627363
BA2234	4.264432517362912	11.823723239347228
BA2235	5.236945518023253	8.606492986201966
BA2236	3.942916396323784	7.780395565488438
BA2239	2.4852062107862314	6.552249451867215
BA2240	8.12127767437851	11.228756861285458
BA2242	5.266699574897228	9.596092148295025
BA2244	3.2606905820924705	5.341309648977824
BA2245	9.019949708299915	9.699043191258031
BA2248	2.094823306896083	5.445572536474128
BA2249	4.956301122904592	6.731132320283495
BA2251	4.624605625284379	11.377710091638932
BA2256	2.540386093792922	9.18485529321266
BA2260	4.132932782016525	8.648831228976123
BA2261	2.001472965534394	13.913285434019771
BA2269	1.3774383646879156	5.517119433614601
BA2271	5.602686467078136	11.19055154461345
BA2272	3.0279527620390048	9.716425007365958
BA2273	3.2204514382156466	9.913637199534788
BA2275	5.176312047084844	13.934400427780313
BA2276	2.622741387146175	9.978364843676667
BA2277	5.25510942266259	12.040184337419634
BA2280	6.063815269855581	8.867506451898345
BA2281	4.6460796005338985	16.67272759945315
BA2282	3.8083678316586047	8.901841543428535
BA2286	3.95272350270278	13.39494709097916
BA2288	3.865914162620388	10.082944575583005
BA2292	4.075651001645991	18.590565422674203
BA2294	2.3719835412868338	8.922417194971139
BA2296	2.5047958696164496	9.253808222732571
BA2300	6.957086353480154	15.91951318108498
BA2301	4.0624889175161565	7.975873603129876
BA2302	9.348772402774848	9.987074162137658
BA2304	3.215224942617111	5.843656849489537
BA2306	2.106117448255717	11.005838226949349
BA2308	3.889581278532265	6.875562225380477
BA2309	3.305697356738754	11.791282340863557
BA2311	4.263535060623511	8.572661186048336
BA2312	4.450112420893486	7.674918446231897
BA2316	2.785383344332529	7.282340044737987
BA2322	1.363252173099543	5.18753456585531
BA2325	2.2128413526127946	5.008815555223583
BA2329	2.953980380691717	5.409638321457206
BA2334	3.829844935813441	6.602282118293289
BA2339	5.576285457288947	8.06670173891155
BA2344	2.508621366806296	10.584311463633012
BA2347	4.499805687946137	8.719695984514088
BA2348	3.4684403082470383	4.327835996869017
BA2350	2.293002458894163	4.588882690076493
