#Boxplots d'expressions du gène STAG2 en fonction des types de mutations
#Résultat du test statistique ANOVA : F = 4.155, p-value = 0.002
#Tableau des résultats :
ID_sample TypeMutation  ExpressionGene
   BA2682       NonMut        6.275582
   BA2348       NonMut        6.763595
   BA2709       NonMut        6.688678
   BA2789       NonMut        7.103074
   BA2694       NonMut        6.827939
   BA2538       NonMut        6.404086
   BA2583       NonMut        6.710959
   BA2415       NonMut        7.299681
   BA2722       NonMut        7.521962
   BA2806       NonMut        6.685372
   BA2221       NonMut        6.926931
   BA3025       NonMut        7.142213
   BA2514       NonMut        6.894419
   BA2520       NonMut        6.203141
   BA2441       NonMut        7.208867
   BA2153       NonMut        7.524283
   BA2479       NonMut        6.886147
   BA2281       NonMut        7.085217
   BA2657       NonMut        6.989581
   BA2932       NonMut        7.394446
   BA2123       NonMut        7.411075
   BA2844       NonMut        6.676685
   BA2660       NonMut        7.245627
   BA2836       NonMut        6.398322
   BA3027       NonMut        6.867086
   BA2714       NonMut        7.261503
   BA2139       NonMut        6.852068
   BA2251       NonMut        6.969120
   BA2952       NonMut        6.801167
   BA2440       NonMut        6.997190
   BA2036       NonMut        7.103074
   BA2828       NonMut        6.690273
   BA2292       NonMut        7.105341
   BA2410       NonMut        6.668885
   BA2051       NonMut        7.048512
   BA2532       NonMut        7.445445
   BA2986       NonMut        7.082279
   BA2494       NonMut        6.886764
   BA2515       NonMut        7.210534
   BA2748       NonMut        7.188129
   BA2970       NonMut        6.879121
   BA2622       NonMut        7.252717
   BA2839       NonMut        7.353908
   BA2052       NonMut        7.186441
   BA3011       NonMut        7.146123
   BA2868       NonMut        6.748989
   BA2510       NonMut        6.513025
   BA2065       NonMut        7.217046
   BA2691       NonMut        6.894419
   BA2374       NonMut        7.028414
   BA2804       NonMut        6.766563
   BA2670       NonMut        7.234708
   BA2675       NonMut        7.228677
   BA2589       NonMut        7.208002
   BA2031       NonMut        4.569068
   BA2198       NonMut        7.275551
   BA2066       NonMut        6.788651
   BA2344       NonMut        6.773604
   BA2459       NonMut        7.065207
   BA2229       NonMut        7.233904
   BA2559       NonMut        7.379676
   BA2093       NonMut        6.991755
   BA2000       NonMut        7.047048
   BA2425       NonMut        6.830873
   BA2905       NonMut        6.228075
   BA2304       NonMut        6.693007
   BA2976       NonMut        6.981380
   BA2386       NonMut        7.137564
   BA2035       NonMut        7.362524
   BA2760       NonMut        7.125056
   BA2201       NonMut        7.121157
   BA2355       NonMut        7.403056
   BA2113       NonMut        6.001347
   BA2155       NonMut        7.021254
   BA2955       NonMut        6.956154
   BA2502       NonMut        7.233106
   BA2322       NonMut        6.611175
   BA2376       NonMut        6.820081
   BA2020       NonMut        7.019176
   BA2226       NonMut        7.058720
   BA2200       NonMut        7.053627
   BA2121       NonMut        6.777209
   BA2944       NonMut        6.867724
   BA2033       NonMut        7.058720
   BA2867       NonMut        6.949458
   BA2089       NonMut        5.044801
   BA2224       NonMut        7.120404
   BA2046       NonMut        7.020525
   BA2972       NonMut        6.540966
   BA2978       NonMut        6.981380
   BA2829       NonMut        7.182353
   BA2851       NonMut        7.207129
   BA2587       NonMut        6.975923
   BA2461       NonMut        7.072510
   BA2695       NonMut        6.813298
   BA2623       NonMut        7.143838
   BA2024       NonMut        7.199030
   BA2426       NonMut        6.416519
   BA2271       NonMut        7.256113
   BA3004       NonMut        6.760655
   BA2579       NonMut        7.209736
   BA2662       NonMut        6.685937
   BA2674       NonMut        7.288998
   BA2280       NonMut        6.980634
   BA2512       NonMut        6.743909
   BA2658       NonMut        6.975189
   BA2394       NonMut        6.912026
   BA2950       NonMut        6.426720
   BA2981       NonMut        6.931529
   BA2934       NonMut        7.189831
   BA2539       NonMut        7.125902
   BA2249       NonMut        7.217046
   BA2034       NonMut        4.381908
   BA2109       NonMut        7.140704
   BA2242       NonMut        6.597852
   BA2277       NonMut        7.274627
   BA2727       NonMut        7.068077
   BA2132       NonMut        6.786834
   BA2618       NonMut        5.589145
   BA2521       NonMut        7.092649
   BA2846       NonMut        6.565325
   BA2885       NonMut        6.795815
   BA2639       NonMut        7.289892
   BA2775       NonMut        6.751945
   BA2097       NonMut        6.911374
   BA2786       NonMut        6.255841
   BA2399       NonMut        6.708662
   BA2850       NonMut        6.332801
   BA2174       NonMut        7.116614
   BA2004       NonMut        7.601620
   BA3001       NonMut        7.399206
   BA2311       NonMut        6.585177
   BA2483       NonMut        7.173585
   BA3040       NonMut        6.919842
   BA2837       NonMut        6.617532
   BA2724       NonMut        6.517089
   BA2911       NonMut        7.046351
   BA2256       NonMut        6.399795
   BA2821       NonMut        7.080684
   BA2233       NonMut        6.206135
   BA2744       NonMut        6.963530
   BA2880       NonMut        7.129645
   BA2621       NonMut        6.575090
   BA3002       NonMut        7.146123
   BA2501       NonMut        7.112888
   BA2993       NonMut        6.372157
   BA2301       NonMut        6.956856
   BA2852       NonMut        6.824909
   BA2133       NonMut        7.037793
   BA2866       NonMut        6.537929
   BA2212       NonMut        6.077754
   BA2685       NonMut        7.121157
   BA2273       NonMut        6.764769
   BA2477       NonMut        7.250085
   BA2659       NonMut        7.324895
   BA2124       NonMut        6.769580
   BA2363       NonMut        7.016137
   BA2369       NonMut        6.808456
   BA2534       NonMut        6.977949
   BA2400       NonMut        6.690273
   BA2762       NonMut        6.514024
   BA2312       NonMut        7.001462
   BA2813       NonMut        6.544084
   BA2211       NonMut        6.852068
   BA2171       NonMut        7.082976
   BA2746       NonMut        6.613288
   BA2798       NonMut        6.820081
   BA2809       NonMut        7.369105
   BA2288       NonMut        6.982756
   BA2801       NonMut        6.725830
   BA3030       NonMut        7.240538
   BA2588       NonMut        7.063021
   BA2296       NonMut        7.215425
   BA2300       NonMut        7.352990
   BA2903       NonMut        6.896450
   BA2473       NonMut        7.303130
   BA2545       NonMut        7.200736
   BA2840       NonMut        6.689216
   BA2528       NonMut        5.794042
   BA2646       NonMut        7.428253
   BA3407       NonMut        7.456700
   BA2240       NonMut        7.099274
   BA2926       NonMut        6.986216
   BA2272       NonMut        6.964196
   BA2306       NonMut        6.963530
   BA2765       NonMut        7.127388
   BA2904       NonMut        7.146123
   BA2883       NonMut        7.256113
   BA2726       NonMut        6.421395
   BA2234       NonMut        6.868388
   BA2022       NonMut        7.007829
   BA2228       NonMut        7.483826
   BA2037       NonMut        7.349293
   BA2184       NonMut        7.051324
   BA3009       NonMut        7.167958
   BA2842       NonMut        7.331640
   BA2442       NonMut        6.921747
   BA2882       NonMut        6.806035
   BA2758       NonMut        7.013386
   BA2705       NonMut        7.061661
   BA2663       NonMut        6.739832
   BA2570       NonMut        7.763347
   BA2764       NonMut        7.284384
   BA2209       NonMut        7.021254
   BA2989       NonMut        7.338908
   BA2855       NonMut        7.477321
   BA2261       NonMut        7.336183
   BA2721       NonMut        7.297771
   BA2930       NonMut        7.153278
   BA2728       NonMut        7.405106
   BA2715       NonMut        7.180788
   BA2469       NonMut        7.545126
   BA2269       NonMut        7.469974
   BA2098       NonMut        6.372157
   BA2778       NonMut        6.783746
   BA2951       NonMut        7.029781
   BA2163       NonMut        7.181546
   BA2379       NonMut        7.401089
   BA2817       NonMut        7.213780
   BA3153       NonMut        6.501039
   BA2820       NonMut        7.034043
   BA2723       NonMut        7.146870
   BA2704       NonMut        6.962201
   BA2088       NonMut        7.410088
   BA2116       NonMut        7.464741
   BA2584       NonMut        6.575608
   BA3079       NonMut        6.776057
   BA2417       NonMut        7.138312
   BA2361       NonMut        6.701940
   BA2450       NonMut        7.039190
   BA2492       NonMut        7.091910
   BA2552       NonMut        6.588885
   BA2472       NonMut        6.850858
   BA2994       NonMut        6.530923
   BA2047       NonMut        6.791003
   BA2101       NonMut        6.754234
   BA2082       NonMut        7.034743
   BA2879       NonMut        7.140704
   BA2577       NonMut        7.029112
   BA2456       NonMut        7.034043
   BA2175       NonMut        7.268510
   BA2824       NonMut        6.809664
   BA2507       NonMut        6.518633
   BA2563       NonMut        6.579740
   BA2244       NonMut        6.964902
   BA2470       NonMut        6.811458
   BA2984       NonMut        6.539386
   BA2414       NonMut        6.891802
   BA2697       NonMut        6.757163
   BA2079       NonMut        7.170296
   BA2999       NonMut        7.175203
   BA2644       NonMut        6.850259
   BA2011       NonMut        6.781949
   BA2217       NonMut        6.904231
   BA2454       NonMut        6.928331
   BA2776       NonMut        7.024807
   BA2218       NonMut        6.663426
   BA2135       NonMut        6.763595
   BA2914       NonMut        7.112161
   BA2500       NonMut        7.309488
   BA2830       NonMut        6.362769
   BA2406       NonMut        6.469283
   BA3108       NonMut        7.115885
   BA2924       NonMut        6.675587
   BA2303       NonMut        6.938908
   BA2160       NonMut        7.011295
   BA2040       NonMut        7.092649
   BA2590       NonMut        6.843353
   BA3195       NonMut        7.108514
   BA2516       NonMut        4.982653
   BA2353       NonMut        7.158766
   BA3036       NonMut        6.886147
   BA2971       NonMut        6.983514
   BA3410       NonMut        6.913264
   BA3118       NonMut        6.850858
   BA3206       NonMut        7.047751
   BA3202       NonMut        7.192258
   BA3217       NonMut        5.522830
   BA3405       NonMut        7.042029
   BA3306       NonMut        6.705313
   BA3371       NonMut        7.215425
   BA3413       NonMut        6.885539
